word,paragraph
অগ্নিবেষ্টনী,"শব্দ: অগ্নিবেষ্টনী

গল্প:

গ্রামের প্রান্তে পুরোনো জমিদার বাড়িটা আজ অগ্নিবেষ্টনীতে আবদ্ধ। রাতের অন্ধকারে হঠাৎ করেই বাড়িটিতে আগুন লাগে, মুহূর্তের মধ্যে আগুনের লেলিহান শিখা আকাশ স্পর্শ করে। চারদিকে আতঙ্ক ছড়িয়ে পরে, মানুষজন ঘর থেকে বেরিয়ে আসে। আগুনের তীব্রতা এতটাই বেশি ছিল যে, কাছে যাওয়াও ছিল দুঃসাধ্য। মনে হচ্ছিল যেন এক ভয়ংকর দানব তার সর্বগ্রাসী হাত বাড়িয়ে সবকিছু গ্রাস করতে উদ্যত হয়েছে।

বাড়ির পেছনের জঙ্গলে শুকনো পাতা আর ডালপালা থাকায় আগুন দ্রুত ছড়িয়ে পরে। আগুনের হলকা এতটাই তীব্র ছিল যে, পাশের পুকুরটিও যেন ফুটতে শুরু করেছিল। দূর থেকে দমকল কর্মীরা এসে আগুন নেভানোর চেষ্টা করতে থাকে, কিন্তু আগুনের তীব্রতার কাছে তাদের প্রচেষ্টা যেন ব্যর্থ হতে থাকে।

অনেকের মনে প্রশ্ন জাগে, কিভাবে এত বড় অগ্নিকাণ্ড ঘটল? কেউ বলে শর্ট সার্কিট থেকে আবার কেউ পুরনো শত্রুতার জের টানে। তবে কারণ যাই হোক, জমিদার বাড়িটি এখন ধ্বংসের দ্বারপ্রান্তে। কালের সাক্ষী হয়ে দাঁড়িয়ে থাকা এই বাড়িটির অগ্নিবেষ্টনী থেকে মুক্তি পাওয়ার কোনো আশা আপাতত দেখা যাচ্ছে না। ভোরের আলো ফুটলে হয়তো ধ্বংসের এক করুণ চিত্র সবার সামনে উন্মোচিত হবে।
"
অকল্মষ,"অকল্মষ হৃদয়

গ্রামের পাশ দিয়ে বয়ে যাওয়া নদীটি যেন প্রকৃতির এক নীরব সাক্ষী। নদীর ধারে পুরোনো বটগাছটা দাঁড়িয়ে আছে যুগ যুগ ধরে, তার ছায়ায় ক্লান্ত পথিকেরা দুদণ্ড জিরিয়ে নেয়। গ্রামের মানুষগুলোর জীবনযাত্রা বড় সহজ সরল, তাদের মনে কোনো জটিলতা নেই। এই গ্রামেরই ছেলে রবিনের কথা বলা যাক। রবিন এক অকল্মষ হৃদয়ের অধিকারী। তার চোখেমুখে লেগে আছে সরলতার ছাপ। গ্রামের সকলের বিপদে আপদে সে ছুটে যায়, কখনো কোনো প্রতিদান চায় না।

একদিন গ্রামের একটি ছেলে গুরুতর অসুস্থ হয়ে পড়লে রবিন নিজের কাঁধে তুলে নিয়ে কয়েক মাইল পথ হেঁটে তাকে শহরে পৌঁছে দেয়। ছেলেটি সুস্থ হয়ে ফিরে এলে রবিনকে জড়িয়ে ধরে কেঁদে ফেলে। রবিন মুচকি হেসে বলে, ""এতে আর কি আছে, মানুষ তো মানুষের জন্যই।"" গ্রামের দরিদ্র শিশুদের শিক্ষার জন্য সে একটি ছোট স্কুল খুলেছে, যেখানে বিনা বেতনে তাদের পড়ানো হয়। রবিন মনে করে, শিক্ষা ছাড়া মানুষের মুক্তি নেই।

অকল্মষ হৃদয় নিয়ে রবিন গ্রামের মানুষের মনে এক বিশেষ স্থান করে নিয়েছে। সকলে তাকে ভালোবাসে, সম্মান করে। রবিন হয়তো কোনো বড়মাপের মানুষ নয়, কিন্তু তার ভেতরের মানবতা তাকে অনন্য করে তুলেছে। তার এই অকল্মষ হৃদয় যেন গ্রামের আলো, যা সবসময় পথ দেখায়।
"
অনুত্তীর্ণ,"অনুচ্ছেদ:

পরীক্ষার ফল প্রকাশের দিন szkoły মাঠের atmósfera থমথমে হয়ে ছিল। Result sheet টা হাতে পাওয়ার পরে প্রথমে নিজের নামটা খুঁজতে গিয়ে বুকের ভেতরটা ধক্ করে উঠলো, কিন্তু কয়েকবার চেষ্টার পরেও যখন নামটা পাওয়া গেল না, তখন বুঝতে পারলাম আমি অনুত্তীর্ণ হয়েছি। এতদিনের পরিশ্রম, রাতের পর রাত জেগে পড়া, সব যেন মুহূর্তের মধ্যে ব্যর্থ হয়ে গেল। চোখে জল এসে ভিড় করলো, মনে হলো যেন আকাশটা ভেঙে পড়ছে মাথার উপর। আশেপাশে বন্ধুদের উল্লাস, সাফল্যের হাসিগুলো যেন আরও বেশি করে বিঁধতে লাগলো। মনে হল, এই পৃথিবীতে আমি একা, সবাই যেন অনেক দূরে চলে গেছে।

বাবা-মায়ের মুখটা কেমন করে দেখাবো, সেই চিন্তায় অস্থির হয়ে উঠলাম। তাঁরা তো অনেক আশা করে ছিলেন। কী বলবো তাঁদের? কিভাবে বোঝাবো যে আমি চেষ্টা করেও সফল হতে পারিনি? অনুত্তীর্ণ হওয়ার এই অনুভূতি এতটাই কষ্টের যে, মনে হচ্ছিল সবকিছু শেষ হয়ে গেছে। কিন্তু तभी মনে হল, ভেঙে পড়লে তো চলবে না। জীবনে অনেক সুযোগ আসবে, আরও একবার চেষ্টা করতে হবে। এই ব্যর্থতা থেকে শিক্ষা নিয়ে আগামী দিনের জন্য প্রস্তুত হতে হবে। अनुत्तीर्ण হয়েছি তো কি হয়েছে, আমি আবার চেষ্টা করবো এবং নিশ্চয়ই সফল হবো।
"
অপিনিহিতি,"অপিনিহিতি নামকরণের একটি ছোট্ট গ্রাম, যেখানে শহরের কোলাহল নেই, আছে শুধু সবুজের সমারোহ আর পাখির কলতান। গ্রামের নামটি প্রথম শুনে অদ্ভুত লাগলেও এর একটা ঐতিহাসিক তাৎপর্য আছে। কথিত আছে, বহু বছর আগে এই গ্রামের পণ্ডিতেরা ভাষার নিয়ম রক্ষার জন্য একটি সম্মেলনে বসেছিলেন। সেখানে ধ্বনিতত্ত্বের জটিল এক বিষয় নিয়ে আলোচনা হয়, যা পরবর্তীতে 'অপিনিহিতি' নামে পরিচিতি লাভ করে। সেই থেকেই গ্রামের নাম অপিনিহিতি।

গ্রামের মানুষজন সহজ সরল জীবন যাপন করে। তারা মূলত কৃষিকাজ ও মৃৎশিল্পের সাথে জড়িত। এখানকার কুমোরপাড়ায় তৈরি মাটির হাঁড়ি, কলসি, থালা-বাসনগুলির সৌন্দর্য দেখলে চোখ জুড়িয়ে যায়। অপিনিহিতির পাশ দিয়ে বয়ে যাওয়া ছোট নদীটি গ্রামের মানুষের জীবনরেখা। প্রতিদিন সকালে গ্রামের বধূরা নদীর ঘাটে জল আনতে যায়, আর জেলেরা মাছ ধরে জীবিকা নির্বাহ করে।

তবে আধুনিকতার ছোঁয়া লাগায় এখন গ্রামের অনেক ছেলে-মেয়ে শহরে লেখাপড়া করতে যায়। তারা হয়তো ভবিষ্যতে এই গ্রামে ফিরে আসবে না, কিন্তু অপিনিহিতির স্মৃতি তাদের হৃদয়ে সবসময় অমলিন থাকবে। গ্রামের নামটি তাদের মনে করিয়ে দেবে তাদের শিকড়ের কথা, তাদের সংস্কৃতির কথা। অপিনিহিতি আজও যেন কালের সাক্ষী হয়ে দাঁড়িয়ে আছে, তার বুকে ধরে রেখেছে অতীতের সোনালী স্মৃতি।
"
অগর্ভিণী,"শব্দ: অগর্ভিণী

গ্রামের নাম শান্তিপুর। শান্তিপুরের পাশ দিয়ে বয়ে গেছে ছোট একটি নদী, নাম তার বলাকা। এই শান্তিপুরের অধিকাংশ মানুষ কৃষিজীবী। তাদের জীবন সহজ সরল, কিন্তু দারিদ্র‍্য তাদের নিত্যসঙ্গী। শান্তিপুরের কৃষক রমেন তার স্ত্রী সরলাকে খুব ভালোবাসে। বিয়ের পাঁচ বছর হয়ে গেলেও তাদের কোনো সন্তান নেই। সরলার চেহারায় মাতৃত্বের কোনো চিহ্ন নেই, সে এখনও অগর্ভিণী। এই নিয়ে গ্রামের মানুষ নানা কথা বলে, যা সরলার বুকে শেলের মতো বিঁধে। রমেন স্ত্রীকে বোঝায়, সন্তান সৃষ্টিকর্তার দান, সময় হলেই তিনি দেবেন। কিন্তু সরলার মন মানে না, প্রতিবেশীদের বাঁকা কথা তাকে দিন দিন দুর্বল করে দেয়। সে মনে মনে সন্তান ধারণের জন্য ব্যাকুল হয়ে ওঠে। একদিন গ্রামের পুরোহিত মশাই তাদের বাড়িতে আসেন এবং সরলাকে একটি বিশেষ পূজা করার পরামর্শ দেন। রমেন এবং সরলা দুজনেই আশায় বুক বাঁধে। তারা মনেপ্রাণে বিশ্বাস করে, সৃষ্টিকর্তা তাদের প্রার্থনা सुनবেন এবং তাদের কোল আলো করে একটি সন্তান আসবে। তারা অগর্ভিণী সরলার মাতৃত্বের স্বাদ পাওয়ার অপেক্ষায় দিন গুনতে থাকে। তাদের বিশ্বাস আর ভালোবাসাই হয়তো একদিন তাদের স্বপ্ন পূরণ করবে।
"
অনিরূপণীয়,"শব্দ: অনিরূপণীয়

বর্ষার সন্ধ্যায় মেঘে ঢাকা আকাশ যেন এক অনিরূপণীয় রহস্যের চাদর। দূরে গ্রামের প্রান্তে বাঁশঝাড়ের মাথায় জোনাকিদের মিটিমিটি আলো সেই রহস্যকে আরও গভীর করে তোলে। এমন দিনে স্মৃতির ঝাঁপি খুলে বসে মন, যেখানে কত না বলা কথা, কত না করা কাজের ভিড়। অনিরূপণীয় এক অনুভূতি যেন ঢেউ তোলে হৃদয়ে। ফেলে আসা দিনগুলোর কথা ভাবি, কত আপনজন আজ দূরে, তবুও তাদের স্মৃতিগুলো আজও অমলিন। জীবনের পথচলা বড়ই বিচিত্র, প্রতিটি মুহূর্ত নতুন অভিজ্ঞতা নিয়ে আসে, যা আগে থেকে ধারণা করা যায় না। এই অনিরূপণীয় পথের বাঁকে লুকিয়ে থাকে হাসি-কান্না, সুখ-দুঃখের মিশ্রণ। প্রকৃতির এই রূপ যেমন অনির্বচনীয়, তেমনই জীবনের অনেক ঘটনাও ব্যাখ্যাতীত। সবকিছু যেন এক অদৃশ্য শক্তির দ্বারা নিয়ন্ত্রিত, যা আমাদের বোধের বাইরে। তাই হয়তো জীবনের এই অনিরূপণীয়তাকে মেনে নিয়েই পথ চলতে হয়, ভবিষ্যতের দিকে তাকিয়ে।
"
অযত্নসিদ্ধ,"শব্দ: অযত্নসিদ্ধ

আমাদের গ্রামের পাশে একটা পুরোনো বটগাছ ছিল। গাছটা ঠিক কবে কিভাবে জন্মেছিল কেউ জানে না। গ্রামের সবচেয়ে প্রবীণ মানুষটিও তার জন্মের আগের থেকে গাছটাকে ওভাবেই দেখে আসছেন। গাছটা যেন অযত্নসিদ্ধ, প্রকৃতির নিজের হাতে গড়া। কেউ তাকে জল দেয় না, সার দেয় না, তবুও সে মাথা উঁচু করে দাঁড়িয়ে আছে কালের সাক্ষী হয়ে। বছরের পর বছর ধরে ঝড়, বৃষ্টি, বন্যা সবকিছু সহ্য করে গাছটি আজও সগর্বে নিজের অস্তিত্ব জানান দেয়। গ্রীষ্মের দুপুরে ক্লান্ত পথিকের আশ্রয় এই বটগাছ, তার শীতল ছায়ায় জুড়িয়ে যায় পথিকের শরীর ও মন। পাখিরা এসে বাসা বাঁধে তার ডালে, কাঠবিড়ালীরা খেলা করে সারা দিন। বটগাছটি যেন গ্রামের মানুষের কাছে এক জীবন্ত কিংবদন্তী। তার শাখা প্রশাখা ডালপালা ভেদ করে আসা সূর্যের আলোয় এক মায়াবী পরিবেশের সৃষ্টি হয়। গ্রামের মানুষের বিশ্বাস, ওই গাছটিতে কোনো এক দেবী বাস করেন, তাই তারা গাছটিকে খুব ভক্তি করে। অযত্ন আর অবহেলায় বেড়ে ওঠা গাছটিই যেন শিখিয়েছে, প্রতিকূল পরিস্থিতিতেও কিভাবে টিকে থাকতে হয়।
"
অপ্রতিভাত,"শব্দ: অপ্রতিভাত

আলো ঝলমলে দিনের শেষে যখন সন্ধ্যা নামে, প্রকৃতি যেন এক অপ্রতিভাত মায়াজালে ঢেকে যায়। চারপাশের পরিচিত দৃশ্যগুলো কেমন যেন আবছা হয়ে আসে, সবকিছু ঠিকঠাক ঠাহর করা যায় না। দূরের গাছপালাগুলো অস্পষ্ট আকার ধারণ করে, মনে হয় যেন কোনো শিল্পী তুলির শেষ আঁচড় দিতে গিয়েও থেমে গেছেন। অপ্রতিভাত এই পরিবেশে কল্পনার জগৎ ডানা মেলে দেয়, যেখানে বাস্তব আর অবাস্তবের মধ্যেকার সীমারেখাটি বড়োই ক্ষীণ। ছোটবেলার শোনা রূপকথার গল্পগুলো এই সময় মনে ভিড় করে আসে, অশরীরী কোনো কিছুর অস্তিত্ব যেন অনুভব করা যায়। যদিও দিনের আলোয় সবকিছু স্পষ্ট এবং স্বাভাবিক থাকে, তবুও সন্ধ্যার এই অপ্রতিভাত রূপ আমার কাছে রহস্যময় এক আকর্ষণ সৃষ্টি করে। হয়তো এই অস্পষ্টতার মধ্যেই লুকিয়ে থাকে নতুন কোনো সম্ভাবনার বীজ, যা দিনের আলোয় কখনোই ধরা দেয় না। অপ্রতিভাত আলো-আঁধারির এই খেলা আমাকে ভাবুক করে তোলে, নিজের ভেতরের লুকানো চিন্তাগুলোকে যেন নতুন করে খুঁজে পাই। এই সময় মনে হয়, জীবনটাও হয়তো এমনই - কিছু জিনিস স্পষ্ট, আবার কিছু অপ্রতিভাত, যা অনুভব করতে হয় হৃদয় দিয়ে।
"
অবশ্যকর্তব্য,"অবশ্যকর্তব্য

আমাদের জীবনে কিছু কাজ অবশ্যকর্তব্য হিসেবে চিহ্নিত। এগুলো সেই কাজ, যা আমাদের নিজেদের এবং সমাজের মঙ্গলের জন্য করা প্রয়োজন। প্রথমত, নিজের পরিবারের প্রতি দায়িত্ব পালন করা আমাদের অবশ্যকর্তব্য। বাবা-মা, ভাই-বোনদের ভালোবাসা দেওয়া, তাঁদের প্রয়োজনে পাশে থাকা একজন ভালো মানুষের পরিচয়। দ্বিতীয়ত, সমাজের প্রতি আমাদের কিছু দায়িত্ব রয়েছে। দরিদ্র ও অসহায় মানুষের দিকে সাহায্যের হাত বাড়িয়ে দেওয়া, পরিবেশ পরিচ্ছন্ন রাখা, এবং সামাজিক উন্নয়নে অংশ নেওয়া আমাদের অবশ্যকর্তব্য। তৃতীয়ত, শিক্ষার্থীদের জন্য পড়াশোনা করা সবচেয়ে গুরুত্বপূর্ণ কাজ। ভালোভাবে পড়াশোনা করে জ্ঞান অর্জন করা এবং সেই জ্ঞানকে দেশের কল্যাণে কাজে লাগানো তাদের অবশ্যকর্তব্য। এছাড়াও, দেশের আইন ও সংবিধান মেনে চলা এবং নিয়মিত কর দেওয়া প্রত্যেক নাগরিকের অবশ্যকর্তব্য। কারণ, একটি সুন্দর ও শান্তিপূর্ণ সমাজ গঠনে এইগুলির গুরুত্ব অপরিহার্য। এই অবশ্যকর্তব্যগুলো পালনের মাধ্যমেই আমরা একটি উন্নত জীবন এবং একটি উন্নত সমাজ তৈরি করতে পারি। পরিশেষে বলা যায়, নিজের বিবেককে জাগ্রত রেখে, সমাজের প্রতি দায়বদ্ধ থেকে এই অবশ্যকর্তব্যগুলো পালন করাই মানবজীবনের সার্থকতা।
"
অর্ধরাত্রি,"অর্ধরাত্রি এক নীরবতার চাদর বিছিয়ে দেয় পৃথিবীর বুকে। শহরের কোলাহল থেমে যায়, জেগে থাকে শুধু কিছু নিশাচর প্রাণী আর তাদের রহস্যময় জগৎ। আমার বারান্দার ইজি চেয়ারটিতে বসে আমি রাতের আকাশ দেখি। তারাগুলো মিটিমিটি জ্বলে, যেন দূর কোনো তারাদের দেশে পথ হারানোর ভয়ে ফিসফিস করে কথা বলছে। অর্ধরাত্রির এই নিস্তব্ধতা যেন এক গভীর সমুদ্র, যার গভীরে ডুব দিলে জীবনের অনেক জটিল প্রশ্নের উত্তর খুঁজে পাওয়া যায়। দূরে একটা পেঁচার ডাক শুনশান নীরবতাকে আরও গাঢ় করে তোলে। পেঁচাটি হয়তো তার শিকারের সন্ধানে উড়ে চলেছে, অথবা হয়তো সেও আমার মতো এই রাতের সৌন্দর্যে মুগ্ধ। আমার মনে পড়ে যায় ফেলে আসা দিনের কথা, কত হাসি-কান্না, কত পাওয়া-না পাওয়ার গল্প। অর্ধরাত্রি যেন স্মৃতির সিন্দুক খুলে বসে, যেখানে জমা থাকে অজস্র পুরোনো দিনের ছবি। এই সময়টাতে নিজেকে খুব একা লাগে, আবার একই সাথে মনে হয় যেন আমি সমগ্র বিশ্বের সাথে একাত্ম হয়ে গেছি। চাঁদের আলো গাছের পাতায় লেগে চিকচিক করে, আর সেই আলোয় আমি যেন এক নতুন জীবনের সন্ধান পাই। অর্ধরাত্রি শুধু একটি সময় নয়, এটি একটি অনুভূতি, একটি উপলব্ধি।
"
