Writer,Title,Song
Ashraf Babu,নেই কোন অভিযোগ,"নেই কোন অভিযোগ

জমে থাকা দুঃখ তিলে তিলে

হয়েছে পাহাড় সমান।।

নেই তবুও অভিমান

হৃদয়ের সুর ফেলে দিয়ে

সাজিয়েছিলাম কাছে টেনে।

সব কিছু ভুলে হারালে তুমি

হলো প্রেমের অবসান।।

বিরহী সুর বুকে বাজে

পারি না তোমায় ভুলে যেতে।

নীরবে দুঃখ *** ফেলে

এই ছিল কী প্রতিদান।।"
Ashraf Babu,ডেঙ্গু মশা,"“কুরবান ভাই কুরবান ভাই সোহাগী আপা চিঠি পাডাইচে”

এই দেখিত কি লিখেছে চিঠিতে !!! ওফ, জানেমান, মেরি জান, চিঠি দিয়েছে ডেটিং করতে। মাঝ রাত, আকাশে জোসনার আলো , তার নিচে ঝোপঝাড়ের মধ্যে প্রেম হবে। মেরি তামান্না…… যাই যাই।

“এ মামু দোয়া রাখিস, সোহাগীর কাসে যাইতাসি, পরে কথা কমু।”

ডেটিং করতে যাচ্ছিলাম…

আন্ধার রাইতে পুকুর পাড়।

চাঁদনী রাতে পেচায় চিল্লায়,

হেইল্লা ধরে কুত্তার পাও।

(ওমা……)

শেষমেষ একটা ঝোপের ভিতর

… করে হাইন্দে যাই।

উকি ঝুকি মাইরা খুঁজি,

সোহাগী তুমি পৌছাও নাই।

ডেঙ্গু মশার কামড় খাইয়া গায়ে উঠে পেইন,

চুলকাইতে চুলকাইতে খুললাম প্যান্ট এর চেইন,

ও কি মহা প্রবলেম…… (ওমাগো)

চুলকাও খাউজাইয়া দাও… কামড়াইসে ডেঙ্গু মশা (আহা)…

পিঠ কাইত করে চুলকাও…কামড়াইসে ডেঙ্গু মশা।

কিল চর থাপ্পড় দেয়… সোহাগীর খালাম্মা আইসা ( ও ও ও )

পিরিত করতে চাইয়া রীতিমত খাইসি ধোঁকা,

রীতিমত হইসি বোকা… রীতিমত খাইসি ধোঁকা।

ওমা কি দজ্জাল বেটি,

গায়ে ঢালে কেরোসিন তেল,

বলল যদি আবার আবি,

মাথা চাইচ্ছা করব বেল।

ডেঙ্গু মশার কামড় খাইয়া গায়ে উঠসে পেইন,

চুলকাইতে চুলকাইতে খুললাম পেন্ট এর চেইন,

ও কি মহা প্রবলেম ( ওমা গো… )

চুলকাও খাউজাইয়া দাও… কামড়াইসে ডেঙ্গু মশা,

পিঠ কাইত করে চুলকাও…কামড়াইসে ডেঙ্গু মশা।

কিল চর থাপ্পড় দেয়…সোহাগীর খালাম্মা আইসা ( আম্মা গো)

পিরিত করতে চাইয়া রীতিমত খাইসি ধোঁকা,

রীতিমত হইসি বোকা… কামড়াইসে ডেঙ্গু মশা।

ডেঙ্গু মশার কামড় খাইয়া গায়ে উঠে পেইন,

চুলকাইতে চুলকাইতে খুললাম পেন্ট এর চেইন,

ও কি মহা প্রবলেম।

চুলকাও খাউজাইয়া দাও… কামড়াইসে ডেঙ্গু মশা,

পিঠ কাইত করে চুলকাও…কামড়াইসে ডেঙ্গু মশা।

কিল চর থাপ্পড় দেয়… সোহাগীর খালাম্মা আইসা।

পিরিত করতে চাইয়া রীতিমত খাইসি বোকা।"
Ashraf Babu,বুঝি কম,"অল দ্যা ছ্যারা ভ্যারা পিপল অফ বাংলাদেশ- বিদেশী সাহায্যার্থে আমরা পুষ্ট, এভাবে চলতে থাকলে… আমাদের হবে কুষ্ঠ আর তাতেই আমরা সন্তুষ্ট।

বড় মামা বড় মামী

খালে দেখো ফারাক্কার পানি

গালে মাখো ফেয়ার এন্ড লাভলী

গরম ভাতে বিদেশী চাটনি

মামীর গায়ে ভারতের শাড়ি

লাগে না ভালো দেশী জামদানি

বুঝি কম বুঝি কম বুঝি কম রে

পারদেশীরা দেশে ঢুকে গেল রে

বুঝি কম বুঝি কম বুঝি কম রে

এদেশের খেয়ে গায় হিন্দি যে।

বাঙ্গালী ভাইজান আরে ওঠো ওঠো

বাঙ্গালী ভাইজান জোরে ল্যাঙট বাঁধ

বাঙ্গালী ভাইজান হাতে পতাকা ধর

বাঙ্গালী ভাইজান ওদের ধোলাই কর

বাঙ্গালী ভাইজান অর্থনীতি ডুবলো

বাঙ্গালী ভাইজান শিল্পনীতি খসলো

বাঙ্গালী ভাইজান ওদের জব্দ কর

বাঙ্গালী ভাইজান ওদের ধর ধর

বুঝি কম বুঝি কম বুঝি কম রে

বাঙ্গালীর কাঙ্গালী স্বভাব যায় না রে

বুঝি কম বুঝি কম বুঝি কম রে

পান্তা ভাতে কি ভাইগ্না বুদ্ধি কমায় রে

লা লা লা লালা লা লালা

দেশী কুত্তা গায় বিদেশী সুরে

মেঝো খালা আর খালু

ফিগার যেন আলু ফালু

বিদেশ থেকে আসে ম্যানু

কি খাবে রোজ মেয়ে বেণু

স্বদেশী পণ্য কিসের জন্য

বিদেশী বাজারে হয় যে ধন্য

বুঝি কম বুঝি কম বুঝি কম রে

পারদেশীরা দেশে ডুকে গেলো রে

বুঝি কম বুঝি কম বুঝি কম রে

এদেশের খেয়ে গায় হিন্দি যে

বাঙ্গালী ভাইজান আরে জাগো জাগো

বাঙ্গালী ভাইজান একি লংকা কাণ্ড

বাঙ্গালী ভাইজান চেপে ধর ধর

বাঙ্গালী ভাইজান টাকা উড়ছে দেখো

বাঙ্গালী ভাইজান বুদ্ধি নাড়োচাড়ো

বাঙ্গালী ভাইজান ভালো শেয়ার ধর

বাঙ্গালী ভাইজান না হলে মামা ধর

বাঙ্গালী ভাইজান মাজা শক্ত কর

বুঝি কম বুঝি কম বুঝি কম রে

বাঙ্গালীর কাঙ্গালী স্বভাব যায় না রে

বুঝি কম বুঝি কম বুঝি কম রে

পান্তা ভাতে কি ভাইগ্না বুদ্ধি কমায় রে

লা লালা লা লালা লা লালা

দেশী কুত্তা গায় বিদেশী সুরে

মেঝো খালা আর খালু

ফিগার যেন আলু ফালু

বিদেশ থেকে আসে ম্যানু

কি খাবে রোজ মেয়ে বেণু

স্বদেশী পণ্য কিসের জন্য

বিদেশী বাজারে হয় যে ধন্য

বড় আপা বড় দুলাভাই

জি সিনেমা দেখে চোখে ঘুম নাই

ক্যাপ্টেন কুক খায় সকালের নাস্তায়

খানা-খাজানা দেখে আপা খাবার বানায়

বাড়ির সবাই হিন্দি বুলি ভাই

বাবা সাইগালের ভাইগ্না রাষ্ট্র সংগীত গায়

বুঝি কম বুঝি কম বুঝি কম রে

পারদেশীরা দেশে ডুকে গেলো রে

বুঝি কম বুঝি কম বুঝি কম রে

এদেশের খেয়ে গায় হিন্দি যে"
Ashraf Babu,গায়ে হলুদ,"এশিয়া, ইউরোপ, আমেরিকা মহাদেশ ছাড়াও পৃথিবীর বহু স্থানে বিয়ের নিয়ম রীতি আছে! সভ্যতার উষালগ্ন থেকে এ রীতি চলে আসছে, এই শুভ পড়িনিটিতে আমাদের পূর্ব পুরুষরা যেমন বিশ্বাসী ছিলেন! আমরাও তেমন বিশ্বাসী… আর তাই বিয়ের একটা প্রধান অঙ্গ গায়ে হলুদ, যা আমাদের এশিয়ার কিছু কিছু দেশে বিদ্যমান আছে! আমাদের এই গায়ে হলুদের কথা আপনারও হতে পারে! এখন গায়ে হলুদের কথা বলছি –

বলি হাই ক্লাস, লো ক্লাস সব জাতি

বাবা ধুমে ধামে করে তাদের বিয়ে শাদী

গায়ে হলুদের দিনে মজা হয় যে বেশি

আবার বৃদ্ধ-বনিতা তার মুখে থাকে হাসি

ও ভাইজান, আনো মিষ্টির হাঁড়ি

ও ভাবীজান, আনো হলদির শাড়ি

ও ভাইজান, কর মেহমানদারী

ও ভাবীজান, কন্যা কি শ্রী দেবী

ও পাড়ার যত বেড়ে ওঠা যুবতীরা

খুশির মাতন্দলায় দোলে সব মতোয়ারা

চলছে খসর খসর শব্দে হলদি মেহেদী বাটা

ফলে পাঁকা ছেলে ছোকরা যে ফিল্লিং মারা

আবার উচ্চ সরে বাজছে গানের ক্যাসেট

শুনে খিলি খিলি খুকি খোকা মজেছে বেশ

রান্না ঘরের রাঁধুনিদের যুদ্ধের নেই যে শেষ

হচ্ছে লুচি পরোটা আর ক্ষীর পায়েস

ও পক্ষের পক্ষ যখন পৌঁছে কন্যার বাড়ি

শুরু হয় হলুদ মাখানোর বৃহৎ সারি

বন্ডের গান বাজনার সাথে চলে নাচানাচি

আর নানী দাদির গালে নাচে পানের খিলি

তখন কন্যার চোখে মুখে সুখের দোলা জাগে

অন্যদিকে বুকটা দুরু দুরু কাঁপে

পুরনো সখীরা যে সান্ত্বনা দেয় হেসে

সোনালী স্বপ্নটা দেখে চোখ ভুজে

আ… আ… আ… গায়ে হলুদ

তার-পরদিন শুরু হয় বিয়ের অনুষ্ঠান

সারা বাড়ি বিশাল উৎসব চলে আয়োজন

আকাশের বুক ছিঁড়ে ওঠে আতসবাজি

নানান আলোয় প্রাণ পায় বিয়ে বাড়ি

শত আনন্দের মাঝে বিয়ে পড়ায় কাজী

সব ছেড়ে যায় কন্যা পরের বাড়ি

মা বাবা ভাই বোন সাথীদের ছেড়ে

স্মৃতিটুকু রেখে যায় চোখের কোণে

হিন্দু মুসলিম বৌদ্ধ খ্রিস্টান সবাই

বিয়ের অনুষ্ঠানে ফুর্তি করে আনন্দ পায়

যে যার রীতিতে অনুষ্ঠান সাজায়

দুটি মন চিরতরে এক যে হয়

সারা পৃথিবীতে এই রীতি চলছে সদায়

দুটি মিলনে শুধু মানুষেই হয়

হাসি কান্না সুখ মিলে এই জীবন

তাই গায়ে হলুদের কথা কর স্বরণ

ও ভাইজান, আবার বিয়ে নাকি

ও ভাবীজান, এক রত্নের বুঝি

ও ভাইজান, খ্যাপা খেপেছে বুঝি

ও ভাবীজান, কন্যা কি আছে রাজি?

পোস্ট ন্যাভিগেশন"
Ashraf Babu,ছাগল,"ও ডার্লিং, হুম….

শত বার বলেছি, শোননি!- শোনেনি

কি প্রবলেম আমার, বোঝোনি! – পাগলামির একটা সীমা আছে

যখনি ভাবি তোমায়, মাথাটা ধরে ভীষণ

হৃদয় সে তোমায় চায়, প্রেম দাও… প্রেম চাই!

যেটুকু ক্ষতি নয়! সবাই দেখলে ক্ষতির সম্ভাবনা আছে

এক দৌড়ে এসো বাহুতে আমার – আছে কি করার

ও শোনো শোনো না চুপিচুপি চুপিচুপি চুপিচুপি বলছি,

কেউ শোনেনা যেন! যেটুকু ভালো ছিলাম হয়েছি পাগল

আমি যে তোমারি ছাগল! হুম….

ও মেয়ের প্রেম তোমার মাথার ঝরাবে সব চুল

ও মেয়ের প্রেম মানে তোমার চড়তে হবে শূল

আমাকে দেখনি, আজ আমি কেন উদাসী

বাইস বছর প্রেম করে হইলাম বৈরাগী

শোনো গাঁধা, বলি ছাড়ো এইসব

নইলে তোমার পেছনে লাগাবো কুকুর

সারা দিনকাল এসে থাকে থাকে রইং লাগে! হুম….

ঘর পালানো সুখ নিয়ে কাটাই যে বিকেল

রীতি মত চলছে, প্রেম না কে দিয়ে প্রেম

ও ডার্লিং, হুম….

কোন সুরে, গাইবো বলো তোমার প্রিয় গান

চুপিচুপি চুপিচুপি চুপিচুপি বলছি-

কেউ শোনেনা যেন! যেটুকু ভালো ছিলাম হয়েছি পাগল

আমি যে তোমারি ছাগল! হুম….

আবার শোনো, আমার ছিল টার্গেট ওই 1956

তাই প্রেমের জালে ধরলাম একখান দামী ইলিশ

শেষ দুঃখটুকু পেলাম যখন বয়স ৩৬

আর তখনি প্রথম প্রেম হয় যে ডিসমিস

ও মেয়ের প্রেম আমার দেহের কমালো ওজন

ও মেয়ের প্রেম হৃদয়ে ধরালো পচন

আর দিবেন না প্লিজ উ-উপদেশ

ও… প্লিজ, চুপিচুপি চুপিচুপি চুপিচুপি বলছি-

কেউ শোনেনা যেন! যেটুকু ভালো ছিলাম হয়েছি পাগল

আমি যে তোমারি ছাগল! হুম…."
Ashraf Babu,আই লাভ ইউ,"Love love lala lovely baby, yeah

don’t break my heart again

ইঁদুর মারার ওষুধ খেয়ে মরবো যে তোমার কারণে

তখন পস্তাবে তুমি….

Love love lala lovely baby, yeah

don’t break my heart again

ইঁদুর মারার ওষুধ খেয়ে মরতে চেয়েছি

সে ওষুধে ভেজাল ছিল আগে বুঝিনি

আসি আসি বলে তুমি দিয়েছ যে ছ্যাঁকা

ভেবেছ আমাকে তুমি তেলাপোকা

অসময়ে প্রেমের আঁচার খেলে যে কোথায়

আমার চেয়ে ভালো আঁচার কে দেবে তোমার

আগডুম বাগডুম ঘোড়া ডুম-ডুম দেখালে

সে ঘোড়ার চাবুক আমার নাকে শোঁগালে

Love love lala lovely baby, yeah

don’t break my heart again

ইঁদুর মারার ওষুধ খেয়ে মরবো যে তোমার কারণে

তখন পস্তাবে তুমি….

ইঁদুর মারার ওষুধ খেয়ে ব্যর্থ হয়েছি

ট্রেনের নিচে কাঁটা পড়ব ঠিক করেছি

কমলাপুরে গিয়ে দেখি শ্রমিক ধর্মঘট

শান্তিতে মরবো ভাবলাম তবু যে বিপদ

সেইজন্যে তো ছুঁইটে গেলাম বুড়িগঙ্গা ব্রিজে

অনেক উঁচু দেখে ভয়ে এলাম পালিয়ে

এখনো কি তুমি আমায় ভালবাসবে না

ভালবাসা ভালবাসা আর খেলবো না

Love love lala lovely baby, yeah

don’t break my heart again

ইঁদুর মারার ওষুধ খেয়ে মরবো যে তোমার কারণে

তখন পস্তাবে তুমি….

এখনো তোমার সনে করি হয় উতাস

বুকের মধ্যে ফটকা ফুটে ফট-ফট-ফটাস

তোমার বিরহে জ্বলে আমার চোখ কান

ভালো যদি নাই বাসো মারবো কামান

-দিবে তোমার লম্বা বেশি উরু উরু মন

ছিল্লে কেটে দেব তোমার আয়োডিন যুক্ত লবণ

আমার মত ভালো ছেলে লাখে একজন

শুভেচ্ছা স্বাগতম দিয়ে দাও মন

Love love lala lovely baby, yeah

don’t break my heart again

ইঁদুর মারার ওষুধ খেয়ে মরবো যে তোমার কারণে

তখন পস্তাবে তুমি…."
Ashraf Babu,এ হৃদয় কাননে,"এ হৃদয় কাননে প্রতিদিন যে ভোরে

কত ফুল ফোটে আর যায় ঝরে

শুধু থাকি বসে, এলো সে মেয়েটি

কুড়াতে ফুলেদের আচলে, নাম জানতে

বললো সে ফুলের নামে ডেকো

শোনো শোনো মেয়ে থাকো না কিছুক্ষণ

ঝরা ফুল দেবো, তার সাথে দেবো মন

অজানায় প্রভাতে ভৈরবীর সুরেতে

ভেঙ্গেছ দুচোখ মন জুড়ে

ফাগুনের হওয়াতে দুলেছি সব ভুলে

তোমার ওই নূপুরের সুখ ছন্দে

তুলেই ঝড় যেও না দিয়ে মরণ

শোনো শোনো মেয়ে থাকো না কিছুক্ষণ

ঝরা ফুল দেবো, তার সাথে দেবো মন

পোস্ট"
Ashraf Babu,সুমন চ্যাটার্জীর তোমাকে চাই,"সুমন চ্যাটার্জীর তোমাকে চাই

নচিকেতার প্রেম নীলাঞ্জনা

অঞ্জন দত্তের বেলা বোস

অত কিছু বলতে পারবো না।।

প্রথম থেকে শেষ পর্যন্ত

বহুবার বলেছি তোমাকে চাই

নীলাঞ্জনার মত ব্যর্থ তোমাকে

ঝুলতে হবে না বারান্দায়।

বেকার নই ডিগ্রীটা আছে

এখন বল তবে সমস্যা কিসে

সুমন চ্যাটার্জীর তোমাকে চাই।

ব্যর্থ প্রেমের তপ্ত কথা

শুনে শুনে অনেক হয়েছি বোর

প্রেমের ইতিহাস দেই পাল্টে

যেখানে দুঃখ আর নো মোর।

প্রেম মানে একা, একা একা থাকা

হোক না প্রেম মানে ঘন ঘন দেখা।।"
Ashraf Babu,এ যে সারাদিন,"এ যে সারাদিন শুধু কাটিয়ে দিলাম

তবুও তোমার দেখা পাব ভেবেছিলাম।

সেই সকাল সকাল উঠে ঘুম ঘুম চোখে

কোনরকম হাতে হাত মুখ ধুলাম

ঘরের কারো কথা কানে না তুলে

কিছু না খেয়ে হুট করে বেরুলাম

বেরিয়েই দেখি কোন বেবি রিক্সা নেই

তাই কিছুক্ষণ দুটো পা চালালাম

দৈবক্রমে এক রিক্সা পেলাম

আর তাই নিয়ে ঝড়ের বেগে ছুটলাম

সব কিছু বোধয় বুঝি গেলো বিফলে

রমনায় দেখি তুমি নাই আমি এসে।।

ঠিক ঘড়ির কাটা যখন ছুলো দশটায়

সেই তখন থেকের আমি আছি রমনায়

গেলো বারে আমি দেরী করেছিলাম

তাই তোমার মেজাজ ছিল ভেরী ভেরী হাই

ফোনে আমায় কত না কত ভাবে শাসালে

যেন দশটার মাঝে আমি পৌঁছে যাই

তাই আজ এসেছি আমি সময় মত

তুমি এসেই শুধু পৌঁছালেই হয়

এ যে ভীষণ জ্বালা রোদে দাঁড়িয়ে থাকা

যেনো চুলার উপর শিক কাবাব হওয়া।।

হেঁটে যায় প্রেমিকা প্রেমিক আর কপোত কপোতী

আসবে মজে আছে প্রেমালাপে মুখোমুখী

দেখে হিংসায় মেজাজটা তিরিক্ষি হয়

তখনও তোমার কোনো পাত্তা নেই

কোথায় কোথায় ছিল তোমার জাজমেন্ট

তবে কেন গত রাতে করলে ফোনে আর্গুমেন্ট

তোমাকে না পেয়ে বাযু চড়েছে মাথায়

আগুন জ্বলেছে পেটে ক্ষুধার ভীষণ জ্বালায়

ডাকি চা’ওয়ালা, এক চুমুক দিতেই কাপে-

গরমে গরমে মুখ গেলো পুড়ে

কপাল খারাপ হলে বুঝি এমনি ঘটে

পাশে দাঁড়িয়ে থাকা টোকাই হেসে ওঠে

শুরু করি কিছুক্ষণ পায়চারী

দেখি রমনায় প্রেমিকাদের বাড়াবাড়ি।।

আহ! যদি বুঝতে তুমি আমার প্রবলেম

তবে তীর্থের কাক সেজে বসে থাকতে

আমি বুঝেছি বুঝেছি তোমার সব ফাঁকি

আমায় চটিয়ে কত মজা করবে তুমি

জানি চাইবে চাইবে ক্ষমা টেলিফোনে

তোমায় করবো ক্ষমা চিরতরে কাছে পেলে

তাই আজ চলি ভাঙ্গা মনে বাড়ির পথে

যেতে দু টাকার চিনা বাদাম খেতে খেতে।।"
Ashraf Babu,স্বপ্নে আকা ছবি,"স্বপ্নে আকা ছবি

বহে নিরবধি নিলীমায়

মন বলেছে সে দোলা দিয়ে যায়

আমার হৃদয় যেনো তোমাকে যে চায়

যেওনা তুমি অজানায়

দৃষ্টির সীমানাতে এসেছো যে তুমি

তাই খুজে পেয়েছি তোমায়

জোছনার আলো বুকে রেখেছো যে ধরে

তাই বুঝি চাদ হেরে যায় (২)

আমিও হেরে যাবো তুমি না এলে

যেওনা তুমি অজানায়

অন্তবিহীন পথ শুধু হেটে চলা

মিশে আছে নীরবতায়

জমে আছে হৃদয়ের ও না বলা কথা

বল বো ডেকে যে তোমায় (২)

সেই তুমি এসে কাছে দুরে চলে যাও

যেওনা তুমি অজানায়"
