Writer,Title,Song
Asif Iqbal,এই দূর পরবাসে,"এই দূর পরবাসে তারাগুনি আকাশে আকাশে

কাটে নিঃসঙ্গ রাত্রিগুলো।।

মাঝে মাঝে স্বপ্নের বেশে স্মৃতিরা এসে

আমাকে করে যায় বড় বেশী এলোমেলো।।

মনে পড়ে যায় বন্ধুদের আড্ডা মুখর প্রহর

তমুল উল্লাসে ভরা প্রিয় শহর।।

সেখানে হয়ত সবাই ব্যস্ত মেলে না সময়

তবু সেখানেই ফিরে যেতে চায় ফেরারী হৃদয়

এই একাকী জীবন ভাল লাগে না আমার

বিষন্ন দিনের শেষে বিষন্ন রাতের শেষে।।

মনে পড়ে যায় কখনো পুরনো তোমাকে

প্রতিটি কষ্টমাখা দিনের ফাঁকে।

হয়ত বদলে গেছ,হয়ে গেছ অচেনা তুমি

তবু তোমাকেই ফিরে পেতে চায় দূরের আমি।।"
Asif Iqbal,সুনীল বরুনা,"তুমি বরুনা হলে আমি সুনীল

তুমি আকাশ হলে হব শঙ্খ চিল

তুমি নদী হলে হব আমি জল

তুমি শ্রাবণ হলে হব শ্রাবণ ঢল

তুমি পাহাড় হলে হব আমি সবুজ

তুমি শাষণ করলে হব আমি অবুঝ

তুমি অরণ্য হও হব পাখি

তুমি অশ্রু হও হয়ে যাব আঁখি

তুমি বরুনা হলে আমি সুনীল

তুমি আকাশ হলে হব শঙ্খ চিল

তুমি নদী হলে হব আমি জল

তুমি শ্রাবণ হলে হব শ্রাবণ ঢল

তুমি জীবন হলে হয়ে যাব আমি প্রেম

তুমি নকশী কাঁথা হলে হব কারু হেম

নানা না না না নানা না না নানা নানা

তুমি রাত্রি হলে হব নিরবতা

তুমি দুঃখ পেলে হব তার ব্যাথা

তুমি প্রকৃতি হও হব তার ছবি

তুমি কবিতা হলে হব তার কবি"
Asif Iqbal,তুমি জান,"থেকে থেকে ভাবি

তুমি ময় এই জীবন

সুখে সুখে হলো

আহা কি অনুপম

আবেগে শোন বলি

সাজালে স্বপ্ন গুলি

আমি যে মগ্ন

তুমি যে স্বপ্ন আমার

তুমি জান আমার জান

সুখে দুঃখে আমার প্রাণ

তুমি জান আমার জান

বাজে বুকেতে তোমারই গান

তুমি জান আমার জান

কি যে সাধ জাগে আমার

তুমি জান আমার জান

থেকো চিরদিন কাছে আমার…।

মাঝেমাঝে তুমি

কি ছোঁয়া দাও আমায়

বুকে যেন এক নদী সুখ বয়ে যায়

তুমি ছাড়া আমি

আমি ছাড়া তুমি

হতে কি পারে

কভুও জীবনে আমার

তুমি জান আমার জান

সুখে দুঃখে আমার প্রাণ

তুমি জান আমার জান

বুকেতে বাজে তোমারই গান

তুমি জান আমার জান

কি যে সাধ জাগে আমার

তুমি জান আমার জান

থেকো চিরদিন কাছে আমার…।"
Asif Iqbal,রংবাজ,"রাঘব বোয়ালের কর্মী

সাধ্য কি তুমি আমি বুঝি ওদের সব অ্যাকশন

মধ্যবিত্ত চোখে উঠতি রংবাজ

ওরা বখে যাওয়া রংবাজ…

ওরা বখে যাওয়া উঠতি রংবাজ…

সময়ের অস্থিরতায় স্রোতের শেওলায় ওরা ভেসে যায় কারনে অকারনে হাত রাঙ্গায়

উঠতি রংবাজ

ওরা বখে যাওয়া রংবাজ…

ওরা বখে যাওয়া উঠতি রংবাজ…

যেখানে যেভাবে যায় ঝঞ্জাময় চেতনায় বিপদে পা বাড়ায় কারনে অকারনে পরে রণসাজ

ওরা বখে যাওয়া রংবাজ…

ওরা বখে যাওয়া উঠতি রংবাজ…

সময় পেড়িয়ে যায় ওরা অসহায়

এই আঁধার পথে হারায়

মধ্যবিত্ত চোখে উঠতি রংবাজ

ওরা বখে যাওয়া রংবাজ…

ওরা বখে যাওয়া উঠতি রংবাজ…

দোয়েলের শিষে স্বপ্ন ভালবাসা নিয়ে ওরা দেখে স্বপ্ন আসে কাঁচে ভর দিয়ে উঠতি রংবাজ

ওরা বখে যাওয়া রংবাজ…

ওরা বখে যাওয়া উঠতি রংবাজ…

যখন ফেরার পালা আশা নিরাশার খেলা হয়নাতো শেষ যে

ফেরার পথ নেই উঠতি রংবাজ

ওরা বখে যাওয়া রংবাজ…

ওরা বখে যাওয়া উঠতি রংবাজ…

পোস্ট ন্যাভিগেশন"
Asif Iqbal,রিক্সাওয়ালা,"সারা গা ভেজা নোনা ঘামে তবু পথচলা নাহি থামে

তিনটি চাকা লেখা ঠিকানা

পিচঢালা পথ বড় চেনা

শুধু বিশ্রাম মেলেনা রিক্সাওয়ালা

চাকা না চললে কাটবে উপোষ বেলা

রিক্সাওয়ালা

চাকা না চললে কাটবে উপোষ বেলা

রিক্সাওয়ালা

আন্দোলন, বন্ধ, হরতাল

দেশ নিয়ে ওরা উত্তাল

সেই স্রোতে খুলে যায় কত নেতার কপাল

রিক্সাওয়ালার পোড়া ওই কপাল বদলায় না

শুধু বিশ্রাম মেলেনা রিক্সাওয়ালা

চাকা না চললে কাটবে উপোষ বেলা

রিক্সাওয়ালা

চাকা না চললে কাটবে উপোষ বেলা

রিক্সাওয়ালা

ককটেল বোমাবাজি

ভোট নিয়ে কারসাজি

অনিয়মে ডুবে গেছে এই দেশটা আজি

অনিয়মে পথচলা তার থামে না

শুধু বিশ্রাম মেলেনা রিক্সাওয়ালা

চাকা না চললে কাটবে উপোষ বেলা

রিক্সাওয়ালা

চাকা না চললে কাটবে উপোষ বেলা

রিক্সাওয়ালা

সারা গা ভেজা নোনা ঘামে তবু পথচলা নাহি থামে

তিনটি চাকা লেখা ঠিকানা

পিচঢালা পথ বড় চেনা

শুধু বিশ্রাম মেলেনা রিক্সাওয়ালা

চাকা না চললে কাটবে উপোষ বেলা

রিক্সাওয়ালা

চাকা না চললে কাটবে উপোষ বেলা

রিক্সাওয়ালা

পোস্ট ন্যাভিগেশন"
Asif Iqbal,পলাতক,"পলাতক চাঁদ এই রাতে

ফেলেছে আলো দেবদারু বীথিতে

তুমি এসেছো বলে ভালবাসার

গান শোনাতে

পলাতক চাঁদ এই রাতে

ফেলেছে আলো দেবদারু বীথিতে

তুমি এসেছো বলে ভালবাসার

গান শোনাতে

রূপালী জল পায়রা নদীকে সাজালো

আকাশের ভালবাসা তুমি এসেছো জীবন সাজাতে

এই মগ্ন স্বপ্ন ছায়ায় মন রাঙাতে

মায়াবী নীল প্রহর কেটেযে গেল সুখেরই গানে গানে

নির্ঘুম দুচোখে দেখবো প্রভাত আজ বহুদিন পরে দুজনে মন রাঙাতে

পলাতক চাঁদ এই রাতে

ফেলেছে আলো দেবদারু বীথিতে

তুমি এসেছো বলে ভালবাসার

গান শোনাতে

পলাতক চাঁদ এই রাতে

ফেলেছে আলো দেবদারু বীথিতে

তুমি এসেছো বলে ভালবাসার

গান শোনাতে"
Asif Iqbal,ঘুম হয়ে,"ঘুম হয়ে আজ থাকতে যদি সাথে

খুব মন খারাপের কালো কোনো রাতে॥

আমার স্বপ্ন জুড়ে ভাসতো ঠিকই

হাজার তারার সারি

বলতে তুমি তোমায় ছাড়া

বাঁচতে কি আর পারি..

ঘুম হয়ে আজ থাকতে যদি সাথে

খুব মন খারাপের কালো কোনো রাতে

কেন ঘুম হতে আর যাবো

কেন তুমি এমন ভাবো

ঘুম হলে কি তোমায় আমি সত্যি ছুঁতে পাবো

কেন ঘুম হতে আর যাবো?

ধরো হঠাৎ যদি এসে পড়ি তোমার ঘরে আমি

বলি চলো শুধু দুজনে মিলে

চাঁদের নীলে পথে নামি

তুমি যাবে?

যাবে আমার সাথে?"
Asif Iqbal,কিছু কিছু কথা,"কিছু কিছু কথা আছে

যা কখনো বলা যায় না

কিছু কিছু ক্ষত আছে

যা কখনো মোছা যায় না

এমন কিছু চাওয়া আছে খোজেনা কেউ

পাওয়ার মাঝে নিহিত থাকেই

এমন কিছু নীরবতা বোঝেনা কেউ

সে তো আসে কোলাহল থাম্ লেই

জীবন্ টাই কেটে যায় না পাওয়ায়

সুখ দুঃখের আশা আর নিরাশায়

জীবন অরণ্যে প্রতিদিন রাতে

স্বপ্নটাই চুর্ণ হয় যাতনায়"
Asif Iqbal,ঐ আকাশের তাঁরায় তাঁরায়,"ওই আকাশের তাঁরায় তাঁরায়, চাঁদের জোছনায়

ঝিরি ঝিরি কাঁপন করা উদাসী হাওয়ায়

আমার হৃদয় জুড়ে আছো, স্মৃতির পাতায় পাতায়

স্মৃতির বুকে অশ্রু ঝরে, হৃদয় ভেসে যায়

আমি খুঁজেছি তোমায় মাগো, আমি খুঁজেছি তোমায়…

কত স্বপ্ন ছিল বুকের ভেতর, তোমায় নিয়ে মাগো

সেই স্বপ্নগুলো থমকে আছে, তুমি এসে দেখো।

তোমার ছেলে কাটছে সময় এমন অসহায়

আমি খুঁজেছি তোমায় মাগো, আমি খুঁজেছি তোমায়…

আজ ইচ্ছে করে তোমার কোলে একটু মাথা রাখি

এই হৃদয় খানি উজাড় করে মা বলে ডাকি।

কেমন করে নীরব থাকো, কোন সে মমতায়

আমি খুঁজেছি তোমায় মাগো, আমি খুঁজেছি তোমায়…"
Asif Iqbal,তুমি এলে পায়ে পায়ে,"তুমি এলে পায়ে পায়ে

জোছনা ছুঁয়ে যায়

ফুলে ফুলে ভরা কাঁশবন

নদী যে বয়ে যায়

নীল সুরে কয়ে যায়

ভালবাসা ভালবাসা অনুপম

স্বপ্ন ভাসলে কিছু কথা বললে

বুকে দারুণ ওঠে ঝড়

হাওয়ায় এসে যেন ভালবেসে

সাজিয়ে নিয়েছ প্রহর

এ যেন কিসের বন্যাধারা

মনটা হারিয়ে যেতে চায়

প্রিয় সুর তুলে দুটি চোখ বুঝলে

তুমি মন জুড়ে থাকো

জোনাকিরা জ্বলে নিভে যায় যখন

তখনও তুমি থাকো

এ যেন কিসের বন্যাধারা

মনটা হারিয়ে যেতে চায়"
