Writer,Title,Song
Deholovi,তবে বন্ধু নৌকা ভেড়াও,"তোমাদের মাঝে কি কেউ আছে বন্ধু আমার?

তোমাদের মাঝে কি কেউ আছে পথ ভোলা?

তবে বন্ধু নৌকা ভেড়াও মুছিয়ে দেবো দুঃখ সবার।

তবে বন্ধু নৌকা ভেড়াও মুছিয়ে দেবো দুঃখ জ্বালা।

তোমাদের মাঝে কি কেউ আছে বন্ধু আমার?

তোমাদের মাঝে কি কেউ আছে পথ ভোলা?

তবে বন্ধু নৌকা ভেড়াও মুছিয়ে দেবো দুঃখ সবার।

তবে বন্ধু নৌকা ভেড়াও মুছিয়ে দেবো দুঃখ জ্বালা।

ওরে কে আছে মুক্ত জীবন নিয়ে ছন্নছাড়া-

আপনাকে ভালোবেসে আপনদেশে ঠিকানাহারা?

তবে বন্ধু নৌকা ভেড়াও মুছিয়ে দেবো দুঃখ সবার।

তবে বন্ধু নৌকা ভেড়াও শুনাবো গান আজ সারারাত।

যদি বুঝতে না চাও এই বুকের ভেতর কতো যন্ত্রণা

যদি দেখতে না চাও এই ছলনার ভীড়ে হারানো প্রেম

তবে বন্ধু নৌকা ভেড়াও মুছিয়ে দেবো দুঃখ।সবার।

তবে বন্ধু নৌকা ভেড়াও শুনাবো গান আজ সারারাত।

প্রিয়তমা হারা কেউ কি আছো?

মা-হারা বাবা-হারা সন্তান-হারা কেউ কি আছো?

তবে বন্ধু নৌকা ভেড়াও মুছিয়ে দেবো দুঃখ সবার।

তবে বন্ধু নৌকা ভেড়াও শুনাবো গান আজ সারারাত।

ঠিকানাবিহীন ঠিকানার খোঁজে-

যদি পেতে চাও ভালোবাসা এসো আমার কাছে

তবে বন্ধু নৌকা ভেড়াও মুছিয়ে দেবো দুঃখ সবার।

তবে বন্ধু নৌকা ভেড়াও শুনাবো গান আজ সারারাত

তোমাদের মাঝে কি কেউ আছে বন্ধু আমার?

তোমাদের মাঝে কি কেউ আছে পথ ভোলা?

তবে বন্ধু নৌকা ভেড়াও মুছিয়ে দেবো দুঃখ সবার।

তবে বন্ধু নৌকা ভেড়াও শুনাবো গান আজ সারারাত।"
Deholovi,সুস্মিতার সবুজ ওড়না,"সুস্মিতার সবুজ ওড়না উড়ে যায়।।

উড়ে যায়।।

ছুঁয়ে যায় নিঝুম মফস্বলের সবুজ মাঠ,

ছুঁয়ে যায় দুখিনী মায়ের দুখিনী ললাট,

দূর আধারে দূর জঙ্গলে,

ঐ পাহারে, ঐ সাগরে

ছুঁয়ে ছুঁয়ে চলে যায়…

বাধাহীন উড়ে যায়,

নীল আকাশ ছুঁয়ে যায়,

রাতদিন উড়ে যায়,

কাজল দিঘি ছুঁয়ে যায়,

ছুঁয়ে যায় যমুনার বুকের মলাট,

ছুঁয়ে যায় আকাশের নীল সীমানা।

পথে পথে উড়ে যায়,

সাওতাল ছুয়ে যায়,

ছোট নদী বটগাছ,

সমতট ছুয়ে যায়,

ছুঁয়ে যায় পথিকের পায়ে হাটা পথ,

ছুঁয়ে যায় আমার বুকের জমাট।

সুস্মিতার সবুজ ওড়না উড়ে যায়।।

উড়ে যায়।।

ছুঁয়ে যায় নিঝুম মফস্বলের সবুজ মাঠ,

ছুঁয়ে যায় দুখিনী মায়ের দুখিনী ললাট,

দূর আধারে দূর জঙ্গলে,

ঐ পাহারে, ঐ সাগরে

উড়ে উড়ে চলে।।।।"
Deholovi,বালুচর,"পদ্মার বুকে দেখো ঝিকিমিকি করে ওঠে… ঝিকিমিকি করে ওঠে বালুচর

দেখো বুকের ভিতর চিতা হুংকার দিয়ে ওঠে… হুংকার দিয়ে ওঠে যদি আমার

বলে, আজগর মাতবর কতবার ছেড়েছি ছাড়বোনা এবার

বাংলার লাঠিয়াল!!!

পদ্মার বুকে দেখো ঝিকিমিকি করে ওঠে… ঝিকিমিকি করে ওঠে বালুচর

দেখো বুকের ভিতর চিতা হুংকার দিয়ে ওঠে… হুংকার দিয়ে ওঠে যদি আমার

বলে, আজগর মাতবর কতবার ছেড়েছি ছাড়বোনা এবার

বাংলার লাঠিয়াল!!!

দেখো দখলের লড়াইয়ে জড়ো হয় কারবালা…জড়ো হয় কারবালা প্রান্তর

লুঙ্গী মার কাছা, কোমরে গামছা প্যাচা

হাতে লাঠি ছোটাছুটি, লাঠি লাঠি টোকাটুকি

আজগর মাতবর কতবার ছেড়েছি ছাড়বোনা এবার

বাংলার লাঠিয়াল!!!

হাঁকে দুই দল, “খবরদার এক পা এগুবিনা আর!”

ওদের চোখে খুন, রক্তে ফ্লুটাস কালো, চিৎকার বিকট ভায়াল।

আজগর মাতবর কতবার ছেড়েছি ছাড়বোনা এবার

বাংলার লাঠিয়াল!!!

চৌদ পুরুষের পেশায় ওরা যোদ্ধা পুরুষ

ওরা কৃতদাস, ওরা জোদ্দারের কৃতদাস

ওরা কৃতদাস, ওরা জোদ্দারের কৃতদাস

বাংলার লাঠিয়াল!!!

বাংলার লাঠিয়াল!!!

বাংলার লাঠিয়াল!!!"
Deholovi,যে পথে পথিক নেই,"যে পথে পথিক নেই

বসে আছি সেই পথে

একা আমি একলা রাতে

শত শতাব্দী ধরে

চুপচাপ নিশ্চুপ চারিধার

বসে আছি এই আমি

একগ্লাস জোছনা আর

একগ্লাস অন্ধকার হাতে।।

অর্ধেক পুর্ণিমা রাতে, মেঘের আড়ালে

আকাশের লুকোচুরি খেলা, নির্ঘূম রাত শেষে

চাঁদের হাসি হয়, সূর্যের আশীর্বাদে

ক্লান্ত প্রভাতে, সূর্যের আশীর্বাদে।।

রাত জাগা অজস্র তাঁরা বানায় আলোর সেতু

নিরব রাতে নিরবতা ভাঙ্গে

উড়ন্ত ধূমকেতু ছায়াপথ ধরে

আমি হেঁটে যাই, অসীম আমি

ঈশ্বরের মত ভবঘুরে স্বপ্নগুলো

রাতের অরণ্যে ভোজসভায় উৎসবে মাতে

একা আমি একলা রাতে শত শতাব্দি ধরে

চুপচাপ নিশ্চুপ চারিধার বসে আছি এই আমি

একগ্লাস জোছনা আর একগ্লাস অন্ধকার হাতে।।

পথ ধরে আমি হেঁটে যাই অসীম আমি

ঈশ্বরের মত ভবঘুরে স্বপ্নগুলো

রাতের অরণ্যে ভোজসভায় উৎসবে মাতে

একা আমি একলা রাতে

চুপচাপ নিশ্চুপ চারিধার বসে আছি এই আমি

একগ্লাস জোছনা আর একগ্লাস অন্ধকার হাতে।।"
Deholovi,বেদুঈন,"বেদুঈন আমি এক

মরুপথের যাত্রী

আলেয়ার পিছে ডাক

মরিচিকায় ফিরে তাকায়

ক্যাকটাসের কান্না শুনে

কেটে যায় রাত্রি আমার..।

বেদুঈন আমি এক

মরুপথের যাত্রী

আলোর সঙ্গমে

ক্লান্ত বিকেলে

মেঘহীন আকাশে

জলন্ত সূর্যের

আলোর সঙ্গমে

ক্লান্ত বিকেলে

মেঘহীন আকাশে

জলন্ত সূর্যের দীর্ঘ চুম্বনে…

বালুতে চিত্রানো গানে

মিষ্টি লু হাওয়া বয়

যেন একমুঠো শান্তি..।

রাত জাগা একাকি চাঁদ

মনি মনসায় দেয় টিপ

রাত জাগা একাকি চাঁদ

মনি মনসায় দেয় টিপ

আমার কপালে দেয়নি

দেয়নি সে কোন টিপ

মায়ের ব্যর্থ আর্শিবাদ

তাই তপ্ত বালুর লুকানো আবেগে

নিজেকে জড়াই আমি

অসীম শূন্যতায় মেলে

ভালবাসার শেষ প্রাপ্তি…।

বেদুঈন আমি এক

মরুপথের যাত্রী

আলেয়ার পিছে ডাক

মরিচিকায় ফিরে তাকায়

ক্যাকটাসের কান্না শুনে

কেটে যায় রাত্রি আমার..।

বেদুঈন আমি এক

মরুপথের যাত্রী"
Deholovi,হারাগাছের নুরজাহান,"আঁকাবাঁকা মেঠো পথ ধরে

হেলে দুলে যায় কলসি কাখে

পলি জমা তার পাললিক মন

টোলপড়া গাল ভিরু দুনয়ন

হারাগাছের নুরজাহান গাঙের জলে করে সেনান

আঁকাবাঁকা মেঠো পথ ধরে

হেলে দুলে যায় কলসি কাখে

পলি জমা তার পাললিক মন

টোলপড়া গাল ভিরু দুনয়ন

হারাগাছের নুরজাহান গাঙের জলে করে সেনান

রাখালি বাসির সুরে উদাসী দুপুরে

মায়ের দুলালী মেয়ে নকশী কাথায় বোনে

বুনে চলে…

প্রেমের কাব্য লেখে সূচ সুতায়

রোজ রাতে বধূ সাঝে রাখালি বাসির সুরে

বাসির সুরে…

হারাগাছের নুরজাহান…

এলোকেশে সারাগাঁও ছোটাছুটি করে

দুনিয়া দেখে রুপ নয়ন ভরে

নয়ন ভরে…

লজ্জার আড়ালে সে শরির লুকায়

আঁচলের যৌবন উঠানে শুঁকায়

উঠানে শুঁকায়…

আঁকাবাঁকা মেঠো পথ ধরে

হেলে দুলে যায় কলসি কাখে

পলি জমা তার পাললিক মন

টোলপড়া গাল ভিরু দুনয়ন

হারাগাছের নুরজাহান গাঙের জলে করে সেনান

হারাগাছের নুরজাহান গাঙের জলে করে সেনান

হারাগাছের নুরজাহান গাঙের জলে করে সেনান…

হারাগাছের নুরজাহান…

হারাগাছের নুরজাহান গাঙের জলে করে সেনান"
Deholovi,হোমায়রার নিঃশ্বাস,"বহুদিন ধরে আমি

খুঁজছি যারে

লালন মনটারে

পালন করে

দেখা হলো তার সাথে

সব দিতে চাইলাম

উজার করে…..

হোমায়রার ণিঃশ্বাস চুরি হয়ে গেছে…

একা একা কাঁদবে নিরবে নিরবে

ওড়াবে ব্যথার ঘুরি অন্য আকাশে…..

ণিঃশ্বাসের নীল ইচ্ছে গুলো কাঁদে অভিমানে…

হোমায়রার ণিঃশ্বাস চুরি হয়ে গেছে….

বিশ্বাসের আদালতে আপীল করে

পথ ভোলা মনটা ছিলো দূরে দূরে…

আদালত এতদিনে রায় জানিয়েছে

দেউলিয়া আমি…..

হোমায়রার ণিঃশ্বাস চুরি হয়ে গেছে….."
Deholovi,যাত্রা,"হৈ হৈ কান্ড রৈ রৈ ব্যাপার

নাচে গানে মত মাতবে সবার

চারিদিকে দর্শক করে থৈ থৈ

নাচ দেখে গান শোনে করে হৈ চৈ

রাত ভোর ওঠে রোল বাহারে বাহারে বা

অপূর্ব রওশন অপেরার যাত্রা

নাচ গানে ভরপুর যাত্রাপালা

বেদের মেয়ে জোছনা

বেদের মেয়ে জোছনা

রাত ভারী হতে থাকে যত

ঝুমুর ঝুমুর নাচ বাড়বে তত

নায়িকার ক্রন্দন হাসি তামাশা

ভিলেনের ভয়াল চিৎকার

আজকের পালা হবে দেখে যা দেখে যা

বেদের মেয়ে জোছনা

বেদের মেয়ে জোছনা

কদমতলীর খোলামাঠে

যাত্রা প্যান্ডেল ঐ দেখা যায়

একঝাঁক ডানা কাটা পরীর সাথে

হাজার দর্শক মেতে ওঠে

চিৎকার করে বলে হুররে হুররে

বেদের মেয়ে জোছনা

বেদের মেয়ে জোছনা

হৈ হৈ কান্ড রৈ রৈ ব্যাপার

নাচে গানে মত মাতবে সবার

চারিদিকে দর্শক করে থৈ থৈ

নাচ দেখে গান শোনে করে হৈ চৈ

রাত ভোর ওঠে রোল বাহারে বাহারে বা

অপূর্ব রওশন অপেরার যাত্রা

বেদের মেয়ে জোছনা

বেদের মেয়ে জোছনা"
Deholovi,নাগ নাগিনীর খেলা,"নাগ নাগীনির খেলা, সর্পরাজের খেলা

বিষধর তোলে ফনা, ছোবলে বিষের জ্বালা

বসেছে সাপের মেলা, বীণেতে সাপের খেলা

বেদের বহর দেখো, জিপসি জীবনটা

দেখে যা.. দেখে যা.. বসেছে সাপের খেলা

দেখে যা.. দেখে যা.. বীণেতে সুরের খেলা

বেদেনীর হাতে বীণ মধুর সুরে বাজে

ঘুরিয়া ঘুরিয়া নাচে, হেলিয়া দুলিয়া নাচে

বেদেনীর মাতাল নাচন

বুকের সাপটা নাচে বাসির সুরে

গোখরা কালনাগিনী হাসে

দেখে যা.. দেখে যা.. বসেছে সাপের খেলা

দেখে যা.. দেখে যা.. বীণেতে সুরের খেলা

ওরা বেচে বেড়ায় চুড়ি ফিতা হাটে-বাজারে, গ্রামে-গঞ্জে

ওরা ভাসমান জীবনে জীবিকার তাড়নে

হে হে.. ঝুড়ি ভরা সাপে ছোটাছুটি করে

সাপুড়ে সর্দার আছে সাথে

দেখে যা দেখে যা ওদের জীবনের সাথে জুয়া খেলা

দেখে যা.. দেখে যা.. বসেছে সাপের খেলা

দেখে যা.. দেখে যা.. বীণেতে সুরের খেলা

নাগ নাগীনির খেলা, সর্পরাজের খেলা

বিষধর তোলে ফনা, ছোবলে বিষের জ্বালা

বসেছে সাপের মেলা, বীণেতে সাপের খেলা

বেদের বহর দেখো, জিপসি জীবনটা

দেখে যা.. দেখে যা.. বসেছে সাপের খেলা

দেখে যা.. দেখে যা.. বীণেতে সুরের খেলা"
Deholovi,নবজীবনের কথা বলছি,"অসম্ভবের যুগে জন্ম নিয়ে-

সম্ভাবণার কথা বলছি,

মৃত্যুর নগ্ন নৃত্যের তালে-

নবজীবনের কথা বলছি

গল্পে গল্পে কতরাত কাটিয়েছি

রাত জাগা কষ্টের সাথে শুধু বেঁচে আছি- বেঁচে আছি…

স্বপ্ন স্বপ্ন বুকে নিয়ে শুধু বেঁচে আছি

নবজীবনের কথা বলছি

শতাব্দীর মোড়ে মোড়ে বটবৃক্ষের মত যারা দাড়িয়ে আছে বহুকাল ধরে

তাদের-ই ডাকে চলছি একা

ভেঙ্গে ফেলে যাব এই কাঁচেরই দেয়াল

রাত জাগা কষ্টের সাথে বেঁচে আছি

স্বপ্ন বুকে নিয়ে শুধু বেঁচে আছি নবজীবনের কথা বলছি

ব্যস্ত রাজপথে যারা মুষ্ঠিবদ্ধ হাতে

যারা চেয়েছিল সোনালী সকাল তাদেরই গান আজ গাইব আমি… গাইব আমি…

রাতজাগা কষ্টের সাথে শুধু বেঁচে আছি

রাতজাগা কষ্টের সাথে শুধু বেঁচে আছি

স্বপ্ন বুকে নিয়ে শুধু বেঁচে আছি… নবজীবনের কথা বলছি…

অসম্ভবের যুগে জন্ম নিয়ে-

সম্ভাবণার কথা বলছি,

মৃত্যুর নগ্ন নৃত্যের তালে-

নবজীবনের কথা বলছি

নবজীবনের কথা বলছি…"
