Writer,Title,Song
Feroj Shai,এক সেকেন্ডর নাই ভরসা,"এক সেকেন্ডর নাই ভরসা

বন্ধ হইবে রঙ তামাশা

চক্ষু মুদিলে –

হায়রে দম ফুরাইলে।।

রঙিন রঙিন দালান কোটা

দামী দামী গাড়ি

জমি জমা ধন লইয়া কর কারাকারি।

সাড়ে তিন হাত জায়গাও হয় না

মাটির মন্জিলে।

সাদা কালো কত রঙের কত রকম মানুষ

এই দুনিয়ার জলসাঘরে

হইয়া থাকে বেহুস।।

গানা বাজনা শেষ হইবো- নেশা ফুরাইলে।"
Feroj Shai,ইঞ্জিন যদি চইলা যায়,"ইঞ্জিন যদি চইলা যায় ডাব্বা লইয়া কি হইবো।

মাটির জিনিস মাটির মাঝেই মাটি হইয়া যাইবো

মাটির জিনিস মাটির মাঝেই মাটি হইয়া যাইবো।।

হাওয়ার মাঝে বসতবাড়ি হাওয়ায় করি হুরাহুরি।

এই হাওয়া থাইম্যা গেলে হুইসাল বাজাইবো। (আরে)

মাটির জিনিস মাটির মাঝেই মাটি হইয়া যাইবো

মাটির জিনিস মাটির মাঝেই মাটি হইয়া যাইবো।।

কিসের এত বাহাদুরি আপনা লাইয়া হুরাহুরি।

ঐ পাড়ে পাপ পূণ্যের হদিস বসাইবো। (আরে)

মাটির জিনিস মাটির মাঝেই মাটি হইয়া যাইবো

মাটির জিনিস মাটির মাঝেই মাটি হইয়া যাইবো।।"
Feroj Shai,গন্ডগোলে পইড়া গেলে,"গন্ডগোলে পইড়া গেলে, (আরে) পাবলিক তোমায় বাঁচাইবোনা

নোটিশ ছাড়া পুলিশ ধরবো ছাইড়া দিব না রে

উকিল মুক্তার যতই ধর বেল পাইবা না।। রে

বাপের কামাই খাইয়া কর কতই বাহাদুরি।

নিজের ঘরে সিঁদ কাটিয়া নিজেই কর চুরি।। ও দোস্ত রে

টের পাইলে একদিন ভাত পাইবা না

ত্যাজ্যপুত্র কইরা দিব জায়গা দিব না।।

ফন্দি ফিকির ছাইড়া দিয়া সোজা রাস্তা ধর

অসৎ লোকের সঙ্গ ছাইড়া মনে মসজিদ ধর।। ও দোস্ত রে

এখন সময় আছে ভালা হইয়া যাও রে

ওস্তাদের মাইর শেষ রাইতে তাও কী জান না রে

ওস্তাদের মাইর শেষ রাইতে তাও কী জান না।।"
Feroj Shai,ভালবাস মানুষেরে,"ভালবাস মানুষেরে যদি চাও তুমি তাঁরে

সেতো আছে মানুষেরই অন্তরে নাও খুজে

হই আমি কী পাব তাঁরে

হই আমি কী পাব তাঁরে, হো হো হো।।

চেয়ে দেখ সেই চোখে সৃষ্টির সেরা সে যে।

তাঁরই তো দান তাঁরই তো মান

গেয়ে যাই ভুবনে।।

মিছে কেন খুজো তাঁরে সে তো আছে সাবার মাঝে।

তাঁরই মান তো তাঁরই তো গান

গেয়ে যাই জীবনে।।"
Feroj Shai,আইসা ভবে ফাইসা গেলাম,"আইসা ভবে ফাইসা গেলাম

ঘরের চাবি পররে দিলাম।।

হাজার নামে ডাক ছাড়িয়া

ভুইলা গেলাম নিজেরই নাম।।

বাপের ধন খোয়াইলাম পুতে

পুতের ধন খায় বার ভুতে।

এখন, চিন্তা জ্বরে বইতে শুইতে।

অচিন হইলো নিজের মোকাম।।

সজাগ হই খোয়াবের ঘোরে

মনের মাল নেয় বড় চোরে।

এখন, হস্তে বেড়ি করজোড়ে

বিচারে হই নিজের গোলাম।।"
Feroj Shai,ও গরিয়া তুই কোথায়রে,"ও..ও..ও.. গরিয়া তুই কোথায়রে

ওহো ও হো হো গরিয়া…

তোরে ছাড়া পরাণ বাঁচে না হা হা হা

হে গরিয়া

তোরে ছাড়া পরাণ বাঁচে না।

তোরে ছাড়া পরাণ বাঁচে না।

তোরে ছাড়া পরাণ বাঁচে না।

তোরে ছাড়া পরাণ বাঁচে না।

তোরে ছাড়া পরাণ বাঁচে না।

তোরে ছাড়া পরাণ বাঁচে না।

তোরে ছাড়া পরাণ বাঁচে না।

থাকিস তুই বিদেশেতে চিঠি লিখিস না

থাকি আমি কত কাছে তা তুই জানিস না

আরে মনে মনে এত ব্যাথা দিয়ে আর আসিস না

হায় ব্যাথা আমি তোরে দিমু কেনে ভুল বুঝিস না।

আরে তুই দূরে সরে কথা কবো না

আয় যা চাবি দিমু তোরে মান করিস না

আরে বারে বারে এত বাহানা এনে লোভ দেখাইস না

মাইরি ভালবাসি তোরে ভুল বুঝিস না।

তোরে ছাড়া পরাণ বাঁচে না হা হা হা

হে গরিয়া

তরে ছাড়া পরাণ বাঁচে না।"
Feroj Shai,মন তুই দেখলি না রে,"মন তুই দেখলি না রে

মন তুই চিনলি না রে

মন মানুষ বিরাজ করে আমার দিল্লীশ্বরে, আমার দিল্লীশ্বরে

মনের মানুষ আছে ঢাকা সাধন করলে পাবে দেখা।

মনের মানুষ আছে ঢাকা সাধন করলে পাবে দেখা।

শক্ত কইরা তারে ধর রে

মর্শিদের দিলে ঠাই মিলবে আকাশের চাঁদ।

পাপ যন্ত্রনা যাবে মুই ছাড়ি।।

সূর্য যে ডুইবা যায়, দিন যে মোর চইলা যায়।

সুময় থাকতে ডাক আল্লাহর নাম রে

মর্শিদের দিলে ঠাই, মিলবে আকাশের চাঁদ।

পাপ যন্ত্রনা যাবে মুই ছাড়ি।।

তল্লাসা ঘোড়া ভাই, জীন গদির লাগাম নাই।

ছাইড়া দিলাম কাম সাগর পাতাল রে

মর্শিদের দিলে ঠাই, মিলবে আকাশের চাঁদ।

পাপ যন্ত্রনা যাবে মুই ছাড়ি।।"
Feroj Shai,স্বাদের লাউ বানাইলো মোরে বৈরাগী,"স্বাদের লাউ বানাইলো মোরে বৈরাগী

স্বাদের লাউ বানাইলো মোরে বৈরাগী।

লাউয়ের আগা খাইলাম ডুগা খাইলাম, আগা খাইলাম রে

লাউয়ের আগা খাইলাম ডুগা গো খাইলাম

লাউ দিয়া খাই তরকারি

আমি লাউ দিয়া বানাই কি বানাই, কি বানাই ডুগডুগি।।

আমি গয়া যাব কাশি যাব, গয়া যাব রে।

সঙ্গে নেই মোর,

আমি গয়া যাব কাশি যাব।

সঙ্গে নেই মোর বৈষ্ণবী,

আরে সঙ্গে নেই মোর বৈষ্ণবী।।

কাউ কাটিয়া কুনবা করলাম সার

দুই মোড়া দুই বাঁশের কঞ্চি, মধ্যে ত্তলার দার"
Feroj Shai,সুখ আমি চাই নি শুধু চেয়েছিলাম তোমায় আমি,"সুখ আমি চাই নি শুধু চেয়েছিলাম তোমায় আমি।

সুখ আমি চাই নি শুধু চেয়েছিলাম তোমায় আমি।

পাব কী পাব না খুজে তোমায়

হারিয়ে গেছি তুমি কোথায়।

সব দিয়েছি উজার করে

এখন তুমি কোথায়, তুমি কোথায়, তুমি কোথায়।।

ভাবিনি আগে এমন হবে

চলে গেছ তুমি অনেক দূরে।

সব দিয়েছি তোমায় আমি

এখন তুমি কোথায়, তুমি কোথায়, তুমি কোথায়।।"
Feroj Shai,আইছি একা যাইমু একা,"আইছি একা যাইমু একা

সঙ্গে যাইব কি?

সঙ্গে যাইব দুটি নাম-আল্লাহ আর নবী।

এই মায়ার সংসার

দুদিনের কারবার

ভেঙ্গে ভেঙে রঙ্গ সঙ্গ হইবোরে চুরমার

রিপুর ঘরে তালা দিয়া হাতে রাখ চাবি।

করবে যে উদ্ধার … না নাম তার

মিঠা প্রেমে আধ হইয়ার মত হইছি যে …

আদায় আমি করি না যে শরিয়াতের দাবি।।"
