Writer,Title,Song
Fokir Lalon Shai,কথা কয় রে দেখা দেয় না,"কে কথা কয় রে দেখা দেয় না?

নড়ে চড়ে হাতের কাছে

খুঁজলে জনমভর মেলে না।।

খুঁজি তারে আসমান জমিন

আমারে চিনি না আমি,

এ বিষম ভ্রমের ভ্রমি

আমি কোন্‌ জন, সে কোন্‌ জনা।।

হাতের কাছে হয় না খবর,

কি দেখতে যাও দিল্লির শহর!

সিরাজ সাঁই কয়, লালন রে তোর

সদাই মনের ঘোর গেল না।।"
Fokir Lalon Shai,আর আমারে মারিস নে মা,"বলি মা তোর চরণ ধরে

ননী চুরি-ই আর করব না

আর আমারে মারিস নে মা

ননীর জন্যে আজ আমারে

মারলি মাগো বেধে ধরে

দয়া নাই মা তোর অন্তরে…এ..

সাল পেতেই গেল জ্বালা

পরে মারে পরের ছেলে

কেদে যেয়ে মাকে বলে

সেই মা জননী নিষ্ঠুর হলে..এ .এ.

কে বোঝে শিশুর বেদনা

আর আমারে মারিস নে মা

ছেড়ে দে মা হাতের বাধন

যাই যে দিকে যায় দুই নয়ন

পরের মাকে ডাকবে লালন

তোর গৃহে আর থাকবে না মাগো

তোর গৃহে আর থাকবে না

আর আমারে মারিস নে মা

বলি মা তোর চরণ ধরে

ননী চুরি-ই আর করব না

মাগো ননী চুরি-ই আর করব না

আর আমারে মারিস নে মা"
Fokir Lalon Shai,এ দেশেতে এই সুখ হল,"এ দেশেতে এই সুখ হল

আবার কোথা যাই না জানি।

পেয়েছি এক ভাঙ্গা নৌকা

জনম গেল ছেঁচতে পানি।।

কার বা আমি, কেবা আমার

প্রাপ্ত বস্তু ঠিক নাই তার,

বৈদিক মেঘে ঘোর অন্ধকার

উদয় হয় না দিনমণি।।

আর কি রে এই পাপীর ভাগ্যে

দয়াল চান্দের দয়া হবে

কতদিন এই হালে যাবে

বহি এ পাপের তরণী।।

কার দোষ দিব এ ভুবনে

হীন হয়েছি ভজন-গুণে

লালন বলে, কতদিনে

পাব সাঁইর চরণ দুখানি।।"
Fokir Lalon Shai,কররে পিয়ালা কবুল শুদ্ধ ঈমানে,"মিশবি যদি জাত ছেফাতে এদিন আখেরের দিনে

কররে পিয়ালা কবুল শুদ্ধ ঈমানে।।

পিলে নুরের পিয়ালা খুলে যাবে রাগের তালা

অচিন মানুষের খেলা দেখবিরে দুই নয়নে।

ধর তরি যা পারি নুরি চিনরে সেই নুর জহরি

এহি চার পিয়ালা ভারি আছে অতি গোপনে।

ফানাফি শেখ ফানাফি রাসুল ফানাফিল্লা ফানা বাকাই কুল

এহি চার মোকামে লালন ভজ মুর্শিদ নির্জনে।।"
Fokir Lalon Shai,নবী না চিনলে সেকি খোদার,"নবী না চিনলে সেকি খোদার ভেদ পায়

চিনিতে বলেছেন খোদে সেই দয়াময়।।

কোন নবী হইল ওফাত

কোন নবী বান্দার হায়াত

নিহাজ করে জানলে নেহাত

যাবে সংশয়।।

যে নবী পারের কান্ডার

জিন্দা সে চার যুগের উপর

হায়াতুল মুরছালিন নাম তার

সেই জন্য কয়।।

যে নবী আজ সঙ্গে তোরো

চিনে মন তার দাওন ধরো

লালন বলে পারের কারো

সাধ যদি রয়।।"
Fokir Lalon Shai,আমায় চরণ ছাড়া করো না হে,"আমায় চরণ ছাড়া কোরো না হে

দয়াল হরি।

পাপ করি পামরা বটে

দোহায় দিই তোমারি।।

অনিত্য সুখে সর্ব ঠাঁই,

তাই দিয়ে জীব ভোলাও গো সাঁই।

তবে কেন চরণ দিতে

করো হে চাতুরী।।

চরণের ঐ যোগ্য মনো নয়,

তথাপি মন রাঙা চরণ চাই।

দয়াল চাঁদের দয়া হলে

যেতো অসুখ সারি।।

ক্ষম অধীন দাসের অপরাধ

শীতল চরণ দাও হে দ্বীননাথ

লালন বলে ঘুরাইও না,

হে মায়াচারী…"
Fokir Lalon Shai,ধর রে অধর চাঁদেরে অধরে অধর দিয়ে,"ধর রে অধরচাঁদেরে অধরে অধর দিয়ে।

ক্ষীরোদ মৈথুনের ধারা ধর রে রসিক নাগরাযে

রসেতে অধর ধরা, থেক রে সচেতন হয়ে।।

অরসিকের ভোলে ভুলে, ডুবিস নে কূ-নদীর জলে

কারণবারির মধ্যস্থলে, ফুটেছে ফুল অচিন দলে

চাঁদ-চকোরা তাহে খেলে, প্রেমবাণে প্রকাশিয়ে।।

নিত্য ভেবে নিত্য থেক,

লীলার বাসে যেও না কোসেই দেশেতে মহাপ্রলয়,

মায়েতে পুত্র ধরে কায়ভেবে বুঝে দেখ মনুরায়,

সে দেশে তোর কাজ কি যেয়ে।।

পঞ্চবাণের ছিলে কেটে, প্রেম যাচো স্বরূপের হাটে

সিরাজ সাঁই বলে রে লালন, বৈদিক বাণে করিস নে রণ

বাণ হারায়ে পড়বি যখন রণ-খোলাতে হুবড়ি খেয়ে।।"
Fokir Lalon Shai,ও সে ফুলের মর্ম জানতে হয়,"ও সে ফুলের মর্ম জানতে হয়।

যে ফুলে অটল বিহারে শুনতে লাগে বিষম ভয়।।

ফুলে মধু প্রফুল্লতা

ফলে তার অমৃত সুধা

এমন ফুল দীন-দুনিয়ায় পয়দা

জানিলে দুর্গতি হয়।।

চিরদিনে সেই যে ফুল

দীন-দুনিয়ার মকবুল

যাতে পয়দা দীনের রসুল

মালেক সাঁই যার পৌরুষ গায়।।

জন্মপথে ফুলের ধ্বজা

ফুল ছাড়া নয় গুরু পূজা

সিরাজ সাঁই কয়, এ ভেদ বোঝা

লালন ভেঁড়ের কার্য নয়।।"
Fokir Lalon Shai,জানতে হয় আদম ছফির আদ্য,"জানতে হয় আদম ছফির আদ্য কথা

না দেখে আজাজিল সেরূপ

কীরূপ আদম গঠলেন সেথা

আনিয়ে জেদ্দার মাটি

… গঠলেন বোরখা পরিপাটি

মিথ্যা নয় সে কথা খাঁটি

কোন চিজে তার গঠলেন আত্মা

সেই যে আদমের ধড়ে

অনন্ত কুঠরি গড়ে

মাঝখানে হাতনে কল জুড়ে

কীর্তিকর্মা বসলেন সেথা

আদমি হইলে আদম চেনে

ঠিক নামায় সে দেল-কোরানে

লালন কয় সিরাজ সাঁইর গুণে

আদম অধর ধরার সুতা"
Fokir Lalon Shai,এলাহী আলমীন গো আল্লা,"এলাহী আলমীন (গো) আল্লা বাদশা আলামপানা তুমি

ডুবাইয়ে ভাসাইতে পার, ভাসায়ে কিনার দেও কারো

রাখো মারো হাত তোমারম তাইতে তোমায় ডাকি আমি।।

নুহু নামে এক নবীরে, ভাসালে অকুল পাথারে

আবার তারে মেহের করে, আপনি লাগাও কিনারে

জাহের আছে ত্রিসংসারে আমায় দয়া কর স্বামী।।

নিজাম নামে বাটপার সেত, পাপেতে ডুবিয়া রইত

তার মনে সুমতি দিলে, কুমতি তার গেল চলে

আউলিয়া নাম খাতায় লিখিলে, জানা গেল এই রহমি।।

নবী না মানে যারা, মোয়াহেদ কাফের তারা

সেই মোয়াহেদ দায়মাল হবে, বেহিসাব দোজখে যাবে

আবার তারা খালাস পাবে, লালন কয় মোর কি হয় জানি।।"
Fokir Lalon Shai,চাতক বাচে কেমনে,"চাতক বাঁচে কেমনে

মেঘের বরিষণ বিনে।।

তুমি হে নব জলধর

চাতকিনী মল এবার

ঐ নামের ফল সুফল এবার

রাখ ভুবনে।।

তুমি দাতার শিরোমণি

আমি চাতক অভাগিনী

তোমাবিনে আর না জানি

রাখ চরণে।।

চাতক মলে যাবে জানা

ঐ নামের গৌরব রবেনা

জল দিয়ে কর সান্তনা

অবোধ লালনে।।"
Fokir Lalon Shai,কুলের বৌ হয়ে মন আর,"কুলের বৌ হয়ে মন আর কতদিন

থাকবি ঘরে।

ঘোমটা খুলে চল নারে যাই

সাধ-বাজারে।।

কুলের ভয়ে কাজ হারাবি, কুল কি নিবি

সঙ্গে করে।

পস্তাবি শ্মশানে যেদিন

ফেলবে তোরে।।

দিস নে আর আড়াই কড়ি, নাড়ার নাড়ি

হও যেই রে।

ও তুই থাকবি ভাল সর্বকাল

যাবে দূরে।।

কুল মান সব যেজন বাড়ায়, গুরু সদয়

হয় না তারে।

লালন বেড়ায়, কাতরে বেড়ায়

কুল ঢাকে রে।।"
