Writer,Title,Song
Gouri Prosonno Mojumder,হাজার টাকার ঝাড়বাতিটা,"হাজার টাকার ঝাড়বাতিটা রাতটাকে যে দিন করেছে

তারই নীচে বাঈজী নাচে ঠুমরী গানের টুকরো ছুঁড়ে

তবলচিটা দিচ্ছে ঠেকা সারেঙ্গীটা সুর ধরেছে

পিচকিরিটা ঢালছে আতর ধূপের ধোঁয়া যাচ্ছে উড়ে।।

পরোয়া তো নেই দু’দশলাখ হয় যদি হোক দেনা,

একটি রাতের মেজাজটা হোক অনেক টাকায় কেনা,

আঙ্গুর ফলের রঙ্গীন রসে পান পেয়ালা ঐ ভরেছে

স্বপ্নে দু’চোখে জড়িয়ে আসুক সুরভি আর সুরায় সুরে।।

(ধরো না, ধরো না সীতাপতি)

রাজা যে টাকাটা মারছে ছুঁড়ে ‘সুবহানআল্লা’ দিয়ে

সেই টাকাটাই পড়তো যদি একটু ঘুরে গিয়ে,

বেঁচে যেতো হয়তো কারো কঠোর জঠোর জ্বালা

খুলে যেত বন্ধ ঘরের অন্ধকারের তালা।

অনাহারের শীতে কেঁপে যে গাছেরই ডাল মরেছে

হয়তো বাঁচার আশা জাগতো শেকড় ফুঁড়ে।।

শেকড় ফুঁড়ে গাছের মতো (বুঝলে সীতাপতি) আগাছাও তো হয়,

মেজাজটাই তো আসল রাজা আমি রাজা নয়,

তোমরা কেন এত বোকা সেই কথাটাই ভাবি,

আমার হীরের আংটি না পেলে ওর,জ্বলতো কি ওই নাকচাবি।।"
Gouri Prosonno Mojumder,যেমন সাপিনীকে পোষ মানায় ওঝা,"যেমন সাপিনীকে পোষ মানায় ওঝা

তেমনি ভালোবাসাকে পোষ মানায় এই রাজা।

ভালোবাসা তার প্রজা।

কখন গন্ধ শুঁকে বলবো আহা খোশ মেজাজের টানে,

বেচারা ফুলগুলো সব তাকিয়ে আছে আমার মুখের পানে

অত সহজে তো মনে রেখো যায় না আমার বোঝা।।

আমার কাছে ভালোবাসা নয়গো শাহজাদী

আমার হারেমে সে পর্দানশীন মাইনে করা বাঁদী।

সার্কাসেরই সিংহ হ’য়ে প্রেম যে দেখায় খেলা,

( ও সে ) আমার কথায় ওঠে বসে এমনি মারের ঠেলা,

করি চাবুক মেরে ভালোবাসার শিরদাঁড়াটা সোজা |"
Gouri Prosonno Mojumder,একগোছা রজনীগন্ধা হাতে দিয়ে বললাম চললাম,"এক গোছা রজনীগন্ধা হাতে দিয়ে বললাম, চললাম।।

বেশ কিছু সময় তো থাকলাম্‌, ডাকলাম, মন রাখলাম

দেখলাম দু’টি চোখে বৃষ্টি, বৃষ্টি ভেজা দৃষ্টি

মনে কর আমি এক মৃত কোনো জোনাকী

সারারাত আলো দিয়ে জ্বললাম।।

এখানেই সব কিছু শেষ নয় বেশ নয় যদি মনে হয়

লিখে নিও গল্পের শেষটা, থাক্‌ না তবু রেশটা

দেখো না গো চেয়ে তুমি আনমনা চরণে

কোন্‌ ফুল ভুল করে দললাম।।"
Gouri Prosonno Mojumder,আমার জীবন যেন একটি খাতা,"আমার জীবন যেন একটি খাতা

শেষ ক’টি যার পাতা নেই

হয়ত ছিল অনেক কিছুই

শেষ ক’টি সেই পাতাতেই।।

মনের কলম তবুও নাছোড়

আঁকবে কিছু স্মৃতির আঁচড়

মিথ্যে আশার প্রলোভনে

আমায় সে তো মাতাবেই।।

সেই ছেঁড়া খাতার পাতাগুলো

ফিরে পেতাম যদি,

হয়ত সাগর হত মরুর বুকে

হারানো এক নদী।।

আঁধার হয়ে দীপের নিচে

ইচ্ছেটাকে বাঁচাই মিছে

ফুল ফুরিয়েও মালাটি মোর

সুঁচ-সুতোতে গাঁথা নেই।।"
Gouri Prosonno Mojumder,বেশ তো না হয় সপ্তঋষির,"বেশ তো না হয় সপ্তঋষির,

অস্তে যাওয়ার প্রহরে হাওয়ার,

কথাগুলো সব ক্লান্ত হবে,

তবুও তো তুমি আমারই রবে।

বেশতো না হয় হাস্নুহেনার গন্ধ

ছড়ানো আবেশ ভরানো

এই যে রাত্রি বিদায় লবে,

তবুও তো তুমি আমারই রবে।

হা হা হা, হাহাহা হা

ও ও ও, ও ও ও …

(তুমি) জানো কি জানো না ফুলেরই এ মালা,

হবে কি হবে না ভুলেরই সে জ্বালা

হয়ত দ্বিধায় দাও গো বিদায়, এইটুকু শুধু কবে।

হা হা হা, হাহাহা হা

ও ও ও, ও ও ও …

(আর) রবো কি রবো না এত কাছাকাছি,

তুমি আছ বলে আমিও তো আছি,

আসুক আড়াল রবে চিরকাল, হৃদয়ের অনুভবে।।"
Gouri Prosonno Mojumder,বনে নয় মনে মোর পাখি আজ গান গায়,"বনে নয় মনে মোর পাখি আজ গান গায়

এই ঝিরি ঝিরি হাওয়া দোলা দিয়ে যায়

গুন গুন ভ্রমরের ফাল্গুন ডাকে মোরে আয় আয় আয়।।

(রে গা পা গা রে সা /নি ধা পা গা রে সা)

এ কি তবে রূপময় অপরূপ দিলো ডাক

স্বপনের সমারোহে বেলা আজ কেটে যাক

সুর আর সুরভীতে উন্মনা মন যেন তারই সাড়া পায়।।

( গা নি সা নি ধা পা মা গা/ মা গা রে সা নি রে সা

গা পা নি পা গা পা মা গা/ মা গা রে সা নি রে সা )

চম্পা বকুলের ভাঙে ঘুম, চঞ্চল হোলো আজ ফাল্গুন

কার সে চরণের সুর বাজে রুমঝুম।

রঙে-রূপে জানি না এ সুন্দর নীলাকাশ

সে কি তবে এ জীবনে মধুরের উপহাস

কার ফুল বাঁশরীতে এই আমি আপনারে যেন খুঁজে পাই।।"
Gouri Prosonno Mojumder,তিনটি মন্ত্র নিয়ে যাদের জীবন সত্যম শিবম সুন্দরম,"তিনটি মন্ত্র নিয়ে যাদের জীবন

সত্যম শিবম সুন্দরম

দুঃখের পৃথিবীটা তাদের কাছে

এক আনন্দ আশ্রম।

সেই মানুষই আসল মানুষ,

যার জীবন পরের তরে

রাজার মুকুট ছেড়ে হাসিমুখে,

সেতো কাঁটার মুকুট পরে

ধূপ চিরদিনই গন্ধ বিলায়

নীরবে সে জ্বলে মরে

পরের সেবায় সে হাসিমুখে

নিজেকে ক্ষয় করে।।"
Gouri Prosonno Mojumder,যেমন শ্রীরাধা কাঁদে শ্যামের অনুরাগী,"যেমন শ্রীরাধা কাঁদে শ্যামের অনুরাগী

তেমন করে কাঁদি আমি পথের লাগি।।

কোথায় আছে সেই নিশানা বলতে কেগো পারে,

গোলক ধাঁধায় মরছি ঘুরে গহীন আঁধিয়ারে

পথকে আমার দোসর করে হয়েছি বিবাগী।।

জানিনা পথ চিনি নাতো কোথায় এসে মেশে,

আঁধার ঘুরে সুয্যি কিগো উঠবে আবার হেসে

আমার ব্যথার সুজন কোথায় কে হবে সোহাগী।।"
Gouri Prosonno Mojumder,তোমার সমাধি ফুলে ফুলে ঢাকা,"তোমার সমাধি ফুলে ফুলে ঢাকা

কে বলে আজ তুমি নাই

তুমি আছ মন বলে তাই।

তোমারই অমন নাম জয় গৌরবে,

স্মরণে যে চিরদিন জানি লেখা রবে,

মরণে হারাতে তোমারে যেন পাই।।

তোমার জীবন যেন কাহিনীর মত,

হে বিজয়ী বীর ছিল জয় তব ব্রত।

ধূপেরই মত যেন মরণে সুখে,

মার জীবন তুমি দিলে হাসি মুখে

এ কথা কখনো যেন না ভুলে যাই ।।"
Gouri Prosonno Mojumder,ও মালিক সারাজীবন কাঁদালে যখন আমায় মেঘ করে দাও,"ও মালিক সারাজীবন কাঁদালে যখন আমায় মেঘ করে দাও

তবু কাঁদতে পারবো পরের দুঃখে অনেক ভাল তাও

মানুষ যেন কোর না আমায় মেঘ করে দাও।।

ফসল হারা শুকনো মাটির বৈশাখেতে তৃষ্ণা পেলে

সাগর থেকে জল এনে যে বৃষ্টি ধারায় দেব ঢেলে

আর রামধনুকে বলবো আমায় রাঙিয়ে দিয়ে যাও।।

আকাশটা যে হবে কাগজ তাতে বিজলী আখর দিয়ে

আরেকটা নয় মেঘদূত হোক লেখা আমায় নিয়ে,

আমি মজনুর চোখে হবো না মেঘ এই কি তুমি চাও?"
