Writer,Title,Song
Humayun Ahmed,যদি মন কাঁদে তুমি চলে এসো,"যদি মন কাঁদে

তুমি চলে এসো, চলে এসো

এক বরষায়…………….(।।)

এসো ঝর ঝর বৃষ্টিতে

জল ভরা দৃষ্টিতে

এসো কোমল শ্যামল ছায় ।

যদিও তখন আকাশ থাকবে বৈরি

কদম গুচ্ছ হাতে নিয়ে আমি তৈরি ।।

উতলা আকাশ মেঘে মেঘে হবে কালো

ছলকে ছলকে নাচিবে বিজলী আরো

তুমি চলে এসো, চলে এসো

এক বরষায়…………….(।।)

নামিবে আঁধার বেলা ফুরাবার ক্ষণে

মেঘ মাল্লা বৃষ্টিরও মনে মনে ।।

কদম গুচ্ছ খোঁপায়ে জড়ায়ে দিয়ে

জল ভরা মাঠে নাচিব তোমায় নিয়ে

তুমি চলে এসো, চলে এসো

এক বরষায়…………….(।।)

যদি মন কাঁদে

তুমি চলে এসো, চলে এসো

এক বরষায়……………."
Humayun Ahmed,আসমান ভাইঙ্গা জোছনা পড়ে,"আসমান ভাইঙ্গা জোছনা পড়ে

আমার ঘরে জোছনা কই?

আমার ঘরে এক হাঁটু জল

পানি তে থৈ থৈ।

নিশি রাইতে সবাই ঘুমায়

আমার চোখের নিদ্রা কোথায় রে?

এমনি কইরা দুঃখের বোঝা

আর কত কাল বই

আমার ঘরে এক হাঁটু জল

পানি তে থৈ থৈ।

চাইনি মানিক চাইনি রতন

সাধ আঁছিল মনের মতন রে

চান্দের আলো উজ্জ্বল ঘরে

সুখে দুঃখে রই

আমার ঘরে এক হাঁটু জল

পানি তে থৈ থৈ।

আসমান ভাইঙ্গা জোছনা পড়ে

আমার ঘরে জোছনা কই?

আমার ঘরে এক হাঁটু জল

পানি তে থৈ থৈ।"
Humayun Ahmed,Song12 ,
Humayun Ahmed,মাথায় পরেছি সাদা ক্যাপ,"মাথায় পরেছি সাদা ক্যাপ

হাতে আছে অচেনা এক শহরের ম্যাপ।

ব্যাগ ঝুলিয়েছি কাঁধে

নামবো রাজপথে,

চারিদিকে ঝলমলে রোদ

কেটে যাবে আঁধারের ছায়া-অবরোধ।

চারিদিকে কী আনন্দ,

অতি তুচ্ছ পতঙ্গেরও অপূর্ব জীবন।

হয়তো শিশিরকণারও আছে

শুধু তার একান্ত-একা

আনন্দেরই ক্ষণ।

মাথায় পরেছি সাদা ক্যাপ

হাতে আছে অচেনা এক শহরের ম্যাপ।

আমি বলি, এই যে ব্রাদার হ্যালো

আমি কে? এইটুকু আমাকে শুধু বলো।

কোত্থেকে এসেছি আমি, ঠিকানাটা কী

এই জীবনে কী দেখেছি, কী দেখিনি।

দেখেছি মায়াময় দুই দুয়ারী ঘর

সেইখানে বাস করে অশ্রু কারিগর।

তাকে ঘিরে টলমল করে

নীলমণি দুঃখ সাগর।

দুই দুয়ার, খুলে দাও ভাই

অশ্রুর অবসান চাই।

নিয়ে এসো, চারদিকে ঝলমলে রোদ

কেটে যাক আঁধারের ছায়া-অবরোধ।

মাথায় পরেছি সাদা ক্যাপ

হাতে আছে অচেনা এক শহরের ম্যাপ।"
Humayun Ahmed,সোহাগপুর গ্রামে একটা মায়া দীঘি ছিল,"সোহাগপুর গ্রামে একটা মায়া দীঘি ছিল

সেই দীঘিতে হায় আচানক পুস্প ফুটেছিল

নিশি রাইতে দীঘির জলে উড়াল বায়ু বয়

বন্ধুয়ারে সেথায় নিতে আমার মনে লয়

গো বন্ধু আমার মনে লয়।।

ঘন কালো দীঘির জলে নামে চাঁন্দের ছায়া

রাইত নীশিথে মন পীড়িতে কাইন্দা মরে মায়া।

কাইন্দো না কাইন্দো মন কাইন্দা ফায়দা নাই

বন্ধুয়ারে সাথে নিবা তাহার উপায় নাই

চাঁন্দের ছায়া হায় কী মায়া মনে কষ্ট হয়

মরণকালে বন্ধুর সাথে হবে পরিচয়

গো বন্ধু হয়ে পরিচয়।।

মনের দুঃখ মনে রাখ বনের দুঃখ বনে

মরণকালে হবে দেখা বন্ধুয়ার সনে।

কাইন্দো না কাইন্দো মন কাইন্দা ফায়দা নাই

বন্ধুয়ারে সাথে নিবা তাহার উপায় নাই

মায়া দীঘির কালো জলে উড়াল বায়ু বয়

মরণকালে বন্ধুর সাথে হবে পরিচয়

গো বন্ধু হয়ে পরিচয়।।"
Humayun Ahmed,বরষার প্রথম দিনে,"বরষার প্রথম দিনে

ঘন কালো মেঘ দেখে

আনন্দে যদি কাঁপে তোমার হৃদয়

সেদিন তাহার সাথে করো পরিচয়

কাছে কাছে থেকেও যে কভু কাছে নয়।।

জীবনের সব ভুল যদি ফুল হয়ে যায়

যদি কোনো দিন আসে জোছনার আলোয় ঢাকা

মধুর সময়

তখন কাছে এসো, তাহাকে ভালোবেসো

সেদিন তাহার সাথে করো পরিচয়

কাছে কাছে থেকেও যে কভু কাছে।।

জীবনের সব কালো যদি আলো হয়ে যায়

দূর হয়ে যায় যদি ছায়াদের আঁধার সময়

তখন কাছে এসো, তাহাকে ভালোবেসো

সেদিন তাহার সাথে করো পরিচয়

কাছে কাছে থেকেও যে কভু কাছে নয়।।

ঘন কালো মেঘ দেখে

আনন্দে যদি কাঁপে তোমার হৃদয়

সেদিন তাহার সাথে করো পরিচয়

কাছে কাছে থেকেও যে কভু কাছে নয়।।"
Humayun Ahmed,বাদলা দিনে মনে পড়ে ছেলেবেলার গান,"বাদলা দিনে মনে পড়ে ছেলেবেলার গান

বৃষ্টি পড়ে টাপুর টুপুর নদে এলো বান

যদি ডেকে বলি, এসো হাত ধরো

চলো ভিজি আজ বৃষ্টিতে

এসো গান করি মেঘ মল্লারে

করুনাধারা দৃষ্টিতে

আসবে না তুমি; জানি আমি জানি

অকারনে তবু কেন কাছে ডাকি

কেন মরে যাই তৃষ্ণাতে

এইই এসো না চলো জলে ভিজি

শ্রাবণ রাতের বৃষ্টিতে

কত না প্রণয়, ভালোবাসাবাসি

অশ্রু সজল কত হাসাহাসি

চোখে চোখ রাখা জলছবি আঁকা

বকুল কোন ধাগাতে

কাছে থেকেও তুমি কত দূরে

আমি মরে যাই তৃষ্ণাতে

চলো ভিজি আজ বৃষ্টিতে

যদি ডেকে বলি, এসো হাত ধরো

চলো ভিজি আজ বৃষ্টিতে

এসো গান করি মেঘো মল্লারে

করুনাধারা দৃষ্টিতে

আসবে না তুমি; জানি আমি জানি

অকারনে তবু কেন কাছে ডাকি

কেন মরে যাই তৃষ্ণাতে

এইই এসো না চলো জলে ভিজি

শ্রাবণ রাতের বৃষ্টিতে

বাদলা দিনে মনে পড়ে ছেলেবেলার গান

বৃষ্টি পড়ে টাপুর টুপুর নদে এলো বান"
Humayun Ahmed,আমি আজ ভেজাবো চোখ,"আমি আজ ভেজাবো চোখ সমুদ্র জলে

আমি আজ ভেজাবো চোখ সমুদ্র জলে

ও সমুদ্র ! কাছে আসো ,

আমাকে ভালোবাসো

আদরে লুকায়ে রাখো তোমার ওই অঞ্চলে. . .

আমি আজ ভেজাবো চোখ সমুদ্র জলে।

আহারে কি আকাশ!

কি তাহার দীর্ঘশ্বাস!

আহারে কি আকাশ!

কি তাহার দীর্ঘশ্বাস!

মিশিতেছে কি নিবিড় সমুদ্র কল্লোলে।

ও সমুদ্র ! কাছে আসো ,

আমাকে ভালোবাসো

আদরে লুকায়ে রাখো তোমার ওই অঞ্চলে. . .

আমি আজ ভেজাবো চোখ সমুদ্র জলে।

আয় ঢেউ আয় ঢেউ

প্রবল প্রবল ঢেউ

রুদ্র ভৈরবী আয় ছুটে আয়

আজ থেকে আমি আছি তোর সীমানায়!

সন্ধ্যার শেষ আলো

যখন হইবে কালো

সন্ধ্যার শেষ আলো

যখন হইবে কালো,

তখন সাগর পক্ষী উড়ে যাবে স্থলে. . .

ও সমুদ্র ! কাছে আসো ,

আমাকে ভালোবাসো

আদরে লুকায়ে রাখো তোমার ওই অঞ্চলে. . .

আমি আজ ভেজাবো চোখ সমুদ্র জলে।"
Humayun Ahmed,ও আমার উড়াল পঙ্খী রে,"ও আমার উড়ল পঙ্খী রে যা যা তুই উড়াল দিয়া যা

আমি থাকব মাটির ঘরে, আমার চোক্ষে বৃষ্টি পড়ে

তোর হইবে মেঘের উপরে বাসা

ও, আমার মনে বেজায় কষ্ট

সেই কষ্ট ইইল পষ্ট

দুই চোক্ষে ভর করিল আঁধার নিরাশা

তোর হইল মেঘের উপরে বাসা

ও আমার..

মেঘবতী মেঘকুমারী মেঘের উপরে থাক

সুখ দু:খ দুই বইনেরে কোলের উপরে রাখ

মাঝে মইধ্যে কান্দন করা মাঝে মইধ্যে হাসা

মেঘবতী আজ নিয়াছে মেঘের উপরে বাসা

ও আমার উড়াল পক্ষীরে যা যা তুই উড়াল দিয়া যা

আমি থাকব মাটির ঘরে

আমার চোক্ষে বৃষ্টি পড়ে,

তোর হইবে মেঘের উপরে বাসা"
Humayun Ahmed,একটা ছিল সোনার কন্যা,"একটা ছিল সোনার কন্যা

মেঘ বরণ কেশ

ভাটি অঞ্চলে ছিল সেই কন্যার দেশ

দুই চোখে তার আহারে কি মায়া

নদীর জলে পড়ল কন্যার ছায়া

তাহার কথা বলি

তাহার কথা বলতে বলতে নাও দৌঁড়াইয়া চলি

কন্যার ছিল দীঘল চুল

তাহার কেশে জবা ফুল

সেই ফুল পানিতে ফেইলা

কন্যা করল ভুল

কন্যা ভুল করিস না

ও কন্যা ভুল করিস না

আমি ভুল করা কন্যার লগে কথা বলব না

হাত খালি গলা খালি

কন্যার নাকে নাকফুল

সেই ফুল পানিতে ফেইলা

কন্যা করল ভুল

এখন নিজের কথা বলি

নিজের কথা বলতে বলতে

নাও দৌঁড়াইয়া চলি

সবুজ বরণ লাও ডগায়

দুধসাদা ফুল ধরে

ভুল করা কন্যার লাগি

মন আনচান করে

আমার মন আনচান করে"
