Writer,Title,Song
Latiful Islam Shibli,মানুষ বড় একা,"এই কোলাহল এই লোকালয়

এত প্রিয়জন কেউ কারো নয়

জেনে রেখো শুধু

জীবনের ডাইরীতে অদ্রিশ্য কালিতে

এক্টি সত্য আছে লিখা

মানুষ বড় একা

কত ব্যাস্ততায় নিজেকে জড়ালে

কত প্রয়োজনে তুমি নিজেকে বিলালে

একবার জেনে রেখো শুধু

পাওয়ার হিসেবে তুমি কতটুকু পেলে

জীবনের ডাইরীতে অদ্রিশ্য কালিতে।

তোমার সাজানো পৃথিবী জুড়ে

তোমার ই আপন সুখ আপন কত

এইখানে তুমি বড় একা

সাগরের নি;স্বঙ্গ দ্বীপের মত

জীবনের ডাইরীতে অদ্রিশ্য কালিতে।"
Latiful Islam Shibli,জোসি প্রেম,"গুনে রাধা কৃষ্ণ প্রতি দিনক্ষণ

কানে কানে বলে গেলো জয় বৃন্দাবন

জোসি প্রেম দেয়া নেয়া প্রেম

শিরির জন্য ফরহাদ হল মুসাফির

প্রেমে নেই ভেদাভেদ আমির ও ফকির

জোসি প্রেম দেয়া নেয়া প্রেম

রোমিও জুলিয়েট মৃত্যুহীন প্রাণ

ভালোবেসে গেয়ে গেলো জীবনের গান

জোসি প্রেম দেয়া নেয়া প্রেম

লাইলী আর মজনু প্রেমে সাইমুম

জলহীন মরুভুমি সাহারার ধুম

জোসি প্রেম দেয়া নেয়া প্রেম

বেহুলার লক্ষিন্দর নীল হল বিষে

বরষার সেই বিষ আজো আছে মিশে

জোসি প্রেম দেয়া নেয়া প্রেম

জয় জয় যমুনার বৃন্দাবন জয় বৃন্দাবন

শিরির জন্য ফরহাদ হল মুসাফির হল মুসাফির"
Latiful Islam Shibli,প্রেমিক মেয়র,"তুমি আসবে বলে হে প্রিয় নারী

এ শহরের চাবি তোমার হাতে তুলে দিতে

নগরীর তোরণে দারিয়ে আছি

আমি এ শহরের প্রেমিক মেয়র

তুমি আসবে বলে এ শহরে ছুটি

তুমি আসবে বলে বিজয় মিছিলে জুটি

নগরীর তোরণে দারিয়ে আছি

আমি এ শহরের প্রেমিক মেয়র

তুমি আসবে বলে সুর তুলেছে দোয়েল

তুমি আসবে বলে নদী পরেছে পায়েল

নগরীর তোরণে দারিয়ে আছি

আমি এ শহরের প্রেমিক মেয়র"
Latiful Islam Shibli,হ্যালো ঢাকা,"ভালোবাসা জানিয়ে দিলাম মেঘে ভাসিয়ে

তোমার জন্য ঝড়ে ব্ ষ্টি হয়ে

সাক্ষী আছে আকাশ্ ছোয়া দালান কোঠা বাড়ী

জানিয়ে দিলাম তুমি আমার প্রিয়তমা নারী

হ্যালো ঢাকা আমার কথা

শুন তে কি পাও তুমি

হ্যালো ঢাকা

কান্না আছে চোখের কোণে

লুকিয়ে থাকা ঢেউ

জানবে শুধু ঢাকা তুমি

জানবে না তো কেউ

হ্যালো ঢাকা

আমার কথা

শুন তে কি পাও তুমি

হ্যালো ঢাকা"
Latiful Islam Shibli,পলাশীর প্রান্তর,"কতটা তুমি হারালে বন্ধু কেদেছে অন্তর

জানো না তুমি হারাবার ব্যাথা

জানে পলাশীর প্রান্তর

হারিয়ে গেছে সেখানে মায়ের সোনার নোলকখানি

গোলাভরা খেতের ফসল সাজানো ফুলদানি

এই হারানোর বেদনা তুমি রেখো অন্তরে

দেখবে তোমার দুঃখ লুকাবে পলাশীর প্রান্তরে

কতটা তুমি হারালে বন্ধু কেদেছে অন্তর

জানো না তুমি হারাবার ব্যাথা

জানে পলাশীর প্রান্তর

হারিয়ে গেছে খুদিরামের স্বপ্ন ভরা চোখ

তিতুমীরের সফেদ পাগড়ী জোতিরময় আলোক

এই হারানোর বেদনা তুমি রেখো অন্তরে

দেখবে তোমার দুঃখ লুকাবে পলাশীর প্রান্তরে

এই হারানোর বেদনা তুমি রেখো অন্তরে

দেখবে তোমার দুঃখ লুকাবে পলাশীর প্রান্তরে …………"
Latiful Islam Shibli,কার কাছে যাবো,"নিস্তব্ধ এই নাগরিক লোকালয়ে

জীবনের কাছ থেকে সবটুকু পরাজয় মেনে নিয়ে

এখন আমি কার কাছে যাব। বলে দাও

আমার অনেক সুবর্ন ফেরারী

অগোছালো জীবনের পথে

দাড়িয়ে থাকবে না কেউ

বুকে তুলে নিতে আমাকে।

এখন আমি কার কাছে যাব। বলে দাও

চিনতে পারেনি আমায় অনেকে

পরিচিত ভেবেছি যাকে

অচেনা হয়েছি আমি

চেনা কত মানুষের কাছে।

এখন আমি অহুওও কার কাছে যাব। বলে দাও"
Latiful Islam Shibli,বড় বাবু মাষ্টার,"ট্রেন আসে চলে যায় ট্রেন

কোলাহল থেমে গেলে

তিনি বসে ভাবেন

ভেঙ্গে পড়া শরীরে শীর্ণ আঙ্গুলে

গুনে গুনে বয়সের হিসেব রাখেন

জীবনের শেষ ট্রেন তাকে নিয়ে যেতে

কত বাকি আর

মধুপুর স্টেশনের সবার প্রিয়

বড় বাবু মাষ্টার।।

স্টেশনের ঝোলানো ঘণ্টা থেকে

ঢং ঢং যখন বাজে

ইদানিং তিনি বড় চমকে উঠেন

জীবনের এই ক্লান্ত সাঁজে

জীবনের শেষ ট্রেন তাকে নিয়ে যেতে

কত বাকি আর

মধুপুর স্টেশনের সবার প্রিয়

বড় বাবু মাষ্টার, বড় বাবু মাষ্টার

কত নিশুতি রাতে শুন্য প্লাটফর্মে

নিঃসঙ্গ করে সৃতিচারণ

বহুদূরে জ্বলে থাকা সিগন্যাল বাতি

তার হৃদয়ে তোলে আলোড়ন

জীবনের শেষ ট্রেন তাকে নিয়ে যেতে

কত বাকি আর

মধুপুর স্টেশনের সবার প্রিয়

বড় বাবু মাষ্টার।।"
Latiful Islam Shibli,নীল বেদনা,"রাত ঘুম নেই আমার চোখে

জেগে আছি এই চন্দ্রালোকে

নীল জোছনায় তুমি কোথায়

বুক ভরা শুধু দুখেরই ক্ষত

বাউলের একতারার মত

এই আমাকে শুধু কাঁদায়

নীল বেদনা ঘিরে রয়েছে আমায়

দূর অতিতের দুঃখ ডাকে আমায়

তুমি এ রাতে কোন সুদূরে

মন তাই মেতে অচেনা সুরে

চেনা আমাকে নিয়ে কাছে

তুমি যেন এক নদীর মত

বলছ আমায় ডেকে কত

আমি তোমাকে ভালবাসি

তবু কেন যে ধুসর এই পৃথিবী আমার

বোবা অশ্রুতে নোনা হয়ে যায় চেতনা

একাকী একজন এই আমি

স্বপ্নের যত ক্লান্তি আমার

আপন করে বুকে জড়ায়

ক্লান্ত রাজপথ ঘুমাল যখন

তুমিও আমার কবিতা তখন

ধীরে ধীরে জেগে ওঠো"
Latiful Islam Shibli,ভালবাসার যৌথ খামার,"শত শত হাল দেয়া জমিনে আমি ভালবাসবো না,

তাই আকাশকে করেছি তোমার আমার ভালবাসার যৌথ খামার । ।

সর্বহারা যত প্রেমিক আছে

সব আমাদের প্রতিবেশী,

বিধাতার উঠোনে হবে সমাবেশ

স্বদেশী এবং ভিনদেশী।

উর্বর আকাশে মোদের প্রেমের থাকবেনা কোন মালিকানা,

ইচ্ছে মত চলবো মোরা

কেউ করবেনা আমাদের মানা।

আমার স্বপ্ন তোমার চখে এক বাস্তবতার নাম, তোমার আচলে লিখবো আমি ভালবাসার শ্রেণী সংজ্ঞা…."
Latiful Islam Shibli,বিবাগী,"জীবনের কাছ থেকে লেনদেন বুঝে নিয়ে

প্রেমিকার সবটুকু বিশ্বাস বাজি রেখে।

ফিরে যাবে সবহারা একজন আজ রাতে।

আলো আধাঁরী ছুঁয়ে ছুয়ে

ফিরে যাবে জুয়ার টেবিলে

একজন বিবাগী।।

নিজেকে উজাড় করা কষ্ট ঝরবে আজ রাতে

ক্লান্ত পথে আধাঁর শুধু ফিরবে তার সাথে।।

তারপর সবটুকু পরাজয় মেনে নিয়ে

আলো আধাঁরী ছুঁয়ে ছুয়ে

ফিরে যাবে জুয়ার টেবিলে একজন বিবাগী।।

যেটুকু হয়ে গেছে নষ্ট

সবটাই এলোমেলো

জীবিনের গল্পগুলো যেন রঙিন পাখা পেলো।

তারপর পুড়ে পুড়ে একবুক ছাই নিয়ে

আলো আধাঁরী ছুঁয়ে ছুয়ে

ফিরে যাবে জুয়ার টেবিলে একজন বিবাগী।।"
