Writer,Title,Song
Marjuk Rasel,হাউজি,"হে হে হে… Caller ডাকছে, “আল্লাহু মহান”

নাম্বার – 1

ভাষা আন্দোলন

5 n 2 – 52

পালিয়ে গেল খান

7 n 1 – 71

চা খাবেন?

তো মধুর ক্যান্টিনে যাবেন,

নাম্বার – 7

গুপি গাইন বাঘা বাইন

নাম্বার – 9

গামছা পেতে তাস খেলা 2 n 9

মনে পরে – 29

আমরা বলছি partition year

4 n7 – 47

August tragedy

7 n 5 – 75

দিবসটি মহান

2 n 1 – 21

এসেছে সুন্দরী দিছ্ছে সুড়সুড়ি

2 n 3

Reckless beauty

3 0 – 30

She looks fine

1 n 9 – 19

বাবু মশাই উত্তমের পাশে

সুচিত্রা সেন

Number – 10

বরিশালের ভাষায় তুই আর মুই

Number দুই

রেলওয়ের লাইন

1 n 1 – 11

Claim! no same!"
Marjuk Rasel,তের নদী সাত সমুদ্দুর,"যেখানেই থাক তুমি যাও যতদূর

সেখানে পৌঁছে যাবে আমার সুর

যেখানেই থাক তুমি যাও যতদূর

সেখানে পৌঁছে যাবে আমার সুর

এই গান পাড়ি দেবে প্রয়োজনে

তের নদী সাত সমুদ্দুর।(2)

মেঘের বারণ ভুলে

যেখানে তুমার চুলে

খেলা করে এখনো দুপুর

মেঘের বারণ ভুলে

যেখানে তুমার চুলে

খেলা করে এখনো দুপুর

সেখানে পৌঁছে যাবে আমার সুর

এই গান পাড়ি দেবে প্রয়োজনে

তের নদী সাত সমুদ্দুর।(2)

যেখানে গভীর রাতে

হাতের পরশে হাতে

চুড়ি বাঁজে ঝানাঝানাঝুর

যেখানে গভীর রাতে

হাতের পরশে হাতে

চুড়ি বাঁজে ঝানাঝানাঝুর

সেখানে পৌঁছে যাবে আমার সুর

এই গান পাড়ি দেবে প্রয়োজনে

তের নদী সাত সমুদ্দুর।(2)

যেখানেই থাক তুমি যাও যতদূর

সেখানে পৌঁছে যাবে আমার সুর

যেখানেই থাক তুমি যাও যতদূর

সেখানে পৌঁছে যাবে আমার সুর

এই গান পাড়ি দেবে প্রয়োজনে

তের নদী সাত সমুদ্দুর।(2)"
Marjuk Rasel,দ্বিধা,"বাহির বলে দূরে থাকুক,

ভিতর বলে আসুক না।

ভিতর বলে দূরে থাকুক,

বাহির বলে আসুক না।

ঢেউ জানা এক নদীর কাছে,

গভীর কিছু শেখার আছে

সেই নদীতে নৌকা ভাসাই, ভাসাই করে ভাসাই না

না ডুবাই না ভাসাই, না ভাসাই না ডুবাই।।

জল দাকেয় আগুনও টানে,

আমি পড়ি মধ্যিখানে-

দুই দিকে দুই খন্ড হয়ে যাই, আবার যাই না

না নিভাই না জালাই, না জালাই না নিভাই।।"
Marjuk Rasel,জাত যায়,"বাজো বিদ্যুৎ তার

বাজো বিদ্যুতে

বাজে জঞ্জাল হয়ে

বাজো উদ্ভট সুরে

বাজো গোলমাল

বাজো বেসামাল

করো তাল ভুল, তোলো ভুল সুর।।

জাত যায় জাত যায় লোকে বলে।।

আমি বলি ঠিক আছে

ঠিক আছে…।

করো তাল ভুল, তোলো ভুল সুর, ঠিক আছে, ঠিক আছে…।

করো তাল ভুল, তোলো ভুল সুর।

বিষাক্ত সুর তোলো সর্বনাশী

গলা ছাড়ো আবোল তাবোল

বাজাও ঢোলক কাঁপাও ভূলোক

জাগো বাঙালী

জাগাও বাঙালী

জাগো জাগো…. জাগো জাগো…

জাত যায় জাত যায় লোকে বলে…।।

আমি বলি ঠিক আছে

ঠিক আছে…।

করো তাল ভুল, তোলো ভুল সুর, ঠিক আছে, ঠিক আছে…।

করো তাল ভুল, তোলো ভুল সুর।

হোক কোলাহল থাক পড়ে সব

ওরে ও ন্যাংটা ছেলের দল

পাগলা সুরের পাগলা হাওয়ায়

আরো ঘোলা হোক শান্ত নদীর জল

জাগো জাগো… জাগো জাগো…

জাত যায় জাত যায় লোকে বলে…।।

আমি বলি ঠিক আছে

ঠিক আছে…।

করো তাল ভুল, তোলো ভুল সুর, ঠিক আছে, ঠিক আছে…।

করো তাল ভুল, তোলো ভুল সুর।

বাজো বিদ্যুৎ তার

বাজো বিদ্যুতে

বাজে জঞ্জাল হয়ে

বাজো উদ্ভট সুরে

বাজো গোলমাল

বাজো বেসামাল

করো তাল ভুল, তোলো ভুল সুর।।

জাত যায় জাত যায় লোকে বলে।।

আমি বলি ঠিক আছে

ঠিক আছে…।

করো তাল ভুল, তোলো ভুল সুর, ঠিক আছে, ঠিক আছে…।

করো তাল ভুল, তোলো ভুল সুর।

জাত যায় জাত যায় লোকে বলে।।

আমি বলি ঠিক আছে

ঠিক আছে…।

করো তাল ভুল, তোলো ভুল সুর, ঠিক আছে, ঠিক আছে…।

করো তাল ভুল, তোলো ভুল সুর।

জাত যায় জাত যায় লোকে বলে।।।।

আমি বলি ঠিক আছে

ঠিক আছে…।

করো তাল ভুল, তোলো ভুল সুর, ঠিক আছে, ঠিক আছে…।।।

করো তাল ভুল, তোলো ভুল সুর।

জাত যায় জাত যায় লোকে বলে।।"
Marjuk Rasel,কথা,"কথা নয় মুখে মুখে

কথা হবে মনে মনে

কথা নয় মুখে মুখে

কথা হবে মনে মনে

দূরে কাছে…. যত বন্ধু আছে…

কথা আছে…

কথা আছে তোমার সনে…

কথা হবে পথে,

কথা হবে বিপথে,

কথা হবে নিরজনে।

কথা হবে পথে,

কথা হবে বিপথে,

কথা হবে…

ও নিরজনে…

দূরে কাছে… যত বন্ধু আছে…

কথা আছে…

কথা আছে তোমার সনে…

কথা হবে চোখে,

কথা হবে গোপনে,

কথা হবে প্রাণ খুলে।

কথা হবে চোখে,

কথা হবে গোপনে,

কথা হবে…

ও… প্রাণ খুলে।

দূরে কাছে… যত বন্ধু আছে….

কথা আছে…

কথা আছে তোমার সনে…

কথা নয় মুখে মুখে

কথা হবে মনে মনে

কথা নয় মুখে মুখে

কথা হবে মনে মনে

দূরে কাছে…. যত বন্ধু আছে…

কথা আছে…

কথা আছে তোমার সনে…

কথা আছে…

কথা আছে… তোমার সনে…

কথা আছে… কথা আছে…

কথা আছে তোমার সনে…

কথা আছে………….।"
Marjuk Rasel,শরাবে শরাব,"ডুবে আছি বিষে,

ডুবে আছি পাপে,

ঐ আমার এক পা কার্নিশে

আরেক পা শূন্যে।

শরাবে শরাব…

ঘোরে ঘোর….

ঘোরে ঘোর…

তারপর ঘনঘোর…

মুঠো খুলে চেয়ে দেখি,

ওরে রেখায় রেখায় দুঃখ লেখা

মুঠো খুলে চেয়ে দেখি,

রেখায় রেখায় দুঃখ লেখা

বেদনার নদী বইছে আমার

বুকের ভেতর একা একা

শরাবে শরাব…

ঘোরে ঘোর….

ঘোরে ঘোর…

তারপর ঘনঘোর…

দুচোখ বুঝে আজও দেখি

চোখের পাতায় স্বপ্ন আঁকা

দুচোখ বুঝে আজও দেখি

ওরে চোখের পাতায় স্বপ্ন আঁকা

স্বপ্ন মুছে গেলে আমার

পৃথিবীটা ভীষন ফাঁকা

শরাবে শরাব…

ঘোরে ঘোর….

ঘোরে ঘোর…

তারপর ঘনঘোর…

ডুবে আছি বিষে,

ডুবে আছি পাপে,

ঐ আমার এক পা কার্নিশে

আরেক পা শূন্যে।

শরাবে শরাব…

ঘোরে ঘোর….

ঘোরে ঘোর…

তারপর ঘনঘোর…

শরাবে শরাব…

ঘোরে ঘোর….

ঘোরে ঘোর…

তারপর ঘনঘোর…

শরাবে শরাব…

ঘোরে ঘোর….

ঘোরে ঘোর…

তারপর ঘনঘোর…"
Marjuk Rasel,পাখি উড়ে যা,"দিনের শেষে নীড়ের টানে

মন যদি কাঁদে

দিনের শেষে নীড়ের টানে

মন যদি কাঁদে

তবে খুলে দাও

খুলে দাও খাঁচা

তবে খুলে দাও

খুলে দাও খাঁচা

পাখি উড়ে যা যারে… পাখি উড়ে যা…।।

মুক্ত ডানায় যেখানে খুশি

যেতে যদি চাও

মুক্ত ডানায় যেখানে খুশি

যেতে যদি চাও

তবে খুলে দাও

খুলে দাও খাঁচা

পাখি উড়ে যা যারে… পাখি উড়ে যা…।।

গাছের শাখায়

পাতার ফাঁকে

কুহু কুহু সুরে

গান গেয়ে যাও

সীমানা ডিঙিয়ে আকাশে আকাশে

মেঘের দেশে

মেঘ ছুঁয়ে যাও… খুলে দাও….

খুলে দাও খাঁচা

তবে খুলে দাও

খুলে দাও খাঁচা

পাখি উড়ে যা যারে… পাখি উড়ে যা…।।।

মাঘের শেষে ফাগুন মাসে

প্রেম যদি চাও

প্রেমের বাতাসে

শিকারি শোন শিকার ভুলে

জীবন বাঁচাও

শুধু খুলে দাও… খুলে দাও…

খুলে দাও খাঁচা

তবে খুলে দাও

খুলে দাও খাঁচা

পাখি উড়ে যা যারে… পাখি উড়ে যা…।।

দিনের শেষে নীড়ের টানে

মন যদি কাঁদে

দিনের শেষে নীড়ের টানে

মন যদি কাঁদে

তবে খুলে দাও

খুলে দাও খাঁচা

তবে খুলে দাও

খুলে দাও খাঁচা

পাখি উড়ে যা যারে… পাখি উড়ে যা…।।।

যা যা পাখি উড়ে…

পাখি উড়ে যা…

যা যা পাখি উড়ে… উড়ে…

উড়ে উড়ে… দূরে দূরে…

উড়ে উড়ে… যা রে যা…

উড়ে… যা রে যা…।"
Marjuk Rasel,পত্র দিও,"যেখানেই থাকো,

যেভাবেই থাকো,

যেখানেই থাকো,

যেভাবেই থাকো,

ছন্নছাড়া দুঃখের ভোরে

এক চিলতে রোদের ভিড়ে

পত্র দিও… পত্র দিও… পত্র দিও …

নিজের প্রতি যত্ন নিও… যত্ন নিও…

দুপুর বেলার আলসেমিতে

পুরনো দিনের ভাবনা এলে

তুখোড় কোন গল্পের ফাঁকে

মনে পরে গেলে এই আমাকে

ছন্নছাড়া দুঃখের ভোরে

এক চিলতে রোদের ভিড়ে

পত্র দিও… পত্র দিও… পত্র দিও…

নিজের প্রতি যত্ন নিও… যত্ন নিও…

বৃষ্টির রাতে একলা ঘরে

ভেজা হাওয়ার পরশ পেয়ে

ঘুম ভেঙ্গে উঠে উদাসী হলে

মনে পরে গেলে এই আমাকে

ছন্নছাড়া দুঃখের ভোরে

এক চিলতে রোদের ভিড়ে

পত্র দিও… পত্র দিও… পত্র দিও…

নিজের প্রতি যত্ন নিও… যত্ন নিও…

যেখানেই থাকো,

যেভাবেই থাকো,

যেখানেই থাকো,

যেভাবেই থাকো,

ছন্নছাড়া দুঃখের ভোরে

এক চিলতে রোদের ভিড়ে…

নিজের প্রতি যত্ন নিও…………………."
Marjuk Rasel,দে দৌড়,"চলছে জীবনরথ

যত মত তত পথ

কার আগে কি পবো কি হারাবো

দে দৌড়!

উত্তরে যেতে মানা

দক্ষিণে আনাগোনা

পূর্বের হাতে লাঠি

পশ্চিমে দে দৌড়!

ছোটাও রেসের ঘোড়া

হারজিৎ পরে হবে

ও দেখ জগৎ জোড়া ময়দান আছে

দে দৌড়!!

নেই ভয় নেই লাজ

এসো তবে হয়ে যাক

এগিয়ে চলার

দে দৌড়!!!

কানে কানে বলি শোন

এ যে মিনি ম্যারাথন

গতি আছে যতক্ষন

দে দৌড়!!!

আঁকাবাঁকা সোজা পথে

দলবলে যেতে যেতে

ফিরে আসা নেই তাই

দে দৌড়!

চলছে জীবনরথ

যত মত তত পথ

কার আগে কি পবো কি হারাবো

দে দৌড়!

উত্তরে যেতে মানা

দক্ষিণে আনাগোনা

পূর্বের হাতে লাঠি

পশ্চিমে দে দৌড়!

দে দৌড়!!!!!!!"
Marjuk Rasel,রাখে আল্লাহ মারে কে,"নিরানব্বই নামে তিনি

দুই ভুবনের মধ্যমণি

নিরানব্বই নামে তিনি

দুই ভুবনের মধ্যমণি

তার ইচ্ছায় বাধা দেয় কে

রাখে আল্লাহ মারে কে

তার ইচ্ছায় বাধা দেয় কে

রাখে আল্লাহ মারে কে

আনিবো আস্থা বলিল বান্দা

ভাগ করো যদি আকাশের চন্দ্রা

স্মরণে আল্লাহ মোহাম্মাদের ইশারায়

দুইভাগ হইল আকাশের চন্দা

তার ইচ্ছায় বাধা দেয় কে

রাখে আল্লাহ মারে কে

তার ইচ্ছায় বাধা দেয় কে

রাখে আল্লাহ মারে কে

আল্লাহর বান্দা ইব্রাহীম নবী

বিপদের মাঝে ডাকিলেন তিনি

আদেশে দয়ালের হইল সবি

হইল আগুন বাগানের ফুলি

তার ইচ্ছায় বাধা দেয় কে

রাখে আল্লাহ মারে কে

তার ইচ্ছায় বাধা দেয় কে

রাখে আল্লাহ মারে কে"
