Writer,Title,Song
Masud Karim,আমি রজনীগন্ধা ফুলের মত,"আমি রজনীগন্ধা ফুলের মত

গন্ধ বিলিয়ে যাই

আমি মেঘে ঢাকা চাঁদের মত

জোছনা ঝরিয়ে যাই

আমি গানে গানে প্রানের যত

বেদনা লুকাতে চাই।।

বুকের মাঝে যে বাঁশী

অকারনে বার রার

পায় না তো অধিকার।

আজও এ কথা আমি যে শুধুই।

নিজেকে বোঝাতে চাই।।

চলার পথে কাঁটা যে হতে

চাই নাকো আমি আর

ভুল ভাঙ্গে যদি তার।

আমি নিরবে ভাল যে বেসে।

নিজেকে পোড়াতে চাই।।"
Masud Karim,যখন আমি থাকবো নাকো,"যখন আমি থাকবো নাকো

আমায় রেখো মনে

ও বন্ধু ওগো আমায় খুজো সুরের আলাপনে।।

বেজে বেজে বাশি থেমে যাবে জানি

ভেঙ্গে যাবে খেলা ঘর, ভেঙ্গে যাবে খেলা ঘর

ঢেউয়ে ঢেউয়ে নদী বয়ে যাবে দূরে

পরে রবে বালুচর

পথহারা পাখি পথ খুজে খুজে।

ক্লান্ত নিরজনে।।

শ্রাবনের ধারা ঝরে যাবে যদি

অভিমানে কত কাল।

বুক ভরা আশা ভীরু ভালবাসা

পাবে না তো অধিকার

তোমাদের সুখে সুখি হতে আমি।

চেয়েছি যে জীবনে।।"
Masud Karim,যখন থামবে কোলাহল,"যখন থামবে কোলাহল

ঘুমে নিঝুম চারিদিক

আকাশের উজ্জল তারাটা

মিটমিট করে শুধু জ্বলছে

বুঝে নিও তোমাকে আমি ভাবছি

তোমাকে কাছে ডাকছি

ঘুমিয়ে পড়ো না বন্ধু আমার

জেগে থেকো সেই রাতে।।

যখন ফুলের গন্ধ এসে

আবেশ ছড়াবে মনে

বুঝে নিও আমি

আসছি সঙ্গোপনে।

কোকিলের ডাক যদি শোনো

আমি আর দুরে নেই জেনো

একটু পরেই দেখা হবে দুজনাতে।।

যখন দখিন বাতাস গায়

পরশ বুলাবে এসে

জেনো এসে গেছি

আমি অবশেষে

বাসনার সেই নদী তীরে

চিনে নিও প্রিয় সাথীরে

স্বপ্ন ভেবে কেঁদো নাকো বেদনাতে।।"
Masud Karim,শিল্পী আমি তোমাদেরই গান শোনাবো,"শিল্পী আমি তোমাদেরই গান শোনাবো

তোমাদেরই মন ভরাবো

শিল্পী হয়ে তোমাদেরই মাঝে

চিরদিন আমি রবো

শিল্পী আমি শিল্পী।।

আমিও সুখে দুখে মানুষ গড়েছি স্বপ্নের ফানুস

আছে ভাবনা আছে যাতনা

আছে প্রেম ভালবাসা মনে

সেই প্রেম আমি যে আজ বিলাবো।।

কখনো গান থেমে গেলে আমাকে যেয়োনাকো ভুলে

রেখো মনে তে এই আমি যে

তোমাদের কতো কাছে ছিলাম

স্মৃতি হয়ে চিরদিন বেঁচে রবো।"
Masud Karim,"সন্ধ্যার ছায়া নামে, এলোমেলো হাওয়া","সন্ধ্যার ছায়া নামে, এলোমেলো হাওয়া

ভালো লাগে জীবনের এই গান গাওয়া।।

একটি দু’টি তারা জ্বলে আকাশের কোলে

ভীরু ভীরু চোখে কোন স্বপ্ন যে দোলে।

সাতরঙা সেই রঙে মন হলে ছাওয়া

এই মন কখনও কি যায় ফিরে পাওয়া।।

আঁধারের শেষে জানি আছে শুধু আলো

অচেনাকে চিনে নিতে তাই লাগে ভালো

সে চেনায় হয় যদি আরো কিছু পাওয়া

এ মনের সাধ্য কি আর পিছু ফিরে যাওয়া।।"
Masud Karim,শত্রু তুমি বন্ধু তুমি,"শত্রু তুমি বন্ধু তুমি, তুমি আমার সাধনা

তোমার দেয়া আঘাত আমায়

দেয় যে মধুর বেদনা

তুমি আমার সাধনা

যে চোখে তোমার প্রেমের কাজল

সে চোখে আবার কিসের অনল

স্বপ্ন হয়ে পিছু ডাকো

দুঃখ দিয়ে দূরে রাখো

তুমি আমার পূর্ণিমা চাঁদ

রাত্রি দিনের যন্ত্রণা।।

যে হাতে তোমার পরম মালা

সে হাতে আবার মরণ জ্বালা

বন্ধু তোমাকে ভাবতে গেলে

শত্রু হয়ে যে দেখা মেলে

ভালোবেসে শূন্য হলাম

এইতো আমার সান্ত্বনা।।"
Masud Karim,এ কি বাধনে বলো জড়ালে আমায়,"এ কি বাধনে বলো জড়ালে আমায়

ভাবি যতবার মরি লজ্জায়।।

প্রাণে এত স্বপ্নের দোলা লাগে

পারিনিকো জানতে আমি আগে

ভালবেসে এ হৃদয় তুমি তো সাজালে

বাসনারই রঙে রাঙা জোছনায়।

ফুলে চাওয়া ফাল্গুন আমার দ্বারে

ভাবিনি তো ডাকবে অভিসারে,

কাছে এসে আমাকে তুমিতো ভেজালে

সুরভিত কামনার ভরসায়।

এ কি বাধনে বলো জড়ালে আমায়

ভাবি যতবার মরি লজ্জায়।।"
Masud Karim,ভালবাসার স্বপ্নে ঘেরা,"ভালবাসার স্বপ্নে ঘেরা।

অনুরাগের ছোয়ায় ভরা সুখের বাসর।।

কখনও এমন করে ছিল না জানা

এ জীবনে আছে যে স্বাদ আছে বাসনা।

সোহাগিনী আমি তোমার পেয়ে যে আদর।।

তোমার এ বাহুর বাধন খোল না প্রিয়

সুখে দুঃখে এ বুকে ঠাই আমাকে দিও

চিরদিন রেখো তোমার প্রেমের দোসর।।"
Masud Karim,ঐ ভীরু মন আমার মনে,"ঐ ভীরু মন আমার মনে রিমঝিম বৃষ্টির সুরে

গান শুনিয়ে যাবে চিরদিন তুমি কথা দাও।।

ঐ দুটি চোখ আমার চোখে স্বপ্নের ঝিলমিল রঙ্গে

ছবি আঁকবে ওগো চিরদিন তুমি কথা দাও

আমার ভালবাসাতে আপন করে

তোমায় পেলে চাই না কিছু আর

আমার আধার জীবনে আলো জ্বালাতে

তুমি এলে চাই না কিছু আর

সুখে দুখে সাথী হয়ে রইবে আমার তুমি কথা দাও।।

আমার সুখের বাসরে যদি কখনও

আগুন লাগে স্বপ্ন ভেঙ্গে যায়

আবার নতুন সোহাগে দুটি হৃদয়ে

বাসর তখন গড়বো দুজনা

ভালবেসে ঐ বুকে রাখবে আমায় তুমি কথা দাও।।"
Masud Karim,যদি ভালবেসে কাছে এলে বন্ধু,"যদি ভালবেসে কাছে এলে বন্ধু

যদি জীবনের সাথী হলে বন্ধু

বল তুমি বল

আরো আগে কেন তুমি এলে না

যদি দুটি চোখে এঁকে দিলে স্বপ্ন

যদি এত সুখে ভরালে লগ্ন

বল তুমি বল

আরো আগে কেন দেখা দিলে না।।

অচেনা পথে আজ ছুটে চলতে

না বলা কথা আর শুধু বলতে

কোন বাধা নেই কোন মানা নেই

না না কিছু নেই ভাবনা।

বুঝি নি তো আগে

দুটি প্রানে ছিল এত বাসনা।।

হু…হু….হু….হ….

আ…আ…আ…আ….

হু…হু….হু….হ….

আ…আ…আ…আ….

ওম…ওম…ওম…..

যদি বা আসে ঝড় বল ভয় কী

ও (এ) বুকে লুকাতে মিছে লাজ কী

না না দ্বিধা নেই চির সোহাগেই

যাব হারিয়ে দুজনা।

তুমি আছ বলেই

অনুরাগে ঝরে প্রানে জোছনা।।"
