Writer,Title,Song
Mohammad Rofikuzzaman,আমি তো কেবলই এক সাধারণ মেয়ে,"আমি তো কেবলই এক সাধারণ মেয়ে।

আমার মনটা তো হায় বোঝে না অতো শত

জানবো কেমন করে তুমি

কখন কিসে যে পাও দুঃখ কত।

ঞ্জানে না এ মন প্রেম যে কেমন

শুধু জানে তুমি, তুমি আপন

আমি দোষ করলেও তোমার কাছে

ভুল করলেও তোমার কাছে

তোমাকে নিয়ে আমার প্রেণটা হাসে যত।। (ও…)

বল না কি হয় ভাবলে হৃদয়

তুমি ছাড়া আমি বল আমি তো নয়

তুমি রাগ করলেও তোমারই আছি

মান করলেও তোমারই আছি

তোমাকে ছাড়া আমি ভাবতে পারি না তো।। (ও…)"
Mohammad Rofikuzzaman,আমাকে দেখার সেই চোখ তোমার কই গো,"আমাকে দেখার সেই চোখ তোমার কই গো।

সেই চোখের আগুন ধরবো বলে গোলাপ হয়ে রই গো।।

কথা দিলাম আর তো আড়াল করবো না

ছুয়ে দিলেই ধরবো না।

মরবো লাজে আমি তেমন লজ্জাবতী নই গো।।

আমি না হয় তৃষ্ণা মেঘের বৃষ্টিতে

ভিজে গেলাম দৃষ্টিতে।

দোষ কি বলো যদি তেমন মন্দ আমি হই গো।।"
Mohammad Rofikuzzaman,দুঃখ দিতেই ফিরে এলে,"দুঃখ দিতেই ফিরে এলে তুমি এলে

নিভে যাওয়া স্মৃতিগুলো

ব্যথার আগুনে দিলে জ্বেলে

তুমি এলে কেন এলে।।

পথ চাওয়া দৃষ্টি ক্ষয়ে গিয়েছিল

একা একা থাকাও সয়ে গিয়েছিল।

খেলা ভাঙ্গা খেলাঘরে

আমায় তো গিয়েছিলে ফেলে।।

দুটি চোখে তৃষ্ণার কাজল সাজিয়ে

ভুলেছিলে বেশ তো দূরে চলে গিয়ে।

জানি না কি সুখে তুমি

অতিত আবারও দিলে মেলে।।"
Mohammad Rofikuzzaman,সুখ পাখিরে পিঞ্জিরা তো খুলে দিলেম আজ,"সুখ পাখিরে পিঞ্জিরা তো খুলে দিলেম আজ

বুঝলাম আমি সুখ সে তো নয় খাঁচায় পোষার কাজ।

চান্দিরও পিঞ্জিরা আর কাঞ্চনও শিকল।

দিল না দিল না ঢেকে বুকের অনল

কী হবে পঙ্খীরে তোরে দিয়ে মোহন সাধ

বুঝলাম আমি সুখ সে তো নয় খাঁচায় পোষার কাজ।

অন্তরে বেন্ধেছি ঘর চান্দের কিরণ।

জানি না জানি না সে কি রূপেরই মরণ

কি হবে চন্দনে ঢেকে কলঙ্কেরই লাজ

বুঝলাম আমি সুখ সে তো নয় খাঁচায় পোষার কাজ।"
Mohammad Rofikuzzaman,এতো সুখ সইবো কেমন করে,"এতো সুখ সইবো কেমন করে

বুঝি কান্নাই লেখা ছিল ভাগ্যে আমার

সুখেও কান্না পায় দুচোখ ভরে।।

দুখের স্রোতে ভাসা ফুল

কোনদিন পায় না তো কূল।

আমি বুঝিবা পথের ভুলে

এলাম নতুন কূলে।

এ পথ আবার দূরে যাবে কী সরে।।

স্বপ্নের মত মনে হয়

হারাবার তাই এতো ভয়।

তুবু যেটুকু পেলাম আমি

প্রানের চেয়েও দামি।

চোখের জলে সবই যাবে কী ঝরে।।"
Mohammad Rofikuzzaman,যে আমার হৃদয় করলো চুরি,"যে আমার হৃদয় করলো চুরি

তার হলো না হলো না বিচার

শুধু হৃদয়হীনা বলে অপবাদ রটলো আমার।।

আমি তো চাই নি হতে চাই নি হতে এমন দোষী

কেন যে ভাগ্য দোষে আমি হলাম রূপসী।

লোকের চোখে কাঁটা হয়ে আমি রইবো কত আর

হলো না হলো না বিচার

শুধু হৃদয়হীনা বলে অপবাদ রটলো আমার।।

আমার এ মন নিয়ে যে মন নিয়ে যে মন দিলো না

কেন যে কেউ দেখে না তার এ হৃদয় ছলনা।

আমি আরেকটি মন কোনখানে পাই দিতে উপহার

হলো না হলো না বিচার

শুধু হৃদয়হীনা বলে অপবাদ রটলো আমার।।"
Mohammad Rofikuzzaman,দিন কি রাতে সাজ প্রভাতে,"দিন কি রাতে সাজ প্রভাতে

তোমারি আছি এই তো

তুমি ছাড়া জীবনে আমার

কিছু চাওয়ার নেই তো

জীবন বল মরণ বল

তুমি আমার সেই তো।।

সামনে রেখিও দুচোখে দেখিও

এক পলকের আড়াল হলে, কাটে না যে ক্ষণ

ও কাছে না এলে গো

বুকে না পেলে গো

হৃদয় আমার কেঁদে মরে, ভরে না তো মন

তোমার মাঝে হারিয়ে খুঁজি

নতুন আমাকে এই তো।।

লজ্জা কী আবার তুমি তো আমার

বুকের ভিতর রাখা ওগো সুখের অলঙ্কার

ও তোমাকে যে চেয়েছি তোমাকে পেয়েছি

এর চেয়ে বড় আছে কি আমার অহংকার

সারাটি জীবন কেঁটে যাবে স্বপ্ন সাজাতেই তো।।"
Mohammad Rofikuzzaman,তুমি এমনই জাল পেতেছো সংসারে,"তুমি এমনই জাল পেতেছো সংসারে

কার বা এমন সাধ্য আছে

এই মায়াজাল ছিঁড়ে যেতে পারে।।

আমার মনের মাঝে বসে যে প্রেম

নিত্য বাজায় বাঁশী।

জগৎ জুড়ে তারই খোঁজে

হলাম পরবাসী।

বন্ধ চোখে রূপ দেখি যার

দু’চোখে মেলে পাই না খুঁজে তারে।।

আমার সুখের ঘরে দিয়ে তালা

সুখ পিয়াসে মরি।

নিজের সাথে খেলি নিজেই

নিঠুর লুকোচুরি।

পূর্ণ চাঁদে দৃষ্টি দিলে

গ্রহণ যেন লাগে বারে বারে।।"
Mohammad Rofikuzzaman,"দুঃখ আমার, আমার বাসর রাতের পালঙ্ক","দুঃখ আমার, আমার বাসর রাতের পালঙ্ক

নিন্দা আমার প্রেম উপহার।

সাত নদী হার কলঙ্ক।।

শাষণ বেড়ী দুই পায়ে মল পড়েছি

আর আপবাদে কালি আছে

দুই চোখে তাই পড়েছি।

মরমের আগুন এখন দ্বিগুন আমার।

দিবস রাতি নিঃসঙ্গ।।

সুখের সাথে ঘর করা তাই হল না

এই বুকেতে থাকা কাঁটাটাকে

পর করা তাই হল না।

কপালের লিখন এখন বসন হয়ে

জড়িয়ে আছে অঙ্গ।।"
Mohammad Rofikuzzaman,আমার মন পাখিটা যায়রে উড়ে যায়,"আমার মন পাখিটা যায়রে উড়ে যায়

ধানশালিকের গাঁয়, যায়রে উড়ে যায়

নাটা বনের চোরা কাঁটা ডেকেছে আমায়।।

আমি যখন যেথা থাকি

হৃদয় ভরা স্বপন হয়ে

বাঁধন হয়ে আপন হয়ে

জড়িয়ে থাকি বাংলাদেশের ভালবাসার রাখি।

আহা কাজল দীঘি দীঘল আঁখি

বুকের ভিতর পাপড়ি মেলে চায়।।

আমি কেমন করে ভুলি

শিশির মাঠের শ্যামল খাতায়

বেতস লতায় চিরল পাতায়

ছড়িয়ে থাকা দূর্বা সবুজ কিশোরী দিনগুলি।

আহা মটর শুটি, কমল স্মৃতি

সজল হয়ে ঘিরলো দুটি পায়।।"
