Writer,Title,Song
Prince Mahmud,বিদ্রোহী,"বিদ্রোহী আমি এখন,

আর কাঁদি না যখনতখন একটু ব্যাথায়….

বিদ্রোহী আমি এখন,

ভেঙে পরিনা শত আঘাতে লাঞ্ছনায়….।।

দরদিয়া দুখের বারুদ ঠাসা এ বুকে…

দরদিয়া ব্যাথার সে সুদ বাড়ছে সুখে….

দুখের বারুদ উঠবে জ্বলে

ছারখার করবে ঐ পৃথিবী….

ধ্বংস হবে প্রতিটি পলে…

বুঝবে অন্যায় ছিল সবই….

ভেঙে ভেঙে ভেসে গেছি আমি ধুঁকে ধুঁকে

ভালবাসি বলোনাতো আর ঐ মুখে……।

দরদিয়া দুখের বারুদ ঠাসা এ বুকে…

দরদিয়া ব্যাথার সে সুদ বাড়ছে সুখে….।

ব্যাথার সে সুদ আসল সহ নেবো ফেরত পাই পাই স্মরণে রেখো….

আমার জীবন বেদনাবহ,

তুমি হাসো সুখি চোখে, তুমি দেখো….

ভেঙে ভেঙে ভেসে গেছি আমি ধুঁকে ধুঁকে

ভালবাসি বলোনাতো আর ঐ মুখে……।

দরদিয়া দুখের বারুদ ঠাসা এ বুকে…

দরদিয়া ব্যাথার সে সুদ বাড়ছে সুখে….।

বিদ্রোহী আমি এখন,

আর কাঁদি না যখনতখন একটু ব্যাথায়….

বিদ্রোহী আমি এখন,

ভেঙে পরিনা শত আঘাতে লাঞ্ছনায়….।।

দরদিয়া দুখের বারুদ ঠাসা এ বুকে…

দরদিয়া ব্যাথার সে সুদ বাড়ছে সুখে…."
Prince Mahmud,দেবদাস,"আরও গভীরে যদি যেতে

আমার প্রতি ভাবনায়,

আবগেই খেলা খেলেছে কে

জীবন নিয়ে আমার।

পৃথিবীকে এইটুকু আনুরধ হায়

উপহাস করোনা নিয়ে হ্রদয়,

দেবদাস বলনা আমায়।

তানপুরাটা বাঝেনা সুরে

এ জীবন সেতো ছিঁড়ে যাওয়া তার

নিঃস্ব করে আজ যে বহু দূরে

হতে চাইনা তার করুনা ।

পৃথিবীকে এইটুকু আনুরধ হায়

উপহাস করোনা নিয়ে হ্রদয়,

দেবদাস বলনা আমায়।

ও পিয়ানোতে নেই সে মধুর ঝংকার

টুং টাং টুং টাং শব্দে বাজেনা সে আর

জীবন আমার সেই ভাঙ্গা পিয়ানো

বিষাদের স্বরলিপি যার।

পৃথিবীকে এইটুকু আনুরধ হায়

উপহাস করোনা নিয়ে হ্রদয়,

দেবদাস বলনা আমায়।"
Prince Mahmud,মন,"মন শত পাহারায়

মন যত বেঁধে রাখো

মন সে তো হারিয়ে যাবে।

মন কোন অগোচরে

মন সে তো নিয়ম ভেঙ্গে

মন ঠিকই পালিয়ে যাবে।

একদিন হঠাৎ করেই

দেখবে সে তোমাতেই নেই

কোন এক মানুষকে

ঠিক সে খুঁজে নেবেই।

ভেবেছিলাম থাকবো একা আমি

ভালোবাসার ফাঁদে পড়বো না আমি

যতই প্রলোভন আসুক না কেন

কাউকে ভালবাসবো না

জানিনা হঠাৎ করেই

এ আমার কি যে হলো

আমারই অজান্তেই

এ মন হারিয়ে গেলো।

প্রেমের এই ফাঁদ পাতা ভুবনে

কে কখন হারায় কে জানে

আমিও সে ফাঁদে পড়ে

না বুঝে এর কি মানে।"
Prince Mahmud,ছায়ামেঘ,"তোমায় ভালোবাসি

তাই ছায়ামেঘ আমি হবো

যখন রোদ্দুরে তুমি হাঁটো।

থাক চোখভাঙ্গা হাসি

তাই নুনে ভরা ব্যথা জলটুকু তুমি

আমার দু’চোখে বাটো।

সারা দিনমান যেখানেই তুমি

ঠিক সেখানেই থাকবো

যতটুকু ভালবাসা সম্ভব

ততটুকু ভালবাসবো

স্বপ্নেও ওম ওম হবো

হবো তোমার রেশমী চাদর

যখন ঘুমের রাজ্যে হাঁটো।

খোলা হাওয়া হয়ে যাবো বয়ে বয়ে

তোমার পাশে ভাসবো

বুক ভরে তুমি নিঃশ্বাস নিও

তোমর ভেতরে হাসবো

স্বাপ্নিক পৃথিবী থেকে

এনে দেবো রঙ সুতো

তুমি স্বপ্ন চরকা কাটো।"
Prince Mahmud,আঙুল,"ও অভিমানী রুপলী জলে প্রভায় হৃদয় আমার ভিতরে রাখতে

দুপুর গড়িয়েও সন্ধ্যা হলে ও আমায় ছূয়ে থাকতে

সেখানে হঠাৎ মেঘের প্রপাত করল আঁধার উল্লাস

কারণ টা কি জানা হয়নি সেই থেকে একা বসবাস

ও অভিমানী…….

এত পিছুটান এত অভিমান এখনো ও চোখের ভাষায়

এত অভিমান এত পিছুটান তবুও থাকছি আশায়।

আমি আবারো তোমার ঐ আঙুলে আমার আঙুল রাখবো

ফিরে এসে বলবে ও পাগল বলে আছি, তোমার তোমারী থাকবো।

ও ও ও ও ও ও ও ও

দশমীর ভাঙ্গা চাঁদ আবারো একসাথে দেখবো

শ্রাবনের ধারাতে আবারো একসাথে ভিজবো

এত অভিমান এত পিছুটান তবু থাকছি আশায়।

আমি আবারো তোমার ঐ আঙুলে আমার আঙুল রাখবো

ফিরে এসে বলবে ও পাগল বলে আছি তোমার তোমারী থাকবো।

রুপলী সে জলের প্রভা এখনো আমার এই মন

তুলনা করনা তুমি আগেও করতে যেমন

এত অভিমান এত পিছুটান তবু থাকছি আশায়।

আমি আবারো তোমার ঐ আঙুলে আমার আঙুল রাখবো

ফিরে এসে বলবে ও পাগল বলে আছি তোমার তোমারী থাকবো।"
Prince Mahmud,সমাধী,"ঐ ওপারের ডাক এসে গেছে

শেষ খেঁয়া বুঝি হবে পাঁড়ি দিতে

তুমি আসনি অভিমানী এই মনে

অভিমান ভেঙ্গে কোন খোঁজ নিতে

তুমি এসো না ফুল দিতে আমার সমাধীতে

সেই সৌরভ মাটি পাবে সব

কিছু পারবো না আমি নিতে।

অস্তাচলে সূর্য ডুবে গেলে

ফিরিয়ে, তাকে কি আনা যায়

ব্যাথার দীর্নতা তোমায় ভাবাবে

বুঝবে একজন ছিল ভালোবাসতো তোমায়

তুমি এসোনা ফুল দিতে আমার সমাধীতে

সেই সৌরভ মাটি পাবে সব

কিছু পারবো না আমি নিতে।

লোনাজলে প্রাণহীন অপ্সরী

হয়তো দুচোখ তোমার ভিজে উঠবে

তখন আমি অনেক অনেক দূরে

পৃথিবী তোমার অসহনীয় মনে হবে।

তুমি এসো না ফুল দিতে আমার সমাধীতে

সেই সৌরভ মাটি পাবে সব

কিছু পারবো না আমি নিতে

তুমি এসোনা ফুল দিতে আমার সমাধীতে

সেই সৌরভ মাটি পাবে সব

কিছু পারবো না আমি নিতে।।"
Prince Mahmud,যদি হিমালয় হয়ে দুঃখ আসে,"যদি হিমালয় হয়ে দুঃখ আসে

এ হৃদয়ে সে কিছু নয়

শত আঘাতেও নিঃস্ব যে আজ

তার আবার, হারানোর ভয়

কি ভুলে আমি এত সয়েছি যে ব্যাথা

কি করে ভুলেছি অতীতের কথা।

জানতেও পারবে না কেউ তা।

প্রশ্ন করো না কেন হৃদয় দুঃখের হিমালয়

প্রশ্ন করো না ভিসুভিয়াস এ বুকে কেন জ্বলে রয়।

বেহাগের সুরে সুখ গিয়ে দূরে আসে অশুভ বারতা

কি ভুলে আমি এত… কেউ তা ।

দল বেধে সব দুঃখ আসে মৌন প্রেমের সর্বনাশে

ভোরের শিশির শুকোবে জেনেই তপ্ত রোদ হাসে।

বেহাগের সুরে সুখ গিয়ে দূরে আনে অশুভ বারতা

কি ভুলে আমি এত… কেউ তা।।"
Prince Mahmud,কোন কারণেই,"কোন কারণেই, কোন কারণেই

ফেরানো গে্লনা তাকে

ফেরানো গেলনা কিছুতেই

কোন বাঁধনেই, কোন বাঁধনেই

বাঁধাতো গেলনা তাকে

বাঁধাতো গেলনা কিছুতেই

সে যে হৃদয় পথের রোদে

একরাশ মেঘ ছড়িয়ে

হারিয়ে গেল নিমেষেই।।

কি কারণ যায়নি সে বলে

কি ভূল আমি, করেছি ভূলে

অজস্র বার আমি ক্ষমা চেয়েছি নিজে জ্বলে।

নিঃসীম আধারে পথ চলা

নিজের সাথেই কথা বলা,

বিষন্নতার, বন্ধু যখন চেতনাতে।

সে যে হৃদয় পথের রোদে

একরাশ মেঘ ছড়িয়ে

হারিয়ে গেল নিমিষেই।।"
Prince Mahmud,আমি বারোমাস তোমায় ভালোবাসি,"আমি বারোমাস তোমায় ভালোবাসি

তুমি সুযোগ পাইলে বন্ধু বাসিও

আমি বারোমাস তোমার আশায় আছি

তুমি অবসর পাইলে আসিও

আষাঢ় শ্রাবণে ঘন বরষার সাথে

দিনগুলো কাটে না বিরহ ব্যথাতে ।।

আসছে মাসে না হয় পত্র দি…।

তুমি অবসর পাইলে আসিও

আমি বারোমাস তোমায় ভালোবাসি

তুমি সুযোগ পাইলে বন্ধু বাসিও

ভাদ্র আশ্বিনে কয় জনে জনে

কতকাল একা থাকো মন উচাটনে ।।

অগ্রহায়ণে তুমি আদর জানিও

তুমি অবসর পাইলে আসিও

পৌষ মাঘ কাটে না বুঝি এই শীতে

একটু কি পারো নাই কোনো খোঁজ নিতে ।।

বৈশাখী ঝড় মনে শুধু জানিও ।।

তুমি অবসর পাইলে আসিও

আমি বারোমাস তোমায় ভালোবাসি

তুমি সুযোগ পাইলে বন্ধু বাসিও

আমি বারোমাস তোমার আশায় আছি

তুমি অবসর পাইলে আসিও"
Prince Mahmud,আবার দেখা হবে,"বোঝাতে কি পেরেছি তোমাকে যে তা

বিরহে নিহিত সেই শোক বারতা

যখন আমি থাকব না তোমার কাছে

আমায় পাবে গীতিকবিতা মাঝে

যাবার বেলায় শুধু সান্তনা নয় কান্না

আবার দেখা হবে এখনি শেষ দেখা নয়

আবার কথা হবে এখনি শেষ কথা নয়

অশ্রু মুছে তুমি তাকাবে

মনকে আলোকিত করবে

তোমার অশ্রু আমায় দূর্বল করে দেয়।

হৃদয়ের না বলা কথা

সে আমার না লেখা বারতা

মেঘকে দূত করে পাঠাব কখনো তোমায়।"
