Writer,Title,Song
Prodip Saha,কষ্টের মিছিলে,"ভালবাসি বলে দু’চোঁখের জলে

হারানো তোমাকে খুঁজি কষ্টের মিছিলে

বুকের অন্তরালে স্মৃতি গেছো ফেলে

লাগেনা কিছুই ভালো তুমি নেই বলে……………।।

নদীর কাছে প্রশ্ন করি ভালবাস কাকে

চোখের আড়াল হলে কেন কষ্ট বাড়ালে"
Prodip Saha,একটাই প্রশ্ন আমার,"একটাই প্রশ্ন আমার কেন ভালবাসোনি

আমাকে দুঃখ দিতে একটু কি তুমি ভাবোনি

এতোটা কাঁদতে হবে আগে আমি বুঝিনি

ও আমার সুস্মিতা দিয়েছ যে কথা

সে কথা কেন রাখোনি।।"
Prodip Saha,আমার প্রিয় বান্ধবী,"সুখে থেকো প্রিয়া সুখে থেকো

ভালো থেকো প্রতিদিন

জীবন নামের জলছবিটা

যেন হয়না মলিন

ফুলের মত হোকনা সুন্দর

তোমার দিনগুলি

রইলো আমার শুভ কামনা

তোমাকে বলি

আমার প্রিয় বান্ধবী…আমার প্রিয় বান্ধবী

আমার প্রিয় বান্ধবী…আমার প্রিয় বান্ধবী"
Prodip Saha,আমার বাংলাদেশ শান্তির বাংলাদেশ,"দরিদ্র বঞ্চনা,সন্ত্রাস যন্ত্রণা,গুছিয়ে এনে দিলে-উন্নয়নের ঠিকানা

জিয়া,জিয়া,খালেদা জিয়া,তোমার নেই তুলনা

আমার বাংলাদেশ শান্তির বাংলাদেশ

আমার বাংলাদেশ স্বপ্নের বাংলাদেশ।

ওরা চাই মৃত্যু মানুষের লাশ

হরতাল মিছিলে দেশের সর্বনাস ।।

তুমি দিলে নিরাপদ জীবন জনগনের

শুধু তুমি দিলে মর্যাদা গনতন্ত্রের

জিয়া,জিয়া,খালেদা জিয়া,তোমার নেই তুলনা

আমার বাংলাদেশ শান্তির বাংলাদেশ

আমার বাংলাদেশ স্বপ্নের বাংলাদেশ।।

যারা করে ক্ষুন্ন স্বাধীনতার মান

করে বিদেশে-দেশের বদনাম।।

তারা কেন পাবে বল ঠাই এই মাঠিতে-

যারা তুলে দিতে চাই দেশকে অন্য হাতে ,

জিয়া,জিয়া,খালেদা জিয়া,তোমার নেই তুলনা

আমার বাংলাদেশ শান্তির বাংলাদেশ

আমার বাংলাদেশ স্বপ্নের বাংলাদেশ।

দরিদ্র বঞ্চনা,সন্ত্রাস যন্ত্রণা,গুছিয়ে এনে দিলে-উন্নয়নের ঠিকানা

জিয়া,জিয়া,খালেদা জিয়া,তোমার নেই তুলনা,,

আমার বাংলাদেশ শান্তির বাংলাদেশ

আমার বাংলাদেশ স্বপ্নের বাংলাদেশ।"
Prodip Saha,যেটুকু সময় তুমি থাকো পাশে,"যেটুকু সময় তুমি থাকো পাশে

মনে হয় এ দেহে প্রাণ আছে

বাকিটা সময় যেন মরণ আমার

হৃদয় জুড়ে নামে অথৈ আঁধার

ব্যথার সমাধিতে বসে এ মন

ফোটায় আশার ফুল রাশি রাশি

যখন দেখি ওই মুখের হাসি

স্বপ্ন থেকে আসো নয়নেতে

নয়ন থেকে তুমি স্বপ্নে হারাও

জাগরণে এসে কাছে দাঁড়াও

শিশুকালের রূপকথাগুলো

পায়ে পায়ে সব আসে ফিরে

তোমার কথা রূপকথা ঘিরে

ভুলে ভরা যত স্বরলিপি

গানের কোকিল হয়ে উঠে ডেকে

কাছে এলে তুমি দূরে থেকে"
Prodip Saha,সংশয়,"একদিকে তুমি অন্যদিকে তোমাকে হারানোর ভয়

জানিনা অবশেষে পাবো কিনা তোমাকে

তাই ভেবে কাটে দিন কাটে রাত

কাটেনা তবু সংশয়, কাটে না তবু সংশয়

ভালোবাসার নদি

ছুটে চলে অবিরত

না পেলে তোমায় আমি

সইব কি করে দুঃখ এতো

দ্বিধা আছে তবু তোমাকেই চায়

এই মন এই প্রান এই হ্রদয়

আসা যাওয়ার পথে

দিন গুনে থাকি চেয়ে

না এলে তুমি কাছে

থাকব কি করে কস্ট নিয়ে

তোমায় ভেবে শুধু আশা নিরাশায়

কেটে যায় যত অথই সময়

একদিকে তুমি অন্যদিকে তোমাকে হারানোর ভয়

জানিনা অবশেষে পাবো কিনা তোমাকে

তাই ভেবে কাটে দিন কাটে রাত

কাটেনা তবু সংশয়, কাটেনা তবু সংশয়"
Prodip Saha,কি ক্ষতি করেছি,"প্রতিহিংসা ছিল তোমার মনে

প্রেম বলে কোন কিছু ছিলনা

নিষ্ঠুর ছলনায় আঘাতে বেদনায়

দিয়েছো অনেক যন্ত্রণা

কি ক্ষতি করেছি তোমার বলোনা ।।

দুঃখ বাসা বাধে বুকে

চোখ দুটো ভরে কান্নায়

তোমারই কারণে এ জীবন

অন্ধকারে শুধু ঢেকে যায়

নিষ্ঠুর ছলনায় আঘাতে বেদনায়

দিয়েছ অনেক যন্ত্রনা

কি ক্ষতি করেছি তোমার বলোনা ।।

ভেঙ্গেছ হ্রদয় কী দোষে

কী ছিল ভুল আমার

এ কোন খেলা খেলেছ

আমারই সাথে তুমি বারবার

নিষ্ঠুর ছলনায় আঘাতে বেদনায়

দিয়েছ অনেক যন্ত্রনা

কি ক্ষতি করেছি তোমার বলোনা ।।

প্রতিহিংসা ছিল তোমার মনে

প্রেম বলে কোন কিছু ছিলনা

নিষ্ঠুর ছলনায় আঘাতে বেদনায়

দিয়েছো অনেক যন্ত্রণা

কি ক্ষতি করেছি তোমার বলোনা ।।"
Prodip Saha,মা,"আমি আল্লাহ্‌ রাসুল নবীর পরে করি যার প্রার্থনা

তার পায়েরই নিচে আমার বেহেশতের ঠিকানা

সে যে আমার মা জননী একটি প্রিয় নাম

কেমন করে শোধ করি মা তোর দুধেরই দাম

দিন দুনিয়ার কিছুই দিয়ে ঋণ শোধ হবে না

দোহায় মাগো আমার আগে উড়াল মারিস না

তোর চেয়ে মা আপন কোথাও নাইরে কেহ নাই

সারা জনম তোর কোলে মা পাই জেনোরে ঠাই

আসবো আমি ফিরে ফিরে যতোই দূরে যাই

মুখখানি তোর দেখলে মাগো শান্তি খুঁজে পাই

তুই যে বড় আদোরিনি তোর তুলনা নাই

তুই পাশে না থাকলে মাগো আমি কষ্ট পাই

চিরকালি নিয়ে শুধু তুই যে হাসি মুখ

নিজের স্বার্থটাকে ভুলে দেখলি আমার সুখ"
Prodip Saha,এখনও মাঝে মাঝে,"এখনও মাঝে মাঝে

মাঝ রাতে ঘুমের ঘরে

তোমার পায়ের আওয়াজ শুনি

যেনো তুমি এসেছো ফিরে

তুমি চলে গেছো অনেক দূরে

এই মনের আঙিনা ছেড়ে ।।

এই রাত সেই রাত

কেটে গেছে কতো রাত

কষ্টের হাওয়া বুকে নিয়ে

আর পড়ে আছে কতোনা স্মৃতি

বন্দী মনের কারাগারে-

তুমি চলে গেছো অনেক দূরে

এই মনের আঙিনা ছেড়ে ।।

এই প্রান এই মন

কেঁদে বলে সারাক্ষন

ভুলে গিয়ে আছ তুমি সুখে

আমি কাটাই প্রহর আর ভালবাসা

একা বেদনারই চরে

তুমি চলে গেছো অনেক দূরে

এই মনের আঙিনা ছেড়ে ।।

এখনো মাঝে মাঝে

মাঝ রাতে ঘুমের ঘরে

তোমার পায়ের আওয়াজ শুনি

যেনো তুমি এসেছো ফিরে

তুমি চলে গেছো অনেক দূরে

এই মনের আঙিনা ছেড়ে ।।"
Prodip Saha,তোমার চিঠি,"তোমার চিঠি পড়ে

গতকাল রাতে

একা একা কেঁদেছি নীরবে

মন জুড়ে ছিল শুধু বেদনা হাহাকার

আসেনি দু’চোঁখে ঘুম তোমাকে ভেবে।।

নিশ্চুপ নগরী নিস্তব্ধতা

আমি ছাড়া কেউ আর জেগে ছিল না

তোমার পাঠানো সেই পুরোনো ছবি আর

পুরনো স্মৃতিতে ছিলাম ডুবে

তোমার চিঠি পড়ে

গতকাল রাতে

একা একা কেঁদেছি নীরবে

ব্যর্থতা জিবনের সংগী এখন

পরাজিত ভালবাসা কস্ট বাড়ায়

বুকের জমানো ব্যথা

করে শুধু তোলপাড়

হৃদয় বিষাদে ভরে যায়

তোমার চিঠি পড়ে

গতকাল রাতে

একা একা কেঁদেছি নীরবে

মন জুড়ে ছিল শুধু বেদনা হাহাকার

আসেনি দু’চোঁখে ঘুম তোমাকে ভেবে।।

তোমার চিঠি পড়ে

গতকাল রাতে

একা একা কেঁদেছি নীরবে"
