Writer,Title,Song
Pulok Bondhopadday,কথা দাও আবার আসবে,"কথা দাও কথা দাও আবার আসবে

কথা দাও আবার আসবে

এমনি করে ভালোবাসবে

দিন যাক সেই ভরসায়।।

এ বরষা হয় হোক সারা।

থেমে যাক এই বারিধারা

আবার নদীর কূল ভাসবে।

একদিন নব বরষায়

দিন যাক সেই ভরসায়।।

শুধু এই কথাটুকু নিয়ে।

এ বিদায় দেবো খুশী হয়ে।

আবার নয়ন দু’টি হাসবে।

স্বপ্নের এক দূরাশায়

দিন যাক সেই ভরসায়।।"
Pulok Bondhopadday,সেই তো আবার কাছে এলে,"সেই তো আবার কাছে এলে।

এতদিন দূরে থেকে বলনা কি সুখ তুমি পেলে।।

এ কেমন ভালবাসা কে জানে

কি ভেবে গো ব্যথা দিলে এ প্রাণে।

নিজ হাতে মনি দ্বীপ নিভায়ে।

আবার নিজে দিলে জ্বেলে।।

তুমি তো আমায় ভাল চেনো।

তুমি ছাড়া কোন গান ভাবতেও পারিনা তা জেনো।

তবু যদি ভাব সবই ছলনা

সেই কথা মুখে কেন বলনা।

ঝরা মালা কেন দাও পরায়ে।

খুলিতে দাও না তারে ফেলে।।"
Pulok Bondhopadday,আজ মনে হয় এই নিরালায় সারাদিন ছন্দের গান শুনি,"আজ মনে হয় এই নিরালায় সারাদিন ছন্দের গান শুনি

আমি এক স্বপ্নের জাল বুনি

নিজেরে হারাই সুরের মায়ায় আজ মনে হয় এই নিরালায়

বাতাসের এই আবেশে চলে যাই অজানা দেশে

পাখিরা যেখানে শুধু মরমের কাকলি শোনায়

আজ মনে হয় এই নিরালায় সারাদিন ছন্দের গান শুনি

আমি এক স্বপ্নের জাল বুনি

নিজেরে হারাই সুরের মায়ায় আজ মনে হয় এই নিরালায়

কে যেন বলে গো আমায় আজ পৃথিবীতে নাই ব্যথা নাই

সে শুধু তুমি ওগো এতো কাছে আছ তাই

জীবনের এই দোলাতে যেন তাই হৃদয় মাতে

ফুলেরা কেন কে জানে এতো যে সুরভী ছড়ায়

আজ মনে হয় এই নিরালায় সারাদিন ছন্দের গান শুনি

আমি এক স্বপ্নের জাল বুনি

নিজেরে হারাই সুরের মায়ায় আজ মনে হয় এই নিরালায়"
Pulok Bondhopadday,সেদিন চাঁদের আলো চেয়েছিল জানতে,"সেদিন চাঁদের আলো চেয়েছিল জানতে

ওর চেয়ে সুন্দর কেউ আছে কী

আমি তোমার কথা বলেছি।

রূপসী বিজলী লতা পারেনি তা মানতে।

বলেছিল এ চমক কারো আছে কী

আমি তোমার কথা বলেছি।

তাঁরার বাসর থেকে একটি প্রদীপ নেমে এসে।

বলেছিল করুনায় হেসে

এতো খুশি ছড়ায়ে কী অসীমের প্রান্তে

এতো হাসি কোনদিন কারো আছে কী

আমি তোমার কথা বলেছি।

এ শুধু বলার ভুল

কানাকানি করেছিল কাকলি

আমি শুধু বলে গেছি

মেনে নাও তোমাদের যা বলি।

ফাগুনকুঞ্জ থেকে একটি পলাশ ঝরে পড়ে।

বলেছিল উপাহাস করে

কে পেরেছে এতো রঙ এ জীবনে আনতে

এতো রূপ কোনদিন কারো আছে কী

আমি তোমার কথা বলেছি।

রূপসী বিজলী লতা পারেনি তা মানতে।

বলেছিল এ চমক কারো আছে কী

আমি তোমার কথা বলেছি।।"
Pulok Bondhopadday,এক বৈশাখে দেখা হলো দু’জনায়,"এক বৈশাখে দেখা হলো দু’জনায়

জোষ্টিতে হলো পরিচয়

আসছে আষাঢ় মাস, মন তাই ভাবছে

কী হয় কী হয়

কী জানি কী হয়

এক বৈশাখে দেখা হলো দু’জনায়

তখনি তো হলো দেখা

যেই না নয়ন কিছু চেয়েছে

জানাজানি হয়ে গেছে

অধর যখনি কথা পেয়েছে

জানি না তো কী যে হবে

এর পরে কিছু পেলে এ হৃদয়

আসছে আষাঢ় মাস, মন তাই ভাবছে

কী হয় কী হয়

কী জানি কী হয়

এক বৈশাখে দেখা হলো দু’জনায়

জোষ্টিতে হলো পরিচয়

আসছে আষাঢ় মাস, মন তাই ভাবছে

কী হয় কী হয়

কী জানি কী হয়

প্রথমে চমক ছিল

তারপরে ভালোলাগা এসেছে

ডুবে গেছি সেই মন

যে মন খুশির স্রোতে ভেসেছে

জানি না তো কী যে হবে

সব কিছু হয়ে গেলে তন্ময়

আসছে আষাঢ় মাস, মন তাই ভাবছে

কী হয় কী হয়

কী জানি কী হয়

এক বৈশাখে দেখা হলো দু’জনায়

জোষ্টিতে হলো পরিচয়

আসছে আষাঢ় মাস, মন তাই ভাবছে

কী হয় কী হয়

কী জানি কী হয়"
Pulok Bondhopadday,আমার বলার কিছু ছিল না,"আমার বলার কিছু ছিল না

না-গো আমার বলার কিছু ছিল না

চেয়ে চেয়ে দেখলাম তুমি চলে চলে

তুমি চলে গেলে চেয়ে চেয়ে দেখলাম

আমার বলার কিছু ছিল না

সব কিছু নিয়ে গেলে যা দিয়েছিলে

আনন্দ হাসি গান সব তুমি নিলে ।।

যাবার বেলায় শুধু নিজেরই অজান্তে

স্মৃতি টাই গেলে তুমি ফেলে

তুমি চলে গেলে

আমার বলার কিছু ছিল না

না-গো আমার বলার কিছু ছিল না

দু’হাতে তোমার ওগো

এতকিছু ধরে গেল

ধরলো না শুধু এই স্মৃতি টা

রয়ে গেল শেষ দিন

রয়ে গেলো সেদিনের প্রথম দেখার সেই ইতিটা

কোথা থেকে কখন যে কি হয়ে গেল

সাজানো ফুলের বনে ঝড় বয়ে গেল

সে ঝড় থামার পরে পৃথিবী আঁধার হলো

তবু দেখি দ্বীপ গেছো জ্বেলে

তুমি চলে গেলে

আমার বলার কিছু ছিল না

চেয়ে চেয়ে দেখলাম তুমি চলে চলে

তুমি চলে গেলে চেয়ে চেয়ে দেখলাম

আমার বলার কিছু ছিল না

না-গো আমার বলার কিছু ছিল না"
Pulok Bondhopadday,চলিতে চলিতে পথে,"চলিতে চলিতে পথে তোমায় দেখে

কেন যে থমকে আমি দাঁড়িয়ে গেলাম।

মনে মনে হল যেন কত যুগ যুগ ধরে

তোমায় দেখব বলে এখানে ছিলাম।।

বৈশালী নগরে কত উপবনে

কাঞ্চি রাজ্যে আর কোশল দেশে

খুঁজেছি তোমায় আমি কতো কতো বার

কখনো দাওনি দেখা কোথাও এসে।

সেই শিলালিপি থেকে আজকে আমি

নতুন আলোর এক কবিতা পেলাম।।

চলিতে চলিতে পথে।।

সুরসিকা নিপুনিকা কতো হাসি হেসেছি

বিলোল চাওনি আর ভুরু বিলাসে

এতটুকু দাগ তবু কাটেনি মনে

ফিরেছি পান্থ আমি পথের পাশে

সেই পথ এতদিনে বলল আমায়

জীবনে প্রথম আমি পথ হারালাম।"
Pulok Bondhopadday,যাবার আগে কিছু বলে গেলে না,"যাবার আগে কিছু বলে গেলে না

নীরবে শুধু রইলে চেয়ে

কিছু কি বলার ছিল না।।

তখনো বসন্ত শেষ চৈত্রের বেলা

তখনো বাতাস আঁচলে করে যে খেলা

তখনো পাখির গানে সাজানো ফুলের মেলা

ওদের ঐ উচ্ছ্বাস এতটুকু তুমি কি গো

তোমার হৃদয়ে পেলে না।।

এত কি অভিমান, ভুল বোঝা বল কত

কিসের বেদনাতে প্রেমকে কাঁদালে এত

কিসের অহংকারে এখনো আগেরই মত

আমার এই প্রশ্নের কোনই জবাব তুমি

এখনো আমাকে দিলে না।।"
Pulok Bondhopadday,এই তো সেদিন তুমি আমারে বোঝালে,"এই তো সেদিন তুমি আমারে বোঝালে

আমার অবুঝ বেদনা

দুটি হাত ধরে আমি তোমায় বলেছি

এ শুধু আমার তুমি কেঁদো না কেঁদো না।।

তোমার প্রেমের কাছে চিরঋণী করে

আরো কি চেয়েছো দিতে এ হৃদয় ভরে।

কণাটুকু তার আমি শুধিতে পারিনি

ব্যাথা দিয়ে তাই আর বেঁধো না বেঁধো না।।

অনেক হারাতে হল জীবনে তোমার

সেই অপরাধে আমি অপরাধী

এবার একলা আমি কাঁদি

বিদায় নেবার আগে বলে যেতে চাই

তোমার ক্ষমার মাঝে পাই যেন ঠাই।

স্বরলিপি ভুল করা শেষের এ গান

স্মৃতির এ বীণার আর সেধো না।।"
Pulok Bondhopadday,ও কেন এত সুন্দরী হলো,"ও কেন এত সুন্দরী হলো ।।

অমনি করে ফিরে তাকালো ।।

দেখে তো আমি মুগ্ধ হবোই

আমি তো মানুষ

ও কেন এত সুন্দরী হলো

সবে যখন আকাশ জুড়ে মেঘ জমেছে

ঝড় উঠেনি বাতাসটাতে ঘোর লেগেছে ।।

ও কেন তখন উড়িয়ে আচল ।।

খোলা চুলে বাইরে এলো

দেখে তো আমি মুগ্ধ হবোই

আমি তো মানুষ

ও কেন এত সুন্দরী হলো

সবে যখন প্রাণে আমার মন জেগেছে

পৃথিবীটা একটুখানি বদলে গেছে ।।

ও কেন তখন হঠাত্‌ এমন ।।

বিনা কাজে সামনে এলো

দেখে তো আমি মুগ্ধ হবোই

আমি তো মানুষ

ও কেন এত সুন্দরী হলো"
