Writer,Title,Song
Abu Hena Mostafa Kamal,আমি নদীর মত কত পথ ঘুরে তোমার জীবনে এসেছি,"আমি নদীর মত কত পথ ঘুরে

তোমার জীবনে এসেছি

আমি সাগরের মত গভীর হয়ে

তোমায় যে ভালবেসেছি, ভালবেসেছি।।

তুমি তো জানো না আমি

কতবার বেধেছি আমার মন ***

শোনাতে তোমায় কন্ঠ আমার

কত যে গোপনে সেধেছি।।

আমি কুসুমের মত

নিজেরে করেছি রচনা

তোমারে নিয়ে যে কত স্বপ্ন

কত যে স্বপ্ন জান না।।

কলির মত নিজেরে রাঙ্গায়ে

মনের যত না স্বপ্ন সাজায়ে

নয়নে নয়নে চেয়ে চেয়ে আমি

ফুলের মত হেসেছি।।"
Abu Hena Mostafa Kamal,আমি সাগরেরও নীল নয়নে মেখেছি,"আমি সাগরেরও নীল নয়নে মেখেছি

ঐ চৈতালী রাতে ফুল কঙ্কন পরেছি

দখিনও হাতে…।।

বনলতা দিয়ে দোলনা বেঁধেছি আর

কণ্ঠে পরেছি গানের অলংকার

অঙ্গ ভরেছি তোমার প্রেমের অপরূপ তন্দ্রাতে।।

এ মধু প্রহরে আকাশ বাসরে

দু’টি নীল তারা জ্বলছে

হয়তবা তারা তোমার আমার স্বপনের কথা বলছে।।

তাই ভেবে আমি প্রদীপ জ্বালিনি আর

সরায়ে দিয়েছি মায়াবী অন্ধকার

তোমার আমার এই সুরভিত বেদনার মোহনাতে।।"
Abu Hena Mostafa Kamal,তুমি যে আমার কবিতা,"তুমি যে আমার কবিতা

আমার বাঁশীর রাগিনী

আমার স্বপন আধ-জাগরণ

চিরদিন তোমারে চিনি।।

আমি কে তোমার যদি জানতে

তবে কি আমায় কাছে টানতে

হয়ত সুদূরে যেতে গো সরে

না, না নয়নের নীলে তুমি যে ছিলে।।

তুমি এলে তাই স্বপ্ন এলো

ইন্দ্রধনুর লগ্ন এলো।

এ মধুর প্রহর হোক না অমর

ওগো মোর পল্লবিনী।।

যদি এ লগন আঁধারে ঢাকে

যদি নেভে দ্বীপ পথের বাঁকে।

তুমি যে আমার বলব আবার।

চিরদিন তোমারে চিনি।।"
Abu Hena Mostafa Kamal,হাতের কাকন ফেলেছি খুলে,"হাতের কাকন ফেলেছি খুলে কাজল নেই চোখে

তবু তোমার কাছে যাব যা বলে বলুক লোকে।।

যখন তুমি আসবে বলে ছিলেম দিশেহারা

বাতাসে ছিল আমন্ত্রন আকাশে ছিল তাঁরা।

জানি না হায় সেদিন আমার প্রদ্বীপ নেভালো কে।।

কে জানে আজ এতদিনে পারবে কি না চিনতে

এখনও প্রেম আগের মত আছে কি হৃদয় বৃন্তে

তবুও আমি শুন্য হাতে এলেম পথে নেমে

তোমাকে কাছে পাব বলে শুধুই তোমার প্রেমে

দেখতো এবার চিনো না কি কে আমি বলতো কে।।"
Abu Hena Mostafa Kamal,সেই চম্পা নদীর তীরে,"সেই চম্পা নদীর তীরে

দেখা হবে আবার যদি

ফাগুন আসে গো ফিরে।।

সেই ঝর্ণা ঝরা গায়ের পাশে

নূপুর পায়ে রাত্রি আসে।

হয়ত ফেরে শ্রান্ত পাখি

পালক ঢাকা নীড়ে।।

সেই ঝর্ণা ঝরা গায়ের পাশে

চম্পা নদীর পাড়ে

ভালবাসি যার দুটি চোখ

হারিয়ে এলাম তারে।

আবার যদি আসে ফাগুন

শিমুল শাখায় লাগে আগুন।

তখন আবার স্বরণ করো

অচিন সাথীটিরে।।"
Abu Hena Mostafa Kamal,শুন্য হাতে আজ এসেছি,"শুন্য হাতে আজ এসেছি নেই তো কিছুই আর।

অশ্রু ভেজা এ গান আমার দিলাম উপহার।।

একটি মানিক দীপ হয়ে আজ অন্য ঘরে জ্বলে।

স্বপ্ন ভাঙ্গা মন কাঁদে যে ব্যর্থ আশার ছলে

চোখের জলে কাছে ডাকার নেই যেন অধিকার।।

অন্তবিহীন পথ পেড়িয়ে এসে দেখি কাছে।

বন্ধু আমার সব সাধনা মিথ্যে হয়ে গেছে

জীবন ভরে হেরেই গেলাম এ কেমন অবিচার।।"
Abu Hena Mostafa Kamal,নদীর মাঝি বলে এসো নবীন,"নদীর মাঝি বলে এসো নবীন

মাঠের কবি বলে এসো নবীন

দেখেছি দূরে ঐ সোনালী দিন।

নদীর মাঝি বলে এসো নবীন

মাঠের কবি বলে এসো নবীন

দেখেছি দূরে ওই সোনালী দিন।

পেয়েছি সাগরের মাতাল ঘ্রাণ

শুনেছি ফসলের ঐক্যতান।

জেগেছে বন্দরে এবার প্রান।

ব্যাথা বিহীন,

দেখেছি দূরে ঐ সোনালী দিন।

এইবার খুলে দাও সকল পাল

দু’হাতে তুলে নাও কঠিন হাল।

সমুখে সুন্দর আগামীকাল।

ব্যাথা বিহীন,

দেখেছি দূরে ওই সোনালী দিন।।"
Abu Hena Mostafa Kamal,অনেক বৃষ্টি ঝরে তুমি এলে,"অনেক বৃষ্টি ঝরে তুমি এলে

যেন একমুঠো রোদ্দুর আমার দুচোখ ভরে

তুমি এলে।।

কত বেদনার বিষন্ন মেঘে ভেসে ভেসে

এলে তুমি অবশেষে

তাই বাতায়নে ময়ুরেরও ঝিলিমিলি ঝিলিমিলি

আজ সারাদিন ধরে,আমার দুচোখ ভরে

তুমি এলে।।

আমি যেন এই আলোর খেয়ায়

আনমনে ভেসে যাই

কোন স্বপ্নেরও দেশে যাই।

কত শিউলি আনন্দ যায় ডেকে ডেকে

দূর বনভূমি থেকে।

তুমি এলে যেন এক মুঠো চঞ্চল চঞ্চল

খুশি এলো অন্তরে

আমার দুচোখ ভরে তুমি এলে।।"
Abu Hena Mostafa Kamal,তোমার কাজল কেশ ছড়ালো বলে,"তোমার কাজল কেশ ছড়ালো বলে

এই রাত এমন মধুর।

তোমার হাসির রঙ লাগলো বলে।

দোলে ঐ বনের মুকুল।।

এই ঘন কুন্তল বন্যা

কে দিল তোমায় বলো কন্যা।

অধরে কে দিল বলো জড়ায়ে।

ফাল্গুনী হাসির সুর।।

আমার গানের কলি ভ্রমর হয়ে

তোমারে শুধায় যদি তা

তুমি বলবে কী তা।

এই রাত ঘন নিশি গন্ধা

আঁখিরে বুলায় বুঝি তন্দ্রা।

কে দিল তোমার নিশি ভরায়ে

কে দিল আমার নিশি ভরায়ে।

তোমার হাসি মধুর

তোমার হাসির রঙ লাগলো বলে

এই রাত এমন মধুর।।"
Abu Hena Mostafa Kamal,এই পৃথিবীর পান্থশালায়,"এই পৃথিবীর পান্থশালায়

গাইতে গেলে গান

কান্না হয়ে বাজে,

কেন বাজে আমার প্রান।।

কেউ চলে যায় কেউবা আসে

দুদিনের এই পরবাসে।

কেউ বোঝে না কারো হাসি অভিমান।।

এই যোগ বিযোগের রঙ্গ মেলায়

এলাম কেন তবে

বাজলে বাশি আবার যদি ফিরেই যেতে হবে।

কিছুই দিতে পারবো না যে

আমার সকল গানের মাঝে।

অশ্রু বুঝি তাই ঝরে অফুরান।।"
