Writer,Title,Song
Atul Prasad Sen,আমায় রাখতে যদি আপন ঘরে,"আমায় রাখতে যদি আপন ঘরে,

বিশ্বঘরে পেতাম না ঠাঁই।

দু’জনে যদি হত আপন

হত না মোর আপন সবাই।

নিত্য আমি অনিত্যরে-

আঁকড়ে ছিলাম রুদ্ধ ঘরে:

কেড়ে নিলে দয়া করে-

তাই হে চির, তোমারে চাই।।

সবাই যেচে দিত যখন,

গরব করে নিই নি তখন,

পরে আমায় কাঙাল পেয়ে

বলত সবাই, “নাই গো নাই”।।

তোমার চরণ পেয়ে হরি,

আজকে আমি হেসে মরি!

কি ছাই নিয়ে ছিলাম আমি,

হায় রে, কি ধন চাহি নাই।।"
Atul Prasad Sen,আজ আমার শূন্য ঘরে আসিল সুন্দর,"আজ আমার শূন্য ঘরে আসিল সুন্দর,

ওগো অনেক দিনের পর।

আজ আমার সোনার বধূ এল আপন ঘর,

ওগো অনেক দিনের পর।।

আজ আমার নাই কিছু কালো,

পেয়ে আজ উজল মণি

সব হলো আলো।

আজ আমার নাইকো কেহ পর,

সুখীরে করেছি সখা, দুঃখীরে দোসর

ওগো অনেক দিনের পর।।

মনে পড়িল তাকি?

এতদিন যে দুয়ার খুলে ছিনু একাকি।

বুঝি ভিজিল আঁখি।

আর ছেড়ে যেয়ো না বধূ জন্মজন্মান্তর,

ওগো আমার সুন্দর।"
Atul Prasad Sen,যদি তোর হৃদ-যমুনা হলো,"যদি তোর হৃদ-যমুনা হলো রে উছল

রে ভোলা

তবে তুই এ কুল ও কুল ভাসিয়ে দিয়ে চল

রে ভোলা ।।

আজি তুই ভরা প্রাণে

ছুটে যা নৃত্যে গানে

যে আসে প্রেম প্লাবনে ভাসিয়ে নিয়ে চল

রে ভোলা ।

যে আসে মনের দুখে

যে আসে ফুল্ল মুখে

টেনে নে সবায় বুকে তোর থাকনা চোখে জল

রে ভোলা ।।

দু’ধারের ফুল কুড়িয়ে

চলে যা মন জুড়িয়ে

মালা তোর হলে বিফল করবি কি তুই বল

রে ভোলা ।

মিছে তোর সুখের ডালি

মিছে তোর দুখের কালি

দু’ দিনের কান্না হাসি সব ছল, ছল, ছল

রে ভোলা ।।

জীবনের হাটে আসি

বাজা তুই বাজা বাঁশি

থাক সে থাক বেচাকেনার দারুন কোলাহল

রে ভোলা ।

অরূপের রূপের খেলা

চুপ করে দেখ দু’বেলা

কাছে তোর এলে কুরূপ তুই মুখ ফিরায়ে চল

রে ভোলা ।।"
Atul Prasad Sen,মোদের গরব মোদের আশা আ মরি বাংলা ভাষা,"আ মরি বাংলা ভাষা

মোদের গরব, মোদের আশা, আ মরি বাংলা ভাষা ।।

মাগো তোমার কোলে, তোমার বোলে, কতই শান্তি ভালবাসা ।।

আ মরি বাংলা ভাষা!

মোদের গরব, মোদের আশা, আ মরি বাংলা ভাষা

কি যাদু বাংলা গানে! গান গেয়ে দাঁড় মাঝি টানে ।।

গেয়ে গান নাচে বাউল ।। গান গেয়ে ধান কাটে চাষা ||

আ মরি বাংলা ভাষা!

মোদের গরব, মোদের আশা, আ মরি বাংলা ভাষা!

ঐ ভাষাতেই নিতাই গোরা, আনল দেশে ভক্তি-ধারা।।

আছে কৈ এমন ভাষা ।। এমন দুঃখ-শ্রান্তি-নাশা ||

আ মরি বাংলা ভাষা!

মোদের গরব, মোদের আশা, আ মরি বাংলা ভাষা!

বিদ্যাপতি, চণ্ডী, গোবিন, হেম, মধু, বঙ্কিম, নবীন :

ঐ ফুলেরই মধুর রসে ।। বাঁধলো সুখে মধুর বাসা ||

আ মরি বাংলা ভাষা!

মোদের গরব, মোদের আশা, আ মরি বাংলা ভাষা!

বাজিয়ে রবি তোমার বীণে, আনলো মালা জগত্ জিনে ।।

তোমার চরণ-তীর্থে আজি ।। জগত্ করে যাওয়া-আসা ||

আ মরি বাংলা ভাষা!

মোদের গরব, মোদের আশা, আ মরি বাংলা ভাষা!

ঐ ভাষাতেই প্রথম বোলে, ডাকনু মায়ে ‘মা, মা’ ব’লে ।।

ঐ ভাষাতেই বলবো হরি, আমি ঐ ভাষাতেই বলবো হরি

সাঙ্গ হ’লে কাঁদা হাসা ||

আ মরি বাংলা ভাষা!

মোদের গরব, মোদের আশা, আ মরি বাংলা ভাষা!"
Atul Prasad Sen,"ওগো আমার নবীন সাথী, ছিলে তুমি কোন বিমানে","ওগো আমার নবীন সাথী, ছিলে তুমি কোন বিমানে?

আমার সকল হিয়া মুঞ্জরিছে তোমারি ওই করুণ গানে।।

জগতের গহন বনে ছিনু আমি সঙ্গোপনে,

না জানি কি লয়ে মনে এলে উড়ে আমার পানে।

লয়ে তোমার মোহন বরণ আমার শুকনো ডালে রাখলে চরণ;

আজ আমার জীবন-মরণ কোথা আছে কে বা জানে।।

ঝরে গেছে সকল আশা, ফোটে না আর ভালোবাসা,

আজ তুমি বাঁধলে বাসা আমার প্রাণে কোন পরাণে?"
Atul Prasad Sen,কে তুমি বসি নদীকূলে একেলা,"কে তুমি বসি নদীকূলে একেলা।

কার লাগি’ এত উতলা।।

কে তরী বাহি আসিবে গাহি।

খেলিবে তার সনে কী খেলা।।

সারা বেলা গাঁথ মালা-

ঘরের কাজে এ কী হেলা?

ছলনা করি আন গাগরি

কার লাগি’ বলো অবেলা।।"
Atul Prasad Sen,একা মোর গানের তরী ভাসিয়েছিলাম নয়ন-জলে,"একা মোর গানের তরী ভাসিয়েছিলাম নয়ন-জলে।

সহসা কে এলে গো এ তরী বাইবে ব’লে

যা ছিল কল্পমায়া, সে কি আজ ধরল কায়া?

কে আমার বিফল মালা পরিয়ে দিল তোমার গলে।

কেন মোর গানের ভেলায় এলে না প্রভাত-বেলায়?

হলে না সুখের সাথী জীবনের প্রথম দোলায়।

বুঝি মোর করুণ গানে ব্যাথা তাঁর বাজল প্রাণে,

এলে কি দু’কুল হতে কূল মেলাতে এ অকূলে।।"
Atul Prasad Sen,"আর কতকাল থাকব ব’সে দুয়ার খুলে, বধূ আমার","আর কতকাল থাকব ব’সে দুয়ার খুলে, বধূ আমার!

তোমার বিশ্বকাজে আমারে কি রইলে ভুলে, বধূ আমার।

বাহিরে উষ্ণ বায়ে মালা যে যায় শুকায়ে,

নয়নের জল, বুঝি তাও, বধূ মোর, যায় ফুরায়ে।

শুধু ডোরখানি হায় কোন পরাণে তোমার গলায় দিব তুলে, বধূ আমার।

হৃদয়ের শব্দ শুনে চমকি’ভাবি মনে,

ঐ বুঝি এল বধূ ধীরে মৃদুল চরণে;

পরাণে লাগলে ব্যথা ভাবি বুঝি আমায় ছুঁলে, বধূ আমার।

বিরহে দিন কাটিল, কত যে কথা ছিল,

কত যে মনের আশা মন-মাঝে রহিল;

কী ল’য়ে থাকব বলো তুমি যদি রইলে ভুলে, বধূ আমার।।"
Atul Prasad Sen,আইল শীত ঋতু হেমন্তের পরে,"আইল শীত ঋতু হেমন্তের পরে,

শীতল ধরণী এবে চাহে দিবাকরে।।

কুন্দ শেফালিকা ফুলে

নীহারবিন্দু উছলে;

কুসুম কানন মূলে

শ্রীরাগ বিহার করে।।

রাগিনী নবরঙ্গিনী

শ্রীরাগ অনুসঙ্গিনী।

নাচিছে লাসভঙ্গিনী

গাহিছে মোহন স্বরে।।"
Atul Prasad Sen,ওগো নিঠুর দরদী,"ওগো নিঠুর দরদী, ও কি খেলছ অনুক্ষণ।

তোমার কাঁটায় ভরা বন, তোমার প্রেমে ভরা মন,

মিছে খাও কাঁটার ব্যথা, সহিতে না পার তা আমার আঁখিজল,

ওগো আমার আঁখিজল তোমায় করেগো চঞ্চল

তাই নাই বুঝি বিফল আমার অশ্রু বরিশন।

ওগো নিঠুর দরদী।

ডাকিলে কও না কথা, কি নিঠুর নিরবতা।

আবার ফিরে চাও, তুমি আবার ফিরে চাও,

বল ওগো শুনে যাও

তোমার সাথে আছে আমার অনেক কথন।

এ কি খেলছ অনুক্ষণ,

ওগো নিঠুর দরদী।"
