Writer,Title,Song
Gazi Mazharul Anowar,তোমার ঐ চোখের বাঁশি,"তোমার ঐ চোখের বাঁশি বিষের বাঁশি

তোমার ঐ মুখের হাসি মরণ হাসি

তবু সেই মরণ আমি ভালবাসি।।

কথার কাঁটাগুলো পথের কাঁটা হলো

প্রেমের ব্যাথাগুলো প্রেমিক করে নিল।

মনের ঘরে রয় না মন হই প্রবাসী।।

রূপের জ্বালাগুলো আগুনজ্বালা হলো

আচল বাধনগুলো আমায় ফাসী দিল।

আমি তো নই আমি এক উদাসী।।"
Gazi Mazharul Anowar,সবাই তো ভালবাসা চায়,"সবাই তো ভালবাসা চায়

কেউ পায় কেউবা হারায়

তাতে প্রেমিকের কী আসে যায়

সবাই তো ভালবাসা চায়

কতকাল কত সাধনায়

তারে একদিন কাছে পাওয়া যায়।।

(ঐ) ফুল চায় গানে গানে ফাগুন আসুক

অলি চায় রঙে রঙে ফুলেরা হাসুক।

আমি চাই তুমি আস

চুপি চুপি ভালবাস, এই নিরালায়।।

(ঐ) নদী চায় বাড়ে বাড়ে সাগর ডাকুক

তরু চায় লতা তারে জড়িয়ে রাখুক।

আমি চাই তুমি ডাক

পথ চেয়ে বসে থাক, আমারই আশায়।।"
Gazi Mazharul Anowar,ফুল বিনা কোনদিন মালা হয় না,"ফুল বিনা কোন দিন মালা হয় না

প্রেম বিনা হৃদয়ের জ্বালা যায় না।

তুমি বিনা আমি একা

সে কি তুমি বোঝ না।।

ও… ও… ও…

কোকিল না ডাকে যদি আসে না ফাগুন

নেভে না তোমায় বিনা মনের আগুন

আকাশ না ডাকলে পাখি উড়ে না

বাতাস না থাকলে ঝড় উঠে না

তুমি বিনা আমি যেন চাঁদ বিনা জ্যোছনা

(ও… ও… ও…)।।

আ… আ…আ…

মধু না থাকে যদি মধু দিবো কারে

না বাজালে সুর কি গো উঠে বিনা তারে

সাগর না ডাকলে নদী ছোটে না

ভ্রমর না থাকলে কলি ফোঁটে না

তুমি বিনা নেই মোর আর কোন সাধনা

(ও… ও… ও…)।।

পোস্ট ন্যাভিগেশন"
Gazi Mazharul Anowar,জয় বাংলা বাংলার জয়,"জয় বাংলা বাংলার জয়

জয় বাংলা বাংলার জয়

হবে হবে হবে হবে নিশ্চয়

কোটি প্রাণ এক সাথে জেগেছে অন্ধ রাতে

নতুন সূর্য ওঠার এই তো সময়

জয় বাংলা বাংলার জয়

জয় বাংলা বাংলার জয়

বাংলার প্রতি ঘর ভরে দিতে চাই মোরা অন্নে

আমাদের রক্ত টগবগ দুলছে মুক্তির দীপ্ত তারুণ্যে

নেই ভয়

হয় হোক রক্তের প্রচ্ছদপট

তবু করি না করি না করি না ভয়

জয় বাংলা বাংলার জয়

জয় বাংলা বাংলার জয়

অশথের ছায়ে যেন রাখালের বাঁশরি হয়ে গেছে একেবারে স্তব্ধ

চারিদিকে শুনি আজ নিদারুণ হাহাকার আর ওই কান্নার শব্দ

শাসনের নামে চলে শোষণের সুকঠিন যন্ত্র

বজ্রের হুংকারে শৃঙ্খল ভাঙতে সংগ্রামী জনতা অতন্দ্র

আর নয়

তিলে তিলে বাঙালির এই পরাজয়

আমি করি না করি না করি না ভয়

জয় বাংলা বাংলার জয়

জয় বাংলা বাংলার জয়

ভুখা আর বেকারের মিছিলটা যেন ওই দিন দিন শুধু বেড়ে যাচ্ছে

রোদে পুড়ে জলে ভিজে অসহায় হয়ে আজ ফুটপাতে তারা ঠাঁই পাচ্ছে

বার বার ঘুঘু এসে খেয়ে যেতে দেবো নাকো আর ধান

বাংলার দুশমন তোষামোদী-চাটুকার সাবধান সাবধান সাবধান

এই দিন

সৃষ্টির উল্লাসে হবে রঙিন

আর মানি না মানি না কোনও সংশয়

জয় বাংলা বাংলার জয়

জয় বাংলা বাংলার জয়

মায়েদের বুকে আজ শিশুদের দুধ নেই

অনাহারে তাই শিশু কাঁদছে

গরীবের পেটে আজ ভাত নেই ভাত নেই

দ্বারে দ্বারে তাই ছুটে যাচ্ছে।

মা-বোনেরা পরণে কাপড়ের লেশ নেই

লজ্জায় কেঁদে কেঁদে ফিরছে

ওষুধের অভাবে প্রতিটি ঘরে ঘরে,

রোগে শোকে ধুকে ধুকে মরছে

অন্ন চাই, বস্ত্র চাই, বাঁচার মত বাঁচতে চাই

অত্যাচারী শোষকদের আজ

মুক্তি নাই, মুক্তি নাই , মুক্তি নাই।"
Gazi Mazharul Anowar,আমি নিজের মনে নিজেই যেন,"আমি নিজের মনে নিজেই যেন

গোপনে ধরা পড়েছি

কোন খেয়ালে এই আমারে

হারিয়ে ফেলেছি।।

চম্পা কলি দুটি চোখে

ভাবের কাজল দেখেছি যে।

তারই পথে আশার মুকুল।

ছড়িয়ে দিয়েছে।।

ঝর্না হাসির বাকে বাকে

কে যেন আমায় শুধু ডাকে।

তারে আমি খুশির ছোয়ায়

জড়িয়ে নিয়েছি।।"
Gazi Mazharul Anowar,চুল ধইরো না খোঁপা খুলে,"চুল ধইরো না

খোঁপা খুলে যাবে যে নাগর ।।

আওলা কেশে পাগল বেশে কেমনে যাবো ঘর ।।

চুল ধইরো না

খোঁপা খুলে যাবে যে নাগর।।

হাত ধইরো না

চুড়ি ভেংগে বিঁধলে আমার হাতে

বলবে লোকে কলংকের দাগ কে দিল এ রাতে ।।

দোহাই তোমার…

দোহাই তোমার হাত ছেড়ে দাও লাগে বড় ডর

সোনার অংগে দাগ পড়িলে কেমনে যাব ঘর

হাত ধইরো না চুড়ি ভেংগে যাবে যে নাগর

আঁচল ধরে টান দিও না

শাড়ী ছিড়ে গেলে

কেমন করে ঘোমটা দেবো তুমি কাছে এলে ।।

দোহাই তোমার…

দোহাই তোমার আঁচল ছাড়ো লাগে বড় ডর

এত রাতে নিলাজ্ব হলে কেমনে যাব ঘর

আচল ছাড়ো শাড়ী ছিড়ে যাবে যে নাগর"
Gazi Mazharul Anowar,আমি কোথায় বলো কোথায়,"আমি কোথায়

বলো কোথায় থাকি রে

বটগাছের পাতা নাইরে।।

আমার ঘরও নাই বাড়িও নাই মনের মানুষ নাই রে

কোথায় ?

ও বলো কোথায় থাকি রে…

তাতে কি ?

ও তাতে কি বা হইল রে

বটের পাতা নাইবা রইলো রে ।

সাধের পিড়িতে বসত হইলে মনেই পাবি ঠাই রে

তাতে ও তাতে কি বা হইল রে

বটের পাতা নাইবা রইলো রে

আশা ছিল কালো কোকিল বাঁধবে ডালে ঘর

আরে বাঁধবে ডালে ঘর

সেই যে পাখি উইড়া গেল পাইলাম না খবর

অনেক দুঃখে সেই না পাখি হইল দেশান্তর

আরে হইল দেশান্তর

মনের ভিটায় বাঁধলো সে যে পিড়িতেরই ঘর

সেই পিড়ীত

পিড়ীত কার বলে রে

দিবা নিশি খুঁইজা মরি রে !

আমার পিড়ীতে মরণ হইলে দুঃখ কিছু নাই রে

ও পিড়ীতি কার বলে রে

দিবা নিশি খুঁইজা মরি রে !

আবার যদি হারাই তোমায় এই না যৌইবন কালে

আরে এই না যৌইবন কালে

আঞ্চলেরই ফাঁস লাগাইয়া ঝুলবো সে কোন ডালে

না পোড়াইও সোনার অংগ

না ভাসাইও জলে

আরে না ভাসাইও জলে

বটবৃক্ষ হইমু আমি তোমার নিদান কালে

তুমি যদি বটবৃক্ষ হও আমি হবো প্রেমলতা রে

মোরা সুখে দুঃখে সারা জীবন কইমু মনের কথা রে ।।

তুমি যদি বটবৃক্ষ হও আমি হবো প্রেমলতা রে

আমি হবো প্রেমলতা রে"
Gazi Mazharul Anowar,অনাথিনীর বুকের মানিক,"অনাথিনীর বুকের মানিক

বল আমারে বল রে

ছায়া নিলি কোন ভরসায়

মরা গাছের তলে রে, নানা হে…।

জীবনটা যার একতারাতে

বাঁধা আছে দিনে রাতে।

বাঁধলি তারে মায়ার ডোরে

কত যেনো ছলে রে, নানা হে….।।

ওরে আমার অবুঝ পাখি

বলনা তোরে কোথায় রাখি।

দ্বীন-ভিখারী কাঙ্গাল আমি

নাই কোন সম্বলরে, নানা হে…।

লা-লা-লা লা-লা-লা, নানা হে…

ওরে আমার অবুঝ পাখি

বলনা তোরে কোথায় রাখি।

দ্বীন-ভিখারী কাঙ্গাল আমি

নাই কোনো সম্বলরে, নানা হে…।।"
Gazi Mazharul Anowar,পারি না ভুলে যেতে,"পারি না ভুলে যেতে স্মৃতিরা মালা গেথে

হারানো সে পৃথিবীতে ডেকে নিয়ে যায়

আমারে কাঁদায়, আমারে কাঁদায়।।

কেউ যদি এ মুখ দেখে আমাকে দুখী বলে

সুধাই যদি কেন ভাসি পোড়া এই চোখের জলে

আমার সকল কথার জবাব যেন তখনই হারায়

আমারে কাঁদায়, আমারে কাঁদায়।।

আমায় দিয়ে ভুল ঠিকানা সে আছে কত দূরে

ছিড়া তার ভাঙ্গা সেতার বাজে না আগের সুরে

তবু ফেলা আশা পথে যেতে সমুখে দাঁড়ায়

আমারে কাঁদায়, আমারে কাঁদায়।।"
Gazi Mazharul Anowar,সালাম পৃথিবী তোমাকে সালাম,"সালাম পৃথিবী তোমাকে সালাম

দুনিয়াকে করেছো টাকার গোলাম।।

নীল আকাশের নিচে আমি

চলি একা একা

টাকার দুনিয়ায় গড়েছো তুমি

হিসাবের নামে ফাকা।

গরিবের দুলাল ধনীর দুলালী কেন

এই ভুবনে এলাম।।

সাত মহলায় কত খাবার

হিসাব নিকাশ নাই

কেউবা আবার না খেয়ে মরে

তাদের হিসাব নাই।

দ্বারে দ্বারে ঘুরে পেটের জ্বালায়

কত যে আঘাত পেলাম।।"
Gazi Mazharul Anowar,এই জীবন আমি তো আর চাই না,"এই জীবন আমি তো আর চাই না

এই জ্বালা প্রাণে সহে না

মরণ সাজা দাও আমাকে

কলংক আর ভাল লাগে না।।

খাঁচার মাঝে বন্দি হয়ে থাকতে হবে জানি

শুনবে না কেউ অভাগিনীর দুঃখের কাহিনী

বলবে না কেউ আর কেঁদো না

বুঝবে না কেউ এই বেদনা

কোন দেষেতে পেলাম আমি এতই বঞ্চনা।।

সবার মাঝে নাচতে হবে গাইতে হবে গান

বিনিময়ে পাব জানি শুধুই অপমান

আমায় নিয়ে সারাবেলা নিয়তির এই নিঠুর খেলা

এই জীবনে কভু কী আর শেষ হবে না।।"
Gazi Mazharul Anowar,সুরের ভুবনে আমি আজো পথচারী,"সুরের ভুবনে আমি আজো পথচারী ক্ষমা করে দিও

যদি না তোমার মনের মত গান শোনাতে পারি।।

গানের ভাষা আর প্রানের ভাষা

একই বৃন্তে আজো বাধেনি বাসা।

তাই তোমাদের আসর ছেড়ে

মনটা হতে চায় ফেরারী।।

কী বা আছে বলো দেবার মত

সংকোচে তাই আমি অবনত।

আছে শুধু মোর ভালবাসা

তাই দিয়ে যেতে চাই উজার করে।।"
Gazi Mazharul Anowar,তুমি সাত সাগরের ওপার হতে আমায় ডেকেছ,"তুমি সাত সাগরের ওপার হতে আমায় দেখেছ

আর মন ভ্রমরের কাজল পাখায় ছবি এঁকেছ

আমি ময়ুর পংখি নাও ভিড়িয়ে তোমায় দেখেছি

আর প্রবাল দ্বীপের পান্না ভেবে চেয়ে থেকেছি

আগুন ঝরা ফাগুন যখন ছিল পলাশ বনে

তোমার কথাই ভেবেছিলেম আমি মনে মনে।

তোমার চোখে তাই তো খুশির পরাগ মেখেছি।(ওগো)

আমি ময়ুর পঙ্খী নাও ভিড়িয়ে তোমায় দেখেছি

আর প্রবাল দ্বীপের পান্না ভেবে চেয়ে থেকেছি

শুক্লা চাঁদের পঞ্চমীতে সাগর যখন দোলে

তোমার আশায় বসে ছিলেম বাতায়ন খুলে।

দখিন হাওয়ায় তাই তো তোমায় চিঠি লিখেছি। (আমি)।।"
Gazi Mazharul Anowar,হায় হায় প্রেমে পড়লে,"হায় হায় প্রেমে পড়লে।

বার মাসই গান সবাই গান

কোন মাসেই প্রেম হইলো না

আমার কোন মাসেই প্রেম হইলো না

কী করি উপায়।। (আরে)

বৈশাখেতে হইলো না প্রেম জৈষ্ঠ গেল চলে

পাকনা আমের রসের মজা জুটলো না কপালে

আষাঢ় গেল শ্রাবন গেল বৃষ্টি হইলো অতি

আইলো না কেউ আমার পাশে হইয়া মাথার ছাতি

ভাদ্র আর আশিন মইরা গেলাম গরমে

সে গরমের শীতলপাটি কে দেবে আমায়।।

কার্তিক অঘ্রাণ ধানের গন্ধ লাগে বড় মিঠা

খাইতে ভাল লাগে না আর নানির হাতে পিঠা।

একলা ঘরে রাইত কাটে না দারুন পৌষ মাঘে

চুলা ভর্তি আগুন আছে তবু ঠান্ডা লাগে

ফাল্গুন আর চৈত মাসে *** যার আশে

সে শুধু কোত মারে টোপ গিলানো দায়।।"
Gazi Mazharul Anowar,চোখের আড়াল হইলে পরে,"চোখের আড়াল হইলে পরে

যেই পিড়িতির ধরে ক্ষয়

এই পিড়িতি সেই পিড়িতি নয়।।

দেখা দেয় না কথা কয় না

খোজ খবর ঠিকই লয়

এই পিড়িতি সেই পিড়িতি কয়।।

পন্ডিত মরে ত্বত্ত নিয়া।

মুর্খ মরে তর্ক নিয়া

জ্ঞানি গুণী চিন্তায় মরে

তবে বাঁচে কে

আরে সেই তো বাঁচে হাই সেই তো বাঁচে

অন্তরে যার তার পিড়িতের বসত রয়

এই পিড়িতি সেই পিড়িতি কয়।।

শিশু খোজে আদর যতন। (হায়রে)

প্রেমিক খোজে প্রেমিকার মন

ধনী খোজে সাত রাজার ধন

তবে পাইলো কে

আরে সেই তো পাইলো। (হাই)

মন দিয়া মনকে যে করলো জয়

এই পিড়িতি সেই পিড়িতি কয়।।"
Gazi Mazharul Anowar,সুচরিতা যেও নাকো কিছুক্ষণ থাকো,"সুচরিতা যেও নাকো কিছুক্ষণ থাকো

নাই যদি হয় কথা বিনিময় কাকন দিয়ে ডাকো।।

অনেক নীলে আকাশ দেখ উঠেছে আজ ভরে

এমন ক্ষণে আমার ফেলে যাবে কেমন করে।

নয়নে স্বপনে আমায় ধরেই রাখো।।

(কী রাখবে না

ইস বয়েই গেছে)

সুচরিতা যেও নাকো কিছুক্ষণ থাকো।।

একটু না হয় বসলে পাশে লক্ষী মেয়ের মত

নিবিড় করে বলবো তোমায় প্রাণের কথা যত।

জীবনে মরণে আমার হয়েই থাকো

(কী থাকবে না

হুহ……)

সুচরিতা যেও নাকো কিছুক্ষণ থাকো।।"
Gazi Mazharul Anowar,গীতিময় সেইদিন চিরদিন,"গীতিময় সেইদিন চিরদিন বুঝি আর হলো না

মরমে রাঙ্গা পাখি উড়ে সে গেলো নাকি

সে কথা জানা হলো না।।

দিন যায় কথা জেগে থাকে

মনটারে কাছে ধরে রাখে।

কখনো বসন্ত কখনো শ্রাবণ।

কেন যে এত ছলনা।।

যত তুমি হও অভিমানী

ভিতরে দুয়ার খোলা জানি।

চোখের ভাষাতে আজকে না হয়।

মনের কথা বলো না।।"
Gazi Mazharul Anowar,মন বলে খুলে গেছে দ্বার,"মন বলে খুলে গেছে দ্বার

ফিরাবো না অতিথিকে আর।।

যার গান গেয়ে যার পথ চেয়ে

আঁখি দুটি ছিল গো আমার।।

এই কী প্রথম বাতাস আমায় জানায় নিমন্ত্রন

বন্ধু কী গো প্রিয় নামে করবে সম্ভাষণ।

সেই শুভক্ষণে এই ভীরু মনে

চুপি চুপি হবে অভিসার।।

স্বপ্ন আহা কখন এ মন সত্যি হয়ে যায়

কাছ এসে সোহাগ করে বলবে কে আমায়।

মনটাকে তুলে সব দ্বিধা ভুলে তার হাতে দিব উপহার।।"
