Writer,Title,Song
Kabir Bokul,প্রজাপতি,"লাজুক পাতার মত লজ্জাবতি

তোমাকে ছুয়ে দিতে চাই অনুমতি

স্বপ্নের আবির থেকে

ইচ্ছের সাত রঙ মেখে

তোমার আকাশে হব প্রজাপতি

এক মুঠো জোনাকি দাও ছড়িয়ে

আলোর চাদরে দিয়ে নাও জড়িয়ে

এক মুঠো জোনাকি দেবো ছড়িয়ে

আলোর চাদর দিয়ে নেবো জড়িয়ে

নিবির পিছুপিছু সাধের কিছু কিছু

হৃদয় দেয়া নেয়ার সম্মতি

লাজুক পাতার মত লজ্জাবতি

তোমাকে ছুয়ে দিতে চাই অনুমতি

স্বপ্নের আবির থেকে

ইচ্ছের সাত রঙ মেখে

তোমার আকাশে হব প্রজাপতি

হাত ধরে দুজনে চল হারাবো

না হয় নিষেধ ভুলে দু‘পা বাড়াবো

হাত ধরে দুজনে চল হারাবো

না হয় নিষেধ ভুলে দু’পা বাড়াবো

করে পাশাপাশি

ভালবাসাবাসি

ভালবাসায় বল কি ক্ষতি

লাজুক পাতার মত লজ্জাবতি

তোমাকে ছুয়ে দিতে চাই অনুমতি

স্বপ্নের আবির থেকে

ইচ্ছের সাত রঙ মেখে

তোমার আকাশে হব প্রজাপতি"
Kabir Bokul,যদি ভাবো কিনছ আমায়,"যদি ভাবো কিনছো আমায় ভুল ভেবেছ।

কেনা যায় কণ্ঠ আমার দফা দফা

রুজি রোজগারের জন্য করছি রফা

দু’হাতের আঙুলগুলো কিনতে পারো

আপসেও নেই আপত্তি নেই আমারও

আমাকে না আমার আপস কিনছো তুমি

বলো কে জিতল তবে জন্মভুমি জন্মভুমি।।

টাকাতেই চলছে সবার পাকস্থলী

কেনা আর বেচা নিয়ে গেরস্থালি

নীপাগারে রবীন্দ্রনাথ তেরেকেটে

বাজারের খাবার ঐ ঢুকছে পেটে

প্রতিবাদী কণ্ঠগুলো টাকার ব্যাপার

প্রতিবাদ করতে গেলেও খাবার দাবার

সে তুমি শ্রমিক কিংবা তা ধিন ধা না

পেটে চাই খাবার নয়তো দিন চলে না দিন চলে না

যদি ভাবো খাচ্ছো আমায় ভুল ভেবেছো।

খাওয়া যায় কণ্ঠ আমার দফা দফা

বদহজম হলেই কিন্তু দফা রফা

দুহাতের আঙুলগুলো খেতেও পারো

আপসেও নেই আপত্তি নেই আমারও

আমাকে না আমার আপস খাচ্ছো তুমি।

বলো কে জিতল তবে জন্মভুমি জন্মভুমি।।

কেউ বেচে তার মেহনত হাতের পেশী

কেউ বেচে চুলের বাহার এলোকেশী

কেউ বেচে প্রবন্ধ কোন পত্রিকাতে

আমি বেচি আমার কণ্ঠ তোমার হাতে

বেচি আমি আমার পদ্য সুরের ভাষা

বিরক্তি ঘেন্না এবং ভালোবাসা

আশাটাও পণ্য এখন বাজারদরে

বিকোতে পারলে টাকা আসবে ঘরে আসবে ঘরে

বেচি দিন পাল্টে দেবার গানের জবান

কোনদিন হয়তো অন্য আর কোনো গান

টাকাডুম টাকডুমাডুম নিয়ম ছেড়ে।

মানুষের জন্যে সুদিন আনবে কেড়ে।।"
Kabir Bokul,আজ জানলার কাছে ডেকে গেছে,"আজ জানলার কাছে ডেকে গেছে

এক পাখির মতন সকাল

যেন রাখালিয়া বাঁশি

এই শহুরে গলার ফাঁসি

ছিঁড়ে দেখাবে এ দুনিয়া কার।

বলে সুখে আছো যারা সুখে থাকো

এ-সুখ সইবে না

দুখে আছো যারা বেঁচে থাকো

এ-দুখ রইবে না

বন্ধু এ-দুখ রইবে না।

আমি ভিটেমাটি ছেড়ে এসেছি মহান টাকাপয়সার দেশে

এই দুনিয়া সর্বনেশে

এরা সাগর ডিঙ্গিয়ে বোমা ফেলে আসে বীরপুরুষের বেশে

মরে কখনো-বাঁচেনি-যারা

আহা তাদের খিদের ইতিহাস এক বিশ্রী অন্ধকারা।

আজ সকালকে ডেকে বলি-গাও

রবি-নজরুলগীতি

তাতে আমার ভীষণ প্রীতি

দ্যাখো সুরুচির পরিমিতি।

আমি দেশ ভেঙে ভেঙে দুখান করেছি হিন্দু-মুসলমানে

মুখের ভাষায় দেয়াল উঠেছে

এই জল ওই পানি

আমি সবই মানি সবই মানি

শুধু মানি না যখন রহিম পরাণ ভায়েরা মুক্তি চায়

তারা দু’বেলাই খেতে চায়

আহা পাকস্থলিতে ইসলাম নেই নেইকো হিন্দুয়ানি

তাতে যাহা জল তাহা পানি।

পাখির মতন সকালটা আজ বড় দোটানায় ফেলেছে

বুকের ভেতর যত কথা ছিল তারা ব্যকরণ ভুলেছে।

ষত্ব ণত্ব বিধিতে সিদ্ধ আমি শিক্ষিত বাঙ্গালি

আজ দয়ার দোয়ার কাঙ্গালি

যেন বাঁশি শুনে খালি ভুলে যাই

আমি অন্যের ক্রীতদাস

আমি বারোমাস তেরমাস

খাটি মরণাস্ত্রের লোভে

ভূখা জনতার বিক্ষোভে

এই হৃদয় কাঁপে না দোলে না

আহা নাচে শুধু রায়বেশে

এই সব পেয়েছির দেশে।………"
Kabir Bokul,আমি চাই,"আমি চাই সাঁওতাল তার ভাষায় বলবে রাষ্ট্রপুঞ্জে

আমি চাই মহল ফুটবে সৌখিনতার গোলাপ কুঞ্জে।

আমি চাই নেপালি ছেলেটা গিটার হাতে

আমি চাই তার ভাষাতেই গাইতে আসবে কলকাতাতে।

আমি চাই ঝাড়খণ্ডের তীর ধনুকে

আমি চাই ঝুমুর বাজবে ঝুমুর বাজবে তোমার বুকে।

আমি চাই কাশ্মীরে আর শুনবে না কেউ গুলির শব্দ

আমি চাই মানুষের হাতে রাজনিতি হবে ভীষণ জব্দ।

আমি চাই হিন্দু নেতার সালমা খাতুন পুত্র বধূ

আমি চাই ধর্ম বলতে মানুষ বুঝবে মানুষ শুধু,

আমি চাই বিজেপি নেতার সালমা খাতুন পুত্র বধূ

আমি চাই ধর্ম বলতে মানুষ বুঝবে মানুষ শুধু।

আমি চাই গাছ কাটা হলে শোক সভা হবে বিধান সভায়

আমি চাই প্রতিবাদ হবে রক্ত পলাশে রক্ত জবায়।

আমি চাই পুকুর বুঝালে আকাশ ভাসবে চোখের জ্বলে

আমি চাই সব্বাই যেন দিন বদলের পদ্য বলে।

আমি চাই মন্ত্রীরা প্রেম করুন সকলে নিয়ম করে

আমি চাই বক্তৃতা নয় কবিতা বলুন কণ্ঠ ভরে।

যদি বল চাইছি নেহাত…যদি বল চাইছি নেহাত চাইছি নেহাত স্বর্গ রাজ্য

আমি চাই একদিন হবে একদিন হবে এটা এক রাজ্য।।"
Kabir Bokul,বয়স হয়েছে তাই,"বয়স হয়েছে তাই

এবার ঘোচাতে চাই

দুঃস্বপ্নের ভোর

এশহর থেকে দূরে

মানুষ দাড়াল ঘুরে

আনলো নতুন ভোর

বাড়ছে বয়েস সখা

ভালবাসা একরোখা

বাঁচবেই দুনিয়ায়

গ্রামে গ্রামে দুর্বার

মানুষ রা এইবার

পরিবর্তন চায়

বয়েস বাড়লো সখি

সুর ক্ষ্যাপা চখা চখি

আরো গান গাই চলো

জানলাম দেখলাম

শিমুর নন্দী গ্রাম

বেঁচে থেকে লাভ হলো

বয়স হয়েছে তাই

এবার ঘোচাতে চাই

দুঃস্বপ্নের ভোর

এশহর থেকে দূরে

মানুষ দাড়াল ঘুরে

আনলো নতুন ভোর ।"
Kabir Bokul,কতকালের সেই ঠিকানায়,"কতকালের সেই ঠিকানায়

আমার স্মৃতির একটি পাতায়

কেমন আছো ?

আগের মতই রিক্সা থেকে

নামছো তুমি আমায় দেখে

কেমন আছো ?

এখনো সেই পাঞ্জাবীটা

হারিয়ে যাওয়া সেই চাবিটা

কেমন আছো ?

এলবামে ছোট বেলার ছবি

স্মৃতিতে মাহমুদ্দুন্নবী

কেমন আছো ?

ক্লাস পালিয়ে দেখা হতো

দেখতে দেখতে সময় যেতো

কেমন আছো ?

ঝিলের ধারে হটাৎ বিকেল

শুইয়ে রাখা বাই-সাইকেল

কেমন আছো ?

আসিফ আসতো ছুটির দিনে

স্কুলের বন্ধু রাস্তা চিনে

কেমন আছো ?

সারা সকাল আডদা দিতে

রাজনীতির খবর নিতে

কেমন আছো ?

তর্ক হতো চড়তো গলা

উঁকি দিতে বাড়ীওয়ালা

কেমন আছো ?

মাস গেলে থোক মাইনে নিয়ে

রাখতে কিছু ব্যাংকে গিয়ে

কেমন আছো ?

জমা খরব হিসেব নিকেষ

কোথায় শুরু কোথায় বা শেষ

কেমন আছো ?

অনেক বছর পেরিয়ে এলাম

হটাৎ তোমার দেখা পেলাম

কেমন আছো ?"
Kabir Bokul,পেটকাটি চাঁদিয়াল,"পেটকাটি চাঁদিয়াল মোমবাতি বগ্গা

আকাশে ঘুড়ির ঝাঁক, মাটিতে অবজ্ঞা।।

বয়স বারো কি তেরো ।।

রিকশা চালাচ্ছে,

আকাশে ঘুড়ির ঝাঁক ছেলেটাকে ডাকছে।

বয়স বারো কি তেরো, বড়জোর চোদ্দ,

রিক্শা চালাতে শিখে নিয়েছে সে সদ্য।

ছেলেটার মন নেই প্যাডেলে বা চাক্কায়।।

ঐ তো লেগেছে প্যাঁচ চাঁদিয়াল বগ্গায়।

শান্ দেওয়া মানজায়, বগ্গা ভো কাট্টা।

ছেলেটা চেঁচিয়ে ওঠে “এই নিয়ে আটটা”।

সওয়ার বাবুটি ভাবে, দেরি হয়ে যাচ্ছে।

বিচ্ছু ছোঁড়াটা বড় আস্তে চালাচ্ছে।

“ওই ছোঁড়া, আরে ওই ছোঁড়া ম’ল যা

আট্টা তো তোর কি ?”

সওয়ার বাবুটি দেন রেগে মেগে হুমকি।

বাবুর খ্যাঁকানি শুনে সম্বিত্ ফিরে পায়

ছেলেটা যে করে হোক রিক্শা চালিয়ে যায়।

এ কিশোর পারবে কি এই বোঝা টানতে ?

এই বাবু কোনো দিন পারবে কি জানতে ?

যে ছেলেটা প্রাণপণে রিক্শা চালাচ্ছে,

মুক্তির ঘুড়ি তাকে খবর পাঠাচ্ছে।

পেটকাটি চাঁদিয়াল মোমবাতি বগ্গা

আকাশে ঘুড়ির ঝাঁক, মাটিতে অবজ্ঞা।

পেটকাটি চাঁদিয়াল…"
Kabir Bokul,দুচোখ বুজে যাও কিছু চেয়ে দেখোনা,"দুচোখ বুজে যাও কিছু চেয়ে দেখোনা

দুচোখ বুজে যাও কিছু চেয়ে দেখোনা৷

দুকান বুজে যাও কিছু শুনে দেখোনা৷

কত কী করছে লোকে, কত কী বলছে লোকে –

যাও ভুলে যাও কিছু মনে রেখোনা৷

মনে রাখা বড় বিপদ– কথায় কথায় মনে পড়ে৷

সেদিন ঐ ওপাড়াতে কে যেন গেছে মরে৷ ।।

কিভাবে মরে গেছে চেয়ে যদি দেখেই থাক

অথবা পথের ধারে আচমকা শুনেই থাক –

সে ছিল তোমার আমার মতই একটা দিব্যি মানুষ

ছিল তার ছেলেমেয়ে, বিছানায় মেয়েমানুষ৷

ছিল তার একটা মাথা, দুটো হাত আর দুখানি পা

ময়লা জামাকাপড় কেচে দিত পাড়ার ধোপা৷

খিদে পেলে খিদে পেত তোমার আমার মতই তারও

মিল ছিল আরো অনেক – গোঁজামিলও বলতে পারো৷

এরই মাঝে একটা অমিল – ভীষণ রকম অমিল ছিল৷

মাস দুই আগে হঠাত্ লোকটার চাকরি গেল৷

ফলে কি হল জান?

না জেন না, না জেন না,

জানলে লোকে বলবে কি?

‘লোকে খাচ্ছে না’ ভাবলে গরম ভাতে ঘি

কি করে চটকাবে আর –

কে খাবে আমার খাবার!

না জেননা জানলে লোকে বলবে কি?"
Kabir Bokul,সারারাত জ্বলেছে নিবিড়,"সারারাত জ্বলেছে নিবিড়

ধুসর নীলাভ এক তারা

তারই কিছু রং নাও তুমি

তারই কিছু রঙ নাও তুমি

শহরে জোনাকি জ্বলে না নয়তো

কুড়োতাম সে আগুন নীল হয়তো

যা কিছু নেই

নাই বা হল সব পাওয়া

না পাওয়ার রঙ নাও তুমি

না পাওয়ার রঙ নাও তুমি

বড় বেরঙীন আজকাল

কাছাকাছি

কোন রঙ পাইনা,

তাই দিতে পারি না কিছু

কিছুই রাঙানো হল না নয়তো

আগামীর রঙে ছোপাতাম হয়তো

এই মলিন আর এ ধুসর পথ চাওয়া

এ চাওয়ার রঙ নাও তুমি

আগামীর রঙ নাও তুমি"
Kabir Bokul,জাতিস্মর,"অমরত্মের প্রত্যাশা নেই নেই কোন দাবি দাওয়া

এই নস্সর জীবনের মানে শুধু তোমাকে চাওয়া

মুহূর্ত যায় জন্মের মতো অন্ধ জাতিস্মর

গত জন্মের ভুলে যাওয়া স্মৃতি বিস্মৃত অক্ষর

ছেড়া তাল পাতা পুঁথির পাতায় নিঃস্বাস ফেলে হাওয়া

এই নস্সর জীবনের মানে শুধু তোমাকেই চাওয়া

কাল-কেউটের ফনায় নাচছে লখিন্দরের স্মৃতি

বেহুলা কখনো বিধবা হয় না এটা বাংলার রীতি

ভেসে যায় ভেলা এবেলা ওবেলা একই সব দেহ নিয়ে

আগেও মরেছি আবার মরবো প্রেমের দিব্যি দিয়ে

জন্মেছি আমি আগেও অনেক মরেছি তোমারই কোলে

মুক্তি পাইনি শুধু তোমাকে আবার দেখবো বলে ।।

বার বার ফিরে এসেছি আমরা এই পৃথিবীর টানে

কখনো গাঙড় কখনো কো পাই কপোতাক্ষর গানে

গাঙড় হয়েছে কখনো কাবেরী কখনো বা মিসিসিপি

কখনো রাইন কখনো কঙ্গো নদীদের স্বরলিপি

স্বরলিপি আমি আগেও লিখিনি এখনও লিখিনা তাই

মুখে মুখে ফেরা মানুষের গানে শুধু তোমাকেই চাই

তোমাকে চেয়েছি ছিলাম যখন অনেক জন্ম আগে

তথাগততার নিঃস্বংগতা দিলেম অস্তরাগে

তারই করুনায় ভিখারিনি তুমি হয়েছিলে একা একা

আমিও কাঙাল হলাম আরেক কাঙালের পেয়ে দেখা

নতজানু হয়ে ছিলাম তখনো এখনো যেমন আছি

মাধুকরী হও নয়নমোহিনী স্বপ্নের কাছাকাছি

ঠোঁটে ঠোঁট রেখে ব্যারিকেড কর প্রেমের পদ্যটাই

বিদ্রোহ আর চুমুর দিব্যি শুধু তোমাকেই চাই

আমার স্বপ্নে বিভোর হয়েই জন্মেছ বহুবার

আমি ছিলাম তোমার কামনা বিদ্রোহ চি্তকার

দুঃখ পেয়েছ যতবার জেনো আমায় পেয়েছ তুমি

আমি তোমার পুরুষ আমি তোমার জন্মভূমি

যতবার তুমি জননী হয়েছ ততবার আমি পিতা ।।

কতো সন্তান জ্বালালো প্রেয়সি তোমার আমার চিতা

বার বার আসি আমরা দুজন ।।

বার বার ফিরে যাই

আবার আসবো আবার বলবো

শুধু তোমাকে চাই"
