Writer,Title,Song
Khan Ataur Rahaman,এ খাঁচা ভাঙ্গব আমি কেমন করে,"এ খাঁচা ভাঙ্গব আমি কেমন করে।

দিকে দিকে বাজল যখন

শেকল ভাঙার গান

আমি তখন চোরের মত

হুজুর হুজুর করায় রত।

চাচা আপন বাঁচা বলে

বাঁচিয়েছি প্রাণ

আসলে ভাই একা একা

বাঁচার নামে আছি মরে

এ খাঁচা ভাঙ্গব আমি কেমন করে।।"
Khan Ataur Rahaman,শ্যামল বরণ মেয়েটি,"শ্যামল বরণ মেয়েটি

ডাগর কালো আঁখিটি

না না তার নাম বলব না

তোমরা তাকে দেখেছ

গল্প করে জেনেছ

শুধু তাহার নাম জান না

মিষ্টি তাহার সোনা মুখে হাসি ধরে না

এত বকা ঝকি তবু প্রাণ ভাঙে না।

এত করে বলেছি এত বারণ করেছি

বললে কারোর কথা শোনা না

এখানে এ দালান কোঠার ভীড়ে

কিংবা কোন গাঁয়ের কুঁড়ে ঘরে

তোমরা তাকে কত দেখেছ

শুধু নাম জান না

না না তার নাম বলব না।।

হায় রে সেই অভাগিনীর স্বপ্ন ছিল যত

তিলে তিলে নিভে হল পোড়াকূপের মত

আকাশ ভরা মিটিমিটি তারা জ্বলে যত

অভাগিনীর দুচোখ জুড়ে আশা ছিল তত

পথের পানে চেয়ে এবার

কেটে যাবে দিন

চোখের জলে গাঁথা মালা

ধূলায় হবে লীন

সকাল সাঝে কুড়িয়ে পাওয়া

ঝরা ফুলের মত

গানের মালায় গাঁথা হবে

তাহার কথা যত।

এখানে এ দালান কোঠার ভীড়ে

দেখেছি সে অভাগিনী কেঁদে কেঁদে ফিরে

সাগর সেঁচে খোঁজেনি সে হিরামতির মালা

কুঁড়ে ঘরে রাখবে কোথায় এত সুখের জ্বালা।

বসে ছিল খেয়ার আশে নদী হবে পার

ধূলোমাটির কড়ি কিছু আঁচল বাঁধা কার।

হায়রে কখন অথৈ জলে আঁচল গেল ছিঁড়ে

অভাগী তাই এপাড় ওপাড় কেঁদে কেঁদে ফেরে।

এখানে এ দালান কোঠার ভীড়ে

দেখেছি সে অভাগিনী কেঁদে কেঁদে ফিরে"
Khan Ataur Rahaman,তুমি চেয়েছিলে ওগো জানতে,"তুমি চেয়েছিলে ওগো জানতে

কেন এত ভাল লাগে তোমাকে

আমি বহুবার ভেবে দেখেছি

তার উত্তর কিছু জানি না।।

শুধু জানি তুমি আছ

তাই ভাল লাগে পৃথিবীকে

তুমি আজও ভালবাসো

তাই ভালবাসি জীবনকে

ওগো তোমায় ছাড়া এই পৃথিবীকে

এই জীবনকে চাই না

আমি আর কিছু জানি না

তুমি যখন ছিলে না

ওগো তখন সুখ ছিল না

তখন আমার কবিতার সাধনা

সুরের আরাধনা

বিফল বিভূমে হারাতো

সেই তুমি ফিরে এলে

তাই বেঁধে রাখি কবিতাকে

সেই আমি সেই তুমি

তাই সুরে বাঁধি বাঁশিটিকে

ওগো তোমায় ছাড়া এই কবিতাকে

এই বাঁশিটিকে চাই না

আমি আর কিছু জানি না।।"
Khan Ataur Rahaman,ও আমার চক্ষু নাই,"পথে পথে দিলাম ছড়াইয়ারে

সেই দুঃখে চোখেরও পানি

ও আমার চক্ষু নাই

পাড় নাই কিনার নাই রে

ও আমার চক্ষু নাই

ঘর নাই ও মোর জন নাই

তবু দিলাম ভাঙ্গা নায়ে

অথৈ সায়র পাড়ি

পথে পথে দিলাম ছড়াইয়ারে

সেই দুঃখে চোখেরও পানি

ও আমার বৈঠা নাই

ও আমার সুখ নাই

নিদ নাই চোখে নিদ নাই

বিধিরে তোমার খেয়ালের শেষ নাই

দয়া নাই তোমার মায়া নাই

তবু জনম দুঃখি আমি

তোমায় আপন জানি

পথে পথে দিলাম ছড়াইয়ারে

সেই দুঃখে চোখেরও পানি

ও আমার চক্ষু নাই"
Khan Ataur Rahaman,জীবন সে তো পদ্ম পাতায় শিশির বিন্দু,"জীবন সেতো পদ্ম পাতায় শিশির বিন্দু

মরুভুমির বুকে যেন বিষাদসিন্ধু

মনরে সে জীবন নিয়ে কেন এত কান্না

জীবনের পায়ে দিলি কেন এত ধর্ণা।।

আলোকের রূপ ধরে আলেয়া ছোটে

জোনাকির জ্বালা যেন ফুল হয়ে ফোটে

আহারে রাজার কুমার সোনার হরিণীতে মরে মাথা কুটে।

সোনার কাঠি রূপার যাদু আর নারে আর না।।

জলের লিখন যদি কপালের লেখা

প্রেমের আগুনে পুড়ে মরণে দেখা।

অবুঝ হিয়া তবু প্রেমের দোসর খুজে ফেরে হাটে হাটে।

ভালবাসা পুতুল খেলা আর নারে আর না।।"
Khan Ataur Rahaman,আমাকে পোড়াতে যদি এতো লাগে ভালো,"আমাকে পোড়াতে যদি এতো লাগে ভালো

জ্বালো আগুন আরো জ্বালো, ঢালো আরো ব্যথা ঢালো

আমাকে পোড়াতে যদি এতো লাগে ভালো।।

আমি তো পুড়ে পুড়ে অঙ্গার হয়েছি

দিয়েছো আঘাত যতো, সবই তার সয়েছি

নিঠুর ওগো, তবুও তোমাকে লেগেছে ভালো, তোমাকে বেসেছি ভালো

জ্বালো আগুন আরো জ্বালো, ঢালো আরো ব্যথা ঢালো

আমাকে পোড়াতে যদি এতো লাগে ভালো।।

এ হৃদয় ধূপসম তোমারি জ্বালায়

যাক যদি জ্বলে পুড়ে ছাই হয়ে যায়

কিছু তার সুরভি, কিছু তার বেদনা

পড়বে তোমার মনে, যেখানেই থাকো না।

সেদিনের সে স্মৃতি, জানি গো তোমার মনে জ্বালবে না আলো

জ্বালো আগুন আরো জ্বালো, ঢালো আরো ব্যথা ঢালো

আমাকে পোড়াতে যদি এতো লাগে ভালো।।"
Khan Ataur Rahaman,মায়ের মত আপন কেহ নাই,"মায়ের মত আপন কেহ নাই রে

মায়ের মত আপন কেহ নাই

মা জননী নাইরে যাহার

ত্রিভুবনে তাহার কেহই নাইরে।।

এই দুনিয়ায় নয়ন মেলে

মাগো তোমায় দেখেছি

তোমার বুকে হেসে খেলে

তোমার কথাই শিখেছি।

তাই তো বলি তোমার মত

মরমী কেউ নাই মাগো

তোমার মত আপন কেহ নাই রে

মায়ের মত আপন কেহ

আমি আঘাত পাইলে তোমার

চোখ নামে পানি

সেই পানিতে ধুয়ে মাগো

কোলেতে লও টানি।

তুমি যেদিন থাকবে না মা

সেদিন আমার হবে কি

সুখে থাকি দুঃখে থাকি

কাহার আসবে যাবে কি।

তাই তো বলি তোমার মত

দরদী কেউ নাই মাগো

তোমার মত আপন কেহ নাইরে

মায়ের মত আপন কেন নাই রে

মায়ের মত আপন কেন নাই।।"
Khan Ataur Rahaman,পাখিরে তুই দূরে থাকলে,"পাখিরে তুই খাঁচা ভেঙে আমার কাছে আয়

চোখের মনি চোখের কাছে না থাকলে

মনটা আমার আকূল হয়ে

মরে যেতে চায়

পাখিরে তুই দূরে থাকলে

কিছুই আমার ভালো লাগে না

পাখিরে তুই. . .

পাখিরে তুই কাছে থাকলে

গানের সুরে পরান দোলে

হৃদয় নাচে সুরের তালে

মনে মনে তোমায় ডাকি সারাবেলা

তা কি জানো না

যদি কোনদিন আমার পাখি

আমায় ফেলে উড়ে চলে যায়

একা একা রব নিরালায়

পাখিরে তুই কবে আমার

আপন হবি কিছুই জানি না"
Khan Ataur Rahaman,এ কী সোনার আলোয় জীবন ভরিয়ে দিলে,"একি সোনার আলোয়

জীবন ভরিয়ে দিলে।

ওগো বন্ধু কাছে থেকো কাছে থেকো।

রিক্ত আমার ক্ষুদ্র প্রাণে

তোমার আঁখিটি রেখো।।

আমি দিয়েছি আমার হৃদয় লুটিয়ে

তোমার প্রেমের জন্য

তুমি দু’হাত বাড়ায়ে বুকেতে জড়ায়ে

করেছো আমায় ধন্য।

বুকের পাঁজরে তেমনি লুকিয়ে রেখো

এমনি আমায় প্রাণের বাঁধনে

সোনার খাঁচাতে রেখো।।

জীবন হবে যে এতো সুন্দর

কখনো ভাবিনি আগে

এতো সুখ আর এতো আনন্দ

স্বপ্নের মতো লাগে।

ওগো যদি কোনোদিন জলছবি সম

মুছে যায় এই ছবি

আমি ঘুম ভেঙে দেখি স্বপ্নের মতো

হয়েছে বিফল সবই।

সেদিন বন্ধু আমার কথাটি রেখো

রাতের নিরলে আমার স্মৃতির

প্রদীপ জ্বালিয়ে রেখো।।"
Khan Ataur Rahaman,রংধনু চোখে চোখে,"রংধনু চোখে চোখে,কথা বলি মুখে মুখে।

এখানে মনের কথা বলো না।

কথা হবে মনে মনে, তুমি আমি নিরজনে

যেখানে দিগন্তে, আকাশ আর মাটিতে

দেখা হবে পৃথিবীর প্রান্তে।

সেখানেই হবে যত কথা

এখানে রঙের খেলা,

এখানে শখের মেলা

এখানে মনের কথা বলো না।

এখানে হিসাব গোনা দেনা আর পাওনা

এখানে দেখা হয় কি পেলাম কি দিলাম

সে হিসাব মেটাবার জন্যে।

এখানেই নেই কোন কথা

এখানে সবাই একা

এখানে চোখের দেখা

এখানে মনের কথা বলো না।"
