Writer,Title,Song
Mohammad Moniruzzaman,চলে যায় যদি কেউ,"চলে যায় যদি কেউ বাঁধন ছিড়ে

কাঁদিস কেন মন

ভাঙ্গা গড়া এই জীবনে আছে সর্বক্ষণ।।

হাসির পরে কান্না আছে

দুখের পরে সুখ।

আধার রাতের শেষে যেমন

দেখিস আলোর মুখ

জন্ম নিলে সবার তরে আছেরে মরন

ভাঙ্গা গড়া এই জীবনে আছে সর্বক্ষণ।।

দুদিনেরেই দুনিয়াতে সবাই মুসাফির।

এ সংসারের মোহ মায়ার হই কেন অধীর

যায় না মোছা কখন যে ভাগ্যেরই লিখন।।"
Mohammad Moniruzzaman,অশ্রু দিয়ে লেখা এ গান,"অশ্রু দিয়ে লেখা এ গান

যেন ভুলে যেওনা।

একি বন্ধনে বাঁধা দু’জনে

এ বাঁধন খুলে যেওনা।।

যত সুর ছিল প্রাণে

সবই দিয়েছি তোমায়

বিনিময়ে তোমারে শুধু

চিরদিন যেন কাছে পায়।

মালা চন্দনে রাঙা এইক্ষণে

কখনো দূরে যেওনা।।

ওই ফুল বনে পাখি

আজ মন জুড়ে যেন গায়

এই হাত জড়ানো হাতে

চিরদিন যেন ওগো রয়।

মধু কুমকুমে, নব মৌসুমে,

কখনো ফেলে যেওনা।।"
Mohammad Moniruzzaman,প্রেমের নাম বাসনা সে কথা বুঝিনি আগে,"প্রেমের নাম বাসনা সে কথা বুঝিনি আগে

দুটি প্রানের সাধনা তাই তো মধুর লাগে

তুমি যে দাঁড়ালা এসে সকল চাওয়ার শেষে

তুমি যে দাঁড়ালা এসে।

সকল চাওয়ার শেষে।

জীবনে পেয়েছি তোমারে।

এ কোন নতুন রাগে।।

আমায় করেছ ঋণী নবীনা সঞ্চারিনী

আমায় করেছ ঋণী

আমায় করেছ ঋণী নবীনা সঞ্চারিনী

আমায় করেছ ঋণী

ধন্য এ মন শুধু যে

তোমার পরশ জাগে।।"
Mohammad Moniruzzaman,আমার দেশের মাটির গন্ধে,"আমার দেশের মাটির গন্ধে

হরে আছে সারা মন

শ্যমল কোমল হরষ ছাড়া যে

নেই কিছু প্রয়োজন।।

প্রেম প্রেনে যেন তাই

তারই সুর শুধু পাই

দিগন্ত জুড়ে সোনা রঙ ছবি

এঁকে যাই সারাক্ষন।।

বাতাস আমার সবুজ স্বপ্নে দুলছে

কন্ঠে কন্ঠে ধ্বনি শুধু তুলছে।

গানে গানে আজই তাই

সেই কথা বলে যাই।

নতুন আশার এনেছে জীবনে

সূর্যেরই এ লগন।।"
Mohammad Moniruzzaman,ঢাকো যতনা নয়ন দুহাতে,"ঢাকো যতনা নয়ন দুহাতে

বাদল মেঘ ঘুমাতে দেবে না

এমন মোহন শ্রাবন রাতে

ভেজা হাওয়া যে ঘুমাতে দেবে না।

যে মন কখনো বেসেছে ভাল।

এ বরষা কারে করবে উতল

নদীর তটিনী বইবে উজানে

কাজল ধারা ঘুমাতে দেবে না।

বলবে তোমাকে ফাগুনের রাতি

এ কার প্রানে ও আকুল মিনতি

একাকি বিজনে পড়বে যে মনে

গানে ও বানী ঘুমাতে দেবে না।।"
Mohammad Moniruzzaman,একটুস খানি দেখ,"একটুস খানি দেখ একখান কথা রাখ

ভালবাইসা একবার তুমি বউ কইয়া ডাক।।

আঞ্চল পাইতা আসন দিয়া কমু যে কত কথা

আমি তোমার আসমানের চাঁন্দ বিরিক্ষের যেমন লতা

ও মোর রসিয়া ও………

ফুলের যেমন গন্ধ থেকে নদীর যেমন পানি

চখার যেমন চখী ওগো তেমনি তোমার আমি

সইধ্যা সকাল চিরটা কাল আমার হইয়া থাকো।।

তোমার হাতে তুমি কবে নোলক পাড়াইয়া দিবা

হাসা-ই কও তোমার জীবন সাথিনী কইরা নিবা

ও মোর দরদী ও………

সাগরেতে মুক্তা যেমন পাখির যেমন বাসা

তুমি আমার পরানের ধন তুমি আমার আশা

মায়ার বাধন ছিড়ার পথে ঊড়াল দিও নাকো।।"
Mohammad Moniruzzaman,শত্রু তুমি বন্ধু তুমি,"শত্রু তুমি বন্ধু তুমি, তুমি আমার সাধনা

তোমার দেয়া আঘাত আমায়

দেয় যে মধুর বেদনা

তুমি আমার সাধনা

যে চোখে তোমার প্রেমের কাজল

সে চোখে আবার কিসের অনল

স্বপ্ন হয়ে পিছু ডাকো

দুঃখ দিয়ে দূরে রাখো

তুমি আমার পূর্ণিমা চাঁদ

রাত্রি দিনের যন্ত্রণা।।

যে হাতে তোমার পরম মালা

সে হাতে আবার মরণ জ্বালা

বন্ধু তোমাকে ভাবতে গেলে

শত্রু হয়ে যে দেখা মেলে

ভালোবেসে শূন্য হলাম

এইতো আমার সান্ত্বনা।।"
Mohammad Moniruzzaman,অমন করে যেও না গো তুমি,"অমন করে যেও না গো তুমি

বুকে আগুন জ্বলিও না তুমি

ঐ রূপ ধরে রেখো আড়াল করে

নজর না লাগে কারো চাঁদ বদনে।।

অমন করে বলো না গো তুমি

লাজে মরি পথ ছারো তুমি

সইবে কী আর এত সুখ আমার।

জীবনে বড় যে অভাগী আমি।।

অমন করে বলো না গো তুমি

ও মুখ তোমার এক ফোঁটা এক পদ্ম

অঙ্গে সোনা রঙ বিকিয়েছে সদ্য

মুক্ত ঝরা ও মুখের হাসি

জোছনা লুটায় ও চরণে আসি

কী করে দেব তার উপমা আমি।।

আমি সাধারণ অতি নগন্য

পরশ পেয়ে তোমার হয়েছি ধন্য

এত মনে মোর দিও না আশা

হারাই যদি তবু তোমায় সহসা

পারবো না সইতে সে ব্যাথা যে আমি

অমন করে বলো না গো তুমি

লাজে মরি পথ ছারো তুমি

সইবে কী আর এত সুখ আমার।

জীবনে বড় যে অভাগী আমি।।"
Mohammad Moniruzzaman,একটু ফিরে দেখো,"একটু ফিরে দেখ একটা কথা রাখ

ভালবেসে একবার আমায় বউ বলে ডাক।।

কতদূর যায় পাখী উড়ে

আবার তো ফিরে আসে নীড়ে

আমি তেমনি আজ বিরহী পাখী ।।

তোমার ছায়া নীড়ে তুলে নাও গো

সোহাগে আদরে জীবনে আমারে ভরে দাও গো

এই শোনো না …

একটু ফিরে দেখ একটা কথা রাখ

ভালবেসে একবার আমায় বউ বলে ডাক।।

কত পথ পার হয়ে এসে

সাগরে্র বুকে নদী মেশে

আমি তেমনি আজ পিয়াসী নদী ।।

তোমার সাগর বুকে তুলে নাও গো

জীবনে মরণে তোমারই চরণে ঠাই দাও গো

এই শোনো না …।।

একটু ফিরে দেখ একটা কথা রাখ

ভালবেসে একবার আমায় বউ বলে ডাক।।"
Mohammad Moniruzzaman,এ আকাশকে সাক্ষী রেখে,"এ আকাশকে সাক্ষী রেখে

এ বাতাসকে সাক্ষী রেখে

তোমাকে বেসেছি ভাল

তুমি মোর নয়নের আলো।।

এ জীবন যারে হেসে খেলে

বধু বেশে তোমায় কাছে পালে।

আমি থাকবো তোমারই হয়ে

এই মন বলে আজ ডেকে।।

বড় একা ছিলাম পৃথিবীতে

এলে শূন্য হৃদয় ভরে দিতে।

আমি ধন্য তোমায় কাছে পেয়ে

তুমি থাকবে আমার দুখে সুখে।।"
Mohammad Moniruzzaman,তোমার আলোর বৃন্তে,"তোমার আলোর বৃন্তে

আমি যে বারে বারে আসি ফিরে

এতো মহোময় তন্দ্রা আমায়

তবু কেন রাখে ঘিরে।।

পাতার কাঁপন চঞ্চলতায়

ভীরু ভাবনার গোপন কথায়।

আবেগ জড়ানো মাধুরী লুকায়

দুটি নয়নের নীড়ে।।

তুমি আমায় দিয়েছ

এ কোন ঝরানো বকুল বেলা

ঝরা মুকুলের ছন্দ সাজানো খেলা।

যেন আধারের মৌন পাতায়

আমার এ মন ডেকে ডেকে যায়।

বুঝি অজানার স্বপ্ন ঘনায়

দুটি হৃদয়ের তীরে।।"
Mohammad Moniruzzaman,গান হয়ে এলে,"গান হয়ে এলে মন যেন বলে

সারা বেলা এত সুর নিয়ে

নিজেরে কেমনে বল রাখি লুকিয়ে।।

ওগো মোর ভাবনা ওগো মোর কামনা

এসেছ জীবনে তবু তোমারে যেন বুঝিনা।

এ কেমন অলংকারে। নিলে জড়িয়ে।।

তুমি মোর নয়নে তুমি মোর স্বপনে

যে ছবি একেছ সে তো শুধুই রবে গোপনে।

এ হৃদয় অহংকারে। দিলে ভরিয়ে।।"
