Writer,Title,Song
Moniruzzaman Monir,সে-ই আমার বিষের বাঁশী,"সে-ই আমার বিষের বাঁশী

সে-ই আমার মধুর হাসি

যে আমাকে ভালবাসে

ভাল চোখে দেখে না সে ।।

আমারই প্রতি দিনের প্রতিটি কাজের মাঝে

তারই সে হাতের কাঁকন ছন্দ বিহীন বাজে

সে কথা বললে তারে নিবিঢ় করে হাসে

সে-ই আমার………

যখনই বলি তারে চোখেরই আড়াল হলে

দেবো যে হটাৎ কখন মনের বাঁধন খুলে ।।

তখনই কাজল চোখে কান্না নেমে আসে

সে-ই আমার বিষের বাঁশী

সে-ই আমার মধুর হাসি

যে আমাকে ভালবাসে

ভাল চোখে দেখে না সে ।।"
Moniruzzaman Monir,ভুলো না আমাকে ভুলে যেও না,"ভুলো না আমাকে ভুলে যেও না।

তুমি ভুলে গেলে তুমি ব্যাথা দিলে

সইতে পারবো না।।

ভালবেসে যে মালা দিয়েছিলে

ঘরে আছে সুরভি তারই ফুলে।

কত কথা জমা আছে বলবো তোমার কাছে

কেন তুমি বোঝ না।।

অভিমানে যে পথে গেছ চলে

রবো আমি সেই পথে আঁখি মেলে।

এসো তুমি এসো ফিরে শূণ্য আমারই ঘরে

দূরে তুমি থেকে না।।"
Moniruzzaman Monir,দুই নয়নে তোমায় দেখে নেশা কাটে না,"দুই নয়নে তোমায় দেখে নেশা কাটে না

দেখার নেশা কাটে না ।।

হাজার নয়ন দাওনা আমায়, লক্ষ নয়ন দাওনা…

এক হৃদয়ে ভালবেসে আশা মেটে না

মনের আশা মেটে না ।।

হাজার হৃদয় দাওনা আমায়, লক্ষ হৃদয় দাও না ……

গড়িল তোমায় যে জন না জানি সে কেমন ।।

দিল একই অংগ জুড়ে চন্দ্র তারার কিরণ

সেই কিরণে লাগে গ্রহণ দেখা যখন পাই না

দুই নয়নে তোমায় দেখে নেশা কাটে না

দেখার নেশা কাটে না ।

এক হৃদয়ে ভালবেসে আশা মেটে না

মনের আশা মেটে না ।

কেন যে হলো এমন অল্প দিনের জীবন ।।

ফুলের মত যায়গো ঝরে না পুরিতে স্বপন

এই জনমে আর জনমে একা হতে চাই না

দুই নয়নে তোমায় দেখে নেশা কাটে না

দেখার নেশা কাটে না ।।

হাজার নয়ন দাওনা আমায়, লক্ষ নয়ন দাওনা…

এক হৃদয়ে ভালবেসে আশা মেটে না

মনের আশা মেটে না ।।

হাজার হৃদয় দাওনা আমায়, লক্ষ হৃদয় দাও না"
Moniruzzaman Monir,তুমি যেখানে আমি সেখানে,"তুমি যেখানে আমি সেখানে সেকি জাননা

একই বাঁধনে বাঁধা দু’জনে

ছেড়ে যাব না ।।

তুমি বৃষ্টির মেঘ

আমি রংধনু

তুমি গন্ধের ফুল

আমি তার রেণু ।।

হে হে হে…এ

তোমার ছায়া আমি

আমার ছায়া তুমি

একই সাথে চলি

আমার আশা তুমি

তোমার ভাষা আমি

একই কথা বলি

তুমি পৃথিবীর চোখ

আমি তার তারা

তুমি ঝর্ণার সুর

আমি তার ধারা

হে হে হে…এ

যেমন আছি পাশে

তেমন ভালবেসে

কাছে যদি থাকি

জীবন থেকে দূরে

মরণ রবে সরে

সুখে হবো সুখী

তুমি জঙ্গীর মন থেকে

নাও কথা

তুমি বন্ধুর হাত ধরে

দাও কথা

হে হে হে…এ

তুমি যেখানে আমি সেখানে সেকি জাননা

একই বাঁধনে বাঁধা দু’জনে

ছেড়ে যাব না ।।

তুমি বৃষ্টির মেঘ

আমি রংধনু

তুমি গন্ধের ফুল"
Moniruzzaman Monir,যে ছিল দৃষ্টির সীমানায়,"যে ছিল দৃষ্টির সীমানায়

যে ছিল হৃদয়ের আঙ্গিনায়

সে হারালো কোথায়

কোন দূর অজানায়

সেই চেনা মুখ কতদিন দেখিনি

তার চোখে চেয়ে স্বপ্ন আঁকিনি।

যত খানি সুখ দিয়েছিলো

তার বেশী ব্যাথা দিয়ে গেল

স্মৃতি তাই আমারে কাঁদায়।

সে হারালো কোথায়

কোন দূর অজানায়

সেই চেনা মুখ কতদিন দেখিনি

তার চোখে চেয়ে স্বপ্ন আঁকিনি।।

যতটুকু ভুল হয়েছিলো

তার বেশী ভুল বুঝেছিলো

কি যে চায় বলেনি আমায়।

সে হারালো কোথায়

কোন দূর অজানায়

সেই চেনা মুখ কতদিন দেখিনি

তার চোখে চেয়ে স্বপ্ন আঁকিনি।।"
Moniruzzaman Monir,"সূর্যদয়ে তুমি, সূর্যাস্তেও তুমি","সূর্যদয়ে তুমি, সূর্যাস্তেও তুমি

ও আমার বাংলাদেশ, প্রিয় জন্মভূমি।।

জলসিঁড়ি নদীর তীরে,

তোর খুশির কাঁকন যেন বাজে

ও—কাশবনে ফুলে ফুলে,

তোর মধুর বাসর যেন সাজে

তোর একতারা হায়,

করে বাউল আমায় সুরে সুরে।।

আঁকাবাঁকা মেঠো পথে

তোর রাখাল হৃদয় যেন হাসে

ও—পদ্ম পাতা, দীঘির ঝিলে

তোর সোনার স্বপন যেন ভাসে

তোর এই আঙিনায়

ধরে রাখিস আমায় চিরতরে।।"
Moniruzzaman Monir,কি যাদু করিলা,"কি যাদু করিলা পিড়িতি শিখাইলা

থাকিতে পারিনা ঘরেতে প্রাণ সজনী

থাকিতে পারিনা ঘরেতে

কি মন্ত্র পড়িলা ভাবেতে মজাইলা

থাকিতে পারিনা ঘরেতে প্রাণ সজনী

থাকিতে পারিনা ঘরেতে।।

নয়ন জুড়াইলা পরান কাড়িলা।

মরমে বাজাইলা মধুর বাঁশী

পড়ে গো ধলিয়া হাসিয়া হাসিয়া।

তোমারি মুখেতে পূর্ণ শশী

কি কথা কহিয়া পাগল বানাইলা

কিছুতে পারিনা সহিতে প্রাণ সজনী

কিছুতে পারিনা সহিতে

কি মন্ত্র পড়িলা ভাবেতে মজাইলা

থাকিতে পারিনা ঘরেতে প্রাণ সজনী

থাকিতে পারিনা ঘরেতে

আমার লাগিয়া নিরালে বসিয়া।

তোমারে যতনে গড়িল বিধি

মরিব মরণে তোমারি বিহনে।

তোমারে জীবনে না পাই যদি

কি মালা গাঁথিলা আমারে পরাইলা

কিছুতে পারিনা খুলিতে প্রাণ সজনী

কিছুতে পারিনা খুলিতে।।"
Moniruzzaman Monir,সখী কারে ডাকে ঐ বাঁশি নাম ধরিয়া,"সখী কারে ডাকে ঐ বাঁশি নাম ধরিয়া

তুই দে না বলিয়া।

আমি হৃদয়ও আসনে তারে

বসাবো যতন করে

খোঁপাতে রাখিবো গাঁথিয়া

তারে দে না আনিয়া।।

কহিতে শরম লাগে

আধারে কাঁপন জাগে।

মরেছি আমি সখী মরার আগে

আমি দেখিবো নয়ন ভরে

কাজল করিয়া তারে

নয়নে রাখিবো আঁকিয়া

তারে দে না আনিয়া।।

বলে যা বলুক লোকে

পরাণ সপিবো তাকে।

পীড়িতি আগুন সখী পোড়াবো তাকে

আমি সারাটি জনম ধরে

আপন করিয়া তারে

আঁচলে রাখিবো বাধিয়ে

তারে দে না আনিয়া।।"
Moniruzzaman Monir,কে যেন এলো আমার দ্বারে,"কে যেন এলো আমার দ্বারে

নীরবে আজ ওগো দোলাতে আমায়

সাজালো এ কোন অলংকারে

শুধু কি অনুরাগে ভোলাতে আমায়।

মন বলে এই ক্ষণে কাছে কাছে থেকো

চোখ দুটি চায় তারে সে কি বুঝো নাকো।

বসে বাতায়নে আনমনে

ভাবি দিন যে চলে যায়।।

কোন সুরে এই বীণা বেজে বেজে উঠে

কোন কথা নির্জনে ফুল হয়ে ফোটে।

আহা একই হলো এলোমেলো

আঁখি স্বপ্নে কেন ছায়।।"
Moniruzzaman Monir,জীবনের গল্প আছে বাকি অল্প,"জীবনের গল্প আছে বাকি অল্প।

যা কিছু দেখার নাও দেখে নাও

যা কিছু বলার যাও বলে যাও

পাবে না সময় আর হয়ত।।

ঐ ঘাসের কাফনেতে দেখ আকাশ আছে শুয়ে

ঐ বরফ গলা নদী নামে পাহাড় যে বেয়ে

নীড়ে পাখি ফিরে যাবে সূর্যটা গেলে অস্ত।।

যা কিছু দেখার নাও দেখে নাও

যা কিছু বলার যাও বলে যাও

পাবে না সময় আর হয়ত।।

এই রঙ্গিন পৃথিবীতে কত মানুষ এলো গেল

এই আশা যাওয়ার পথে দেখ চেনা যানা হল

ভুলে যেতে হবে সবই পথ চলা হবে অন্ত

যা কিছু দেখার নাও দেখে নাও

যা কিছু বলার যাও বলে যাও

পাবে না সময় আর হয়ত।।"
