Writer,Title,Song
Mukul Chowdhury,ওগো তুমি যে আমার কত প্রিয়,"ওগো তুমি যে আমার কত প্রিয়

কেমন করে বোঝাই বল।।

তুমি তো বোঝ না, জেনেও না জান না।।

কেন মিছে দ্বিধা কর

লুকোচুরি কেন কর

দূরে সরে কেন থাক

কাছে এসে চেয়ে দেখ

বন্ধু আমাকে চিনে নিতে পার কি না

তুমি তো বোঝ না, জেনেও না জান না।।

তুমি ওগো তুমি মোরে

বেধেছ যে মায়া ডোরে

তুমি ছাড়া একা একা

সবই যেন লাগে ফাকা

বন্ধু আমাকে ফাকি দিয়ে চলে যেও না।।"
Mukul Chowdhury,হেরে গেছি আজ আমি নিজের কাছে,"হেরে গেছি আজ আমি নিজের কাছে

হেরে গেছি জীবনেরই খেলাতে

এই মনে ছিল যত গর্ব আমার

কে যেন ভেঙ্গে দিয়েছে।।

প্রেমের এই ফাঁদ পাতা ভুবনে

কে কোথায় ধরা পড়ে কে জানে

সব কিছু যেন ভাগ্য লেখা।

আমি আজ সেই ফাঁদে ধরা পড়েছি।।

বাসরের ফুল ঝরা নিশীথে

এ হৃদয় পরাজিত হয়েছে

সবকিছু দিয়ে শূন্য আমি বাসরে

সবকিছু দিয়ে শূন্য আমি

আমি তাই নেই যেন এই আমাতে।।"
Mukul Chowdhury,আমার প্রেমের তরী বইয়া চলে,"আমার প্রেমের তরী বইয়া চলে

প্রেমের বৈঠা ধইরা

যারে নাইয়া, যেদিক খুশি, পিরীতের পাল তুইলা

ও হো হো হো………।

আমার মন মানষী বইসা আছে প্রেমের বৈঠা ধইরা

যারে নাইয়া, যেদিক খুশি, পিরীতের পাল তুইলা

ও হো হো হো………।

বাঁশরীয়া ছাড়া বাঁশি সুর ধরে না

তুমি আমার মনের বাঁশি, আমি বাঁশরীয়া।

ও হো হো হো………।।

ঐ না আকাশ কোলে যেমন মেঘ উইড়া যায়

তেমনি তোমার মন পিঞ্জরায় দোলাইও আমায়

ও হো হো হো………।।"
Mukul Chowdhury,চিনলি নারে চিনলি না,"চিনলি নারে চিনলি না আমি কি ধন চিনলি না

সাত দরিয়ায় জাল ফেলিয়া এমন রতন পাইবি না

আয় বুড়া আয় বুড়ি আয় ছুরা আয় ছুরি আয়রে দেখে যা

এই নাকের ডগায় বাঁশের লাঠির নাচন দেখে যা

[আরে এ যে সে নাচ, নাকের ডগায় বাঁশের লাঠি]

রঙ জানি ঢং জানি জান বাজি ধরি আমি হার মানি না

সব কাজেরই কাজি আমি ফাকি জানি না

খেটে খাওয়া মানুষ আমি বসে থাকা কাজ না

মহাজনে মাল গুনে বোকা জনে জাল টানে

আমি বাবাজি, (আরে) আমি বাবাজি

ওয়াজ খিজিরের শিষ্য হয়েছি

[আরে এ যে সে শিষ্য, হাহা! ওয়াজ খিজিরের শিষ্য]

ছু মন্তর ফু মন্তর, ফু মন্তর ছু মন্তর যাদুর বাঁশির ফু

আরে ডাঙ্গায় উঠে হাঙ্গর তিমি খেলবে হাডু ডু ডু ডু

(হই) মাছের রাজা মাছের রানী দেয়রে আমায় খাজনা।।"
Mukul Chowdhury,চিঠি লিখাছি নিশি রাইতে,"চিঠি লিখাছি নিশি রাইতে লন্ঠন জ্বালাইয়া

কাইল সকালের ডাকে চিঠি দিমুরে পাঠাইয়া

পরশুদিন বন্ধুর কাছে যাইবোরে পৌছাইয়া।

মনের সুখে আছ তুমি ঢাকা শহরে

এই বয়সে কেমনে থাকি একা একা ঘরে

মাইঝা দেওর ঘুড়ায় নজর কেমন কেমন করে

পাশের বাড়ির ভাবি আইসা রঙ তামাশা করে

আর কতদিন থাকমু আমি এইনা জ্বালা সইয়া

পরশুদিন বন্ধুর কাছে যাইবোরে পৌছাইয়া।।

আমার স্বাদের ননদিনী ছাইড়া শ্বশুড়বাড়ি

স্বামীর সাথে ঝগড়া কইরা আইছে বাপের বাড়ি

মা-ঝিয়েতে মিলছে তারা বড়ই হাসি খুশি

বিনা দোষে করে আমায় সকল দোষের দোষী

এই ছুটিতে আইসা বন্ধু যাইয়ো মোরে লইয়া

পরশুদিন বন্ধুর কাছে যাইবোরে পৌছাইয়া।"
Mukul Chowdhury,শোন ওরে ছোট্ট খোকা,"শোন ওরে ছোট্ট খোকা

শোন তোর পাপার কথা

দুখ যদি আসে কভু জীবনে

হাসি দিয়ে তারে ডেকে দিস।।

আমি তোর পিতা বন্ধু ও ভাই

তোর চেয়ে প্রিয় আর কেহ নাই

আমি তোর সঙ্গী খেলার সাথী

আমি তোর জীবনের আশা ভরসা

ছোট এই সংসার পিতা আর পুত্রের

আমি তোর তুই আমার আয়

আয়রে বুকে আয়।।

কোন দিন যদি আমি মরে যাই

ভয় নাই ওরে কোন ভয় নাই

তিনি বড় বন্ধু সুখে ও দুখে

তার চেয়ে বড় কোন বন্ধু যে নাই

তিনি যে বিধাতা সৃষ্টির স্রষ্টা

নিরাশার ভরষা নাই,

নাইরে ভয় নাই।।

কি ভেবেছি আর কি হয়েছে

এই মন কান্নায় ভরে গিয়েছে

ছোট এই উপহার নে নিয়ে নে

তোর এই পাপার অভাগা হাতে

এই তোর সঙ্গী জীবনের বন্ধু

এই তোর সাহারা আয়,

আয়রে কাছে আয়

শোন ওরে লক্ষী পাপা

শোন তোর খোকার কথা

দুখ যদি আসে কভু জীবনে

হাসি দিয়ে তারে ডেকে দিস।।"
Mukul Chowdhury,শোন গো রূপসী ললনা,"শোন গো রূপসী ললনা

আমাকে যখন তখন চোখ রাঙানো চলবে না।

আমি কারো খাই না পড়ি না কারো চাকরী করি।

আমাকে কথায় কথায় মন্দ বলা চলবে না।।

কি হবে খ্যামটা নেচে গোমটা দিয়ে মুখ লুকিয়ে

কি হবে ঠোট বাঁকানো গাল ফোলানো রাগ দেখিয়ে।

আমি কারো ধার না ধারি না কারো পরোয়া করি।

তোমার ঐ নিঠুর শাসন চক্ষু বুঝে সইবো না।।

তোমাকে রাগলে পরে দেখতে বড় মিষ্টি লাগে

তোমার ঐ গুমরা মুখের অন্ধকারে সূর্য হাসে।

কর যত ছল চাতুরি সবই আমি বুঝতে পারি।

নিজেকে নিজেই আজো বুঝতে তুমি পারলে না।।

কি হবে বন্ধ ঘরে সঙ্গী ছাড়া রাত কাটিয়ে

ক্ষতি কী বন্ধু ভেবে ডাকলে কাছে চুপটি করে।

আমাকে পর ভেবো না জেনে শুনে ভুল করো না।

আমি তো বন্ধু তোমার শত্রু ভাবা চলবে না।।"
Mukul Chowdhury,ওরে নাচ নাচ নাচ দিওয়ানি হেলে দুলে নাচ,"ওরে নাচ নাচ নাচ দিওয়ানি হেলে দুলে নাচ

ঐ রুমঝুম রুমঝুমাঝুম তালে তালে নাচ

এই দুনিয়ার জলসা ঘরে আজ আছি কাল নাইরে

নটিনী আমাকে দিওয়ানা করে দে

দে রে দে দিওয়ানি আমাকে মাস্তানা করে দে।।

যৌবনটা মোহ ছাড়া আর তো কিছু না

সুন্দরী তুই ঐ রূপেরই বড়াই করিস না।

হারে রে রে দুদিন পরে ঐ রূপ তোর ধুলায় মিশে যাবে

রূপসী আমাকে দিওয়ানা করে দে

দে রে দে দিওয়ানি আমাকে মাস্তানা করে দে।।

মন থাকতে যে জন তার মর্ম বোঝে না

প্রেম পীড়িতি সেই জন তো কভু পাবে না।

হে হে হে তালে গোলে গোলমালে জীবন কেটে যাবে

রূপসী আমাকে দিওয়ানা করে দে

দে রে দে দিওয়ানি আমাকে মাস্তানা করে দে।।"
Mukul Chowdhury,পদ্মা নদীর তীরটি ঘেসে,"পদ্মা নদীর তীরটি ঘেসে ফুলেশ্বরী গাঁ

সেই গায়েতে ছিল আমার বাপ দাদার ভিটা।

পিতার ধন পায় পুত্রে

পেয়েছিলাম সেই সূত্রে কিছু জমি জমা

সংসারেতে ছিল আমার

ছোট দুটি ভাই বোন আর স্নেহময়ী মা

নিজের হাতে লাঙ্গল কোষে

কাটছিল দিন মনের সুখে

(হ…র…র…র… হট… হট…হট….)।

সেই সুখ বেশী দিনে ভাগ্যটাতে সইলো না

ও পদ্মা….. হায়রে পদ্মা…..

(একদিন ভর সন্ধ্যায় মা আমার গেল পদ্মার ঘাটে কলসি ভরতে…

সর্বনাশী পদ্মার হিংস্র স্রোত….. বাঁচাও…. বাঁচাও….. রানু… মনু…..

ওঠান ঝাড়ু দিচ্ছিল রানু, মার চিৎকার তার কানে গেল। মার চিৎকার

তার কানে গেল, মা…. মা….মনু……।

মনু দাওয়ায় বসে পোষা ময়নাটাকে আধার খাওয়াচ্ছিল, মার আর্তনাদ ও

বোনের চিৎকার তার কানেও গেল, মা… রানু….দাঁড়াও আমি আইতাছি

মা …. রানু…..

আমার কাছে যখন খবর গেল, তখন সবই শেষ। পদ্মা সর্বনাশী আমার

মা, ভাই, বোন সবাইকে গ্রাস করে ফেলেছে। বেঁচে আছি শুধু আমি।

মোন পিচু টান আর রইলো না। অবশেষে, একদিন গ্রাম ছেড়ে পা বাড়ালাম

শহরের দিকে….)

গ্রাম ছেড়ে আমি শহরে

জীবনে প্রথমেই এসেছি

মনে হয় যেন এক

নতুন জগতে এসে পড়েছি।

রাজপথে নেমে দেখি সারি সারি

চলেছে ডাইনে বায়ে কলের গাড়ি

সামনে পিছনে দেখি ইটের দালান

দাঁড়িয়ে রয়েছে যেন পাহাড় সমান

লাল সাদা বাতিগুলো নিভে আর জ্বলে

তাদের মতই যেন শূন্যে ঝুলে

এই ভাবে বেশি দিন যাবে না থাকা

ফুরায়ে এসেছে মোর কাধের টাকা

পৃথিবীতে টাকা ছাড়া বাঁচা বড় দায়

বাঁচারই কারণে আমি কোন কাজ চাই

কেউ যদি দয়া করে দিতে পারে

একটা কাজ মোরে দিয়ে দেবেন

সৎ পথে থেকে আমি বাঁচতে যে চাই

এইটুকু বলে আজ.. নিলাম বিদায়"
Mukul Chowdhury,মন বলেছে আমি প্রেমে পড়েছি,"মন বলেছে আমি প্রেমে পড়েছি

ঐ গুন্ডা ছেলেটাকে ভালবেসেছি

প্রেম করেছি আমি একি করেছি

ঐ সর্বনাশা পথে পা দিয়েছি, মন বলেছে

আমি লজ্জা শরম ছেড়েছি

আমি ইজ্জত সম্মান ভুলেছি

ভালবাসতে গিয়ে যেন বদ্ধ পাগল হয়েছি।

মন্দ বলে লোকে কেউ পাগলি বলে ডাকে।

শুধু প্রেমের কারণে স্বপনে সয়েছি

হুম……. আ……

কেউ তো জানে না আমি প্রেমে পড়েছি

ঐ গুন্ডা ছেলেটাকে ভালবেসেছি, মন বলেছে

ঐ গুন্ডামার্কা ছেলেটি তার মিষ্টি মিষ্টি হাসিটি

এই দিলটাতে মোর যেন জখমই করে দিয়েছে।

সত্যই যদি বলি আমি ফান্দে পড়ে গেছি।

শুধু কখন …, মন বলেছে……।।"
