Writer,Title,Song
Nochiketa,চোর,"ভিড় করে ইমারত, আকাশটা ঢেকে দিয়ে,

চুরি করে নিয়ে যায় বিকেলের সোনা রোদ।

ছোটো ছোটো শিশুদের শৈশব চুরি ক’রে,

গ্রন্থ-কীটের দল বানায় নির্বোধ।

এরপর চুরি গেলে বাবুদের ব্রিফকেস

অথবা গৃহিণীদের সোনার নেকলেস,

সকলে সমস্বরে, একরাশ ঘৃণা ভরে

চিত্কার করে বলে —

চোর, চোর, চোর, চোর, চোর।

প্রতিদিন চুরি যায় মূল্যবোধের সোনা,

আমাদের স্বপ্ন, আমাদের চেতনা।

কিছুটা মূল্য পেয়ে ভাবি বুঝি শোধ-বোধ,

ন্যায় নীতি ত্যাগ করে, মানুষ আপোস ক’রে,

চুরি গেছে আমাদের সব প্রতিরোধ।

এর পর কোনো রাতে, চাকরটা অজ্ঞাতে,

সামান্য টাকা নিয়ে ধরা প’ড়ে হাতে নাতে।

সকলে সমস্বরে, একরাশ ঘৃণা ভরে

চিত্কার করে বলে —

চোর, চোর, চোর, চোর, চোর।

প্রতিদিন চুরি যায় দিন বদলের আশা,

প্রতিদিন চুরি যায় আমাদের ভালবাসা।

জীবনী শক্তি চুরি গিয়ে আসে নিরাশা,

সংঘাত্ প্রতিঘাত্ দেয়ালে দেয়ালে আঁকা,

তবু চুরি যায় প্রতিবাদের ভাষা।

কখনো বাজারে গেলে, দোকানী কিশোর ছেলে,

কাঁপা কাঁপা হাত নিয়ে, ওজনেতে কম দিলে,

সকলে সমস্বরে, একরাশ ঘৃণা ভরে

চিত্কার করে বলে —

চোর, চোর, চোর, চোর, চোর।"
Nochiketa,সারে যাঁহা সে আচ্ছা,"আমার পরিচয় – বেকার যুবক আমি, সম্বল একটাই দৈন্য,

ডিগ্রির ভাঁড়ারেতে তবু কিছু মাল আছে, পকেটের ভাঁড়ারটা শুন্য।

যেদিকেই তাকাই না, দেখি জন-অরণ্য, সে অরণ্যেই দেখি মানুষেরা পণ্য,

বধুকে পোড়ানো হয়, অধর্ম জয়ী হয়, মানুষের রক্তে দিনলিপি সই হয়।

হাসপাতালের বেডে টিবি রোগীর সাথে খেলা করে শুয়োরের বাচ্চা,

তবু রেডিওটা টিভিটার সাথে সুর ধরে – সারে যাঁহা সে আচ্ছা।

লাঞ্ছনা গঞ্জনা মাখা অভিযোজনে রপ্ত করেছি নিজেকে,

অসৎ হবার বহু বহু প্রচেষ্টায়, ব্যর্থ করেছি নিজেকে।

চাকরির সন্ধানে সুখতলা খয়ে যায়,গঙ্গার জল তবু একই ভাবে বয়ে যায়,

ঘুশ্, ঘুশ্,ঘুশের এক ঘুস-ঘুসে জ্বরে, গোটা দেশ চিত্কার করে ডাকে ‘ডাক্তার’,

ডাক্তার উড়ে আসে ঋণের অষুধ নিয়ে, গঙ্গার পুজো হয় গঙ্গার জল দিয়ে।

বছরের অন্তে, বাজেটের যন্ত্রে পিশে দেই জীবনটা, গচ্ছা,

তবু রেডিওটা টিভিটার সাথে সুর ধরে – সারে যাঁহা সে আচ্ছা।

প্রার্থীর যোগ্যতা অথবা অভিজ্ঞতা, এমপ্লয়মেন্ট এক্সচেঞ্জের দীনতা,

কোনো কিছুই কোনো কিছুকেই ঢাকে না।

আর,’লোক’ অথবা ‘বিধান’ যে দিকেই তাকান, রাজনীতিজ্ঞ হতে যোগ্যতা লাগে না।

হাজার প্রতিশ্রুতি বাতাসেই বয়ে যায়, ‘চলছে না, চলবে না’, তবু তাই হয়ে যায়।

কত শত শয়তান, হতে চায় ভগবান, আল্লা না বড় রাম, এই চলে অবিরাম।

খুনোখুনি লাঠালাঠি, অবিরাম অনুক্ষণ,এদিকে তোমার আমার পেটেতে ছুঁচোর ডন।

সমাজ বিরোধী কিছু, করে বলে মাথা উঁচু, সমাজবাদের পথ সাচ্চা।

তবু রেডিওটা টিভিটার সাথে সুর ধরে – সারে যাঁহা সে আচ্ছা।"
Nochiketa,হঠাৎ বৃষ্টি,"ছোট ছোট স্বপ্নের নীল মেঘ

কখনো রোদ্দুর বৃষ্টি।

জীবনের চাকা গেছে আঁকা-বাঁকা

সৃষ্টি বা অনাসৃষ্টি

তবু এক মুঠো সুখ ছুঁয়ে গেলে ভাবি

এ যেন হঠাৎ বৃষ্টি।।

কখনো আলো-ছায়ার খেলা

কখনো শুধুই আঁধার।

কোথাও থামে ভেজা সহনি

কোথাও ফুলের বাহার

কোথাও চেতনা পাহাড় ভাঙ্গে

কোথাও বিপন্ন কৃষ্টি।

তবু এক মুঠো সুখ ছুঁয়ে গেলে ভাবি

এ যেন হঠাৎ বৃষ্টি।।

কখনো হৃদয় ভাঙ্গার খেলা

কখনো সেতু গড়ার।

কখনো নিজ নিকেতনে মন

কখনো কখনো সবার

কোথাও চাওয়ার হিসেব মেলে না

কোথাও না পাই সন্তুষ্টি

তবু এক মুঠো সুখ ছুঁয়ে গেলে ভাবি

এ যেন হঠাৎ বৃষ্টি।।"
Nochiketa,হারিয়ে যাওয়া সেই গানের কলি,"হারিয়ে যাওয়া সেই গানের কলি,

যদি মন দিয়ে শোন তবেই বলি,

নেই সে কলের গান কুকুর মাথা

রেডিও কিনল বিজ্ঞাপণদাতা,

এখন ক্যাসেট আর টেপরেকর্ডার,

মনে মনে জানি তবু একটা শ্লোগান-

পুরনো দিনের গান আজো ভরে মন প্রাণ,

যতই শুনি যে গান, বিজাতীয় মডার্ণ!

জানি একদিন হবে আমার জীবনীলেখা,

মুখার্জী সতীনাথ বলতো এমন কথা

ভুলিনি ইলাবসু নামে একজন যাকে,

কোকিল শোনাত চৈতি হাওয়ার কথকতা!

আর ঘুমের ছায়া নামে চাঁদের চোখে হায়

অবসরে মনে পড়ে তালাতের গান।

বাংলার গানে যার নামেই বসন্ত,

তিনিই গায়ক-সুরকার হেমন্ত

ঝিনুকের সন্ধানে নির্মলা মিশ্র

বনে নয় মনে আমাদের মানবেন্দ্র

আর অখিল বন্ধু ঘোষ যতটা প্রতিভাবান

পেলেন না তার যোগ্যতার সম্মান।

নীল চোখে যমুনাকে নীল দেখে মাধুরী,

করেছেন অসংখ্য শ্রোতাদের মন চুরি,

প্রতিমা, উৎপলা, মৃণাল আর কত নাম,

এরাই তো আমাদের পূর্বসূরী।

আর বিরহের কথা এলে, বুকের জ্বালা ভুলে

আজো মাঝে মাঝে গাই-মান্না দে’র গান।"
Nochiketa,তুমি আসবে বলেই আকাশ,"তুমি আসবে বলেই আকাশ মেঘলা বৃষ্টি এখনো হয়নি

তুমি আসবে বলেই কৃষ্ণচূড়ার ফুলগুলো ঝরে যায়নি

তুমি আসবে বলে অন্ধ কানাই বসে আছে গান গায়নি

তুমি আসবে বলে চৌরাস্তার পুলিশটা ঘুষ খায়নি

তুমি আসবে বলে জাকির হুসেইন ভুল করে ফেলে তালে

তুমি আসবে বলে মুখ্যমন্ত্রী চুমু খেল স্ত্রীর গালে

তুমি আসবে বলে সোনালী স্বপ্ন ভীড় করে আসে চোখে

তুমি আসবে বলে আগামী বলছে দেখতে আসবো তোকে

তুমি আসবে বলে আমার দ্বিধারা উত্তর খুঁজে পায়নি

তুমি আসবে বলে দেশটা এখনো গুজরাট হয়ে যায়নি

তুমি আসবে বলে সন্ত্রাসবাদ গুটিয়ে নিয়েছে থাবা

তুমি আসবে বলে জ্যোতিষ ছেড়েছে কতনা ভন্ড বাবা

তুমি আসবে বলে পাড়ার মেয়েরা মুখ করে আছে ভাড়

তুমি আসবে বলে ঈশান কোনেতে জমেছে অন্ধকার

তুমি আসবে বলে বখাটে ছেলেটা শিষ দিতে দিতে দেয়নি

তুমি আসবে বলে আমার কলম এখনও বিক্রি হয়নি

তুমি আসবে বলেই"
Nochiketa,চল যাব তোকে নিয়ে,"চল যাব তোকে নিয়ে

এই নরকের অনেক দূরে

এই মিথ্যে কথার মেকী শহরের সীমানা ছাড়িয়ে

এখানে মন মনে প্রেমের শরীরে

এখানে প্রেম ঘিরে গেছে হারিয়ে

আয়’রে আয়’রে আয় কে কে যাবি

চল যাব তোকে নিয়ে

এই নরকের অনেক দূরে

এই মিথ্যে কথার মেকী শহরের সীমানা ছাড়িয়ে

দেখি কত দম্পতি হাসি মুখে বাস করে শহরের ম্যানশন গুলায়

আর হাসি মাখা এই শহরই আমাকে ছাড়িয়ে ঘরে নামিয়েছে পথের ধুলোয়

দেখি কত প্রেম ভালবাসা এক সাথে ওঠা বসা মমতা হৃদয়েতে লুকোনো

তবু আমি কেন বসে আছি পথে একা একা সুদয়নি কেউ একজনও

এখানে মন মনে প্রেমের শরীরে

এখানে প্রেম ঘিরে গেছে হারিয়ে

আয়’রে আয়’রে আয় কে কে যাবি

চল যাব তোকে নিয়ে

এই নরকের অনেক দূরে

এই মিথ্যে কথার মেকী শহরের সীমানা ছাড়িয়ে"
Nochiketa,যদি হঠাৎ আবার দেখা হয় দুজনার,"যদি হঠাৎ আবার দেখা হয় দুজনার

কোন পথের বাঁকে, বহু কাজের ফাঁকে ।।

শুধু জানতে চাইবো আজও মনে আছে কি

মনে আছে কি স্মৃতি, নাকি দিয়েছে ফাঁকি

সেই চেনা সুর যা গাইতাম একই সাথে-

চালো সাজনা যাহা তাক ঘাটা চালে…

সেদিনের রাজপথ, পথভোলা জেনে বুঝে,

অবিরাম হেঁটে যাওয়া নির্জনতার খোঁজে-

সেই ধর্মতলা, ধূলো আর ধোঁয়ামাখা,

ভাল না লাগার মাঝে তবু কত ভাল লাগা

আজ কোন নির্জনে, বলো কি আপনমনে

ভাল ছিল দিনগুলো কোলাহল আঁকা

শুধু জানতে চাইবো চোখ জলে ভরে কি

শুনে আকুল হয় কি ঐ মনপাখি

সেই চেনা সুর যা গাইতাম একই সাথে

চালো সাজনা যাহাতাক ঘাটা চালে…

আজ কত নীতিকথা, শাসনের বেড়াজাল,

ভুলিয়ে দিয়েছে আজ সেই স্মৃতি উত্তাল

একদিন যে হৃদয় আকাশকে ছুঁতে চায়

আজ মুখ ঢাকে সম্বল চার দেয়াল-

আজ কি নোঙর তুলে স্রোতের অনুকূলে

ভাসিয়ে দিয়েছো নাও ছেঁড়া যার পাল

শুধু জানতে চাইবো মন আজও আঁকে কি

স্বপ্নের রঙে রাঙা স্বরলিপি

সেই চেনা সুর যা গাইতাম একই সাথে-

চালো সাজনা যাহাতাক ঘাটা চালে…"
Nochiketa,নীলাঞ্জনা,"দুলছে হাওয়ায় , না না না ফুল নয়

দখিনা বাতাসে নাগপাশে সময় নয়।

খোলা বারান্দায়, এই নির্জনতায়

সিলিংয়ের বন্ধনে, মাটির ব্যাবধানে

দুলছে স্খলিত বসনা

নীলাঞ্জনা নীলাঞ্জনা ।।

প্রেমিকের স্পর্শ

আনবেনা শিহরন আর ঐ মনে,

কেয়ার অফ ফুটপাত নচিকেতা দুটি হাত

শূণ্যে ছুড়বে ফাঁকা আস্ফালনে,

উড়ছে মাছি , না না না অবুঝ নয়

সে আজো একা তাই ঘিরে মাছিরাই রয় ।

খোলা বারান্দায়, এই নির্জনতায়

সিলিংয়ের বন্ধনে, মাটির ব্যাবধানে

দুলছে স্খলিত বসনা

নীলাঞ্জনা নীলাঞ্জনা ।।

লাশকাটা ঘরে যদি

চেরা হয় তার বুক সঙ্গোপনে,

দেখবে সেখানে রাখা বিবর্ণ

একমুঠো স্বপ্ন যতনে ।

যে স্বপ্ন কোন কিশোরের দেয়া উপহার গানের ভাষায় ,

যে স্বপ্ন প্রথাগত মিথ্যে কপট সংসারের আশায়।

এখন সময় না না না রাত্রি নয়

সে আজ জীবনরাত্রি পেরিয়ে গেছে হায় ।।

খোলা বারান্দায়, এই নির্জনতায়

সিলিংয়ের বন্ধনে, মাটির ব্যাবধানে

দুলছে স্খলিত বসনা

নীলাঞ্জনা নীলাঞ্জনা ।।"
Nochiketa,আমার ইচ্ছে করে,"আমার ইচ্ছে করে আকাশ বাড়ির ছাদ

ভেঙে বৃষ্টি আসুক, ভাসুক অবসাদ।

আমার ইচ্ছে করে হাতের পাঁচিল দিয়ে

তোকে জড়িয়ে থাকি সকাল থেকে রাত।

আমার ইচ্ছে করে সকাল চাদর হয়ে

রাতের কালো জাপ্টে ধরে রাখি।

আমার ইচ্ছে করে বিধানসভায় গিয়ে

দেয়ালে অপুষ্টির ছবি আঁকি।

আমার ইচ্ছে করে, তুই যখন অসহায়,

গোটা দুনিয়াটাকেই বলি মুর্দাবাদ।

আমার ইচ্ছে করে হাতের পাঁচিল দিয়ে

তোকে জড়িয়ে থাকি সকাল থেকে রাত।

আমার ইচ্ছে করে শীতবেড়ালের মতো

কুঁকড়ে শুয়ে থাকি রে তোর কোলে।

আমার ইচ্ছে করে সিদ্ধ নগর গড়ি

এই শহরের নিষিদ্ধ অঞ্চলে।

আমার ইচ্ছে করে বলি করে চীৎকার—

আমার বকলেস্হীন জীবন জিন্দাবাদ।

আমার ইচ্ছে করে হাতের পাঁচিল দিয়ে

তোকে জড়িয়ে থাকি সকাল থেকে রাত।"
Nochiketa,তুমি কে,"তুমি যদি চাও সূর্যকে নিয়ে যাব তোমাদের বাড়ি,

তুমি যদি চাও অক্সিজেনের সাথে করে দিব আড়ি।

যদি তোমার দু’চোখ রাত্রিকে খোজে পৃথিবীকে দিবো মুড়ে,

তুমি চাইলেই বোবা পৃথিবীটা ভরে দেব সুরে সুরে।

তুমি কে ? , তুমি কে ? , তুমি কে ?, তুমি কে ? ও তুমি কে..?

তুমি চাইলেই চিৎকার করে বলব তোমার নাম

তুমি কে ? , তুমি কে ? , তুমি কে ?, তুমি কে ? ও তুমি কে..?

,

তুমি চাইলেই আমি পরাবোই যেন বাঘের গলায় মালা,

তুমি চাইলেই কোন মন্ত্রীকে আমি সোজা বলে দেব শালা।

এই আমার বুকেতে অনেক আগুন গোটা দেশ যাবে জ্বলে,

তবু পারছিনা জ্বলে উঠতে শুধু তুমি বলছনা বলে,

তুমি সুন্দর, তুমি সুন্দর, কি দারুন তোমার হাসি,

ঐ হাসির জন্য সহস্র বার যেতে রাজি আমি ফাঁসি।

কোলকাতাটাকে কিনে এনে দিব দিয়ে সাত টাকা দাম।

তুমি কে, তুমি কে, তুমি কে, তুমি কে ও তুমি কে..?

,

তুমি চাইলেই ফিদা হোসেন কে দিয়ে আকাঁবো তোমার ছবি,

তোমাকেই লিখবে কবিতা সাড়ে দশ হাজার কবি।

তুমি চাইলেই স্কুল সিলেবাসে আমি তোমার জীবনী ছাপাবো,তুমি চাইলেই ছয় ইঞ্চি ইস্কেলে হিমালয়টা কে মাপাবো,তুমি চাইলেই দেবনা তো ভোট লোক অথবা বিধান সভায়,তুমি চাইলেই আমি চিরে দেব বুক প্রকাশ্য জনসভায়,তুমি চাইলেই, খেয়ে নিবো সায়নায়েট ৫০০ গ্রাম…

তুমি কে ? , তুমি কে ? , তুমি কে ?, তুমি কে ? ও তুমি কে..?

তুমি কে ? , তুমি কে ? , তুমি কে ?, তুমি কে ? ও তুমি কে..?……."
