Writer,Title,Song
Rajani Kanto Sen,কেন বঞ্চিত হব চরণে,"কেন বঞ্চিত হব চরণে!

আমি কত আশা করে বসে আছি, পাব জীবনে না হয় মরণে

আহা! তাই যদি নাহি হবে গো,-

পাতকী-তারণ-তরীতে তাপিত আতুরে তুলে না লবে গো,-

হয়ে পথের ধুলায় অন্ধ, এসে দেখিব কি খেয়া বন্ধ?

তবে পারে বসে “পার করো” বলে পাপী কেন ডাকে দীন-শরণে?

আমি শুনেছি হে তৃষাহারি!

তুমি এনে দাও তারে প্রেম-অমৃত, তৃষিত যে চাহে বারি।।

তুমি আপনা হইতে হও আপনার, যার কেহ নাই, তুমি আছ তার,

এ কি সব মিছে কথা? ভাবিতে যে ব্যথা বড়ো বাজে, প্রভু মরমে।।

[মিশ্র খাম্বাজ, জলদ একতালা]"
Rajani Kanto Sen,"তুমি, অরূপ স্বরূপ, সগুণ নির্গুণ","তুমি, অরূপ স্বরূপ, সগুণ নির্গুণ,

দয়াল ভয়াল, হরি হে-

আমি কিবা বুঝি, আমি কিবা জানি,

আমি কেন ভেবে মরি হে।

কিরূপে এসেছি, কেমনে বা যাব,

তা ভাবিয়ে কেন জীবন কাটাব?

তুমি আনিয়াছ, তোমারেই পাব,

এই শুধু মনে করি হে।

না রাখি জটিল ন্যায়ের বারতা,

বিচারে বিচারে বাড়ে অসারতা,

আমি জানি তুমি আমারই দেবতা,

তাই আনি হৃদে বরি হে;

তাই বলে ডাকি, প্রাণ যাহা চায়,

ডাকিতে ডাকিতে হৃদয় জুড়ায়,

যখন যে রূপে প্রাণ ভরে যায়,

তাই দেখি প্রাণ ভরি’ হে।

[বেভাগ একতালা]"
Rajani Kanto Sen,আমি সকল কাজের পাই হে সময়,"আমি সকল কাজের পাই হে সময় তোমারে ডাকিতে পাই নে,

আমি চাহি দারা সুত সুখ সম্মিলন তব সঙ্গ সুখ চাই নে।।

আমি কতই যে করি বৃথা পর্যটন তোমার কাছে তো যাই নে;

আমি কত কি যে খাই ভস্ম আর ছাই তব প্রেমামৃত খাই নে।।

আমি কত গান গাহি মনের হরষে তোমার মহিমা গাই নে;

আমি বাহিরের দুটো আঁখি মেলে চাই জ্ঞান আঁখি মেলে চাই নে।।

আমি কার তরে দেই আপনা বিলায়ে ও পদতলে বিকাই নে;

আমি সবারে শিখাই কত নীতি কথা মনেরে শুধু শিখাই নে।।"
Rajani Kanto Sen,আমি দেখেছি জীবন ভরে চাহিয়া কত,"আমি দেখেছি জীবন ভ’রে চাহিয়া কত ;

তুমি আমারে যা দাও, সবই তোমারি মত।

আকুল হইয়ে মিছে,

চেয়ে মরি কত কিযে,

কাঁদে পদতলে নিষ্ফল বাসনা শত।

কিসে মোর ভাল হয়

তুমি জান, দয়াময়,

তবু নির্ভর জানে না এ অবিনত।

আমি কেন চেয়ে মরি ;

তুমি জান কি সে, হরি

সফল হইবে মম জীবন ব্রত।

চাহিব না কিছু আর ;

দিব শ্রীচরণে ভার,

হে দয়াল, সদা মম কুশল-রত।"
Rajani Kanto Sen,আমি তো তোমারে চাহিনি,"আমি তো তোমারে চাহিনি জীবনে তুমি অভাগারে চেয়েছ;

আমি না ডাকিতে, হৃদয় মাঝারে নিজে এসে দেখা দিয়েছ।।

চির-আদরের বিনিময়ে সখা! চির অবহেলা পেয়েছ

আমি দূরে ছুটে যেতে দুহাত পসারি ধরে টেনে কোলে নিয়েছ।।

ও পথে যেও না ফিরে এস বলে কানে কানে কত কয়েছ

আমি তবু চলে গেছি ফিরায়ে আনিতে পাছে পাছে ছুটে গিয়েছ।।

এই চির অপরাধী পাতকীয় বোঝা হাসি মুখে তুমি বয়েছ,

আমার নিজ হাতে গড়া বিপদের মাঝে বুকে করে নিয়ে রয়েছ।।"
Rajani Kanto Sen,আমায় সকল রকমে কাঙাল করেছে,"আমায় সকল রকমে কাঙাল করেছে,

গর্ব করিতে চুর ;

যশঃ ও অর্থ, মান ও সাস্থ্য,

সকলি করেছে দূর |

ঐগুলো সব মায়াময় রূপে,

ফেলেছিল মোরে অহমিকা-কূপে,

তাই সব বাধা সরায়ে দয়াল

করেছে দীন আতুর ;

আমায় সকল রকমে কাঙাল করিয়া,

গর্ব করিছে চুর |

তাই, সকল রকমে কাঙ্গাল করিয়া,

গর্ব করিছে চুর |

ভবিতাম, “আমি লিখি বুঝি বেশ,

আমার সংগীত ভালবাসে দেশ”,

তাই, বুঝিয়া দয়াল ব্যাধি দিল মোরে,

বেদনা দিল প্রচুর ;

আমায় কত না যতনে শিক্ষা দিতেছে,

গর্ব করিতে চুর !"
Rajani Kanto Sen,আমরা নেহাত্ গরীব আমরা নেহাত্ ছোট,"আমরা নেহাত্ গরীব আমরা নেহাত্ ছোট ;

তবু আজি সাত কোটি ভাই জেগে ওঠো ||

জুড়ে দে ঘরের তাঁত সাজা দোকান ;

বিদেশে না যায় ভাই গোলারি ধান ;

আমরা মোটা খাব, ভাই রে প’রবো মোটা ;

মাখবো না ল্যাভেন্ডার, চাই নে ‘অটো’ ||

নিয়ে যায় মায়ের দুধ পরে দুয়ে’

আমরা, রব কি উপোসী ঘরে শুয়ে ?

হারাস্ নে ভাই রে, আর এমন সুদিন

মায়ের পায়ের কাছে এসে জোটো ||

ঘরের দিয়ে আমরা পরের মেঙে ;

কিন্ বো না ঠুন্ কো কাঁচ, যায় যে ভেঙে ;

থাকলে, গরীব হয়ে, ভাই রে, গরীব চালে,

তাতে হ’বে নাকো মান খাটো ||"
Rajani Kanto Sen,অনন্ত দিগন্ত ব্যাপি অনন্ত মহিমা,"অনন্ত দিগন্ত ব্যাপী অনন্ত মহিমা তব।

ধ্বনিছে অনন্ত কন্ঠে অনন্ত তোমারি স্তব।।

কোথায় অনন্ত উচ্চে, অনন্ত তারকা গুচ্ছে,

অনন্ত আকাশে তব, অনন্ত কিরণোৎসব।।

অনন্ত নিয়তি বলে বায়ু ধায়, মেঘ চলে,

অনন্ত কল্লোল জলে, পুস্পে অনন্ত সৌরভ;

অনন্ত কালের খেলা, জীবন মরণ মেলা,

হে অনন্ত, তব পানে উঠিছে অনন্ত রব।

অনন্ত সুষমা ভরা, অনন্ত যৌবনা ধরা,

দিশি দিশি প্রচারিছে অনন্ত কীর্তি বিভব,

তোমার অনন্ত সৃষ্টি, অনন্ত করুণা বৃষ্টি,

অতি ক্ষুদ্র, দীন আমি, কিবা জানি, কিবা কব।।"
Rajani Kanto Sen,আমি অকৃতি অধম বলেও,"আমি অকৃতি অধম বলেও তো কিছু

কম করে মোরে দাওনি;

যা দিয়েছ, তারি অযোগ্য ভাবিয়া

কেড়েও তা কিছু নাওনি।।

তব আশীষ কুসুম ধরি নাই শিরে,

পায়ে দলে গেছি, চাহি নাই ফিরে;

তবু দয়া করে কেবলি দিয়েছ,

প্রতিদান কিছু চাওনি।।

আমি ছুটিয়া বেড়াই, জানিনা কি আশে,

সুধা পান করে মরি গো পিয়াসে;

তবু যাহা চাই সকলি পেয়েছি;

তুমি তো কিছুই পাওনি।।

আমায় রাখিতে চাও গো, বাঁধনে আঁটিয়া,

শতবার যাই বাঁধন কাটিয়া।

ভাবি ছেড়ে গেছ, ফিরে চেয়ে দেখি,

এক পা-ও ছেড়ে যাওনি।।"
Rajani Kanto Sen,প্রেমে জল হয়ে যাও গলে,"প্রেমে জল হয়ে যাও গলে।

কঠিন মেশে না সে,

মেশে যে সে তরল হ’লে।

অবিরাম হয়ে নত

চলে যাও নদীর মত

কল কলে অবিরত “জয় জগদীশ” বলে।

বিশ্বাসের তরঙ্গ তুলে

মোহ পাড়ি ভাঙ্গ সমুলে

চেওনা কোন কুলে

(শুধু) নেচে গেয়ে যাওরে চ’লে।

সে জলে নাইবে যা’রা

থাকবে না মৃত্যু জরা

পানে পিপাসা যাবে

ময়লা যাবে ধুলে!

যা’রা সাঁতার ভুলে নামতে পারে

(তা’দের) টেনে নে’ যাও একেবারে

ভেসে যাও, ভাসিয়ে নে’যাও।

সেই পরিণাম-সিন্ধু-জলে।"
Rajani Kanto Sen,"হরি, প্রেম-গগনে চির-রাকা।","হরি, প্রেম-গগনে চির-রাকা।

চির-প্রসন্ন কি মাধুরী-মাখা!

সুপ্ত জগতে, চির-জাগ্রত প্রহরী,

বরষিছ চির-করুণামৃত-লহরী;−

(মম) অন্ধ আঁখি, মোহে ঢাকা!

সাধু ভকত জন পিয়ে মকরন্দ,

এ হরি, মম মন-গতি অতি মন্দ;

উড়ে’ যেতে নাইক পাখা!

(পূরবী) মিশ্র কাওয়ালী"
Rajani Kanto Sen,আমি অকৃতী অধম বলেও তো কিছু,"(আমি) অকৃতী অধম ব’লেও তো, কিছু

কম ক’রে মোরে দাও নি

যা’ দিয়েছ, তারি অযোগ্য ভাবিয়া

কেড়েও তো কিছু নাওনি।

(তব) আশীষ-কুসুম ধরি নাই শিরে

পায়ে দ’লে গেছি, চাহি নাই ফিরে

তবু দয়া ক’রে কেবলি দিয়েছ

প্রতিদান কিছু চাওনি।

(আমি) ছুটিয়া বেড়াই জানিনা কি আশে

সুধা-পান ক’রে, মরি গো পিয়াসে

তবু, যাহা চাই সকলি পেয়েছি

তুমি তো কিছুই পাওনি

(আমায়) রাখিতে চাও গো, বাঁধনে আঁটিয়া

শতবার যাই বাঁধন কাটিয়া

ভাবি, ছেড়ে গেছ, – ফিরে চেয়ে দেখি

এক পা-ও ছেড়ে যাওনি"
Rajani Kanto Sen,মধুর সে মুখখানি কখনও কি ভোলা যায়,"মধুর সে মুখখানি কখনও কি ভোলা যায়!

জমায়ে চঁদের সুধা, বিধি গড়েছিল তায়!

মৃদু সরলতা মাখা

তুলিতে নয়ন আঁকা;

চাহিলে করুণে, ধরা চরণে বিকোতে চায়।

অধরে সারাটি বেলা

হাসি করে চেলে খেলা;

নীরবে নিশীথে ধীরে, অঘোরে পড়ি ঘুমায়।।

যদি দুটি কথা কহে;

প্রাণে সুধানদী বহে;

নিমেষে নিখিল ধরা, মোহন সঙ্গীতময়।"
Rajani Kanto Sen,"কেউ নয়ন মুদে দেখে আলো, কেউ দেখে আঁধার","কেউ নয়ন মুদে দেখে আলো, কেউ দেখে আঁধার।

কেউ বলে, ভাই, এক হাঁটু জল, কেউ বলে সাঁতার।

কেউ বলে, ভাই, এলাম দেখে, কেউ বলে, ভাই, ম’লাম ডেকে

কোন্ শাস্ত্রে কি রকম লেখে, তত্ত্ব পাওয়া ভার।

কেউ বলে, সে পরম দয়াল, কেউ বলে, সে বিষম ভয়াল,

কেউ বলে, সে ডাক্‌লে আসে, কেউ কয় নির্ব্বিকার,

কেউ বলে সে গুণাতীত, কেউ বলে সে গুণান্বিত,

কেউ বলে আধেয়, (আবার) কেউ বলে আধার।

কেউ দেখে তারে করালকালী, কেউ বা দেখে বনমালী,

কেউ বা তারে স্থুল দেখে, কেউ ভাবে নিরাকার ;

কান্ত বলে, দেখ্ রে বুঝে, রাখ্ বিতর্ক ট্যাকে গুঁজে ;.

‘এটা নয়, সে ওটা’,—এ সিদ্ধান্ত চমত্কার!

॥ বেহাগ, জলদ একতালা॥"
Rajani Kanto Sen,কবে তৃষিত এ মরু ছাড়িয়া যাইব,"কবে, তৃষিত এ মরু ছাড়িয়া যাইব

তোমারি রসাল নন্দনে ;

কবে, তাপিত এ চিত করিব শীতল

তোমারি করুণা চন্দনে!

কবে, তোমাতে হ’য়ে যাব, আমার আমিহারা,

তোমারি নাম নিতে নয়নে ব’বে ধারা,

এ দেহ শিহরিবে, ব্যাকুল হবে প্রাণ

বিপুল পুলক-স্পন্দনে!

কবে, ভবের সুখ দুখ চরণে দলিয়া,

যাত্রা করিব গো, শ্রীহরি বলিয়া,

চরণ টলিবে না, হৃদয় গলিবে না,

কাহারো আকুল ক্রন্দনে।

॥ বেহাগ, কাওয়ালী॥"
