Writer,Title,Song
Shafiq Tuhin,এর বেশী ভালবাসা যায় না,"চোখ মেললেই দেখি তোমাকে

চোখ বুজলেই পাই আরো কাছে

তারও বেশি ভালবাসা আমি দিতে চাই

যত ভালবাসা পৃথিবীতে আছে

ভালবাসি বড় ভালবাসি

এর বেশি ভালবাসা যায় না

ও আমার প্রাণ পাখি ময়না

ভালবাসি বড় ভালবাসি

এর বেশি ভালবাসা যায় না

ও আমার প্রাণ পাখি ময়না

সূর্যের বুকে আছে যতটা আলো

তারও বেশি তোমাকে বেসেছি ভাল

রাত যত ভরে থাক আঁধার কালোয়

আলোকিত হতে চাই তোমার আলোয়

ভালবাসি বড় ভালবাসি

এর বেশি ভালবাসা যায় না

ও আমার প্রাণ পাখি ময়না

ভালবাসি বড় ভালবাসি

এর বেশি ভালবাসা যায় না

ও আমার প্রাণ পাখি ময়না

একটিও পলক একাকী তুমিহীনা

চেনা চেনা লাগে বড় অচেনা

ও রাত যত ভরে থাক আঁধার কালোয়

আলোকিত হতে চাই তোমার আলোয়

ভালবাসি বড় ভালবাসি

এর বেশি ভালবাসা যায় না

ও আমার প্রাণ পাখি ময়না

পোস্ট ন্যাভিগেশন"
Shafiq Tuhin,সোনা যাদু,"বাশরীয়া বাজায় বাঁশী

নদী জানে ঢেওয়ের ভাষা।।

আর আমি জানি তোমার জন্যেই

এই পৃথিবীতে আসা

আমার সোনা যাদু

তোমায় ভাবি শুধু ।।

তুমি অবুঝ ভালবাসা

তোমার জন্য এই পৃথিবীতে আসা

ওহো হো হ হো …

রাত্রি যেমন নিজেকে সাজায়

জোছনার আদরে আদরে

তেমনি তোমায় বুকে রেখে তো

রেখেছি যতন করে ।।

আমার সোনা যাদু

তোমায় ভাবি শুধু ।।

তুমি অবুঝ ভালবাসা

তোমার জন্য এই পৃথিবীতে আসা

কতনা খবর শুনি সদাই

তুমি তবু আছো শিরোনামে

তোমার তরে দিতে পারি এ জীবন

শুধু এই জীবনের দামে ।।

তুমি আমার সোনা যাদু

তোমায় ভাবি শুধু ।।

তুমি অবুঝ ভালবাসা

তোমার জন্য এই পৃথিবীতে আসা"
Shafiq Tuhin,মিথ্যে নয়,"হৃদয়ে হৃদয় ছুঁয়ে প্রশ্নোত্তর ধুয়ে,

আমি যে কে তোর বলনা রে?

আদরে আদর এঁকে, স্বপ্ন আবীর মেখে

হারাবো কোথাও চলনা রে।

আর কারো নয়রে তুই,

মন দিয়ে মনরে ছুঁই।

তোরে বড় বেশি ভালবাসি

এ কথাটি মিথ্যে নয়।

হৃদয়ে হৃদয় ছুঁয়ে প্রশ্নোত্তর ধুয়ে,

আমি যে কে তোর বলনা রে?

আদরে আদর এঁকে, স্বপ্ন আবীর মেখে

হারাবো কোথাও চলনা রে।

চোখেরই পলকে তুই ছাড়া বলনা কে

জড়ালি কি যাদু কি মায়ায়,

তুই আমার সব চাওয়ায়, চুপকথা – রুপকথায়

জীবনের পুরোটায় আনাগোনায়।

চোখেরই পলকে তুই ছাড়া বলনা কে

জড়ালি কি যাদু কি মায়ায়,

তুই আমার সব চাওয়ায়, চুপকথা – রুপকথায়

জীবনের পরোটা আনাগোনায়।

আর কারো নয়রে তুই,

মন দিয়ে মনরে ছুঁই।

তোরে বড় বেশি ভালবাসি

এ কথাটি মিথ্যে নয়।

হৃদয়ে হৃদয় ছুঁয়ে প্রশ্নোত্তর ধুয়ে,

আমি যে কে তোর বলনা রে।

আদরে আদর এঁকে স্বপ্ন আবীর মেখে

হারাবো কোথাও চলনা রে।"
Shafiq Tuhin,ভুলে গেছে সে সুরঞ্জনা,"ভুলে গেছে সে সুরঞ্জনা

হারিয়ে গেলো কোথায়

এখনো পথ চেয়ে চেয়ে

গোধূলি ফুরিয়ে যায়

আমি পারিনা পারিনা পারিনা

মেনে নিতে এমন বেদনা………।।"
Shafiq Tuhin,অন্তরা,"অন্তরা নামের সেই মেয়েটির

অন্তর বলে কিছু ছিলনা

স্বপ্ন দেখিয়ে স্বপ্নগুলো

সত্যি হতে সেতো দিলোনা

তবে কি শুধু ভালবাসায়

থাকে এমন বেদনা।।

আলেয়ার পিছে পিছে

ঘুরে ঘুরে মিছে মিছে

পাইনি তো সুখেরই দেখা

এত বড় পৃথিবীতে পড়ে আছি

তবু আমি আধারের মাঝে শুধু একা।।

তবে কি শুধু ভালবাসায়

থাকে এমন বেদনা ।।

জানিনা এত কি ভুলে

বেঁচে আছি জ্বলে জ্বলে

কাউকে পারিনা বোঝাতে

বুকেরই ভিতরেই কস্টের ক্ষত দাগ

মুছতে পারিনা কিছুতে।।

তবে কি শুধু ভালবাসায়

থাকে এমন বেদনা।।

অন্তরা নামের সেই মেয়েটির

অন্তর বলে কিছু ছিলনা

স্বপ্ন দেখিয়ে স্বপ্নগুলো

সত্যি হতে সেতো দিলোনা

তবে কি শুধু ভালবাসায়

থাকে এমন বেদনা ।।"
Shafiq Tuhin,কেমন আছো নতুন ঠিকানায়,"এখনো আকাশতলে আমার চোঁখের জ্বলে

পদ্মার স্রোতধারা একইভাবে বয়ে যায়

পরিচয় ভুলে গিয়ে অপরিচিতা

কেমন আছো নতুন ঠিকানায়।।

দূরে যেতে যেতে শুধু দুরত্ব বাড়ালে

বুঝতে না বুঝতেই চলে গেলে আড়ালে ।।

পরিচয় ভুলে গিয়ে অপরিচিতা

কেমন আছো নতুন ঠিকানায়।।

তোমাকেই জীবনে আরাধ্য জেনেছি

মনেরই দামে তবু যন্ত্রনা কিনেছি

পরিচয় ভুলে গিয়ে অপরিচিতা

কেমন আছো নতুন ঠিকানায়।।"
Shafiq Tuhin,কোন একদিন,"কোন একদিন যদি চলে যাই

তারাদের চেয়েও আরো দূরে

ভেবোনা মিছে সেদিন তুমি

খুঁজে দেখো আছি আমি

চেনা কোন গানের সুরে………।।"
Shafiq Tuhin,তুমি জানবে না কোনদিন,"তুমি জানবে না কোনদিন

কোথায় আছি একলা আমি কেমন করে

তুমি জানবে না কোনদিন

তোমায় ডাকি কেন আজো ঘুমের ঘোরে

তুমি জানবে না কোনদিন

কেন কাঁদি আড়ালে আমি তোমার চিঠি পড়ে

তুমি জানবে না কোনদিন।

তুমি জানবে না

একলা কেন আকাশ দেখি শেষ বিকেলে

তুমি জানবে না কোনদিন

স্মৃতির জলে ভিজি কেন বৃষ্টি এলে

কেন কাঁদি আড়ালে আমি তোমার চিঠি পড়ে

তুমি জানবে না কোনদিন।।

তুমি জানবে না

বুকের ভেতর পুরনো সুর কেন বাজে

তুমি জানবে না

কেন আমি পালিয়ে বেড়াই নিজের মাঝে

তুমি জানবে না কোনদিন

কেন কাঁদি আড়ালে আমি তোমার চিঠি পড়ে

তুমি জানবে না কোনদিন।"
Shafiq Tuhin,না বলা ভালবাসা,"মাঝে মাঝে সপ্ন দেখে অবাক কোনো রাতে

মাঝে মাঝে গল্প বলি নিজেই নিজের সাথে

ও মাঝে মাঝে ইচ্চে করে কষ্ট উড়াই হাওয়ায়

মাঝে মাঝে তোমায় সাজাই সকল চাওয়া পাওয়ায়

তুমি আমার না বলা ভালবাসা

এক সুরে বোনা এ হৃদয়ের শত আশা

মাঝে মাঝে ভাসে যে মন দুরের খেয়া ঘাটে

মাঝে মাঝে বুকের ভেতর একলা পথিক হাটে

মাঝে মাঝে ভাসাই যে মন দুরের খেয়া ঘাটে

ও মাঝে মাঝে বুকের ভেতর একলা পথিক হাটে

মাঝে মাঝে যাই যে ভুলে ভালবাসার মানে

মাঝে মাঝে দুঃখ ছোটে সুখের পিছুটানে………"
Shafiq Tuhin,ভালোবাসার সবটুকু রঙ,"ভালবাসার সবটুকু রঙ ছড়িয়ে দিলাম আকাশে

তুমি রাঙ্গিয়ে নিও ঐ মন

অবুঝ মনের স্বপ্নগুলো উড়িয়ে দিলাম বাতাসে

তুমি সাজিয়ে নিও মন

ভালোবেসে তোমাকে দেবার

হৃদয় ছাড়া নেই কিছু আর

তাইতো করেছি এই উষ্ণ সমর্পণ

ভালবাসার সবটুকু রঙ ছড়িয়ে দিলাম আকাশে

তুমি রাঙ্গিয়ে নিও ঐ মন

অবুঝ মনের স্বপ্নগুলো উড়িয়ে দিলাম বাতাসে

তুমি সাজিয়ে নিও মন

সুরের খেয়ায় ভেসে ভেসে

মনের নদি দেবো পাড়ি

অন্য পাড়ে গরব দুজন

স্পনের একচালা বাড়ি

ভালোবেসে তোমাকে দেবার

হৃদয় ছাড়া নেই কিছু আর

তাইতো করেছি এই উষ্ণ সমর্পণ

ভালবাসার সবটুকু রঙ ছড়িয়ে দিলাম আকাশে

তুমি রাঙ্গিয়ে নিও ঐ মন

অবুঝ মনের স্বপ্নগুলো উড়িয়ে দিলাম বাতাসে

তুমি সাজিয়ে নিও মন

কইবো কথা নিরিবিলি

সে বাড়ির খোলা উঠনে

ইচ্ছে দোলায় দুলব দুজন

নিচ্চুব সঙ্গোপনে

ভালোবেসে তোমাকে দেবার

হৃদয় ছাড়া নেই কিছু আর

তাইতো করেছি এই উষ্ণ সমর্পণ"
Shafiq Tuhin,কোন জায়গা নাই,"আমার কোন জায়গা নাইরে

কোন জায়গা নাই ও বন্ধু

আমায় দিও ঠাই ।।

তোমার মনের কুসুম কুসুম নিরজণতায়

আমায় দিও ঠাই রে বন্ধু আমায় দিও ঠাই ।

আমার কোন জায়গা নাইরে

কোন জায়গা নাই ও বন্ধু

আমায় দিও ঠাই ।

আমি বাউল হতে চাই রে বন্ধু বাউল হতে চাই

তোমার মনের মেঠো পথে দূরের কোন গাঁয়।

তোমার বাঁশীর সুরে সবই ভুলে যেতে চাই ।

আমায় দিও ঠাই রে বন্ধু আমায় দিও ঠাই।

আমার কোন জায়গা নাইরে কোন জায়গা নাই ও বন্ধু

আমায় দিও ঠাই ।।

আমি জিরিয়ে নিতে চাই রে একটু জিরিয়ে নিতে চাই

তোমার মনের বট বৃক্ষের শীতল ছায়ায় ।

তোমার চেনা সুরে সুরে উদাস হতে চাই।

আমায় দিও ঠাই রে বন্ধু আমায় দিও ঠাই

আমার কোন জায়গা নাইরে কোন জায়গা নাই ও বন্ধু

আমায় দিও ঠাই ।

তোমার মনের কুসুম কুসুম নিরজণতায়

আমায় দিও ঠাই রে বন্ধু আমায় দিও ঠাই ।

আমার কোন জায়গা নাইরে কোন জায়গা নাই ও বন্ধু

আমায় দিও ঠাই ।"
