Writer,Title,Song
Shibdash Bondopadday,প্রেম বড় মধুর,"সংলাপ – প্রেম যেন এক অতিথির মত কখনো জীবনে আসে ফুল-ডোরে বাঁধে, কখনো আবার অশ্র

ঝরিয়ে চলে যায়।

প্রেম বড় মধুর কভু কাছে, কভু সুদূর

কখনো জীবনে ফুল ফোটায়

কাঁদিয়ে যায় সে দূর।।

প্রেম যেন নদী ভাঙে আর গড়ে

জীবনের দু’টি কূল ঘিরে

ভাঙা-গড়া খেলা, খেলে সারা বেলা

তীর ছুঁয়ে যায় ধীরে ধীরে

মিলনের গান গায়

বিরহের কান্নায়

হৃদয়ে বাজায় নূপুর।।

ভাঙা-গড়া ছন্দে, কখনোআনন্দে

কখনো যে সুর বিধূর।।

প্রেম যেন নারী আলো আর ছায়া

জীবনের নীলাকাশ ঘিরে

কখনো সে মায়া কখনো আলেয়া

মায়াবিনী দু’টি আঁখি-তীরে

ছায়াছবি এঁকে যায়

সুখে দুখে ঝঞ্ঝায়

আকাশে মেঘের সিঁদুর

বকুলের গন্ধে

ভরে’ সে সকাল-দুপুর।।"
Shibdash Bondopadday,যখন আমি অনেক দূরে,"যখন আমি অনেক দূরে থাকবো না এই মাটির ঘরে

তখন কি আর পড়বে মনে আগের মতন করে,

আমায় আগের মতন করে ?

আমার প্রাণের পরশ পেয়ে বেজেছিল যে গান

ধুলো জমা তানপুরাটাও ধরেছিল সেই তান

আমি, কথার গোলাপ ফুটিয়েছিলাম

তোমাদের এই জল্ সারে।

তোমাদের এই ভালবাসা আমার গানের পুরস্কার

যাবার আগে জানিয়ে গেলাম আমার প্রীতি, নমস্কার

আমায়, যা’ দিয়েছো তাই নিয়েছি

রেখেছি এই হৃদয় ভ’রে।।"
Shibdash Bondopadday,কত রাজপথ জনপথ ঘুরেছি,"কত রাজপথ জনপথ ঘুরেছি

মরুভূমি সাগরের সীমানায়

সাতটি সে পৃথিবীর বিস্ময়

তুমি তারও চেয়ে বেশি মনে হয় ||

আজ ইতিহাস কত কথা বলছে

মাটি আর নেই চাঁদে চলছে

পরাজিত হিমানীশ হিমালয়

তুমি তারও চেয়ে বেশি নিশ্চয় |

এই পৃথিবীর যত কিছু সুন্দর

দেখেছি যা, বিস্মিত বিস্ময়

তুমি তারও চেয়ে বেশি নিশ্চয় |

ঐ দূরন্ত নদী হার মানছে

আর, বারে অজানাকে জানছে

দুই চোখে সে তো আজ কিছু নয়

তুমি তারও চেয়ে বেশি মনে হয়"
Shibdash Bondopadday,তোমার আমার ঠিকানা পদ্মা মেঘনা যমুনা,"তোমার আমার ঠিকানা পদ্মা মেঘনা যমুনা

গঙ্গার স্রোত ধরে পেয়েছি চলার নিশানা।।

কন্ঠের সুর কোনও মানে না ভাষা

হৃদয়ের ভাষাতেই মেটে পিপাসা

সাত মহাসাগরের উজানে ভেসে

আমরা যেখানে থামি —-সেই সীমানা।।

যেখানে কান্না আর রক্ত মেঘে

আঁধারের বাঁধ ভেঙে সূর্য ওঠে আকাশে আবার

সেখানে নিশানা আছে এগিয়ে যাবার।

যখন আখের স্বাদ নোনতা লাগে

লবঙ্গ বনে ঝড়ের হাওয়ারা জাগে

এক বুক ভালবাসা উজাড় করা

যেখানে ফসল ফলে প্রাণের সোনা।।"
Shibdash Bondopadday,হাওয়া ঝির্ ঝির্,"হাওয়া ঝির্ ঝির্

খুশি রিম ঝিম

তারা ঝিক্ ঝিক্ দূরে হাসবে

তুমি আসবে তুমি আসবে॥

চাঁদ উঠ্ বে ফুল ফুট্ বে

আশা ঝিল্ মিল্ ঘোর টুট্ বে

আজ মন চায় শুধু প্রাণ চায়

তুমি আসবে, ভাল বাসবে॥

জাগে হিল্লোল মনে কল্লোল

খুশী দোল্ দোল্ দোলে দোলনায়

মন অঞ্চল হল চঞ্চল

রাঙা কুম্ কুম্ মধু-সন্ধ্যায়।

কথা শুন্ ছি জাল বুন্ ছি

আসা-পখ চেয়ে দিন গুনছি

আজ বাড়ে বার সব কাজে ভুল

জানি আসবে, ভাল বাসবো॥"
Shibdash Bondopadday,একটু গেলেই অথৈ সাগর,"একটু গেলেই অথৈ সাগর

পা বাড়ালেই নদী

বুকের মধ্যে কুলুকুলু গঙ্গা ভাগীরথী

এই আমাদের কোলকাতা

প্রিয়তমা কোলকাতা

হাত বাড়ালেই বন্ধু মেলে

প্রেমের কোমলতা॥

মায়ের মত কোলকাতা তার কোলটি পাতা আছে

সবাইকে নেয় আপন করে দূরকে টানে কাছে

এই আমাদের কোলকাতা

আদরিনী কোলকাতা

ছড়ায় গানে ছড়িয়ে আছে অনের গল্প-কথা॥

আকাশ যেন “যামিনী রায়” বাতাস “রবি ঠাকুর”

সেই বাতাসে ভাসে আবার অগ্নিবীণার সুর

নজরুলের এই কোলকাতা

নেতাজীর এই কোলকাতা

কিশোর কবি সুকান্তের ছন্দে সুরে গাঁথা॥

বৃষ্টি পড়ে টাপুর টুপুর কোলকাতাতে বান

দুঃখ-সুখের কান্না-হাসির ওঠে কলতান

“চোখের মণি” কোলকাতা

“জ্ঞানের খণি” কোলকাতা

চিরন্তনী ঐ শহরে আছে মানবতা॥"
Shibdash Bondopadday,মায়াবতী মেঘে এল তন্দ্রা,"মায়াবতী মেঘে এল তন্দ্রা

তুল তুল রাঙা পায়েতে ফুল ফুল বনছায়েতে

পলাশের রঙ রাঙালো কখন

চোখে সে স্বপন আঁকে

গুন্ গুন্ গুন্ গুন্ ফিরে এলো ওই ফাল্গুন

মহুল বনে মৌ দোল দোল দোল দুনয়নে নেই ঘুম ঘুম

ছুন্ ছুন্ ছুন্ ছুন্ নুপূর বাজে কার রুমঝুম্

পথিক মেয়ে হয় চঞ্চল কাঁকন বাজে ঠুন ঠুন ঠুন"
Shibdash Bondopadday,কবিতা কি তাই,"কবিতা কি তাই?

কবিতা কি শুধু তাই?

মনের খেয়ালে কাগজে-কলমে

শব্দ সাজাই?

কবিতা কি শুধু রম্য-রচনা

ফুল পাখি আর চাঁদের জোছোনা

প্রিয়ার সঙ্গে জল-তরঙ্গ

নৌকো ভাসাই?

কবিতা কি শুধু “ওমর খয়াম”

অথবা বিরহী যক্ষের নাম

প্রেমের অনলে একাকিনী জ্বলে

“বিরহিনী রাই”?

কবিতা বন্দী চার-দেওয়ালে

তোমার আমার চোখের আড়ালে

কবিতাকে আনো রাজপথে আজ

মিছিলে চাই।।"
Shibdash Bondopadday,আকাশের সিঁড়ি বেয়ে,"আকাশের সিঁড়ি বেয়ে যখন সন্ধ্যা-মেয়ে

এক-পা এক-পা করে নামতে থাকে

তখন আমার মন মনে হয় ফুলবন

একটি একটি ফুল ফুট্ তে থাকে॥

বিন্দু বিন্দু ঐ তারার আলো

ছন্দে গন্ধে মন আজ ভরালো

অল্প অল্প করে তোমার ছবি

একটু একটু করে হৃদয় আঁকে॥

লজ্জা লজ্জা রাঙা সন্ধ্যা এলে

লক্ষ লক্ষ তারা সাজায় গগন

স্বপ্ন স্বপ্ন মনে হয় যে তখন।

মন্দ মন্দ ঐ ফাগুন হাওয়া

লগ্ন মগ্ন করে কাছেই চাওয়া

আস্তে আস্তে তাই কখন জানি

এক্ লা এক্ লা মন ভাবতে থাকে॥"
Shibdash Bondopadday,এই কি পৃথিবী সেই,"এই কি পৃথিবী সেই।

যেথায় আশার আলো ছলনা করে

চোখের পাতায় কান্না যে শুধু ঝরে

তবু কি মমতা পৃথিবীর বুকে নেই।।

উপরে আলোর দুরন্ত শুদু খেলা

নিচে মানুষের হাহাকার সারাবেলা

অন্তবিহীন ব্যথা শুধু ছড়াতেই।।

বোঝনি কি তুমি নিজেকে কাঁদাও নিজে

আঁধার যে রয় প্রদীপ শিখার নিচে।

কতদিন আর শুধে যেতে হবে দেনা

প্রাণের মূল্যে জীবনের বেচা-কেনা

অশ্রু সাগরে দু’টি চোখ ভরাতেই।।"
