Writer,Title,Song
Solil Chowdhury,যারে যারে উড়ে যারে পাখি,"যারে যারে উড়ে যারে পাখি

ফুরালো প্রাণের মেলা

শেষ হয়ে এলো বেলা

আর কেন মিছে তোরে বেঁধে রাখি।।

আকাশে আকাশে ফিরে

যা ফিরে আপন নীড়ে

শ্যামল মাটির বনছায়।

শুধু মনে মনে তোকে ডাকি

চাহিনা খেলিতে খেলা

শেষ হয়ে এলো বেলা

আর কেন মিছে তোরে বেঁধে রাখি।।

আমারই স্বপ্ন হয়ে

কত কি যে গেছ কয়ে

হৃদয় পিঞ্জরে বসিয়া।

জানি সবই রয়ে গেল বাকী

এবারে ভাসাব ভেলা

শেষ হয়ে এলো বেলা

আর কেন মিছে তোরে বেঁধে রাখি।।"
Solil Chowdhury,যাক যা গেছে তা যাক,"দূর নয় বেশী দূর ঐ সাজানো সাজানো

বকুল বনের ধারে

ঐ বাঁধানো ঘাটের পাড়ে।

যেথা অবহেলা সয়ে সয়ে

কিছু ফুল শুকানো শুকানো হয়ে

পড়ে পড়ে আছে তার কিছু দূরে

ঘাটের চাতাল ছাড়িয়ে

ওখানে আমার পাতাল হৃদয়

সেদিন গিয়েছে হারিয়ে

যাক যা গেছে তা যাক।

শুক-সারিরা সেখানে কুজনে কুজনে

দুজনে গাহিয়া যেত

ওই নদীটি বহিয়া যেত।

বন হরিনী ত্বরিত চিকত চরণে

চমক লাগায়ে দিয়ে

তার চেয়ে ভাল চোখ দুটি দেখে

যেখানে যেত সে দাঁড়িয়ে

সেখানে আমার করুণ হৃদয়

সেদিন গিয়েছে হারিয়ে

যাক যা গেছে তা যাক।

মোর মানসী কলসি কাঁকেতে লইয়া

ওখানে দাঁড়াতো এসে

মুখে মধুর মধুর হেসে।

তার তনুর দ্বিরথে ডুবিয়া মরিতে

নদীও উতলা হতো

তার ঢেউয়ে ঢেউয়ে আরো দুটি ঢেউ

যেখানে দিত সে বাড়িয়ে

সেখানে আমার উতল হৃদয়

সেদিন গিয়েছে হারিয়ে

যাক যা গেছে তা যাক।

মোর দিবস রজনী হায় গো সজনী

জাগিয়া জাগিয়া যেত

তবু স্বপ্ন যে মনে হতো।

সেই মগন স্বপন সহসা কখনো

ভাঙ্গিয়া ভাঙ্গিয়া গেল

এই পথ দিয়ে বধু বেশে সে যে

যেদিন গেল সে হারিয়ে

সেদিন আমার সজল হৃদয়

দু’পায় গিয়েছে মাড়িয়ে

যাক যা গেছে তা যাক।"
Solil Chowdhury,আহা ঐ আঁকা বাঁকা যে পথ যায় সুদূরে,"আহা ঐ আঁকা বাঁকা যে পথ যায় সুদূরে।

মন হরিনী করুন তার তাল তুলেছে

এমন দিনে তুমি মোর কাছে নাই, হায়

স্মৃতিরা যেন জোনাকির ঝিকিমিকি, ঝিকিমিকি।।

আ.. আ… আ… ও… ও… ও…

জীবন বৃন্তের থেকে ঝোরে

কত না স্বপ্ন না গেছে মরে।

তবুও পথ চলা কবে যে শেষ হবে জানি না।।

আ.. আ… আ… ও… ও… ও…

আপন নীড়ে ফিরে গেছে পাখি

নীড় হারায়ে আমি পথে থাকি।

ভাবিয়া এখনো মোরে আকাশে

চেয়ে চেয়ে ভাব কি।।"
Solil Chowdhury,আজ নয় গুন গুন গুঞ্জন প্রেমে,"আজ নয় গুন গুন গুঞ্জন প্রেমে

চাঁদ ফুল জোছনার গান আর নয়

ওগো প্রিয় মোর খোল বাহু ডোর

পৃথিবী তোমারে চায়।

আর নয় নিস্ফল ক্রন্দন

শুধু নিজের স্বার্থের বন্ধন

খুলে দাও জানালা আসুক

সারা বিশ্বের বেদনার স্পন্দন

ধরনীর ধুলি হোক চন্দন

টিকা তার মাখে আজ

পরে নাও পরে নাও পরে নাও।

কার ঘরে প্রদীপ জ্বলেনি

কার বাছার অন্ন মেলেনি

কার নেই আশ্রয় বর্ষায়

দিন কাটে ভাগ্যের ভরসায়

তুমি হও একজন তাদেরই

কাঁধে আজ তার ভার

তুলে নাও তুলে নাও তুলে নাও।।"
Solil Chowdhury,কোন এক গাঁয়ের বধুর কথা,"কোন এক গাঁয়ের বধুর কথা তোমায় শোনাই শোনো

রূপকথা নয় সে নয়

জীবনের মধুমাসের কুসুম ছিঁড়ে গাঁথা মালা

শিশির ভেজা কাহিনী শোনাই শোনো।।

একটুখানি শ্যামল ঘেরা কুটিরে তার স্বপ্ন শত শত।

দেখা দিত ধানের শীষের ইশারাতে

দিবা শেষে কিষাণ যখন আসতো ফিরে

ঘি মউ-মউ আম কাঁঠালের পিঁড়িটিতে বসতো তখন

সবখানি মন উজাড় করে দিত তারে কিষাণী

সেই কাহিনী শোনাই শোনো।

ঘুঘু ডাকা ছায়ায় ঢাকা গ্রামখানি কোন মায়া ভরে

শ্রান্তজনে হাতছানিতে ডাকত কাছে আদর করে সোহাগ ভরে

নীল শালুকে দোলন দিয়ে রঙ ফানুসে ভেসে।

ঘুমপরী সে ঘুম পাড়াত এসে কখন যাদু করে

ভোমরা যেত গুনগুনিয়ে ফোঁটা ফুলের পাশে

আকাশে বাতাসে সেথায় ছিল পাকা ধানের বাসে বাসে সবার নিমন্ত্রণ |

সেখানে বারোমাসে তেরো পাবণ আষাঢ় শ্রাবণ কি বৈশাখে

গাঁয়ের বধুর শাঁখের ডাকে লক্ষ্মী এসে ভরে দিত

গোলা সবার ঘরে ঘরে হায়রে কখন

গেল সমন অনাহারের বেশেতে সেই কাহিনী শোনাই শোনো।।

ডাকিনী যোগিনী এলো শত নাগিনী

এলো পিশাচেরা এলোরে শত পাকে বাঁধিয়া

নাচে তাথা তাথিয়া নাচে তাথা তাথিয়া নাচেরে নাচে রে।

কুটিলের মন্ত্রে শোষণের যন্ত্রে

গেল প্রাণ শতপ্রাণ গেল রে মায়ার কুটিরে

নিল রস লুটিরে মরুর রসনা এলো রে।

হায় সেই মায়া ঘেরা সন্ধ্যা ডেকে যেত কত নিশিগন্ধা।

হায় বধু সুন্দরী কোথায় তোমার সেই মধুর জীবন মধুছন্দা

হায় সেই সোনাভরা প্রান্তর সোনালি স্বপনভরা অন্তর।

হায় সেই কিষাণের কিষাণীর জীবনের ব্যথার পাষাণ আমি বহি রে।

আজও যদি তুমি কোনো গাঁয়ে দেখো ভাঙা কুটিরের সারি

জেনো সেইখানে সে গাঁয়ের বধুর আশা স্বপনের জীবন্ত সমাধি।"
Solil Chowdhury,ওগো আর কিছু তো নয়,"ওগো আর কিছু তো নয়,

বিদায় নেবার আগে তাই

তোমারি নয়নে পাওয়া তোমারি সুরে গাওয়া

এ গান খানি রেখে যাই।।

বরষা হয়ে তুমি আকাশ ভরে

হৃদয় মরুতে মম পরেছ ঝরে

সরস করিয়া মোরে যে ফুল ফোটালে ভোরে

এমালা তারি রেখে যাই।

জানিনা কখন মন হারায়ে গেল

সকলি হারায়ে বুঝি সকলি পেল

আজকে আশার নদী উদাসে শুকালো যদি

এ হৃদয় টুকু রেখে যাই।

ওগো আর কিছু তো নয়,

বিদায় নেবার আগে তাই

তোমারি নয়নে পাওয়া তোমারি সুরে গাওয়া

এ গান খানি রেখে যাই।।"
Solil Chowdhury,ও বাঁশী কেন গায়,"ও বাঁশী কেন গায় আমারে কাঁদায়

কে গেছে হারায়ে স্মরণের বেদনায়

কেন মনে এনে দেয়।

ও বাঁশী কখনও আনন্দ ছিল জীবনের ছন্দে

হৃদয় মাতাল হতো ফাগুনের গন্ধে

সে যেন কোথায় আমি বা কোথায়

যদি না জানা।

বাঁশী কেন গায় আমারে কাঁদায়

কে গেছে হারায়ে স্মরণের বেদনায়

কেন মনে এনে দেয়।

ও বাঁশী

তমাল কদম্ব আমার গোপিনী সখিনী

যমুনা উজান গেছে আরতো দেখিনি ।।

সাধ যদি যায় ধুলিতে মিলায়

তবু কেন হায়।

বাঁশী কেন গায় আমারে কাঁদায়

কে গেছে হারায়ে স্মরণের বেদনায়

কেন মনে এনে দেয়।"
Solil Chowdhury,যদি কিছু আমারে শুধাও,"যদি কিছু আমারে শুধাও

কি যে তোমারে কবো

নীরবে চাহিয়া রবো

না বলা কথা বুঝিয়া নাও।।

ঐ আকাশ নত যুগে যুগে সংযত

নীরবতা অবিরত

কথা বলে গেছে কত।

তেমনই আমার বাণী

সৌরভে কানাকানি।

হয় যদি ভ্রমরা গো

সে ব্যাথা বুঝিয়া নাও।।

অন্তরে অন্তরে যদি কোন মন্তরে

বোবা এ প্রাণের ব্যাথা

বোঝানো যেতো গো তারে।

কবির কবিতা সবই

তুলি দিয়ে আঁকা ছবি।

কিছু নয় তার কাছে

এটুকু বুঝিয়া নাও।।"
Solil Chowdhury,না যেও না রজনী এখনো বাকি,"না যেও না, না যেও না,

রজনী এখনও বাকী

আরও কিছু দিতে বাকী

বলে রাত জাগা পাখি।

না যেও না।

আমি যে তোমারি শুধু জীবনে মরণে।।

ধরিয়া রাখিতে চাহি নয়নে নয়নে।

না যেও না,

রজনী এখনও বাকী

আরও কিছু দিতে বাকী

বলে রাত জাগা পাখি।

না যেও না।

যে কথা বলিতে বাজে,

যে ব্যথা মরমে কাঁদে

সে কথা বলিতে ওগো দাও।।

জীবন রজনী জানি এমনি পোহাবে।।

চাঁদের তরণী তুমি সুদূরে মিলাবে।

না যেও না,

রজনী এখনও বাকী

আরও কিছু দিতে বাকী

বলে রাত জাগা পাখি।

না যেও না।"
Solil Chowdhury,বিচারপতি তোমার বিচার করবে যারা,"বিচারপতি তোমার বিচার করবে যারা

আজ জেগেছে এই জনতা, এই জনতা।।

তোমার গুলির, তোমার ফাঁসির,

তোমার কারাগারের পেষণ শুধবে তারা

ও জনতা এই জনতা এই জনতা।।

তোমার সভায় আমীর যারা,

ফাঁসির কাঠে ঝুলবে তারা।।

তোমার রাজা মহারাজা,

করজোরে মাগবে বিচার।।

ঠিক যেন তা এই জনতা।

তারা নতুন প্রাতে প্রাণ পেয়েছে, প্রাণ পেয়েছে।

তারা ক্ষুদিরামের রক্তে ভিজে প্রাণ পেয়েছে।।

তারা জালিয়ানের রক্তস্নানে প্রাণ পেয়েছে।।

তারা ফাঁসির কাঠে জীবন দিয়ে

প্রাণ পেয়েছে, প্রাণ পেয়েছে।।

গুলির ঘায়ে কলজে ছিঁড়ে প্রাণ পেয়েছে,

প্রাণ পেয়েছে এই জনতা।

নিঃস্ব যারা সর্বহারা তোমার বিচারে।

সেই নিপীড়িত জনগণের পায়ের ধারে।।

ক্ষমা তোমায় চাইতে হবে

নামিয়ে মাথা হে বিধাতা।।

রক্ত দিয়ে শুধতে হবে।

নামিয়ে মাথা হে বিধাতা।।

ঠিক যেন তা এই জনতা।

বিচারপতি তোমার বিচার করবে যারা

আজ জেগেছে এই জনতা, এই জনতা।।"
