Writer,Title,Song
Sayyed Shamsul Haque,ও দেখা হলো পথ চলিতে,"ও দেখা হলো পথ চলিতে।

সাগর যেন আহা ডাগর আঁখি

স্বপন বনে সেতো সোনার পাখি

মন চায় মন দিতে।।

জীবন পথে একা চলেছি

সহসা তারে আমি দেখেছি।

ভাবনা এলোমেলো

সে যেন কাছে এলো কিছু বলিতে।।

সে কেন আরো কাছে এলো না

কন্ঠে ফুল মালা নিলো না।

শুধু যে মন নিয়ে

আমারই পথ দিয়ে। গেল চকতে।।"
Sayyed Shamsul Haque,কোন লজ্জায় ফুল সুন্দর হলো,"কোন লজ্জায় ফুল সুন্দর হলো।

আমি সুধাই তারে ভালবাসার গল্প আমায় বলো।।

আধো ফোটা ভীরু কলি শোনগো বলি

ছিলাম একাকি আমি তোমার বনে

মরমের পথ ধরে বন্ধু তুমি

ভালোবাসা নিয়ে এলে আমার মনে

বুঝি না তো কি হতে যে কি হয়ে গেল।।

এলো বুঝি প্রিয়তম অতিথি হয়ে

শরমের রঙে রাঙা মধুর ক্ষণে

কি দিয়ে বরণ আমি করবো তারে

তৃষ্ণা আমার চোখে লজ্জা মনে

ভাবিনি তো আগে আমি লেখাই ছিল।।"
Sayyed Shamsul Haque,তুমি আসবে বলে কাছে ডাকবে বলে,"তুমি আসবে বলে কাছে ডাকবে বলে

ভাল বাসবে ওগো শুধু মোরে

তাই চম্পা বকুল করে গন্ধে আকুল

এই জোছনা রাতে মনে পড়ে।।

চঞ্চল হাওয়া বয় কানে কানে কথা কয়।

বনে বনে চোখ হাসে দূরে কেন সরে রয়

তুমিও তেমনি এমনও রাতে রবে কি দূরে দূরে।

কাছে ডাকবে বলে

ভাল বাসবে ওগো শুধু মোরে

তাই চম্পা বকুল করে গন্ধে আকুল

এই জোছনা রাতে মনে পড়ে

মায়া ভরা এই ক্ষণে কেন ডাকো ফুল বনে

তুমি এলে আঁখি পাতে চুপি চুপি মনে মনে

স্বপ্ন হয়ে মনের মিতা আমারো নেই বাসরে।।"
Sayyed Shamsul Haque,রংধনু ছড়িয়ে চেতনার আকাশে,"রংধনু ছড়িয়ে চেতনার আকাশে

আসে আর ভালোবাসে, ভালোবাসে।

হৃদয়ের সঙ্গিনী আপনজনা

প্রেমডোরে বন্দিনী চিরবাসনা।

ভাবনার মোহনায় নিরবে মিশে যায়

মন ভাবে যারে পাশে পাশে

আসে আর ভালোবাসে, ভালোবাসে

সাগরের মত চোখ কবিতা হয়ে

দৃষ্টির মায়াজালে নেয় জড়িয়ে।

খেয়ালের পৃথিবীতে *** ছোঁয়া দিতে

গোলাপের মত যেন হাসে

আসে আর ভালোবাসে, ভালোবাসে।।"
Sayyed Shamsul Haque,যেন কত পথ ওগো চলেছি,"যেন কত পথ ওগো চলেছি

কত সুরে গান গেয়েছি

বিজনে দুজনে সারাবেলা।।

শোন বলি মেয়ে শোন মন দিয়ে

গল্প হলেও যেন গল্প তো নয়

এলে কোথা হতে আমারই এ পথে

ভুলের মাঝে হলো এই পরিচয়

সেই দেখা কিছুতেই গেল না ভোলা

কিছুতেই যেন গেল না ভোলা

এই নীল নীল নিঃসীম নিরজনে

গুন গুন মধু গুঞ্জনে

শরমে মরমে দাও দোলা

যেন কত পথ ওগো চলেছি

কত সুরে গান গেয়েছি

দুজনে দুজনে সারা বেলা

তুমি দিলে ফুল যদিও না ভুল

কিছুটা সত্যি বলে যেন মনে হয়

আমি বললাম মিছে এক নাম

ধরা পড়ে গেল ওগো সেই অভিনয়

শেষ হল মন নিয়ে এমন খেলা

মন নিয়ে আহা এমন খেলা

এই নীল নীল নিঃসীম নিরজনে

গুন গুন মধু গুঞ্জনে

শরমে মরমে দাও দোলা

যেন কত পথ ওগো চলেছি

কত সুরে গান গেয়েছি

দুজনে দুজনে সারা বেলা"
Sayyed Shamsul Haque,এই যে আকাশ এই যে বাতাস,"এই যে আকাশ এই যে বাতাস

বউ কথা কও সুরে যেন ভেসে যায়

বেলা বয়ে যায় মধুমতি গায়

ওরে মন ছুটে চল চেনা ঠিকানায়।।

অচিন গাও আর সবুজ বনে

নূপুর বাজায় আপন মনে।

চেনা লাগেরে তারে ভাল লাগেরে সে যে

নূপুর বাজায় বলে আয় ফিরে আয়, আয়…।।

বন্ধুরে…..

তোমার লাগি হইলাম দেশান্তর।

আমি পরকে করলাম

আপন আমার আপন হইলো পর।

বন্ধুরে…..

হ..র…র…র…

লাগলো চাকায় চলার নেশা

পাই না খুজে পথের দিশা.

দূরে চলে রে সে যে

দূরে চলে রে ও রে

ভালবাসায় সে যে কাঁদায় হাঁসায়

হ..র…র…র….।।

একি জ্বালা দিলা রে।।"
Sayyed Shamsul Haque,তোরা দেখ দেখরে চাহিয়া,"তোরা দেখ তোরা দেখ তোরা দেখরে চাহিয়া

চোখ থাকিতে এমন কানা কেমন করিয়া।।

তোরা দেখ দেখ দেখরে চাহিয়া

রাস্তা দিয়া হাইটা চলে রাস্তা হারাইয়া।।

হাতের কাছে এইতো মানিক

যেমনি এসে দাঁড়ায় খানিক

হাতের কাছে এইতো মানিক

সামনে এসে দাঁড়ায় খানিক

আবার আবার অন্য দিকে যায়

চলে সে মুখটি ফিরাইয়া।।

ইষ্টিশনে আসলো গাড়ি

ঊঠতে হবে তাড়াতাড়ি।

ও পাগল ও পাগল সঙ্গে আছে টিকিট

তবু আছে পায় না খুজিয়া।।

এই বাজারে আনাগোনা

না করিলেও বেচাকেনা।

মহাজন মহাজন ছাড়বে না তো

খাতায় দেনা রাখবে লিখিয়া।।"
Sayyed Shamsul Haque,কারে বলে ভালবাসা কারে বলে প্রেম,"কারে বলে ভালবাসা কারে বলে প্রেম

মিলনে বিরহে আমি জানলেম। (হু হু…)

লোকে বলে ভালবাসা আমি বলি ভাঙ্গাবাসা

তাকে হারালেম সবই হারালেম

সেদিন আমার কাছে এসেছিল সে

সেদিন আমায় ভালবেসেছিল সে।

আমিও সেদিন তাকে ভালবাসলেম

তাকে হারালেম সবই হারালেম।।

আমার আপন হয়ে নাই সে তো নাই

জানি না আবার কাছে পাই কি না পাই। (হুম…)

তবুও আবার তাকে মালা পরালেম

তাকে হারালেম সবই হারালেম।।"
Sayyed Shamsul Haque,চাঁদের সাথে আমি দেব না তোমার তুলনা,"চাঁদের সাথে আমি দেব না তোমার তুলনা

নদীর সাথে আমি দেবো না তোমার তুলনা

তুমি চাঁদ হতে যদি দূরেই চলে যেতে

তুমি নদী হতে যদি দূরেই চলে যেতে

এ কথা যেন ভুল না, তুমি যে তোমারই তুলনা।।

ফুলের সাথে আমি দেব না তোমার তুলনা

অলির সাথে আমি দেব না তোমার তুলনা

তুমি ফুল হতে যদি ঝরেই পড়ে যেতে

তুমি অলি হতে যদি দূরেই উড়ে যেতে

এ কথা যেন ভুল না, তুমি যে তোমারই তুলনা।।

কবির সাথে আমি দেব না তোমার তুলনা

ছবির সাথে আমি দেবো না তোমার তুলনা

তুমি কবি হতে যদি সবার হয়ে যেতে

তুমি ছবি হতে যদি তবে মুছে যেতে

এ কথা যেন ভুল না, তুমি যে তোমারই তুলনা।।"
Sayyed Shamsul Haque,এমন মজা হয় না,"এমন মজা হয়না

গায়ে সোনার গয়না

বুবুমনির বিয়ে হবে

বাজবে কত বাজনা

আজকে বুবুর মুখের হাসি

কালকে বুবুর বিয়ে

বর আসবে পালকি চড়ে

বকুল তলা দিয়ে

বর আসতে দেব না

বুবুর কাছে নেব না

ও বুবু তোর বলিস

আনতে আমার খাজনা।।"
Sayyed Shamsul Haque,"হায়রে মানুষ, রঙ্গীন ফানুস","হায়রে মানুষ, রঙ্গীন ফানুস

দম ফুরাইলেই ঠুস

তবুতো ভাই কারোরই নাই একটুখানি হুশ

হায়রে মানুষ, রঙ্গীন ফানুস

রঙ্গীন ফানুস, হায়রে মানুষ।।

পূর্ণিমাতে ভাইসা গেছে নীল দরিয়া

সোনার পিনিশ বানাইছিলা যতন করিয়া

চেলচেলাইয়া চলে পিনিশ, ডুইবা গেলেই ভুস।।

মাটির মানুষ থাকে সোনার মহল গড়িয়া

জ্বালাইয়াছে সোনার পিদিম তীর্থ হরিয়া

ঝলমলায়া জ্বলে পিদিম, নিইভ্যা গেলেই ফুস।।

হায়রে মানুষ, রঙ্গীন ফানুস

দম ফুরাইলেই ঠুস

তবুতো ভাই কারোরই নাই একটুখানি হুশ

হায়রে মানুষ, রঙ্গীন ফানুস

রঙ্গীন ফানুস, হায়রে মানুষ"
Sayyed Shamsul Haque,শোন বলি একটি কথা আজ,"শোন বলি একটি কথা আজ।

মন দেয়া মন নেয়া

সে যে বড়ই কঠিন কাজ।।

শোন বলি শোন মহারাজ

সা রে মা গা

রে গা পা মা

সারে সারে রেগা…

ভাল যদি বাসিতে চাও

চোখে প্রেমের সুরমা নাও।

(মুখে বলো)

সখী গো…

মুখে বলো সখী সখী

প্রেমে সকল কাজ

শোন বলি একটি কথা আজ

(কি বুঝলে)

দিতে ভালবাসারই দাম

ভুলে যাবে বাপেরই নাম।

ফতুর হবে বধুর লাগি।

পড়বে মাথায় বাজ

শোন বলি শোন মহারাজ

(কুচ পরোয়া নেই)

তবে তুমি কেন হে কাঁদ

মাথায় কষে পাগড়ী বাধ।

পিঠের দাঁড়া সোজা করে

পড়ো বীরের সাজ।

(কিন্তু)

শরীরটাকে তাগড়া করো

ভাল কোন সালসা ধর।

ছোলা খাও আর ব্যায়াম করো।

ছাড় ছুচোর নাচ।।"
