Writer,Title,Song
Shah Abdul Karim,এই দুনিয়া মায়া জালে বান্ধা,"এই দুনিয়া মায়া জালে বান্ধা

শুনবে কি বুঝবে কি, ওরে ও মন ধুন্ধা

এই দুনিয়া মায়া জালে বান্ধা ..

কতজনা পাগল হইয়া

মায়াতে মন মজাইয়া

আপনার ধন পরকে দিয়া

সার হইয়াছে কান্দা ..

বহুরূপী রঙ-বাজারে

মন থাকেনা মনের ঘরে

রঙ দেখাইয়া প্রাণে মারে

লাগাইয়া ধান্ধা ..

এই দুনিয়া মায়া জালে বান্ধা ..

ছেড়ে দিয়া মায়াপুরী

দিতে হবে ভব পাড়ি

চেয়ে দেখো মন-ব্যপারী

দিন গেলে হয় সন্ধ্যা ..

আপনি যদি ভালো বুঝ

সুসময়ে মুর্শিদ ভজ

জ্ঞান থাকিতে পাগল সাজো

চোখ থাকতে হও আন্ধা ..

এই দুনিয়া মায়া জালে বান্ধা ..

সময়ে কাজ সাধন করো

নবির মতো মনকে গড়

আপনি কর্ম আপনি সারো

করুক লোকে নিন্দা ..

কাটিয়া মায়ারই বাঁধন

যে হইয়াছে মানুষ রতন

এ করিম কয় নাই তার মরণ

সবসময় সে জিন্দা ..

এই দুনিয়া মায়া জালে বান্ধা"
Shah Abdul Karim,আমি বাংলা মায়ের ছেলে,"আমি বাংলা মায়ের ছেলে

জীবন আমার ধন্য যে হায়

জন্ম বাংলা মায়ের কোলে

বাংলা মায়ের ছেলে

আমি বাংলা মায়ের ছেলে

বাংলা মায়ের মুখের হাসি

প্রাণের চেয়েও ভালোবাসি

মায়ের হাসি পূর্ন শশী- রত্ন-মানিক জ্বলে।

মায়ের তুলনা কি আর ধরণীতে মিলে

মা আমার শস্য-শ্যামলা সুশোভিত ফলে ফুলে

বাংলা মায়ের ছেলে, আমি বাংলা মায়ের ছেলে

গাছে গাছে মিষ্ট ফল, মাঠে ফলে সোনার ফসল

রয়েছে সুশীতল জল, নদী-নালা খালে-বিলে।

কোকিল ডাকে কুহ স্বরে, বুলবুল নাচে ডালে

শুক-সারী গান গায় মা যেন থাকেন কুশলে

বাংলা মায়ের ছেলে, আমি বাংলা মায়ের ছেলে

বাউল আব্দুল করিম বলে, জীবন লীলা সাঙ্গ হলে

শুয়ে থাকবো মায়ের কোলে, তাপ-অনুতাপ ভুলে।

মাকে ভুলে না মায়ের খাঁটি সন্তান হলে

মা বিনে আর কে আছে কার, সুখে-দুখে মা-মা বলে

বাংলা মায়ের ছেলে, আমি বাংলা মায়ের ছেলে।।"
Shah Abdul Karim,সোনা বন্ধু ভুইলো না আমারে,"তুমি বিনে আকুল পরাণ।

থাকতে চায় না ঘরে রে

সোনা বন্ধু ভুইলো না আমারে।

আমি (এই) মিনতি করি রে

সোনা বন্ধু ভুইলো না আমারে

সাগরে ভাসাইয়া কুল-মান

তোমারে সঁপিয়া দিলাম আমার

দেহ-মন-প্রাণ।

সর্বস্ব ধন করিলাম দান।

তোমার চরণের তরে

সোনা বন্ধু ভুইলো না আমারে।।

আমারে ছাড়িয়া যদি যাও

প্রতিজ্ঞা করিয়া বলো আমার মাথা খাও।

তুমি যদি আমায় কান্দাও।

তোমার কান্দন পরে রে

সোনা বন্ধু ভুইলো না আমারে

আমি (এই) মিনতি করি রে

সোনা বন্ধু ভুইলো না আমারে

কুল-মান গেলে ক্ষতি নাই আমার

তুমি বিনে প্রাণ বাঁচে না কি করিব আর।

তোমার প্রেম-সাগরে

প্রেম-সাগরে তোমার করিম যেন ডুবে মরে

সোনা বন্ধু ভুইলো না আমারে

আমি (এই) মিনতি করি রে

সোনা বন্ধু ভুইলো না আমারে"
Shah Abdul Karim,মেস্তরি নাও বানাইছে,"কোন মেস্তরি নাও বানাইলো এমন দেখা যায়

ঝিলমিল ঝিলমিল করে রে ময়ূরপঙ্খী নায়।।

চন্দ্র-সূর্য বান্ধা আছে নাওয়েরই আগায়

দূরবীনে দেখিয়া পথ মাঝি-মাল্লায় বায়

ঝিলমিল ঝিলমিল করে রে ময়ূরপঙ্খী নায়।।

রঙ-বেরঙের যতো নৌকা ভবের তলায় আয়

রঙ-বেরঙের সারি গাইয়া ভাটি বাইয়া যায়

ঝিলমিল ঝিলমিল করে রে ময়ূরপঙ্খী নায়।।

জারি গায়ে ভাটি বায়ে করতাল বাজায়

মদন মাঝি বড়ই পাজি কতো নাও ডুবায়

ঝিলমিল ঝিলমিল করে রে ময়ূরপঙ্খী নায়।।

হারা-জিতা-ছুবের বেলা কার পানে কে চায়

পাছের মাঝি হাল ধরিয়ো ঈমানের বৈঠায়

ঝিলমিল ঝিলমিল করে রে ময়ূরপঙ্খী নায়।।

বাউল আব্দুল করিম বলে বুঝে উঠা দায়

কোথা হইতে আসে নৌকা কোথায় চলে যায়

ঝিলমিল ঝিলমিল করে রে ময়ূরপঙ্খী নায়।।"
Shah Abdul Karim,আগে কি সুন্দর দিন কাটাইতাম,"আগে কি সুন্দর দিন কাটাইতাম

আমরা আগে কি সুন্দর দিন কাটাইতাম

গ্রামের নওজোয়ান হিন্দু মুসলমান

মিলিয়া বাউলা গান আর মুর্শিদি গাইতাম

হিন্দু বাড়িতে যাত্রা গান হইত

নিমন্ত্রণ দিত আমরা যাইতাম

জারি গান, বাউল গান আনন্দের তুফান

গাইয়া সারি গান নৌকা দৌড়াইতাম

বর্ষা যখন হইত, গাজির গান আইত,

রংগে ঢংগে গাইত আনন্দ পাইতাম ।।

কে হবে মেম্বার, কে বা গ্রাম সরকার

আমরা কি তার খবরও লইতাম ।।

হায়রে আমরা কি তার খবরও লইতাম

আগে কি সুন্দর দিন কাটাইতাম ।।

বিবাদ ঘটিলে পঞ্চায়েতের বলে

গরীব কাংগালে বিচার পাইতাম ।।

মানুষ ছিল সরল ছিল ধর্ম বল ।।

এখন সবাই পাগল বড়লোক হইতাম ।।

করি ভাবনা সেই দিন আর পাব নাহ

ছিল বাসনা সুখি হইতাম ।।

দিন হতে দিন আসে যে কঠিন

করিম দীনহীন কোন পথে যাইতাম।।"
Shah Abdul Karim,ওকি গাড়িয়াল ভাই,"ওকি গাড়িয়াল ভাই

কত রব আমি পন্থের দিকে চাইয়া রে .

যেদিন গাড়িয়াল উজান যায়

নারীর মন মর ছুইরা রয় রে .. (২বার )

ওকি গাড়িয়াল ভাই…

হাঁকাও গাড়ি তুই চিল মারির বন্দর এ রে

আর…কি কব দুস্কের ও জ্বালা…গাড়িয়াল ভাই

গাঁথিয়াছি কনমালা রে… ( ২বার )

ওকি গাড়িয়াল ভাই…

কত কাঁদি মুই নিদুয়া পাথারে রে …

ওকি গাড়িয়াল ভাই

কত রব আমি পন্থের দিকে চাইয়া রে

ওকি গাড়িয়াল ভাই…

হাঁকাও গাড়ি তুই চিল মারির বন্দর এ রে ।"
Shah Abdul Karim,বসন্ত বাতাসে সইগো,"বসন্ত বাতাসে সইগো

বসন্ত বাতাসে

বন্ধুর বাড়ির ফুলের গন্ধ

আমার বাড়ি আসে

বন্ধুর বাড়ির ফুলবাগানে

নানান রঙের ফুল

ফুলের গন্ধে মন আনন্দে

ভ্রমর হয় আকুল

বন্ধুর বাড়ির ফুলের বন

বাড়ির পূর্বধারে

সেথায় বসে বাজায় বাঁশী

মন নিল তার সুরে

মন নিল তার বাঁশীর তানে

রূপে নিল আঁখী

তাইতো পাগল আব্দুল করিম

আশায় চেয়ে থাকে"
Shah Abdul Karim,গান গাই আমার মনরে বুঝাই,"গান গাই আমার মনরে বুঝাই

মন থাকে পাগলপারা

আর কিছু চায়না মনে গান ছাড়া ।।

গানে বন্ধুরে ডাকি গানে প্রেমের ছবি আঁকি

পাব বলে আশা রাখি না পাইলে যাব মারা

আর কিছু চায়না মনে গান ছাড়া ।।

গান আমার জপমালা গানে খুলে প্রেমের তালা

প্রাণ বন্ধু চিকন কালা অন্তরে দেয় ইশারা

আর কিছু চায়না মনে গান ছাড়া ।।

ভাবে করিম দ্বীনহীন আসবে কি আর শুভদিন

জল ছাড়া কি বাঁচিবে মীন ডুবলে কি ভাসে মরা

আর কিছু চায়না মনে গান ছাড়া ।।"
Shah Abdul Karim,আগে কি সুন্দর দিন কাটাইতাম,"আগে কি সুন্দর দিন কাটাইতাম

আমরা আগে কি সুন্দর দিন কাটাইতাম

গ্রামের নওজোয়ান হিন্দু মুসলমান

মিলিয়া বাউলা গান আর মুর্শিদি গাইতাম

হিন্দু বাড়িতে যাত্রা গান হইত

নিমন্ত্রণ দিত আমরা যাইতাম

জারি গান, বাউল গান

আনন্দের তুফান

গাইয়া সারি গান নৌকা দৌড়াইতাম

বর্ষা যখন হইত,

গাজির গান আইত,

রংগে ঢংগে গাইত

আনন্দ পাইতাম

কে হবে মেম্বার,

কে বা সরকার

আমরা কি তার খবরও লইতাম

হায়রে আমরা কি তার খবরও লইতাম

আগে কি সুন্দর দিন কাটাইতাম

করি যে ভাবনা

সেই দিন আর পাব নাহ

ল বাসনা সুখি হইতাম

দিন হইতে দিন

আসে যে কঠিন

করিম দীনহীন কোন পথে যাইতাম

আগে কি সুন্দর দিন কাটাইতাম…."
Shah Abdul Karim,আর জ্বালা সয়না গো সরলা,"আমি-তুমি দুইজন ছিলাম, এখন আমি একেলা

আর জ্বালা, আর জ্বালা সয়না গো সরলা।।

দুনিয়া ঘুরিনু ঠাই, দুঃখ কইবার জায়গা নাই

মনের দুঃখ কারে জানাই বসে কাঁদি নিরালা

আর জ্বালা, আর জ্বালা সয়না গো সরলা।।

দুঃখে আমার জীবন গড়া, সইলাম দুঃখ জনমভরা

হইলাম আমি সর্বহারা এখন যে আর নাই বেলা

আর জ্বালা, আর জ্বালা সয়না গো সরলা।।

আর কতো সয় কোমল প্রানে, আর কতকাল ঘুরবো বনে

আর কতদিন দুই নয়নে বহাবো নদী-নালা

আর জ্বালা, আর জ্বালা সয়না গো সরলা।।

তুমি চলে গেলে দূরে, প্রাণ-পাখি যাইতে চায় উড়ে গো

যে পাখিরে জনমভরে খাওয়াইলাম দুধ-কলা

আর জ্বালা, আর জ্বালা সয়না গো সরলা।।

বলে করিম দীনহীনে, কতো কথা উঠে মনে গো

তুমি বিনে এ ভুবনে ভাঙ্গিল ভবের খেলা

আর জ্বালা, আর জ্বালা সয়না গো সরলা।।"
