Writer,Title,Song
Shamol Gupto,এই বসন্ত জানালে বিদায়,"এই বসন্ত জানালে বিদায়, ওগো জীবনের অলস বেলায়

কোনো নিরালা ক্ষণে বলো আর মনে হবে কি গো আমায় ||

আর কোনোদিন, ভুলে থাকা স্মরণের বীণ

জানি নাকো বাজাবে কিনা তুমি মোর সুরের মায়ায় ||

জানি এ তো দুরাশা আমার—-

কত গান শুনে ভালো লেগেছে তোমার,

তার মাঝে এ গানের দাম বলো কতটুকু আর?

জাগে তবু সাধ, ক্ষমা করো মোর এই অপরাধ ;

আজ বুকে কি ব্যথা কাঁদে পারি না তো বোঝাতে তোমায় ||"
Shamol Gupto,আরও একটুখানি কাছে থাকো না,"আরও একটুখানি কাছে থাকো না

আরও কিছু কথা বলো না

এখনও যা বলা হলো না

আধোলাজে তারে ঢেকে রেখো না ||

দু’টি চোখে ঝরোঝরো জোছনারই স্বপ্ন,

দুরু দুরু হিয়া ঘিরে মাধবীর লগ্ন,

চুপি চুপি হাওয়া বলে, না, না, যেও না ||

আছে গান, আছে প্রাণ, আছে ভালোবাস

হাসি আর বাঁশি জুড়ে শুধু আলো-আশা |

দু’টি হাতে রিনিঝিনি কাঁকনের ছন্দ,

ভেসে আসে করবীর বনযূথী গন্ধ——

কানে কানে বলি শোনো, না, না, যেও না ||"
Shamol Gupto,আমার হৃদয় নিয়ে আর কতকাল বল কাছে এসে দূরে দূরে থাকবে,"আমার হৃদয় নিয়ে আর কতকাল বল কাছে এসে দূরে দূরে থাকবে,

মনের সুরভীটুকু মনেই লুকায়ে তুমি রাখবে ||

চম্পকবনে শোন বাতাসেরা কি যে কয়ে যায়,

এমন প্রহরগুলি অকারণে কেন বয়ে যায়,

লগ্ন ফুরালে তুমি কারে আর কাছে বল ডাকবে।।

তখন হয়ত আমি হারায়ে গিয়েছি কোন সুদূরে

হয়তো কাজল মেঘ ছড়ায়ে ওই রয়েছে আকাশ জুড়ে |

দু’জনার মন যদি দু’জনারে কাছে পেতে চায়,

রাত্রি নামেই যদি নামুক না কি বা আসে যায়?

মনের একটি কথা কত আর তুমি ঢেকে রাখবে?"
Shamol Gupto,ললিত লবঙ্গলতা দোলে মলয়সমীরে এলনা কৃষ্ণ কেন,"ললিত লবঙ্গলতা দোলে মলয়সমীরে,

এলনা কৃষ্ণ কেন কোকিল কূজিত কুঞ্জ-কুটীরে?

নাচিছে কলাপ সরস বসন্তে

চুমিছে ধরণী আকাশে দিগন্তে

মদন দহিছে বিরহিণীরে।

অঙ্গের মৃগমদ সৌরভ,

কাঁদিছে হয়ে হত গৌরব।

ভাসিছে নয়নে নয়নানন্দ

চন্দনে চর্চিত পিয়া মুখ চন্দ

আসেনা শ্রবণে মধুমুরলীরে।"
Shamol Gupto,যে আঁখিতে এত হাসি লুকানো,"যে আঁখিতে এত হাসি লুকানো

কুলে কুলে কেন তার আঁখি-ধার,

যে মনের আছে এত মাধুরী,

সে কেন বয়েছে চলে ব্যথা ভার ৷

দীপের শিখায় এত আলো যে

তবু কেন কাজলে যে কালো সে।

একেলার ভালোলাগায় কি আসে

কেঁদে কেঁদে হতে চায় দু জনার।

সাগর কখনো চেয়ে দেখে না

বুকে তার কী রতন রয়েছে,

কাঙালের মত ফিরে ফিরে সে,

ফিরে ফিরে অবহেলা সয়েছে ৷

প্রেম যদি ভরে এত সুধা গো

তবু কেন হৃদয়ের ক্ষুধা গো।

যে মেঘের রয়েছে এত মমতা,

কেন তার বিদ্যুতে এত হাহাকার।।"
Shamol Gupto,যেথা রামধনু উঠে হেসে,"যেথা রামধনু উঠে হেসে

আর ফুল ফোটে ভালবেসে

বল তুমি যাবে কি গো সাথে

এই পথ গেছে সেই দেশে।

যেথা সব তিথি মধু তিথি

মধু মাস জেগে থাকে নিতি।

মন যেন প্রজাপতি হয়ে

পাখা মেলে দিয়ে চলে ভেসে।।

যেথা শুধু আলো শুধু আশা

সারাবেলা করে কানাকানি

চিরচেনা হয়ে পাশে থেকে

হয় মনে মনে জানা জানি

যেথা হাতখানি হাতে বাধা

বেনু বীনা একই সুরে সাধা।

তাই যত কথা বলা বাকি

যায় গান হয়ে তার রেশে।।"
Shamol Gupto,তুমি সুন্দর যদি নাহি হও,"তুমি সুন্দর যদি নাহি হও

তাই বল কি বা যায় আসে

প্রিয়ার কি রূপ সেই জানে, সেই জানে

ওগো যে কখনো ভালোবাসে।।

শত মনোহার হলে তবু হায়

নীরব বীনারে কেবা দেখে যায়

কাঁদে যদি সুর সমবেদনায়।

আঁখি তবে জলে ভাসে।।

জানিতে চাহিনা তুমি কি যে

শুধু তোমার তুমিরে জানি।

আমার নয়নে প্রতিমা হয়েছো

তাই তুমি ওগো রানী।

কেন তবু এ যে মোহ ভাব হায়

জান না তোমারই করুণা কনায়

কাঙ্গাল হৃদয় ভরে গেছে মোর।

যেদিন দাঁড়ালে পাশে।।"
Shamol Gupto,চন্দন পালঙ্কে শুয়ে একা একা কি হবে,"চন্দন পালঙ্কে শুয়ে একা একা কি হবে

জীবনে তোমায় যদি পেলাম না

শ্বেত পাথরের রাজপ্রাসাদে

থেকে আর কি হবে

জীবনে তোমায় যদি পেলাম না

নহবত সানাই বাজাক

মণিহার কন্ঠ সাজাক

আজ আমার ফুলে ছোঁয়া

চতুর্দোলা যাব বা না যাক

আগুনের ফুলকি ঝরা

আতশবাজির উৎসবে

শুনিযে জয়ধ্বনি চারিদিকে

কাঁদে এই শূন্য হিয়া হাহাকারে

আতরের গন্ধ ভরাক

আজ আমার বরণ ডালা

হাজার দিকে আলো ছড়াক

সোনার এই মুকুট পরে

অভিষেকের গৌরবে"
Shamol Gupto,রূপের ঐ প্রদীপ জ্বেলে কী হবে তোমার,"রূপের ঐ প্রদীপ জ্বেলে কী হবে তোমার

কাছে কেউ না এলে আর

মনের ঐ এত মধু কেন জমেছে

যদি কেউ না থাকে নেবার।।

ও নূপুর না বাজালে কারো বাঁশিতে

ও হাসি না মেশালে কারো হাসিতে।

তোমার ঐ সোনার ফাগুন কী দাম পাবে।

যদি কেউ না থাকে দেবার।।

এ জীবন না জড়ালে কারো জীবনে

এ স্বপন না ছড়ালে কারো স্বপনে।

রঙিন ঐ দিনগুলি কী এমন রবে।

সাড়া কেউ দিবে না যে আর। ।"
Shamol Gupto,মন বলছে আজ সন্ধ্যায় কিছু বলতে তুমি আসবে কি,"হু…

মন বলছে আজ সন্ধ্যায় কিছু বলতে তুমি আসবে কি!

আসবে কি…

আমি শুনবো কিছু বলবো, কিছু স্বপ্ন চোখে ভাসবে কি!

বনে স্বর্ণচাপা ফুটবে দু’টি একটি তারা উঠবে

ওরা হয়তো সেই লগ্নে চেয়ে দেখবে মৃদু হাসবে কি!

ঐ ক্লান্ত নীড়ে পান্থ পাখী ফিরবে গান থামবে

কাছে আমরা বসে থাকবো ছায়া ঘিরবে রাত নামবে

আরও শুনতে তুমি চাইবে, আরও বলতে গান গাইবে

আধো লজ্জায় হাসি তুলবে, দেখে তাই যে ভালবাসবে কি!"
