Writer,Title,Song
Shylen Roy,তোমারই পথ পানে চাহি,"তোমারই পথ পানে চাহি

আমারই পাখি গান গায়

শিশির নীড়ে অবগাহি

কানন পথ ফুলে ছায়।।

আমার এ গান আঁখি জলে

তোমারই লাগি পলে পলে।

উঠিয়া প্রেম শতদলে

বিরহে প্রিয় ঝরে যায়।।

তোমারে গিয়েছিনু ভুলি

কুসুমে রাঙা মরুপথে

জাগায়ে মোর ফুলগুলি

ললিয়া গেলে জয়রথে

তোমারই মালা মোর গলে

অনল হয়ে যেন জ্বলে।

বাঁধিয়া রাখি হিয়া তলে

পড়িয়া মোরে নিলে হায়।।"
Shylen Roy,মাটির প্রদীপ রয় যে চেয়ে,"মাটির প্রদীপ রয় যে চেয়ে নীল গগনে

নয়ন মেলে সন্ধ্যাতারার নিমন্ত্রণে।।

চোখের চাওয়ায় সাঁঝের হাওয়ায় সুর এলো

কুলায় ফেরা পাখীরা সব গান পেলো

মল্লিকা দল গন্ধ উতল আপন হারা আপন মনে

সন্ধ্যা তারার নিমন্ত্রণে নীল গগনে।।

সাধের শিশির প্রাণ দুলিয়ে কয়

মন মুকুরে ধরেছে চাঁদ আর সে দূরে নয়গো আর দূরে সে নয়।

সাগর হিয়ায় মিলায় নদী গান গেয়ে

পেয়েছি যা ধন্য আমি তাই পেয়ে

স্বপন ভরা নয়ন বলে

দেখা পেলাম শুভক্ষণে শুভক্ষণে।।"
Shylen Roy,"সে বিনে আর জানে না, জানে না এ মন","সে বিনে আর জানে না, জানে না এ মন

যে আমার আপন হতেও আপনজন।।

সেই একজনারেই মন সঁপেছি

বল স্বজন কি আর হয় দু’জন?

সে আছে আমার পরাণে, তাই ভাব দরিয়ায় ঢেউ উঠেছে

ফুল ফুটেছে ভাবের বাগানে

আর দিবানিশি নিরিবিলি কতই ভাবে আলাপন।।

তারে মন দিয়েছি বলে

আমার হৃদ কমলে অরূপ মধু প্রেমের মধু নিতুই উথলে

তাই আকাশ মধুর বাতাস মধুর, মধুর, মধুর এই জীবন।।"
Shylen Roy,"ও মন কখন শুরু, কখন যে শেষ, কে জানে","ও মন কখন শুরু, কখন যে শেষ, কে জানে?

এ যে বাজিকরের খেলারে মন যার খেলা হয় সে জানে।।

ও মন তারই হাতের একতারা যে আমি

ওরে সে বাজালে বাজি আবার সে থামালে থামি

বুঝিনা এ কোন ক্ষ্যাপামি

ও সে জগৎ মেলায় পুতুল নাচায় কে বোঝে বল সেই মানে।।

আমার দয়াল বন্ধু আছেতো সেইজনা

যার দয়াতে হয় সকল ব্যথা আনন্দেরই সোনা

হয় সে সুধারসের কণা

আমি তার ঠিকানাি খুঁজে বেড়াই এপার ওপার সবখানে।।"
Shylen Roy,নয়ন মোহন শ্যাম নয়ন ছাড়িয়া মোরে এ মধু থাকো এ পরাণে,"(জপ গোপাল গোবিন্দ মুকুন্দ রে

আহা! আনন্দ আনন্দ আনন্দ রে

জপ গোপাল গোবিন্দ মুকুন্দ রে

আহা! আনন্দ আনন্দ আনন্দ রে)

নয়ন মোহন শ্যাম নয়ন ছাড়িয়া মোর

এস বঁধু থাকো এ পরাণে।

শ্যাম সুধা রসে মোর, জর জর অন্তর

কানু ছাড়া আন নাহি জানে,

ব্রজবল্লভ গোপীবল্লভ

রাধাবল্লভ বিনে আর নাহি জানে।।

বঁধু গো তুমি অকলঙ্ক শশী হে আমার

আমার কপালে বিধি, মিলায়েছে গুণনিধি

এমন বধূয়া আছে কার?

তুয়া অনুরাগে পিয়া, সকলি সমর্পিয়া

ও চরণ করিনু যে সার,

আমি সার করেছি

ওই লাজ কুল মান ভাসায়ে দিয়ে

ও রাঙা চরণ সার করেছি

ও চরণ করিনু যে সার।

আহা তুমি ছাড়া আর সুখ নাই

(বধূ) তুমি যদি দাও সুধা ভেবে আমি হাসিয়া গরল খাই।

আমায় মালা করে গলে নাইবা রাখিলে রাখো শ্রীচরণতলে,

আমায় ছেড়োনা হে নাথ ভাসায়ে দিওনা ভব জলধির জলে।।"
Shylen Roy,মানুষের মনে ভোর হল,"মানুষের মনে ভোর হোলো আজ অরুণ গগনতল

আলোকের শিশু ছুটে এসে বলে আলোক তীর্থে চল।।

ঐ নতুন যুগের সূর্য তোর নয়নে নয়নে জ্বালা

বাজে পরানে আশার সূর্য আর কন্ঠে বিজয়মালা,

চিরযৌবন জাগেরে, জাগে চিরচঞ্চল।।

মোরা স্বপ্ন দেখি যে আজ ঐ সুন্দর হল ধরা

(আর) মানুষের প্রেমে আজ মানুষের বুক ভরা।

ওরে সবার লাগিয়া প্রাণরে আর সবার লাগিয়া গান

তাই জীবনের ভালোবাসিয়া মোরা জীবন করিব দান

মোরা দুখের কাঁটা ভোলায়ে ফোটাব কমল দল।।"
Shylen Roy,"আমারে লয়ে কি খেলা খেলিছ, প্রতিটি পিয়াসী ক্ষণ","আমারে লয়ে কি খেলা খেলিছ, প্রতিটি পিয়াসী ক্ষণ

হে গোপন তুমি মোর অশ্রু জলের ধন।।

আজিকে শ্রাবণ কাঁদে গহন রিক্ত রাতে

সুরের অতীত কোন সুরে বাজে, তোমার বীণার আলাপন।।

জানি তবু প্রেম অসীম ক্ষমায় আমারে ক্ষমে

চিত্ত আমার তোমারে যে প্রণমে

বাঁধিয়া অলখ ভোরে, কেন কেন রাখ দুরে মোরে

কেন তোমায় প্রাণের বিরহেরে জাগাও আমার প্রাণের আলোড়ন।।"
Shylen Roy,এই গান গাওয়া মোর নয় গো অকারণে,"এই গান গাওয়া মোর নয় গো অকারণে

যেন স্বপ্ন আমার সফল হবে এই যে শুভক্ষণ।।

দখিনা হাওয়া ফুলের কানে

এ কোন সুরের আবেশে আনে, ফুলের কানে !

কিসের ছোঁয়া লাগলো, আজি, আমার উতল মনে।।

তোমার আমার মিলন বাঁশী , শোনো গো ওই বাজে,

তাই শুনে কি সেজেছে মন, নব বধূর সাজে !

হৃদয় বলে শঙ্খ বাজা,

এসেছে তোর মনের রাজা শঙ্খ বাজা

সেই কি তুমি দিলে সাড়া প্রাণের নিমন্ত্রণে।।"
Shylen Roy,মোর গান গুণগুণ ভ্রমরের মিঠে বোল,"মোর গান গুণগুণ ভ্রমরের মিঠে বোল

ঝুলনার ফুলশাখে আমি খেলি ফুলদো।।

আমি শুধু ভেসে চলি, সুরে সুরে কথা বলি

দুলে দুলে ভুলে তুলি বাতাসের হিন্দোল।।

কোকিলেরা বলে মোরে, কোথা পেলে প্রাণ গো

এ গান শেখাও যদি, দিতে পারি প্রাণ গো

খেয়ালের হাওয়া আমি, কভু নামি কভু থামি

আমি যে খুশীর ঢেউ, অকারণে উতরোল।।"
Shylen Roy,আজ চঞ্চল মন যদি মৌমাছি হয়ে চায় ক্ষতি কি,"আজ চঞ্চল মন যদি মৌমাছি হয়ে চায় ক্ষতি কি ?

গুণ গুণ সুরে যদি সারারাত গান গায় ক্ষতি কি ?

সেই সুরে ফোটে ফুল ফুটুক না সেই গানে ওঠে চাঁদ উঠুক না

যদি স্বপ্নে এ আঁখি দুটি ভরে যেতে চায় ক্ষতি কি ?

এই রাতে জোনাকী যত জ্বলুক না সেই সাথে হাওয়া কথা বলুক না

এই মন যদি মন থেকে আজ ছুটি পায় ক্ষতি কি ?"
