Writer,Title,Song
Zia,ইচ্ছে ঘুড়ি,"এই হাওয়ায় ওড়াও তুমি, তোমার যত ইচ্ছে ঘুড়ি

চুপি চুপি মেঘের মেলা, তোমার আকাশ করছে চুরি

সূর্য বসাও আকাশের নীল, ইচ্ছের রঙ গোলাপী হলে

দিগন্ত রেখায় সূর্য নামে, ব্যস্ত সময় যাচ্ছে চলে।

হঠাৎ খেয়ালী এ ঝড়ো হাওয়ায়,

উড়ছে তোমার ইচ্ছে ঘুড়ি

ওড়াও ওড়াও সুতোর টানে,

আকাশের নীল যাচ্ছে চুরি।

শুভ্র সেই মেঘের ভীড়ে, তোমার সব ইচ্ছে ওড়ে।

আকাশ খেয়ালী মনে, হারায় কিছুই না জেনে।

তোমার সুতোয় বাঁধা আকাশ,

ঝড়ো হাওয়ায় রঙ হারালে

নির্বাক। ইচ্ছে। আচমকা। দিশেহারা……

এই আলোয় হাঁটছো একা, সঙ্গী কর আমায় তুমি।

বেয়াড়া যত মেঘের ছায়া, করছে চুরি স্বপ্নভূমি

নীলের আকাশ গোলাপী হলে, ইচ্ছে ঘুড়ি যাচ্ছে চলে

সূতোর বাঁধা ছাড়িয়ে আকাশ, অন্য ভূবন দেখবে বলে।

হঠাৎ খেয়ালী এ ঝড়ো হাওয়ায়,

ভাঙছে তোমার মেঘলা রেখা

ওড়াও ওড়াও সুতোর টানে,

আকাশ আবার হবে যে দেখা ।"
Zia,অনেক আশা নিয়ে,"অনেক সবুজের প্রান্তে তুমি থাকো একাকী

আমি ধূসর, ধূসর হয়ে জেগে থাকি।

অনেক মানুষের ভীড়েও তুমি থাকো একাকী

আমি অনেক আশা নিয়ে বসে থাকি।

হেরে যেতে যেতে যদি থমকে,

এক নিঃশ্বাসে সব পেরিয়ে

রোদ ঝলমলে এক দুপুরে,

যদি ঘুম সব ঘুম ভেঙে যায়

আমি অনেক আশা নিয়ে জেগে থাকি।

দরজার বাইরে রঙীন পৃথিবী,

ধূলো ধূলোমাখা দাঁড়িয়ে আছে

ঝড়ের আশায় তোমার শহরে,

শিরোনামহীন ফুটপাত ঘুমিয়ে গেছে।

একদিন এই ঝড়, তোমার এই শহরে,

ভেজায় যায় সব জানালা তবু আমি বসে আছি।

অনেক মানুষের ভীড়েও তুমি থাকো একাকী।

আমি অনেক আশা নিয়ে জেগে থাকি।"
Zia,ভবঘুরে ঝড়,"চৌরাস্তার উঁচু ল্যাম্পপোস্ট ছাড়িয়ে,

নিঃশ্বাস নিয়ে একটু দাঁড়িয়ে

চারিপাশে বিমূর্ত রেখায়,

আমি, ভবঘুরে ঝড়, তোমাদের খুব কাছে

ছায়া হয়ে যাই,

তোমাদের ভালোবাসা……

শনশন উত্তাল হাওয়ায়,

চৌরাস্তার ল্যাম্পপোস্ট হাঁপায়

এক কাপ গরম চায়ে,

আমি, ভবঘুরে ঝড়,

তোমাদের খুব কাছে

ভিজে একাকার,

তোমাদের ভালোবাসা……

কখনো তোমাদের অজানা জানায়

বাউন্ডুলে ঝড় আমায় ভাবায়……

তোমাদের ছায়ায়,

নির্বাক ভালোবাসা

আমি আজন্ম ভবঘুরে……

ঝড় নিয়ে আসি।"
Zia,ক্যাফেটেরিয়া,"পড়ন্ত বিকেল ক্যাফেটেরিয়া

উঁকি দিয়ে দেখি,

এক কাপ চা, গরম তৃষ্ণায়

অজস্র এলোমেলো শব্দের ভীড়ে

তোমার শীতল চোখ ভিজিয়ে যায় আমায়।

যেখানে তোমার ঠোঁট ভালবাসা

আমি বুড়ো কবিতার মত চুপচাপ।

যেখানে তোমার চোখ খুনী

আমি খুন হই…… প্রতিদিন।"
Zia,পাখি,"একা পাখি বসে আছে শহুরে দেয়ালে

শীষ দিয়ে গান গায় ধূসর খেয়ালে

তার ফেলে যাওয়া আনমনা শীষ, এই শহরের সব রাস্তায়

ধোঁয়াটে বাতাসে, নালিশ রেখে যায়।।

আমি দেখিনি, আমি শুনিনি, আমি বলিনি অনেক কিছু

জানিনি, আমি বুঝিনি, তবু ছুটেছি তোমার পিছু

পাখি আনমনা বসে দেয়ালে, পাখি নির্বাক চোখ রাস্তায়,

ধোঁয়াটে শহরের উষ্ণতা বাড়েনা,

তার আনমনা চোখ, অবুঝ চোখ মনের দরজায়, আঙুল রাখেনা।

কিছু সুর তুমি এনে দাও পাখি নাগরিক কোলাহলে

তুমি গান গাও, তুমি শীষ দাও এই শহুরে দেয়ালে

তুমি ভুলে যাও এই শহরের যত ব্যস্ত জনকথা

আমি এসেছি তোমার কাছে এনে দাও স্বাধীনতা।

দেখিনি, আমি শুনিনি, আমি বলিনি অনেক কিছু

জানিনি, আমি বুঝিনি, তবু ছুটেছি তোমার পিছু

আমি দেখিনি, আমি শুনিনি, আমি বলিনি অনেক কিছু

আমি জানিনি, আমি বুঝিনি, তবু ছুটেছি…… তোমার পিছু"
Zia,সুপ্রভাত,"একদিন হাঁটছি আমরা ক’জন

আমাদের কেউ কেউ উচ্ছাসে, এই শুভ্র সকালে

ধুলোমাখা পথঘাট, ধুলোমাখা শরীর

ধুলোয় ধূসর আমরা ক’জন

এই সকালে, রাস্তায় হাঁটছি ……

সুপ্রভাত একদিন আমাদের ……

দ্বিধাহীন ভোর আসে, ফুটপাতে

ধুলোময় দোকানে খবরের কাগজে ……

খেয়ালী কোলাহলে জমে ওঠে

শহরের রাজপথে যান্রিক কোন সুরে

এই ঝড়ো সংলাপে,

এই সুপ্রভাত, রুক্ষ চায়ের কাপে ……

একদিন হাঁটছি আমরা ক’জন

আমাদের কেউ কেউ উচ্ছাসে, এই রোদেলা দুপুরে

ধুলোমাখা পথঘাট, ধুলোমাখা শরীর

ধুলোয় ধূসর আমরা ক’জন

ঠিক দুপুরে, রাস্তায় হাঁটছি ……

৩

সুপ্রভাত একদিন আমাদের ….."
Zia,বাস স্টপেজ,"নার্সারি ছারিয়ে, চৌরাস্তার মোড়ে

বাস স্টপেজ…… ফুলস্টপ হয়ে দাঁড়িয়ে

বুকে জমা পোষ্টার- আর্ট গ্যালারির মতো উদাসীন

বখাটে কারো সেল নাম্বার- বিজ্ঞাপন হয়ে বিব্রত

কড়া পারফিউম অযথা সুবাস বাতাসে

ক্লান্তিহীন ছুটছে কিছু বিরতিহীন বাস

চকচকে পিচে বেরসিক বৃষ্টি নাম লিখে গেছে

সন্ধানী হকার খুঁজে বেড়ায় গাড়ীযাত্রী কোনো হাসিমুখ

এই সন্ধায়, রাস্তায়, দাঁড়িয়ে আছে

কিছু স্বপ্ন বিক্রি করে যারা

জানলোনা কিছুতেই, ঝুলছে আকাশভরা তারা ।।

কিশোরীর হাতে ফুলের সুবাস, ছুঁয়ে দিতে চায় চকচকে গ্লাস

বৃষ্টির ছাঁটে ভেজা পলিথিন, মিরপুর যাবে বিরতিহীন

বিবর্ণ ঠোঁটে সাইনবোর্ড হাসি, বলছে প্রেমিকা “তোমায় ভালবাসি”

চাক্ষুস সাক্ষী রাস্তার মোড়ে, নার্সারি ছারিয়ে একটু দূরে

বিজ্ঞাপন হয় এক্স সুন্দরী

বাস স্টপেজে আসে ইচ্ছে ঘুড়ি

বিক্রি হয় কতো কমিক কমিক সিরিজ

উদাস বিজ্ঞাপনে কাঁটে পণ্য রিলিজ

এই সন্ধায়, রাস্তায়, দাঁড়িয়ে আছে

কিছু স্বপ্ন বিক্রি করে যারা

জানলোনা কিছুতেই, ঝুলছে আকাশভরা তারা ।।"
Zia,বুলেট কিংবা কবিতা,"নিয়ন আলোর রাজপথে টিএসসির মোড়ে চায়ের দোকানে

বুলেট কিংবা কবিতায়, যদি ফেরার পথে ভুল হয়ে যায়……

মাঝে মাঝে সবুজ পতাকা, দু’হাতের মাঝে বন্দী

অজস্র কবিতায় আর গানে, জ্বলে জ্বলে নিঃশেষ

কবি আর কবিতা রাজপথ ছুঁয়ে যায়

কতশত কবি এমনই এক টিএসসির মোড়ে

প্রতিরাতের উদাস চাঁদ দেয়াল লেখা থেকে দুঃখ কেনে

যদি ফেরার পথে ভুল হয়ে যায়

অসময়ে, অন্ধকারে, দেয়াল জুড়ে বর্ণমালার মিছিল,

ক্লান্ত করুণ চোখে ……

শ্লোগান শ্লোগান আর মিছিলের নগরে, টিএসসির নিঃশ্বাস

বুলেট কিংবা কবিতার খাতায়, কবি আর কবিতার খুন হওয়ার আশ্বাস

দেয়াল লেখা থেকে বর্ণমালা যদি আলোর মিছিল হয়ে যায়

টিএসসির মোড়, রাতের রাজপথ বুলেট কিংবা কবিতায়

যদি ফেরার পথে ভুল হয়ে যায় ……

মৃত কবিদের কবিতার আসরে, ছবি হয়ে থাকেনা রাতের রাজপথ

পল্টন ময়দান, টিএসসির মোড়, জনসমাবেশ আর বিশাল অবরোধ

এই অবসরে দেয়াল লেখা যদি মানচিত্র হয়ে যায়

অজস্র কবিতার জনসমাবেশ থেকে বুলেট কিংবা কবিতায়

যদি ফেরার পথে ভুল হয়ে যায় ……"
Zia,বন্ধ জানালা,"আরেকবার যেতে চাই রিম ঝিম ঝিম সুদূরপুর

অবাক রোদ ভেজা তপ্ত দুপুর

আরেকবার তোমাদের লাল, নীল রং আনন্দে

একলা রাস্তায় এক চিলতে রোদ্দুর।

সারা বেলা বন্ধ জানালা

যদি তোমাদের অনেক শব্দ, আমার জানালায়

ছোট ছোট আনন্দের স্পর্শে, আঙ্গুল রেখে যায়

যদি সহস্র শব্দের উৎসব থেমে যায়

সারা বেলা বন্ধ জানালা

যদি তোমাদের লাল নীল গল্প আমার শরীরে,

কোন একলা রাস্তায় অবাক ভ্রমণে

যদি ইচ্ছের নীল রং আকাশ ছুঁয়ে যায়

সারা বেলা বন্ধ জানালা"
Zia,দ্বিতীয় জীবন,"অদৃশ্য চাদরে, দিগন্ত রেখায় বসে আছে সে,

অসংখ্য অনাবিল, পথ পেরিয়ে আশার স্মৃতির ভীড়ে-

রূপালী চাঁদের আলোয় জড়িয়ে থাকা সেই পিচঢালা পথ,

বিষন্ন চারিধার, ছড়িয়ে থাকা মৃদু কুয়াশা-

বিষন্ন ধোঁয়াশায় ধূসর স্মৃতি ঘিরে আছে, তাকে,

আঁধার লহরীর নীল সাজানো আকাশ ছুঁয়ে

জোছনা ভাঙা বালুচরে হারিয়ে যাওয়া,

মনে পড়ে যায় ফেলে আসা পথ পেরিয়ে, সোনালী প্রহর

তবুও সবুজ পথ পেরিয়ে, অসীম ছায়াপথ নিমেষে ছাড়িয়ে,

অবাক বিস্ময়ে।

জীবন স্নৃতি যেন এলোমেলো হয়ে উড়ে যায় একই পলকে,

একই নিমেষে।

তোমায় স্বাগত জানাই, ঝড়া পাতার মত সন্ধ্যায়,

আলোময় বিচরন, দ্বিতীয় জীবন,

ছায়াময় মননে, অবাক নয়নে,

ছায়া সুনিবিড়, বিস্ময়ে দেখি,

দ্বিতীয় জীবন, দ্বিতীয় জীবন।"
