word,paragraph
অর্ধদগ্ধ,"শব্দ: অর্ধদগ্ধ

বৈশাখের দাবদাহে প্রকৃতি তখন রুক্ষ হয়ে উঠেছে। মাঠের ঘাসগুলো শুকিয়ে খড়খড়ে, আর গাছের পাতাগুলো ধুলোয় মলিন। দিগন্তের দিকে তাকালে মনে হয় যেন একটা আবছা কুয়াশা লেগে আছে। গতকাল রাতে গ্রামের প্রান্তে একটি ঝুপড়ি ঘরে আগুন লেগেছিল। কিভাবে লেগেছিল, তা এখনও রহস্য। তবে আগুনে ঘরটির সবকিছু পুড়ে ছাই হয়ে গেছে। আজ সকালে সেখানে গিয়ে দেখলাম, ঘরের কাঠামোটা এখনও আধপোড়া অবস্থায় দাঁড়িয়ে আছে - একটা কঙ্কালের মতো। বাঁশের খুঁটিগুলো অর্ধদগ্ধ হয়ে বীভৎস দেখাচ্ছে। পোড়া কাঠ আর ছাইয়ের গন্ধে বাতাস ভারী হয়ে আছে। ঘরের মালিক বৃদ্ধ Rahim মিয়া নির্বাক হয়ে তার সর্বস্ব হারানো ভিটের দিকে তাকিয়ে ছিলেন। তার চোখমুখে হতাশার ছাপ স্পষ্ট। প্রতিবেশীরা তাকে সান্ত্বনা দেওয়ার চেষ্টা করছে, কিন্তু Rahim মিয়ার বুকের ভেতরটা যেন জ্বলছে। অর্ধদগ্ধ স্বপ্ন আর স্মৃতিগুলো যেন তাকে তাড়া করছে। এই বয়সে আবার নতুন করে জীবন শুরু করা তার জন্য কতটা কঠিন, তা কেবল তিনিই জানেন। পোড়া ভিটের দিকে তাকিয়ে Rahim মিয়া দীর্ঘশ্বাস ফেললেন। প্রকৃতির এই রুদ্র রূপের কাছে মানুষ বড়ই অসহায়।
"
অর্ধযতি,"শব্দ: অর্ধযতি

অনুচ্ছেদ:

গ্রামের পথ ধরে হাঁটতে হাঁটতে হঠাৎ থমকে দাঁড়ালাম, যেন কোনো অদৃশ্য অর্ধযতি আমাকে থামিয়ে দিলো। দিগন্ত বিস্তৃত সবুজ ধানের ক্ষেত, তার মাঝে সরু আলপথ—মনটা এক শান্ত স্নিগ্ধতায় ভরে গেল। এই পথেই তো কত স্মৃতি, কত গল্প জমা আছে। ছোটবেলার বন্ধুদের সাথে দলবেঁধে স্কুলে যাওয়া, বর্ষার দিনে কাদা মেখে ফুটবল খেলা—সব যেন চোখের সামনে জীবন্ত হয়ে উঠলো। সময়ের স্রোতে অনেক কিছুই বদলে গেছে, তবুও এই পথটা আগের মতোই আছে। একটা সময় ছিল যখন এই পথ ধরে হেঁটে গেলেই বাবার হাত ধরে বাড়ি ফেরার তাড়া থাকতো, মায়ের হাতের গরম ভাত আর গল্প শোনার লোভ সামলানো যেত না। আজ বাবা নেই, মায়ের চোখেও বিষাদের ছায়া, যেন জীবনের অনেকখানি পথ তিনি একা হেঁটে এসেছেন। স্মৃতির ভারে মনটা ভারী হয়ে আসে, একটা দীর্ঘশ্বাস বুকের ভেতর জমাট বাঁধে। অর্ধযতি যেন আমাকে স্মৃতির রাজ্যে ডুব দিয়ে নিজের অস্তিত্ব অনুভব করতে শেখায়। আবার মনে হয়, জীবনের এই পথচলায় প্রতিটি বাঁক, প্রতিটি মোড় যেন এক একটি অর্ধযতি—যা আমাদের থামতে, ভাবতে এবং নতুন করে শুরু করতে শেখায়। প্রকৃতির এই নীরবতা যেন এক গভীর বার্তা বয়ে আনে, যা জীবনের অর্থ নতুন করে খুঁজে নিতে সাহায্য করে। তাই, পথের মাঝে এই অর্ধযতি যেন জীবনের এক নতুন সুর।
"
অশ্রুধারা,"অশ্রুধারা

বৃষ্টি থেমে গিয়েছিল অনেকক্ষণ, কিন্তু প্রকৃতির মন তখনও ভেজা। গাছের পাতা থেকে টুপটাপ করে পড়ছিল জল, যেন তাদেরও বিচ্ছেদের কষ্ট লেগে আছে। আজ শুভ্রর বাবার প্রথম মৃত্যুবার্ষিকী। শুভ্র এক বছর আগের এই দিনে ফিরে গেল। মনে পড়ল, কিভাবে তার বাবার হাসিমাখা মুখটা নিস্তেজ হয়ে গিয়েছিল। হাসপাতালের সাদা চাদরে ঢাকা বাবার শরীরটা দেখে প্রথমে বিশ্বাস করতে পারেনি।

আজ বাবার পছন্দের সাদা পাঞ্জাবি পরে সে গ্রামের বাড়ি এসেছে। বাবার কবরের পাশে দাঁড়িয়ে চোখ বুজতেই স্মৃতির পাতাগুলো জীবন্ত হয়ে উঠলো। তাদের কত গল্প, কত খুনসুটি! বাবার হাত ধরে প্রথম স্কুলে যাওয়া, বাবার কাঁধে চড়ে মেলা দেখা - সবকিছু যেন চোখের সামনে ভাসছে। বুকটা হঠাৎ করেই হু হু করে উঠলো। চোখ control করতে পারলো না। অজস্র স্মৃতি ভিড় করে আসতেই দু'চোখ বেয়ে নেমে এলো অশ্রুধারা। এ যেন শুধু চোখের জল নয়, এ হল এক বছরের জমানো শোকের বহিঃপ্রকাশ। অশ্রুধারা নীরবে জানান দিচ্ছিল, সময় সবকিছু ভোলাতে পারে না। কিছু সম্পর্ক, কিছু স্মৃতি হৃদয়ে চিরস্থায়ী হয়ে থাকে। শুভ্র বাবার আত্মার শান্তি কামনা করলো এবং মনে মনে বলল, ""বাবা, আমি তোমাকে খুব miss করি।""
"
অনন্যধর্মা,"অনন্যধর্মা

বর্ষার বিকেলে মেঘগুলো যখন পাহাড়ের গায়ে ধাক্কা মারছিল, তখন শান্তিনিকেতনের খোয়াইয়ের পথ ধরে হাঁটছিলাম আমি। লাল মাটির পথ, দুপাশে শাল গাছের সারি, আর দূরে দিগন্ত বিস্তৃত প্রান্তরের হাতছানি—সব মিলিয়ে এক অপার্থিব দৃশ্য। হঠাৎ আমার চোখ গেল একটি আশ্রমের দিকে। সাধারণ আশ্রম থেকে তার বৈশিষ্ট্য আলাদা। ভেতরে ঢুকতেই চোখে পড়ল একটি প্রাচীন বটগাছ, যা বহু বছর ধরে দাঁড়িয়ে আছে। আশ্রমের আবাসিকেরা জানালেন, এটি একটি ""অনন্যধর্মা"" প্রতিষ্ঠান। 

""অনন্যধর্মা"" অর্থাৎ যেখানে কোনো বিশেষ ধর্ম বা সম্প্রদায়ের অনুশাসন নেই, বরং মানুষ হিসেবে প্রত্যেকের ভেতরের মানবতাকে জাগিয়ে তোলাই এখানকার মূল লক্ষ্য। আশ্রমের প্রতিষ্ঠাতা ছিলেন একজন প্রখ্যাত দার্শনিক, যিনি বিশ্বাস করতেন, ধর্ম মানুষকে বিভক্ত করে, আর মানবতা unifies বা একত্রিত করে। এখানে জাতি, ধর্ম, বর্ণ নির্বিশেষে সকলের প্রবেশাধিকার অবাধ। সকলে একসাথে যোগা করে, গান শেখে, এবং প্রকৃতির সান্নিধ্যে নিজেদের খুঁজে ফেরে। 

আশ্রমের পরিবেশ এতটাই শান্ত এবং স্নিগ্ধ যে, শহরের কোলাহল থেকে দূরে এখানে এসে মন আপনাআপনিই শান্তি খুঁজে পায়। এখানকার মানুষেরা যেন এক নতুন পৃথিবীর স্বপ্ন দেখে, যেখানে হিংসা, বিদ্বেষের কোনো স্থান নেই। ""অনন্যধর্মা""-র এই ধারণা আমাকে গভীরভাবে আলোড়িত করলো। মনে হলো, এই পৃথিবীতে এমন আরও অনেক ""অনন্যধর্মা"" আশ্রমের প্রয়োজন, যেখানে মানুষ ধর্ম নয়, বরং মানবতাকে আঁকড়ে ধরে বাঁচতে শিখবে।

"
অনুপপন্ন,"অনুপপন্ন একটি সিদ্ধান্তের দিকে তাকিয়ে আমি আজ বিষণ্ণ মনে বারান্দায় দাঁড়িয়ে। শরতের আকাশ মেঘলা, যেন কোনো প্রশ্নের উত্তর দিতে অপারগ। আমার মনে ঘুরপাক খাচ্ছে সেই পুরোনো দিনের কথা, যখন জীবন ছিল সরলরেখার মতো। জটিলতা নামক শব্দটি তখনো আমার কাছে ছিল সম্পূর্ণ রূপে অনুপপন্ন।

বাবা চেয়েছিলেন আমি ডাক্তার হই, মা চাইতেন ইঞ্জিনিয়ার। কিন্তু আমার মন পড়ে থাকত সাহিত্য আর সঙ্গীতের আঙিনায়। তাদের স্বপ্ন আর আমার ইচ্ছের মাঝে এক বিশাল দ্বন্দ্ব তৈরি হয়েছিল। আমি কোনোদিনই তাদের বোঝাতে পারিনি যে, আমার ভালো লাগার জগৎটা কতটা আলাদা। তাদের চোখে আমি ছিলাম একজন ব্যর্থ সন্তান, যে তাদের আশা পূরণ করতে পারেনি।

আজ যখন আমি আমার পছন্দের কাজ করি, খ্যাতিও পেয়েছি কিছু, তখনও মনে হয় যেন কোথাও একটা অপূর্ণতা রয়ে গেছে। হয়তো বাবা-মায়ের মুখে হাসি দেখতে না পাওয়ার সেই কষ্ট আজও আমাকে তাড়া করে ফেরে। তাদের অপূর্ণ স্বপ্নগুলো যেন আজও বাতাসে ভাসে, আর আমি চেয়ে থাকি দূর আকাশের দিকে, যেখানে হয়তো মিলবে সকল অনুত্তরিত প্রশ্নের উত্তর। জীবনের এই গোলকধাঁধাঁয়, কিছু কিছু অনুভূতি হয়তো চিরকালই অনুপপন্ন থেকে যায়।
"
অদ্বৈতবাদিনী,"শব্দ: অদ্বৈতবাদিনী

অদ্বৈতবাদিনী দর্শনের মূল কথা হলো সবকিছু এক এবং অভিন্ন সত্তার প্রকাশ। এই মতবাদ অনুসারে, জগৎ এবং ব্রহ্ম অভিন্ন; কোনোরূপ দ্বৈততা এখানে নেই। প্রাচীনকালে ভারতবর্ষে এই দর্শনের উদ্ভব হয়েছিল, যা আজও বহু মানুষকে প্রভাবিত করে। অদ্বৈতবাদিনী একজন নারী, যিনি এই অদ্বৈত দর্শনে বিশ্বাস করেন এবং এর প্রচার ও প্রসারে নিজেকে উৎসর্গ করেছেন। তিনি মনে করেন, মানুষের ভেতরের অহংবোধই সব বিভেদের মূল কারণ। এই অহংবোধ দূর হলেই মানুষ বুঝতে পারে যে, তারা সবাই একই সূত্রে বাঁধা। অদ্বৈতবাদিনী নারীর জীবনযাপন অত্যন্ত সরল ও সাদাসিধে হয়। তিনি পার্থিব সুখ ও মোহ ত্যাগ করে আত্মজ্ঞানের সন্ধানে নিমগ্ন থাকেন। সমাজের নানান স্তরের মানুষ তার কাছে আসে শান্তি ও মুক্তির পথ জানতে। তিনি তাদের বোঝান, ভেদাভেদ ভুলে গিয়ে কিভাবে একাত্ম হওয়া যায়। তার মতে, প্রতিটি জীবের মধ্যেই সেই পরমাত্মা বিরাজমান, তাই সকলকেই ভালোবাসতে হবে, সম্মান করতে হবে। অদ্বৈতবাদিনীর জীবন এক উজ্জ্বল দৃষ্টান্ত, যা আমাদের শেখায় কিভাবে সংকীর্ণতা কাটিয়ে বৃহত্তর একত্বের পথে অগ্রসর হওয়া যায়।"
অচ্ছ,"অচ্ছ একটি সুন্দর, শান্ত গ্রাম। সবুজ ধানক্ষেত আর সরু মেঠো পথ গ্রামের সৌন্দর্যকে আরও বাড়িয়ে দিয়েছে। গ্রামের পাশ দিয়ে বয়ে যাওয়া ছোট নদীটি দেখলে মনে হয় যেন একটি রূপালী ফিতা। নদীর জল এতটাই অচ্ছ যে এর তলদেশ পর্যন্ত দেখা যায়। ছোট ছোট মাছেরা খেলা করে, আর নানা রঙের নুড়ি পাথরগুলো চিকচিক করে। গ্রামের মানুষজন খুব সহজ সরল এবং অতিথিপরায়ণ। তারা সকলে মিলেমিশে থাকে, একে অপরের সুখে দুঃখে এগিয়ে আসে। অচ্ছ গ্রামের শিশুরা সকালে পাখির ডাকে ঘুম থেকে ওঠে, তারপর একসাথে খেলাধুলা করতে যায়। গ্রামের পাশেই একটি পুরোনো বটগাছ আছে, যেখানে প্রতি বিকেলে গ্রামের লোকেরা গল্পগুজব করে। সন্ধ্যায় নদীর ঘাটে বসে তারা গান গায়, আর সেই সুর পুরো গ্রাম জুড়ে ছড়িয়ে পরে। অচ্ছ গ্রাম যেন প্রকৃতির এক নীরব কবিতা, যেখানে জীবনের ছন্দ ধীরে ধীরে বয়ে চলে। শহুরে জীবনের কোলাহল থেকে দূরে এই গ্রামটি শান্তি ও প্রকৃতির এক অনন্য উদাহরণ।
"
অঙ্গাচ্ছাদিত,"শব্দ: অঙ্গাচ্ছাদিত

 শীতের সকালে নদীর ঘাটে কুয়াশার চাদর বিছানো ছিল, সবকিছু যেন অঙ্গাচ্ছাদিত। চারপাশের গাছপালা ধূসর বর্ণ ধারণ করেছে, তাদের ডালপালা শিশিরে ভেজা। দূরে একটি জেলে নৌকা দেখা যাচ্ছিল, তবে কুয়াশার কারণে সেটিও প্রায় অঙ্গাচ্ছাদিত। শীতে কাতর কয়েকজন মানুষ ঘাটের পাশে আগুন পোহাচ্ছিল, তাদের শরীর গরম কাপড়ে অঙ্গাচ্ছাদিত থাকলেও মুখগুলো লাল হয়ে ছিল। একটি ছোট ছেলে মায়ের কোলে মাথা গুঁজে বসে ছিল, তার সারা শরীর মায়ের কাপড়ের নিচে অঙ্গাচ্ছাদিত। নদীর ঠান্ডা হাওয়া শরীরে কাঁপন ধরাচ্ছিল, মনে হচ্ছিল যেন শীতের তীব্রতা আজ একটু বেশিই। ঘাটের কয়েকটি কুকুর নিজেদের শরীর গুটিয়ে গোল হয়ে শুয়ে ছিল, তাদের শরীরগুলো কুয়াশার আবরণে প্রায় অঙ্গাচ্ছাদিত। একজন বৃদ্ধ ধীরে ধীরে নদীর দিকে এগিয়ে গেলেন, তার লাঠির ঠুকঠুক শব্দ কুয়াশার স্তব্ধতা ভাঙছিল। সম্ভবত তিনি স্নান করতে যাচ্ছিলেন, এমন ঠান্ডায় তার অঙ্গাচ্ছাদিত শরীর দেখে সাহস সঞ্চয় করা কঠিন। শীতের এই সকালে অঙ্গাচ্ছাদিত প্রকৃতি এক ভিন্ন রূপ ধারণ করেছে, যা একইসঙ্গে সুন্দর ও কিছুটা বিষণ্ণ।
"
অসহযোগ,"অসহযোগ

অসহযোগ একটি শক্তিশালী প্রতিবাদ কৌশল। ১৯২০ সালে গান্ধীজী অসহযোগ আন্দোলনের ডাক দিয়েছিলেন। এর মূল উদ্দেশ্য ছিল ব্রিটিশ সরকারের প্রতি ভারতীয়দের সমর্থন প্রত্যাহার করে নেওয়া। এই আন্দোলনের পথ ছিল শান্তিপূর্ণ। যেখানে কোনো রকম হিংসাত্মক কার্যকলাপের স্থান ছিল না। সরকারি কাজকর্ম, শিক্ষা প্রতিষ্ঠান এবং বিদেশি দ্রব্য বর্জন করার মাধ্যমে এই অসহযোগিতা প্রকাশ করা হয়। এর ফলে ব্রিটিশ সরকার বেশ বেকায়দায় পড়ে যায়। ধীরে ধীরে এই আন্দোলন সারা দেশে ছড়িয়ে পরে এবং সাধারণ মানুষ স্বতঃস্ফূর্তভাবে এতে অংশ নেয়। অসহযোগ আন্দোলনের মাধ্যমে ভারতীয়দের মধ্যে এক নতুন জাতীয়তাবোধের উন্মেষ ঘটেছিল। যদিও চৌরিচৌরার ঘটনায় হিংসা ছড়িয়ে পড়লে গান্ধীজী এই আন্দোলন প্রত্যাহার করে নেন, তবুও এর তাৎপর্য ছিল সুদূরপ্রসারী। এই আন্দোলন প্রমাণ করে যে ঐক্যবদ্ধ থাকলে অহিংস অসহযোগিতার মাধ্যমেও শক্তিশালী প্রতিপক্ষের ভিত নাড়ানো সম্ভব।
"
অনির্দেশ,"অনির্দেশ্যতা জীবন নামক এক বিশাল ক্যানভাসের মত, যেখানে প্রতিটি মানুষের পথ ভিন্ন ভিন্ন রঙে আঁকা। আমার জীবনের প্রথম চাকরিটা যখন ছেড়ে দেওয়ার সিদ্ধান্ত নিলাম, তখন চারদিকে এক প্রকার অনির্দেশ ভবিষ্যৎ হাতছানি দিচ্ছিল। কোথায় যাব, কী করব - কোনো কিছুই স্পষ্ট ছিল না। মনে হচ্ছিল যেন এক উত্তাল সমুদ্রের মাঝে দিকভ্রান্ত নাবিক আমি। এই অনিশ্চয়তা একদিকে যেমন ভয়ের জন্ম দিচ্ছিল, তেমনই অন্য দিকে নতুন কিছু করার হাতছানি দিচ্ছিল।

পরিবারের লোকজন যথেষ্ট দুশ্চিন্তাগ্রস্ত ছিলেন, তাদের চোখেমুখে ছিল গভীর অনিশ্চয়তার ছাপ। তাদের মনে একটাই প্রশ্ন ঘুরপাক খাচ্ছিল - এরপর কী হবে? সমাজের চোখেও আমি তখন একজন ব্যর্থ মানুষ, যে কিনা প্রতিষ্ঠিত একটা চাকরি ছেড়ে অনিশ্চিত পথে পা বাড়িয়েছে। কিন্তু আমি জানতাম, ভেতরের সেই শিল্পীসত্ত্বাকে বাঁচিয়ে রাখতে হলে এই অনির্দেশ ভবিষ্যতের পথেই হাঁটতে হবে। সেই সময় অনির্দিষ্ট পথে হেঁটেছিলাম বলেই আজ আমি একজন সফল ফ্রিল্যান্সার। সেই অনির্দেশতাই আমাকে নতুন পথের সন্ধান দিয়েছিল, শিখিয়েছিল কীভাবে নিজের স্বপ্নকে সত্যি করতে হয়। আজ আমি সেই দিনের সিদ্ধান্তকে কুর্নিশ জানাই।
"
