Writer,Title,Song,syn_prompt
Ahmed Imtiaz Bulbul,ওগো আমার সুন্দর মানুষ,"ওগো আমার সুন্দর মানুষ,

একটা কথা শোন…

তুমি বিনা আমার তো,

নাই গতি কোন…

তুমি আমার জানের জান,

করো না অভিমান..

ভালবেসে দিতে পারি,

তোমায় আমি এই প্রান..

দোহায় লাগে সুন্দর মানুষ,

একটা কথা মান…

তুমি আমার বিনা আমার তো.

নাই গতি কোন…

করো না অবহেলা,

দিও না এত জ্বালা..

মরে গেলে বলো তোমায়,

কে পড়াবে মালা…

এখন থেকে মিলনের ক্ষন,

শুধুই তুমি গোন,

তুমি বিনা আমার তো,

নাই গতি কোন…",
Ahmed Imtiaz Bulbul,তোমাকে চাই শুধু তোমাকে চাই,"তোমাকে চাই, শুধু, তোমাকে চাই

আর কিছু জীবনে পাই বা না পাই

বাঁধনহারা মনটা আমার, শাসন-বারণ মানে না

তোমারই প্রেমে পাগল পরাণ, আর কিছু তো জানে না

চোখের স্বপন তুমি, বুকের কাঁপন তুমি

কতো আপন তুমি, জানা নাই, নাই

সারাটি জীবন, ছায়ার মতন, আমার পাশে থাকো না

বুকের ঘরে, যতন করে, আমাকে তুমি রাখো না

আমার জীবন তুমি, আমার মরণ তুমি

কতো আপন তুমি, জানা নাই, নাই",
Ahmed Imtiaz Bulbul,ও আমার মন কান্দে,"ও আমার মন কান্দে

ও আমার প্রান কান্দে।।

বন্ধুর লাগিয়া আমার চোখ কান্দেরে

বন্ধু বিহনে নিশিরাত কান্দেরে।।

অন্তরে অন্তরে কান্দে পীড়িতি আমার

রজনী ঘিরিয়া কান্দে মেঘের আন্ধার।

কী ভুলে হারাইলাম আমি। সোনা চান্দরে।।

চান্দেরই কারণে হইল কলঙ্ক আমার

নয়ন ভাসিয়া গেল চন্দ্রমল্লিকার।

সেই জলে ভাসাইলাম আমি। প্রেম ডিঙ্গারে।।",
Ahmed Imtiaz Bulbul,সুন্দর সুবর্ণ তারুন্য লাবন্য,"সুন্দর সুবর্ণ তারুন্য লাবন্য

অপূর্ব রূপসী রূপেতে অনন্য।

আমার দু’চোখ ভরা স্বপ্ন

ও দেশ তোমারই জন্য।।

থাকবে নাতো দুঃখ দারিদ্র

বিভেদ-বেদনা-ক্রন্দন।।

প্রতিটি ঘরে একই প্রশান্তি

একই সুখের স্পন্দন।।

তোমার জন্য হবো দুরন্ত

তোমার জন্য শান্ত

প্রহরী হয়ে দেব পাহারা

যেথায় তোমার সীমান্ত।।",
Ahmed Imtiaz Bulbul,আমার বুকের মধ্যেখানে,"আমার বুকের মধ্যেখানে মন যেখানে হৃদয় যেখানে

সেইখানে তোমাকে আমি রেখেছি কত না যতনে।।

তোমার বুকের মধ্যখানে মন যেখানে হৃদয় যেখানে

সেইখানে আমাকে রেখো আর কোথাও যাব না জীবনে

তোমায় নিয়ে নাও ভাসিয়ে যাব তেপান্তর ।।

ভালোবাসার ঘর বানিয়ে হব দেশান্তর

তোমার কত ভালোবাসি

বোঝাব বোঝাব কেমনে।।

আমার বুকের মধ্যেখানে মন যেখানে হৃদয় যেখানে

সাগরেরই টানে যেমন নদী ছুটে যায় ।।

তেমনি করে আমার এ মন

তোমায় পেতে চায়,

তুমি আমার জীবন তরী

তুমি আমার আলো নয়নে।।

আমার বুকের মধ্যেখানে মন যেখানে হৃদয় যেখানে

সেইখানে তোমাকে আমি রেখেছি কত না যতনে।।

তোমার বুকের মধ্যখানে মন যেখানে হৃদয় যেখানে

সেইখানে আমাকে রেখো আর কোথাও যাব না জীবনে",
Ahmed Imtiaz Bulbul,আমার বাবার মুখে প্রথন যেদিন,"আমার বাবার মুখে প্রথন যেদিন শুনেছিলাম গান

সেদিন থেকে গানই জীবন গানই আমার প্রেম

আমার মায়ের আদেশ বাবা মত গাইতে হবে গান

সেদিন থেকে গানই জীবন গানই আমার প্রেম

শিল্পীর ঘরে জন্ম তাই শিল্পী হয়েছি

সংগীতটাকে সারাজীবন সঙ্গী করেছি

জীবনে যত দুঃখ যত কষ্ট পেয়েছি

সুরের মাঝে ডুবে গিয়ে সবই ভুলেছি

এই গানই আমার জীবন মরণ গানই আমার কাজ।।

বাবা যেন আজো স্বর্গে বসে গাইছে সেই গান

এই গান শুনে সপেছিল মা বাবাকে মন প্রান

কোনদিন এই কন্ঠ যদি কখনও থেমে যায়

সেইদিন যেন মরণ এসে আমাকেও নিয়ে যায়

এই গানই আমার জীবন মরণ গানই আমার কাজ।।",
Ahmed Imtiaz Bulbul,এই জীবন একটা নদী ছিল,"এই জীবন একটা নদী ছিল

নদীতে প্রাণ নৌকা ছিল

নৌকাতে মন মাঝি ছিল

মাঝির হাতে বাঁশি ছিল

সেই বাঁশিতে ধরল যখন সুর

তুমি তখন যোজন যোজন দূর।।

চিতায় যেমন মানুষ পোড়ে

তেমনি করে পোড়ে আমার মন

সে ধোঁয়াতে জন্মেরে মেঘ

চোখেতে তাই বৃষ্টি সারাক্ষণ।।

এই চোখে এক আকাশ ছিল

আকাশ ভরা তারা ছিল

তারার মাঝে চাঁদটা ছিল

চাঁদের মাঝে আলো ছিল

সেই আলোতে ভাঙলো যেদিন রাত

দেখি তুমি ছেড়ে গেছ হাত।

মাটির তলায় মানুষ ঘুমায়

সেই ঘুম আমার চোখে রে

এই জগতে নাই রে আমি

চলে গেছি অন্যলোকে রে।।

এই মনে একটা বাগান ছিল

বাগানে এক গোলাপ ছিল

গোলাপের এক ভ্রমর ছিল

ভ্রমরের এক বন্ধু ছিল

দুই বন্ধুতে বুঝল যখন ভুল

ঝরে গেল অবুঝ গোলাপ ফুল।।",
Ahmed Imtiaz Bulbul,নদী চায় চলতে তাঁরা চায় জ্বলতে,"নদী চায় চলতে তাঁরা চায় জ্বলতে

আমার এই মনটা চায় মনের কথা বলতে হায়।

তুমি কি শুনবে বলো না শুনবে কী।

নদীটির ঐ ধারা আকাশের ঐ তাঁরা

তুমি গুনবে কি তুমি গুনবে কী

পথের এই প্রান্তে কি আছে জানতে

সাথে কি চলবে আজ

পথের কাঁটা দোলতে হায়, নদী চায় চলতে

তুমি কি বুঝবে বল না বুঝবে কী।

হৃদয়ের কোনখানে, কথা হয় কোন গানে

তুমি গুনবে কি তুমি গুনবে কী

পথের এই প্রান্তে কি আছে জানতে

সাথে কি চলবে আজ

পথের কাঁটা দোলতে হায়, নদী চায় চলতে।।",
Ahmed Imtiaz Bulbul,এই আছি এই নাই,"এই আছি এই নাই

বলো এই আছি এই নাই

দুদিন পরে কেউবা ধূলো

কেউবা হবো ছাই।

দিসনে ব্যাথা কারো মনে

দিসনে ব্যাথা ভাই।

ফুলের মত আয়ু মোদের। (ও ও…)

সময় বড় কম

চতুর্দিকে ঘুরছে রে যম

কেড়ে নিতে দম

হায়রে হাছন লালন বুঝি।

ঘর করে নি তাই

দিসনে ব্যাথা কারো মনে

দিসনে ব্যাথা ভাই।

জ্ঞানী গুণী মুনি ঋষি। (ও ও…)

বলেরে সদায়

মানুষকে যে ছোট ভাবে

স্বর্গ তাহার নাই

এই ভূবনে মিলে মিশে।

থাকো রে সবাই

দিসনে ব্যাথা কারো মনে

দিসনে ব্যাথা ভাই।",
Ahmed Imtiaz Bulbul,তুমি আমায় করতে সুখী,"তুমি আমায় করতে সুখী,

জীবনে অনেক বেদনাই সয়েছো

বলো না, কি সুখ তুমি পেলে?

তোমায় পেয়ে, পৃথিবী পেয়েছি, আমি পেয়েছি আলো,

গড়েছি প্রদ্বীপ, সেই আলো জ্বেলে

তুমি তো জীবন জুড়ে রয়েছো আমার

জানি না কতোটা আমি হয়েছি তোমার

তুমি যে আমার সেই সুখের জোয়ার

সবুজ হয় গো মাটি, যে ঢেউ এলে

গড়েছি প্রদ্বীপ, সেই আলো জ্বেলে

দিয়েছি তোমায় আমি শুধুই জ্বালা

সে জ্বালা হয়েছে মোর গলার মালা

কোথাও সীমানা নেই, যে ভালোবাসার,

সে প্রেমে আমায় তুমি ভরে যে গেলে

বলো না, কি সুখ তুমি পেলে?",
Ahmed Imtiaz Bulbul,আমার দুই চোখে দুই নদী,"আমার দুই চোখে দুই নদী ।।

তুমি দুহাত ভোরে পানি নিও ।।

তৃষ্ণা লাগে যদি

আমার দুই চোখে দুই নদী।।

প্রেমের পাখি সবার বুকে মানে নারে পোষ

অবুঝের মত তোমায় কেনো দেব দোষ ।।

তোমার অনেক স্মৃতি অন্তরেতে

তোমার অনেক স্মৃতি অন্তরেতে জমা অদ্যাবধি

দুই চোখে দুই নদী

আমার দুই চোখে দুই নদী ।।

তুমি দুহাত ভোরে পানি নিও ।।

তৃষ্ণা লাগে যদি……

নিঃস্ব করে গেছো আমায় কিছুই আমার নেই

দুঃখ পেয়ে তোমায় ভাবি সুখ যে আমার এই ।।

আমি আজো দেখি তোমায় নিয়ে

আমি আজো দেখি তোমায় নিয়ে স্বপ্ন সপ্তপদী

দুই চোখে দুই নদী

আমার দুই চোখে দুই নদী ।।

তুমি দুহাত ভোরে পানি নিও তৃষ্ণা লাগে যদি

আমার দুই চোখে দুই নদী",
Ahmed Imtiaz Bulbul,মনটা যদি খোলা যেত,"মনটা যদি খোলা যেত

সিন্ধুকেরই মত

দেখাইতে পারিতাম তোমায়

ভালোবাসি কত

পাগল করিলা বন্ধু

কি যাদু করিলা রে

ও প্রাণ বন্ধু রে

ও সোনা বন্ধু রে

ও বন্ধুরে…হো…

ভাসাইলা ভাসাইলা মোরে

উথাল প্রেমের জোয়ারে

ও প্রাণ বন্ধু রে……ও সোনা বন্ধু রে

নাকের যেমন নোলক আছে

কানের আছে দুল রে

ফুলের যেমন ভ্রমর আছে

নদীর আছে কুল রে ।।

তুমি আমার জীবন তরী

আশারই দরিয়া রে

ও প্রাণ বন্ধু রে……ও সোনা বন্ধু রে

মনটা যদি খোলা যেত

সিন্ধুকেরই মত

দেখাইতে পারিতাম তোমায়

ভালোবাসি কত

পাগল করিলা বন্ধু

কি যাদু করিলা রে

ও প্রাণ বন্ধু রে……ও সোনা বন্ধু রে…।।

ও বন্ধুরে…হো…

ভাসাইলা ভাসাইলা মোরে

উথাল প্রেমের জোয়ারে

ও প্রাণ বন্ধু রে……ও সোনা বন্ধু রে",
Ahmed Imtiaz Bulbul,পড়েনা চোখের পলক,"পড়েনা চোখের পলক

কি তোমার রূপের ঝলক

দোহাই লাগে মুখটি তোমার

একটু আঁচলে ঢাকো

আমি জ্ঞান হারাবো

মরেই যাবো

বাঁচাবে পারবেনাকো

কাজল কালো ঐ দুটি চোখ

ও চোখে যাদু আছে

চোখের আড়াল হতে গেলেই

পড়ে যাই চোখের কাছে

গোলাপ রাঙা ঠোঁটে তোমার

মায়াবী মধুর হাসি

একটু হেসেই পরাতে পারো

হাজারো গলায় ফাঁসি

সবাই তোমায় চাইতে পারে

নিজেকে লুকিয়ে রাখো

রেশমনরম তোমার চুলে

একটু শীতল বাতাস

পাগল এ মন পাবার আশায়

করছে যেন হুতাশ

পূর্ণিমা চাঁদ অঙ্গ তোমার

অঙ্গে সোনার গতিক

একেই বলে অপরূপা

অপূর্ব রূপবতী

তোমায় নিয়ে অনেক বিপদ

এবুকের মাঝে থাকে",
Ahmed Imtiaz Bulbul,আমার সারাদেহ খেয়ো গো মাটি,"আমার সারাদেহ খেয়ো গো মাটি

এই চোখ দুটি মাটি খেয়ো না

আমি মরে গেলেও তারে দেখার সাধ

মিটবে না গো মিটবে না

তারে এক জনমে ভালোবেসে

ভরবে না মন ভরবে না

ওরে… ইচ্ছে করে বুকের ভিতর

লুকিয়ে রাখি তারে

যেন না পারে সে যেতে

আমায় কোনদিনও ছেড়ে

আমি এই জগতে তারে ছাড়া

থাকবো নারে থাকবো না

তারে এক জনমে ভালোবেসে

ভরবে না মন ভরবে না

ওরে… এই না ভুবন ছাড়তে হবে

দুইদিন আগে পরে

বিধি, একই সঙ্গে রেখো মোদের

একই মাটির ঘরে

আমি এই না ঘরে থাকতে একা

পারবো নারে পারবো না

তারে এক জনমে ভালোবেসে

ভরবে না মন ভরবে না",
Ahmed Imtiaz Bulbul,একাত্তরের মা জননী,"একাত্তরের মা জননী, কোথায় তোমার

মুক্তি সেনার দল।

যারা অস্ত্র হাতে ধরেছিলো,

মাগো তোমার তরেই মরেছিলো।

ও মা যাদের ভয়ে পালিয়েছিলো শত্রু

সেনার দল।

ও………. মা!

একাত্তরের মা জননী . . .

আজো কেনো তোমার বুকে জ্বলছে আগুন,

চলছে গুলি, মরছে মানুষ।

জবাব তোমায় দিতেই হবে মাগো,

জবাব তোমায় দিতেই হবে মা।

সন্ত্রাসীদের

হাতে কেনো জিম্মি তুমি, স্বদেশ

আমার মাতৃভূমি।

জবাব তোমায় . . .

কেনো বিদ্যালয়ে ফুটছে বোমা, এই

কি পেলাম শিক্ষা ও মা।

লাঞ্ছিত আজ শিক্ষা গুরু,

চোখে দুঃখের জল।

ও……….. মা ।

আজো কেনো তোমার

বুকে ঘুরছে তারা, একাত্তরের দালাল

যারা।

জবাব তোমায় . . .

লাখো লাখো শহীদ কেনো রক্ত দিলো,

এই কি তাদের স্বপ্ন ছিলো।

জবাব তোমায় . . .

ও মা রক্তে ভেজা এই না মাটি, জীবন

দিয়ে রাখবো খাটি।

শপথ নিলাম আজকে তরুণ ছাত্র-ছাত্রী দল।

ও………..মা।

একাত্তরের মা জননী . . .",
