Writer,Title,Song
Deowan Nazrul Islam,চুমকি চলেছে একা পথে,"চুমকি চলেছে একা পথে

সঙ্গী হলে দোষ কি তাতে

রাগ করো না সুন্দরী গো

রাগলে তোমায় লাগে আরও ভাল

সুন্দরী চলেছে একা পথে

(হাট শালা)

মুখেতে গালি

মিঠা মিঠা হেঁয়ালি

যত খুশি গালাগালি কর লাগে ভাল

আমাকে পাশে নিয়ে চল না

মিষ্টি করে তুমি বল না

তোমাকে যে আমি ভালবাসি।।

(চোর বদমাশ)

ও টাঙ্গাওয়ালী রাগ কর খালি

চাবুক রেখে আমার হাত ধর সেই ভাল।

একা একা এই পথে চলোনা

আর কারও নজরে পড়োনা

তাহলে যে মরে যাব আমি।।"
Deowan Nazrul Islam,মোছু আংকেল ম্যাও ম্যাও,"মোছু আংকেল ম্যাও ম্যাও

মোটা আংকেল হাতি

লম্বু আংকেল টারজেন

তুমি সবার সাথী

আমি সবার ওস্তাদ

তোমরা আমার সাগরেদ

চুরি করা ভাল না ম্যাও ম্যাও শোন

বেশি খাওয়া ভাল না মোটা আংকেল জেনো ।।

টারজান আংকেল বড়ই মুস্কিল

দুনিয়াটা জয় করা

আমি সবার ওস্তাদ

তোমরা আমার সাগরেদ

মোছু আংকেল ম্যাও ম্যাও

মোটা আংকেল হাতি

লম্বু আংকেল টারজেন

তুমি সবার সাথী

আমি রাজার রাজা মাথায় মুকুট নাই

তোমরা আমার প্রজা উজির নাজির নাই ।।

আমি স্বাধীন খেয়ে নিই রাতদিন ।।

চিন্তা ভাবনা নাই

তোমরা আমার সাগরেদ

আর আমি সবার ওস্তাদ

মোছু আংকেল ম্যাও ম্যাও

মোটা আংকেল হাতি

লম্বু আংকেল টারজেন

তুমি সবার সাথী"
Deowan Nazrul Islam,আমার মান তোমার মান,"আরে ও শেরে খান

আরে ও দিলবার খান

আমার মান তোমার মান এক সমান

ভায়ে ভায়ে যুদ্ধ করে হারাই কেন প্রাণ

তুমি আমি লড়াই করে হারাই কেন প্রান

শেরে খান ও দিলবার খান

দিলবার খান ও শেরে খান

এই তলোয়ার যার আছে

শাসন শোষন তার কাছে

আর কতকাল থাকবে এ দিন চাওয়া পাওয়ার দুনিয়াতে

রাজায় রাজায় যুদ্ধ করে প্রজার হয় মরণ

আরে ও শেরে খান

আরে ও দিলবার খান

আমার মান তোমার মান এক সমান

ভায়ে ভায়ে যুদ্ধ করে হারাই কেন প্রাণ

তুমি আমি লড়াই করে হারাই কেন প্রান

কেউ আছে রে নকল সাজে

এই জনতার কাছে কাছে

তারাই যে ভাই পেটটি ভরে

আছি যে ভাই অনাহারে

তুমি আমি মিছে মিছে হই পেরেশান

পেরেশান ও দিলবার খান

আরে ও শেরে খান

আরে ও দিলবার খান

আমার মান তোমার মান এক সমান

ভায়ে ভায়ে যুদ্ধ করে হারাই কেন প্রাণ

তুমি আমি লড়াই করে হারাই কেন প্রান

শেরে খান ও দিলবার খান

দিলবার খান ও শেরে খান"
Deowan Nazrul Islam,এই হাতে লেখা আছে,"এই হাতে লেখা আছে

কপালে বউ আছে, শোন

বরকে দেখে ঘোমটা টানো ।।

মানি না হাতের লেখা

ও কপাল শুধু ফাঁকা ।।

হবো না কারো বউ রানী

আরে কেটে পড় রাজা জনি

ওই কাজী লিখবে কাবিন নামা

বলো কত দেবো মোহরানা

আমার নাইতো আপন চাচা মামা

এই চাচাই হবে উকিল বাবা

আর বস্তি বাসী’রা সাক্ষী রবে

নিয়ে যাব কলমা পড়ে

মানি না হাতের লেখা

ও কপাল শুধু ফাঁকা ।।

হবো না কারো বউ রানী

আরে কেটে পড় রাজা জনি

ঐ ব্যাংকের কেরানী টাকা গোনে

আমি বসবো বিয়া তারি সনে

আমার স্বামী হবে ট্রাফিক নামে

যার হাতে মন্ত্রীর গাড়ী থামে

যেমন তেমন ঘরে আমরা যাবনা

যাবনারে চোরের ঘরে ।

এই হাতে লেখা আছে

কপালে বউ আছে, শোন

বরকে দেখে ঘোমটা টানো ।

তোর ঘরের কেরানী হবো আমি

আমি মেনে নিলাম তুই স্বামী

ডানে বামে চলবি আমার কথায়

ঘোমটা তুলে দে না আমার মাথায়

ওরে মারহাবা মারহাবা সানাই বাজাও

জোড়া বর জোড়া কন্যারে ।।

জোড়া বর জোড়া কন্যারে ।।"
Deowan Nazrul Islam,কেন রে চুমকি,"কেনরে চুমকি কথা কয় না

হায়রে হায় বিজলী আর চমকায় না

মুখে তে তালা মেরেছে

বিজলীতে চুম্বক ধরেছে

আগে দুই রানী পিছে রাজা জনি

বাঘের খাঁচায় দুটো হরিণ

নাচে রে বাঘ তা’ধীন তা’ধীন

সুন্দর বনের সুন্দরী গো

মনের বনে ঘর বাঁধো

করো না কো জোড়াজুড়ি

হার মানো তাড়াতাড়ি

ফাঁদে পড়েছ ছাড়া পাবে না।।

যতই রাগো মন্দ না

প্রেমেরই হাল ছাড়বো না

প্রেমের কাটা খোলা দায়

যদি একবার লেগে যায়

যত কর টানাটানি

হবে আরো কানা কানি

এসো করি ভাব কেউ জানবে না।।"
Deowan Nazrul Islam,আমি মোহাম্মদ আলী,"আমি মোহাম্মদ আলী

তিন মন ওজনের ঘুসি খেলে চোখে

দেখবে সরষে ফুলে

আমি ঐ ব্রুসলী

এই হাতে কুংফু ক্যারাত মেরে তোকে

নেবো মেডিকেল

ঘুঘু দেখেছ তুমি

আগলি কোব তো হায়রে দেখনি

এবার দেখে নাও

নারী অপহরনের দায়ে এখন তুই আসামী

সাজা দেখে নে

আলী ব্রুসলী আলী ব্রুসলী আলী ব্রুসলী

আলী ব্রুসলী আলী ব্রুসলী আলী ব্রুসলী"
Deowan Nazrul Islam,চোর চোর সবাই চোর,"চোর চোর সবাই চোর

কে রাখে কার খবর

দুনিয়াটা এক চোরেরই কারখানা

কেউ ঘরে কেউ বাইরে, কেউ ধরে পড়ে না।।

চালাক লোকেরা কেটে পড়ে,

আর বোকার হাতে, হাত কড়া পরে

কেউ সিঁধ কাটে রাত ভরে

কেউ টেলিফোনে কারবার সারে

দুনিয়াটা চিড়িয়াখানা শুধুই গন্ডগোল

কেউ ভুখায় কেউ নেশায়, কেউ সাজে রে পাগল।।

আমার আল্লাহ নবীজীর নাম, বলো মমিন ভাই

আমার আল্লাহ নবীজীর নাম

চুরি বিদ্যা ভাল না সে কি জান না

আমার আল্লাহ নবীজীর নাম

কিয়ামত আর দুরে না সেকি জান না

আমার আল্লাহ নবীজীর নাম, বলো মমিন ভাই

আমার আল্লাহ নবীজীর নাম

ডান হাতেরই খেলা দেখো, পকেট টারে সাবধান রাখো

আরে বাদুর ঝুলে রাস্তা চলা, তার চে ভাল এই পায়ে হাটা

নাচে সাপ বীনের,সুরে, আমরা পেটের দায়

কেউ নাচে কাউ নাচায় এই আজব দুনিয়ায়।।"
Deowan Nazrul Islam,ও অনুপমা ও নিরুপমা,"ও অনুপমা ও নিরুপমা

পাখির বাসার মত দুটি চোখ তোমার

ঠিক যেন নাটোরের বনলতা সেন।

আমি আজ হারিয়েছি

তোমারই পরশে স্বপ্নীল আবেশে

ও অনুপমা ও নিরুপমা

অনেক আশার সুরভি দিয়ে

পথ বেধেছি তোমায় পেয়ে

তুমি যে আমার ওগো আমি যে তোমার

কাছে কাছে অনুরাগে

সে পথ যেন আলোয় ভরা

একটি বাসর গরবো মোরা

তুমি যে আমার ওগো আমি যে তোমার

কাছে কাছে অনুরাগে

আমি আজ হারিয়েছি

তোমারই পরশে স্বপ্নীল আবেশে

ও অনুপমা ও নিরুপমা

কথার মালা গাথবো এসো

সুরে সুরে মোরে ভালবেসো

তুমি যে আমার ওগো আমি যে তোমার

কাছে কাছে অনুরাগে

দুটি মনের দুটি তাঁরা

রইবো নাকো সাথী হারা

তুমি যে আমার ওগো আমি যে তোমার

কাছে কাছে অনুরাগে

আমি আজ হারিয়েছি

তোমারই পরশে স্বপ্নীল আবেশে

ও অনুপমা ও নিরুপমা।।"
Deowan Nazrul Islam,চোর আমি ডাকু আমি বল না,"চোর আমি ডাকু আমি বল না

দুনিয়াতে সাধু আছে কয়টিরে

তবু ভুল যদি হয়

ঐ চুরি করে দেনা ক্ষমা করে।।

চোর আমি ডাকু আমি বল না

ঐ কালো কালো কয়লা

না না যায় না ধুলে ময়লা

আমি না জেনে ভুল করে বিষ করেছি পান

তোর মত চোর আমি চাই নারে

ক্ষমা তুমি কিছুতেই পাবি না রে

আমি একাই চলবো

তবু তোর কথা আমি শুনবো না

তোর মত চোর আমি চাই নারে

(জনি … জনি….।

এই মান অভিমান থাক না

আজই কর না বিচার কর না

তোর মনেরই কারাগারে বন্দি করে রাখ

চোরা মালে হয় না কো ভালবাসা

তোর সাথে যায় না কো মেলামেশা

আর যা যা রে চলে

কথা শুনবো না কথা বলবো না।।

ঐ গাছে ফাসি দিয়ে যাব মরে

মরে গেলে আর কভু পাবি নারে"
Deowan Nazrul Islam,চোর চোর আমি ধরেছি,"চোর……

হা রে রে রে রে চোর চোর

চোর চোর চোর আমি ধরেছি

পালাতে পাবে না (উহু)

ও যেতে দিব না, না না

পালাতে পাবে না

যাওয়া হবে না

আমি যেতে দিব না।।

হায়রে কিছু বোঝে না

আহা কিছু জানে না।

আর কত তোমাকে আমি প্রেম শেখাবো

(দূর বোকা কোথাকার)

আর কত তোমাকে আমি প্রেম শেখাবো

তুমি এতো যে বোকা

তুমি এতো যে হাবা

আমি আগে বুঝি নি।।

হায়….

ও ফুলপরী ও সুন্দরী

ছোলো এবার মজা করি

কেমন লাগে এমন সাজা দেখ না

হায় আমার তুমি এতো বোকা ভেবো না। (ঐ)

ও সুন্দরী….

নিজেই নিজেই চালাক বলে গর্ব করো

আমার চালে পড়ে এবার হায় হায় করো

ও ললনা দিলাম তোমায় এবার এসো না

লায়লা…."
