word,paragraph
অগ্রদানী,"""অগ্রদানী"" শব্দটি ব্যবহার করে একটি অনুচ্ছেদ নিচে দেওয়া হলো:

গ্রামের শেষ প্রান্তে বটগাছের নিচে আজ যেন উৎসবের মেজাজ। প্রতি বছর এই দিনে গ্রামের সবচেয়ে প্রবীণ এবং সম্মানিত ব্যক্তি, রামগতি মণ্ডল, অগ্রদানী প্রথা পালন করেন। বংশ পরম্পরায় চলে আসা এই প্রথায় তিনি গ্রামের দরিদ্র ও অভাবী মানুষের মধ্যে খাদ্য, বস্ত্র এবং প্রয়োজনীয় সামগ্রী বিতরণ করেন। আজ সকাল থেকেই গ্রামের মানুষজন বটগাছের নিচে জড়ো হয়েছে। প্রত্যেকের মুখেই আশা আর কৃতজ্ঞতার ছাপ। রামগতি মণ্ডল ধীরেসুস্থে এসে আসনে বসলেন। তাঁর কপালে চন্দনের তিলক, পরনে ধুতি-পাঞ্জাবি। তিনি প্রথমে ঈশ্বরের কাছে প্রার্থনা করলেন, যাতে এই দানকার্য সুষ্ঠুভাবে সম্পন্ন হয়। এরপর তিনি একে একে দরিদ্রদের হাতে চাল, ডাল, তেল, লবণ তুলে দিতে শুরু করলেন। শুধু খাদ্যসামগ্রী নয়, শীতের জন্য কম্বলও বিতরণ করা হলো। এই অগ্রদানী শুধু একটি প্রথা নয়, এটি গ্রামের মানুষের প্রতি রামগতির ভালোবাসার বহিঃপ্রকাশ। তিনি মনে করেন, সমাজের বিত্তবানদের উচিত দরিদ্রদের পাশে দাঁড়ানো। তাঁর এই মহৎ উদ্যোগ গ্রামের যুব সমাজকে অনুপ্রাণিত করে, এবং তারা সকলে মিলেমিশে এই কাজে সাহায্য করে। রামগতি মণ্ডলের বিশ্বাস, অগ্রদানীর মাধ্যমে ঈশ্বরের আশীর্বাদ সর্বদা গ্রামের মানুষের উপর বর্ষিত হবে।
"
অবশ্যকৃত্য,"অবশ্যকৃত্য

জীবন একটা বহমান নদীর মতো, যেখানে প্রতিদিন কিছু না কিছু নতুন অভিজ্ঞতা যুক্ত হয়। এই চলার পথে কিছু কাজ থাকে যা আমাদের নিজ তাগিদে করতে হয়, আবার কিছু কাজ থাকে যা ""অবশ্যকৃত্য""। সেই অবশ্যকৃত্য কাজগুলো আমাদের ভালো লাগুক বা না লাগুক, সেগুলো এড়িয়ে যাওয়ার কোনো উপায় নেই।

আমার জীবনে ""অবশ্যকৃত্য"" গুলোর মধ্যে অন্যতম হলো সকালে ঘুম থেকে উঠে বাড়ির বয়স্ক সদস্যদের খোঁজ নেওয়া। এটা এমন একটা কাজ যা আমার রুটিনের অংশ হয়ে গেছে। তাদের শারীরিক অবস্থা, প্রয়োজনীয় ঔষধপত্র এবং অন্যান্য দরকারের প্রতি খেয়াল রাখা আমার দায়িত্ব।

শুধু তাই নয়, একজন শিক্ষার্থী হিসেবে আমার প্রধান ""অবশ্যকৃত্য"" হলো প্রতিদিনের পড়ালেখা সম্পন্ন করা। পরীক্ষার আগের রাতে সব পড়া জমিয়ে না রেখে, প্রতিদিন অল্প অল্প করে পড়লে বিষয়গুলো আয়ত্তে আনা সহজ হয়।

পরিবারের শান্তি বজায় রাখার জন্য কিছু বিষয়ে ছাড় দেওয়াও ""অবশ্যকৃত্য""। সব সময় নিজের মতামতকে প্রাধান্য না দিয়ে অন্যদের কথাও শুনতে হয়।

""অবশ্যকৃত্য"" কাজগুলো অনেক সময় আমাদের ইচ্ছের বিরুদ্ধে গেলেও, এগুলো আমাদের জীবনে শৃঙ্খলা আনে এবং দায়িত্বশীল করে তোলে। এগুলো আমাদের ব্যক্তিত্বের বিকাশেও গুরুত্বপূর্ণ ভূমিকা রাখে। তাই, ""অবশ্যকৃত্য"" গুলোকে বোঝা হিসেবে না দেখে জীবনের অংশ হিসেবে মেনে নেওয়াই শ্রেয়। কারণ, এই কাজগুলোর মাধ্যমেই আমরা নিজেদের আরও ভালোভাবে জানতে ও চিনতে পারি। ভবিষ্যৎ জীবনে সাফল্যের পথে এগুলোই আমাদের সাহায্য করে।
"
অস্ত্রাগার,"শব্দ: অস্ত্রাগার

অনুচ্ছেদ:

গ্রামের পাশে পুরনো একটি জমিদার বাড়ি, সেটি এখন প্রায় ধ্বংসস্তূপে পরিণত হয়েছে। শোনা যায়, এককালে এই বাড়িতেই ছিল এলাকার সবচেয়ে বড় অস্ত্রাগার। কালের স্রোতে জমিদারি প্রথা বিলুপ্ত হয়ে গেলেও, সেই অস্ত্রাগারের গল্প আজও মানুষের মুখে মুখে ফেরে। গল্পটা এমন, জমিদার তার প্রজাদের রক্ষা করার জন্য বিভিন্ন ধরনের অস্ত্রশস্ত্র সেখানে জমা করতেন। শুধু বন্দুক, কামান বা তলোয়ার নয়, শোনা যায় বিষাক্ত তীর এবং বিস্ফোরকও নাকি ছিল সেই অস্ত্রাগারে। যদিও এখন আর তার কিছুই অবশিষ্ট নেই, কেবল কয়েকটি ইঁট আর পাথরের স্তূপ চোখে পড়ে। স্থানীয়দের ধারণা, গুপ্তধন এবং পুরোনো অস্ত্রের লোভে অনেকেই রাতের অন্ধকারে সেখানে খোঁড়াখুঁড়ি করতে আসে। তবে আজ পর্যন্ত কেউ কিছু খুঁজে পেয়েছে বলে শোনা যায়নি। বরং অনেকে বলেন, অস্ত্রাগারের অভিশপ্ত আত্মা নাকি এখনো ওখানে ঘুরে বেড়ায়। সেই কারণেই হয়তো দিনের বেলাতেও জায়গাটা কেমন যেন থমথমে হয়ে থাকে। নতুন প্রজন্মের ছেলে-মেয়েরা অবশ্য এসব গল্প বিশ্বাস করতে চায় না, তারা এটিকে কেবলই পুরোনো দিনের গাঁথা মনে করে। কিন্তু গ্রামের প্রবীণরা আজও ওই পথ এড়িয়ে চলেন, তাঁদের মনে অস্ত্রাগারের ভয় আজও অমলিন।
"
অগম্যাগমন,"অগম্যাগমন

গ্রামের পথ ধরে হাঁটছিলাম, উদ্দেশ্যহীনভাবে। গ্রীষ্মের দুপুরে মাঠের পর মাঠ খাঁ খাঁ করছে, যেন কোনো জনমানব নেই। হঠাৎ вдалеке একটা পুরোনো মন্দির চোখে পড়ল। মন্দিরটা বহু বছরের পুরোনো, কালের সাক্ষী হয়ে দাঁড়িয়ে আছে। মন্দিরের গায়ে লতাপাতা জড়িয়ে আছে, দেখলে মনে হয় যেন প্রকৃতির সাথে তার একাত্মতা। কৌতূহলবশত মন্দিরের দিকে এগিয়ে গেলাম। ভেতরে ঢুকে দেখি, পুরোহিতমশাই ধ্যান করছেন। তার মুখমণ্ডলে এক অপার্থিব শান্তি বিরাজ করছে।

কথায় বলে, এই মন্দিরে নাকি বহু বছর আগে দেবতারা নেমে আসতেন। সাধারণ মানুষের বিশ্বাস ছিল, এখানে এসে মন থেকে কিছু চাইলে পাওয়া যায়। তবে এখন আর আগের মতো ভিড় হয় না। কালের স্রোতে অনেক কিছুই হারিয়ে যায়, দেবালয়ও তার ব্যতিক্রম নয়। পুরোহিতমশাইয়ের ধ্যান ভাঙতেই তিনি আমার দিকে তাকালেন। তার চোখে যেন অগম্যাগমনের এক গভীর রহস্য খেলা করছে। আমি সাহস করে তাকে মন্দিরের ইতিহাস জানতে চাইলাম। তিনি মৃদু হেসে শুরু করলেন এক পুরনো দিনের কথা, যখন এই মন্দির ছিল গ্রামের মানুষের ভরসার কেন্দ্র। গল্প শুনতে শুনতে মনে হচ্ছিল, যেন আমি অন্য এক জগতে চলে গেছি।
"
অনুষ্ন,"অনুচ্ছেদ:

আজ শ্রাবণের প্রথম দিন। আকাশ মেঘে ঢাকা, বৃষ্টি ঝিরিঝিরি করে পড়ছে। প্রকৃতির এই স্নিগ্ধ রূপ মনকে শান্ত করে তোলে। বারান্দার চেয়ারে বসে আমি হাতে এক কাপ চা নিলাম। তবে চা টা আর গরম নেই, কেমন যেন অনুষ্ন হয়ে গেছে। সাধারণত গরম চায়ে চুমুক দিতে আমার ভালো লাগে, কিন্তু আজকের আবহাওয়াটা অন্যরকম। হালকা ঠান্ডা আর মেঘলা আকাশ যেন অনুষ্ন চায়ের সঙ্গেই মানানসই।

মনে পড়ছে, ছোটবেলার কথা। এমন দিনে ঠাকুরমা উনুনে পিঠে বানাতেন, আর আমরা ভাই বোনেরা চুলার পাশে গোল হয়ে বসতাম। সেই পিঠেগুলোর স্বাদ আজও মুখে লেগে আছে। গরম পিঠের সাথে খেজুরের গুড়, আহ! আজকের এই অনুষ্ন চায়ে চুমুক দিতে দিতে সেই সোনালী দিনের স্মৃতিগুলো ভিড় করে আসছে। সময়ের সাথে সাথে অনেক কিছুই বদলে যায়, হয়তো আগের মতো উষ্ণতা আর খুঁজে পাওয়া যায় না, তবে স্মৃতিগুলো সবসময় অমলিন থাকে। এই অনুষ্ন বিকেলে, স্মৃতিরোমন্থন করতে করতে আমি যেন সেই দিনগুলোতে ফিরে যাই। জীবনটা হয়তো এমনই - কিছু উষ্ণ, কিছু অনুষ্ন অভিজ্ঞতার সংমিশ্রণ।
"
অযত্নসাধ্য,"শব্দ: অযত্নসাধ্য

অনুচ্ছেদ:

প্রকৃতির নিয়ম বড়ই বিচিত্র, কিছু কিছু পরিবর্তন অযত্নসাধ্য। সময়ের স্রোতে সবকিছু পরিবর্তিত হয়, কিন্তু কিছু স্মৃতি, কিছু অনুভূতি রয়ে যায় মনের গভীরে, যাদের পরিবর্তন প্রায় অসম্ভব। পুরোনো দিনের কথা ভাবলে আজও গায়ে কাঁটা দেয়, সেই দিনগুলো হয়তো আর কোনোদিন ফিরে আসবে না। আমাদের গ্রামের পাশে যে নদীটি ছিল, কালের স্রোতে সেটি আজ শীর্ণকায়, তার যৌবন যেন অযত্নসাধ্য। ছোটবেলার বন্ধুদের সাথে সেই নদীর পাড়ে কত স্মৃতি! আমরা ঘণ্টার পর ঘণ্টা সেখানে খেলতাম, মাছ ধরতাম। এখন তারা সবাই যে যার কর্মজীবনে ব্যস্ত, সেই সোনালী দিনগুলো যেন আজ ধূসর স্মৃতি। জীবনের এই পরিবর্তনগুলো মেনে নিতে কষ্ট হয়, কিন্তু এটাই বাস্তবতা। নদীর ক্ষীণ ধারার মতো জীবনও বয়ে চলে তার নিজস্ব গতিতে, যেখানে অনেক কিছুই হয়তো আমাদের নিয়ন্ত্রণের বাইরে, অনেকটা অযত্নসাধ্যের মতোই। তবুও আমরা আশায় থাকি, হয়তো কোনো একদিন সবকিছু আবার আগের মতো হয়ে যাবে, নদীটি আবার ভরে উঠবে জলে, আর আমরা বন্ধুরা ফিরে যাব সেই সোনালী দিনগুলোতে। এই আশা হয়তো বেঁচে থাকার রসদ যোগায়, নতুবা জীবন হয়ে উঠতো আরও কঠিন, আরও বিবর্ণ।
"
অপ্রবৃত্তি,"অপ্রবৃত্তি

আজকাল আমার মধ্যে কেমন একটা অপ্রবৃত্তি কাজ করছে। কোনো কিছুতেই উৎসাহ পাই না, আগে যে কাজগুলো করতে ভালো লাগতো, সেগুলোর প্রতিও আর তেমন আগ্রহ নেই। সকালে ঘুম থেকে উঠতে ইচ্ছে করে না, মনে হয় যেন একটা ঘোরের মধ্যে পড়ে আছি। বন্ধুদের সাথে আড্ডা দিতেও ভালো লাগে না, যদিও তারা প্রায়ই ডাকে। বাইরের আলো ঝলমলে পৃথিবীটা যেন আমার কাছে ধূসর আর মলিন হয়ে গেছে। 

এই অপ্রবৃত্তি কি কোনো রোগের লক্ষণ, নাকি নিছকই খারাপ লাগা, বুঝতে পারছি না। আগে ছবি আঁকতে ভালোবাসতাম, ঘণ্টার পর ঘণ্টা ছবি আঁকতে বসে যেতাম, এখন তুলি ধরতেই ইচ্ছে করে না। নতুন কোনো সিনেমা দেখারও তাগিদ অনুভব করি না। এমনকি পছন্দের খাবারগুলোও যেন স্বাদহীন মনে হয়।

বাবা-মা বলেন, এটা নাকি বয়সের দোষ। কিন্তু আমার মনে হয়, এর পেছনের কারণটা আরও গভীর। হয়তো আমার ভেতরের স্বপ্নগুলো ধীরে ধীরে মরে যাচ্ছে, অথবা আমি নিজেই তাদের মেরে ফেলছি। এই অপ্রবৃত্তি যেন এক অদৃশ্য শেকল দিয়ে আমাকে বেঁধে রেখেছে, যা থেকে মুক্তি পাওয়া খুব কঠিন। আমি সত্যিই জানি না, কিভাবে এই অবস্থা থেকে বের হওয়া যায়। শুধু অনুভব করি, ভেতরের আমিটা ধীরে ধীরে নিস্তেজ হয়ে যাচ্ছে।
"
অঙ্কুরোৎপাটন,"অঙ্কুরোৎপাটন

গ্রামের প্রান্তে শীর্ণকায় এক নদী ছিল, তার পাড়ে ছিল সবুজের সমারোহ। সেখানে নতুন চারাগাছ লাগানোর উদ্যোগ নেওয়া হয়েছিল। কিন্তু কিছু অসাধু মানুষ নিজেদের স্বার্থের জন্য সেই চারাগাছগুলোর অঙ্কুরোৎপাটন শুরু করে। তাদের উদ্দেশ্য ছিল, এই সবুজ ধ্বংস করে সেখানে বসতি স্থাপন করা। প্রথমদিকে বিষয়টি নজরে আসেনি, কিন্তু যখন গ্রামের মানুষ দেখল একের পর এক চারাগাছ উপড়ে ফেলা হচ্ছে, তখন তারা প্রতিবাদ করলো।

অঙ্কুরোৎপাটনকারীরা প্রথমে ভয় দেখালেও, গ্রামের মানুষের ঐক্যবদ্ধ প্রতিরোধের মুখে তারা পিছু হটতে বাধ্য হলো। গ্রামের মানুষ বুঝতে পারলো, ভবিষ্যৎ প্রজন্মের জন্য এই সবুজ বাঁচিয়ে রাখা কতটা জরুরি। তারা আবার নতুন করে চারাগাছ লাগাতে শুরু করলো এবং প্রতিজ্ঞা করলো, আর কখনো তারা এমন অঙ্কুরোৎপাটন হতে দেবে না। সম্মিলিত প্রচেষ্টায় অল্প দিনের মধ্যেই নদীর পাড় আবার সবুজে ভরে উঠলো, যা প্রমাণ করলো ঐক্যবদ্ধ থাকলে যেকোনো খারাপ কাজকে প্রতিরোধ করা সম্ভব। এই ঘটনা গ্রামের মানুষের মনে প্রকৃতি ও পরিবেশের প্রতি নতুন করে ভালোবাসার জন্ম দিল।
"
অত্যুচ্চ,"অত্যুচ্চ পাহাড়ের সারি যেন মেঘ ছুঁয়েছে, দিগন্ত বিস্তৃত তাদের মহিমা। সূর্যের প্রথম আলো যখন পাহাড়ের চূড়ায় এসে পড়ে, তখন মনে হয় যেন কোনো স্বর্গীয় আভা নেমে এসেছে মর্ত্যে। আমি তাকিয়ে থাকি, সম্মোহিত হয়ে। এই অত্যুচ্চ পর্বতমালা যুগে যুগে মানুষের মনে সাহস জুগিয়েছে, শিখিয়েছে প্রকৃতির কাছে নতি স্বীকার করতে। এদের শরীর জুড়ে অজস্র গিরিখাত, দুর্গম পথ, আর সবুজ অরণ্য। বহু বছর ধরে এই পাহাড় travelers দের কাছে এক নতুন চ্যালেঞ্জ। যারা adventure ভালোবাসেন, তারা ছুটে আসেন এখানে। পাখির কলকাকলি আর ঝর্ণার মিষ্টি শব্দে পাহাড়ের নীরবতা ভাঙে। রাতের আকাশে তারারা যেন আরও উজ্জ্বল হয়ে ওঠে, আর সেই মিটিমিটি আলোয় পাহাড়কে মনে হয় কোনো রহস্যময় দৈত্য। আমার মনে হয়, এই অত্যুচ্চ পাহাড়গুলো যেন পৃথিবীর নীরব প্রহরী, যারা কালের সাক্ষী হয়ে আজও দাঁড়িয়ে আছে।
"
অন্তর্ধানকারী,"শব্দ: অন্তর্ধানকারী

রহস্যময় এক কুয়াশা ধীরে ধীরে গ্রাস করছিল চারপাশ, যেন কোনো অন্তর্ধানকারী শিল্পী সবকিছু মুছে দিতে চাইছে। দূরের পাহাড়গুলো প্রথমে আবছা হয়ে গেল, তারপর এক্কেবারে দৃষ্টির বাইরে। শীতের সকালে সাধারণত এমন কুয়াশা দেখা যায় না, তাই একটা গা ছমছমে ভাব তৈরি হলো। গ্রামের মানুষজন বলাবলি করছিল, এই কুয়াশা নাকি অলৌকিক, এর মধ্যে নাকি কোনো অশুভ শক্তি লুকিয়ে আছে। তাদের বিশ্বাস, কুয়াশার আড়ালে কোনো অন্তর্ধানকারী ঘুরে বেড়াচ্ছে, যে পথভ্রষ্ট путিকদের ধরে নিয়ে যায়। ভয়ে অনেকেই আজ ঘর থেকে বের হয়নি। শুধু দু-একজন সাহসী যুবক কুয়াশার ঘনত্ব ভেদ করে নিজেদের কাজে গেল, তবে তাদের চোখেমুখেও একটা চাপা আতঙ্ক স্পষ্ট। বেলা বাড়ার সঙ্গে সঙ্গে কুয়াশা আরও ঘন হলো, সূর্যের আলোও যেন আজ পরাজিত। সবকিছু কেমন যেন স্তব্ধ হয়ে গেল, শুধু মাঝে মাঝে কুকুরের ডাক আর দূর থেকে ভেসে আসা আজানের ধ্বনি সেই নীরবতা ভাঙছিল। আমার মনে হচ্ছিল, সত্যিই যেন কোনো অন্তর্ধানকারী ধীরে ধীরে সবকিছু গ্রাস করছে, আর আমরা অসহায় দর্শক হয়ে তাকিয়ে আছি। এই কুয়াশা ভেদ করে আবার কবে সূর্যের আলো দেখব, কে জানে!
"
