word,paragraph
অগ্রদানী,"""অগ্রদানী"" শব্দটি ব্যবহার করে একটি অনুচ্ছেদ নিচে দেওয়া হলো:

গ্রামের পাশে বয়ে যাওয়া ছোট নদীটির পাড়ে পুরোনো দিনের কিছু বসতভিটা আজও কালের সাক্ষী হয়ে দাঁড়িয়ে আছে। সেই গ্রামেই বাস করত নিতাই, পেশায় সে ছিল জেলে। অভাবের সংসার হলেও, সে ছিল সৎ এবং ধার্মিক। গ্রামের মন্দিরে নিত্য পূজা দিত, সাধ্যমতো সাহায্য করত দরিদ্রদের। গ্রামের মানুষ বলত, নিতাই একজন 'অগ্রদানী' মানুষ।

প্রতি বছর গ্রামের মন্দিরে অন্নপূর্ণা পূজা হতো, আর সেই পূজার প্রধান উদ্দেশ্য ছিল দরিদ্রদের মধ্যে অন্ন বিতরণ করা। নিতাই নিজের সামান্য রোজগার থেকে কিছু অর্থ বাঁচিয়ে সেই পূজার জন্য দান করত। শুধু তাই নয়, পূজার দিন নিজের হাতে রান্না করে দরিদ্রদের পরিবেশন করত। গ্রামের মানুষজন জানে, এমন নিঃস্বার্থ 'অগ্রদানী' মানুষ এখন খুঁজে পাওয়া ভার।

একদিন গ্রামের মোড়ল নিতাইকে ডেকে বললেন, ""তুমি তো প্রকৃত অগ্রদানী, নিঃস্বার্থভাবে মানুষের সেবা করাই তোমার ধর্ম।"" নিতাই মৃদু হেসে উত্তর দেয়, ""আমি তো সামান্য মানুষ, নিজের সাধ্যমতো চেষ্টা করি। মানুষের সেবা করতে পারলে শান্তি পাই, এটাই আমার কাছে আসল পূজা।"" গ্রামের মানুষ আজও নিতাইয়ের মতো 'অগ্রদানী' মানুষদের শ্রদ্ধা করে, তাঁদের কাছ থেকে মানবতাবোধের শিক্ষা নেয়। আসলে, সত্যিকারের 'অগ্রদানী' তো তারাই, যারা নিজের সুখের চেয়ে অন্যের মুখে হাসি ফোটাতে বেশি ভালোবাসে।
"
অধ্যাত্মশক্তি,"অধ্যাত্মশক্তি

আমার কাছে অধ্যাত্মশক্তি এক গভীর রহস্যের মতো, যা জীবনের সব প্রশ্নের উত্তর দিতে পারে। এই শক্তিকে অনুভব করতে হলে প্রয়োজন নিজের ভেতরের চেতনার উন্মোচন। যখন চারপাশের কোলাহল থেমে যায়, মন শান্ত হয়, তখন এক অন্যরকম অনুভূতি জন্ম নেয়। মনে হয় যেন কোনো এক অদৃশ্য শক্তি আমাকে পথ দেখাচ্ছে। এই অধ্যাত্মশক্তিই মানুষকে খারাপ কাজ থেকে দূরে রাখে, সৎ পথে চলতে শেখায়। যারা ঈশ্বরের প্রতি বিশ্বাস রাখেন, তারা হয়তো একে ঈশ্বরের আশীর্বাদ হিসেবে দেখেন, আবার কেউ কেউ মনে করেন এটা প্রকৃতির নিজস্ব নিয়ম। জীবনের কঠিন সময়ে এই শক্তিই আমাদের সাহস যোগায়, নতুন করে বাঁচার স্বপ্ন দেখায়। আমি বিশ্বাস করি, মানুষের মধ্যে সুপ্ত থাকা এই শক্তিকে জাগিয়ে তুলতে পারলে সমাজ থেকে অনেক নেতিবাচকতা দূর করা সম্ভব। নিয়মিত ধ্যান এবং সৎ চিন্তা এই অধ্যাত্মশক্তিকে বাড়িয়ে তোলে। এই শক্তি আমাদের মনে শান্তি এনে দেয় এবং অন্যের প্রতি শ্রদ্ধাশীল হতে শেখায়। তাই, জীবনে শান্তি ও সমৃদ্ধি লাভের জন্য অধ্যাত্মশক্তির প্রতি মনোযোগী হওয়া উচিত।
"
অননুসরণ,"অননুসরণ

গ্রামের প্রান্তে পুরনো জমিদার বাড়িটা কালের সাক্ষী হয়ে দাঁড়িয়ে আছে। এককালে এখানে কত লোকজনের আনাগোনা ছিল, কত হাসি-ঠাট্টা, গান-বাজনা লেগে থাকত। আজ সব নিস্তব্ধ, খাঁ খাঁ করছে। শুনেছি, জমিদার বংশের শেষ বংশধর নাকি বিদেশে গিয়েছেন, আর ফেরেননি। তাদের ফেলে যাওয়া ঐতিহ্য যেন অননুসরণের এক নীরব বার্তা বহন করছে।

বাড়ির দেয়ালের পলেস্তারা খসে পড়েছে, ইটগুলো বেরিয়ে এসেছে। আগাছা আর লতাপাতা জড়িয়ে ধরেছে দেওয়ালগুলোকে, যেন তারা বাড়িটাকে আড়াল করতে চাইছে। এক সময়ের জাঁকজমকপূর্ণ বাগান এখন জঙ্গলে পরিণত হয়েছে। কেউ নেই যে এই বাড়িটির রক্ষণাবেক্ষণ করবে, পুরোনো দিনের ঐতিহ্যকে বাঁচিয়ে রাখবে।

আসলে, সময়ের সাথে সাথে অনেক কিছুই বদলে যায়। মানুষ নতুনত্বের পেছনে ছোটে, পুরোনোকে ভুলে যায়। এই জমিদার বাড়িটি যেন সেই অননুসৃত ঐতিহ্যের প্রতিচ্ছবি, যা আমাদের মনে করিয়ে দেয় যে শিকড়কে ভুলে গেলে আমাদের পরিণতিও এমন হতে পারে। আমাদের উচিত নিজেদের ইতিহাস এবং ঐতিহ্যকে বাঁচিয়ে রাখা, যাতে ভবিষ্যৎ প্রজন্ম জানতে পারে তাদের পূর্বপুরুষদের কথা, তাদের সংস্কৃতি আর জীবনযাত্রা সম্পর্কে। তা না হলে, এই বাড়িটির মতই সবকিছু একদিন কালের গর্ভে বিলীন হয়ে যাবে। এই অননুসরণ যেন আমাদের ভবিষ্যৎ প্রজন্মের জন্য একটি সতর্কবার্তা।
"
অবলীলাক্রমে,"শব্দ: অবলীলাক্রমে

বৃষ্টিস্নাত দুপুরে বারান্দায় বসে আছি, আর আনমনে পুরোনো দিনের কথা ভাবছি। স্মৃতির পাতা উল্টাতে গিয়ে মনে পড়লো, আমার দাদু অবলীলাক্রমে ঘণ্টার পর ঘণ্টা দাবা খেলতেন। তার প্রতিটি চাল ছিল নিখুঁত, যেন আগে থেকেই ঠিক করা। ছোটবেলায় আমি অবাক হয়ে দেখতাম, কিভাবে তিনি এত সহজে প্রতিপক্ষকে হারিয়ে দিতেন। দাদুর দাবা খেলার কৌশল ছিল অসাধারণ, তিনি যেন খেলার প্রতিটি নিয়ম অবলীলাক্রমে নিজের করে নিয়েছিলেন। শুধু দাবা খেলা নয়, অঙ্ক করার সময়ও তার মাথায় জটিল হিসাবগুলো অবলীলাক্রমে চলে আসতো। গ্রামের মানুষজন কঠিন সমস্যার সমাধানে তার কাছে আসতো, আর দাদু অবলীলাক্রমে তাদের পথ বাতলে দিতেন। তিনি বলতেন, জ্ঞান অর্জনের কোনো বিকল্প নেই, আর সেই জ্ঞানকে কাজে লাগিয়ে মানুষের উপকার করাই জীবনের মূল লক্ষ্য হওয়া উচিত। দাদুর কথাগুলো আজও আমার জীবনে চলার পথে অনুপ্রেরণা যোগায়। আমি চেষ্টা করি, যেকোনো কাজ মনোযোগ দিয়ে করতে এবং নিজের দুর্বলতাগুলো কাটিয়ে উঠতে, ঠিক যেমনটা দাদু অবলীলাক্রমে করতেন। আজ দাদু নেই, কিন্তু তার শিক্ষা আর স্মৃতিগুলো আমার হৃদয়ে চিরকাল অমলিন থাকবে।
"
অরুণরঞ্জিত,"**অরুণরঞ্জিত**

ভোরের আকাশ আজ অরুণরঞ্জিত। কুয়াশার চাদর ভেদ করে সোনালী আভা ছড়িয়ে পড়েছে দিগন্তজুড়ে। শীতের সকালে এমন মনোরম দৃশ্য মনকে শান্ত করে তোলে। গ্রামের মেঠো পথ ধরে হাঁটতে হাঁটতে মনে হচ্ছিল, প্রকৃতি যেন আজ নিজ হাতে রংতুলি দিয়ে আকাশটা এঁকেছে। দূরে দেখা যাচ্ছে খেজুর গাছের সারি, তাদের পাতাগুলোও সূর্যের আলোয় চিকচিক করছে। পাখিরা কলকাকলি জুড়েছে, তাদের মিষ্টি সুর চারপাশের নিস্তব্ধতা ভেঙে দিচ্ছে। অরুণরঞ্জিত প্রভাতের এই সৌন্দর্য যেন এক নতুন দিনের আগমনী বার্তা ঘোষণা করছে। কৃষকেরা লাঙল কাঁধে মাঠে যাচ্ছে, তাদের পদক্ষেপে এক অন্যরকম ছন্দ। এই শান্ত, স্নিগ্ধ পরিবেশে জীবনের এক নতুন অর্থ খুঁজে পাওয়া যায়। আমি দু’চোখ ভরে এই অপরূপ দৃশ্য দেখছিলাম, আর মনে মনে ভাবছিলাম, এমন অরুণরঞ্জিত সকাল যেন প্রতিদিন আসে। প্রকৃতির এই অপার সৌন্দর্য আমাদের জীবনে শান্তি ও সমৃদ্ধি বয়ে আনুক।
"
অর্চিত,"**অর্চিত**

গ্রামের প্রান্তে পুরনো বটগাছটি যেন আজও ইতিহাসের সাক্ষী। দিনের আলো পড়তেই সেখানে পাখির কলকাকলি শুরু হয়, আর সন্ধ্যায় জোনাকিরা আলো জ্বালিয়ে এক মায়াবী পরিবেশ তৈরি করে। এই গাছটিকে গ্রামের মানুষ দেবজ্ঞানে মানে। প্রতি বছর বৈশাখ মাসে এখানে বড় করে পুজো হয়। নানা রঙের ফুল ও ফল দিয়ে গাছটিকে অর্চিত করা হয়। ছোট থেকে বড়, সকলেই এই উৎসবে শামিল হয়। ঢাকিদের বাদ্য আর পুরোহিতের মন্ত্রোচ্চারণে চারিদিক মুখরিত হয়ে ওঠে। পুজোর পর প্রসাদ বিতরণ করা হয়, আর সকলে একসাথে বসে আনন্দ করে খায়। এই বটগাছটি শুধু একটি গাছ নয়, এটি গ্রামের মানুষের বিশ্বাস আর ভালোবাসার প্রতীক। এটি তাদের সংস্কৃতি আর ঐতিহ্যের অংশ, যা যুগ যুগ ধরে অর্চিত হয়ে আসছে। গ্রামের মানুষ মনে করে, এই গাছের ছায়ায় বসলে মন শান্ত হয় এবং সকল বিপদ থেকে রক্ষা পাওয়া যায়। তাই তারা আজও ভক্তিভরে গাছটিকে পূজা করে।
"
অকৃষ্ণকায়,"**অকৃষ্ণকায়**

গ্রামের প্রান্তে পুরোনো দিনের একটি বসতভিটা আজও কালের সাক্ষী হয়ে দাঁড়িয়ে আছে। জীর্ণ দালানটির দেয়ালের পলেস্তারা খসে পড়েছে, বেরিয়ে এসেছে ভেতরের ইট। একসময় এখানে জমিদার বংশের বাস ছিল, কিন্তু এখন আর তাদের বংশধরদের তেমন কাউকে দেখা যায় না। শোনা যায়, জমিদারেরা ছিলেন অত্যন্ত দয়ালু এবং প্রজাবৎসল। তাদের উদারতার কথা আজও গাঁয়ের মানুষের মুখে মুখে ফেরে। বিশেষ করে অকৃষ্ণকায় দরিদ্র মানুষদের প্রতি তাদের ছিল অগাধ সহানুভূতি।

সেই সময় অকৃষ্ণকায় মানুষেরা নানা অভাব-অনটনে দিন কাটাত। জমিদার তাদের কষ্ট লাঘবের জন্য সাহায্যের হাত বাড়িয়ে দিতেন। তিনি গ্রামের অকৃষ্ণকায় শিশুদের জন্য বিদ্যালয় স্থাপন করেছিলেন, যেখানে বিনামূল্যে শিক্ষা দেওয়া হতো। এছাড়াও, অসুস্থদের জন্য তৈরি করেছিলেন দাতব্য চিকিৎসালয়। অকৃষ্ণকায় কৃষকদের অর্থনৈতিক উন্নতির জন্য নানান প্রকল্প চালু করেছিলেন তিনি। এমনকি তাদের ছেলেমেয়েদের লেখাপড়ার জন্য বৃত্তি দেওয়ার ব্যবস্থাও করেছিলেন।

জমিদারের মৃত্যুর পরে সবকিছু যেন থমকে যায়। ধীরে ধীরে সেই দালানটি পরিত্যক্ত হতে শুরু করে, আর তার সাথে সাথে হারিয়ে যেতে থাকে জমিদার বংশের গৌরবময় ইতিহাস। তবে গ্রামের মানুষ আজও সেই দালানের দিকে তাকিয়ে অতীতের কথা স্মরণ করে, আর শ্রদ্ধার সাথে স্মরণ করে যান সেই মহান জমিদারকে, যিনি অকৃষ্ণকায় মানুষদের জীবনে আশার আলো জ্বালিয়েছিলেন। তাদের মনে জমিদারের kindness আজও অমলিন।
"
অতন্দ্রিত,"শব্দ: অতন্দ্রিত

অতন্দ্রিত প্রহরী রাতের অন্ধকারেও জেগে থাকে, তার চোখে ক্লান্তি নেই। গ্রামের প্রান্তে পুরনো জমিদার বাড়ির দিকে সে অপলক দৃষ্টিতে তাকিয়ে থাকে। বহু বছর আগে এই বাড়িতে ঘটে যাওয়া মর্মান্তিক ঘটনা আজও তার স্মৃতিতে উজ্জ্বল। শোনা যায়, জমিদারের ছেলে এক রাতে খুন হয়েছিলেন, আর সেই খুনের রহস্য আজও উদঘাটিত হয়নি। গ্রামের মানুষ ভয়ে ওই বাড়ির ত্রিসীমানায় ঘেঁষে না, কিন্তু এই অতন্দ্রিত প্রহরী যেন একাই সব ভয়কে জয় করেছে। সে জানে, হয়তো কোনোদিন সেই রহস্যের জট খুলবে, হয়তো কোনো অতৃপ্ত আত্মা শান্তি পাবে। রাতের নিস্তব্ধতা ভাঙে শুধু ঝিঁঝি পোকার ডাক, আর প্রহরীর বুটের শব্দ। তার হাতে থাকা লাঠিটি যেন তার বিশ্বস্ত সঙ্গী, যে কোনো বিপদে তার পাশে থাকবে। এই অতন্দ্রিত প্রহরীর জীবন যেন এক নীরব কবিতা, যা রাতের অন্ধকারে লেখা হয়। সে অপেক্ষা করে, একটি নতুন দিনের, একটি নতুন ভোরের, যেখানে হয়তো সত্যের আলো সবকিছু উদ্ভাসিত করবে। তার এই অতন্দ্রিত দৃষ্টি যেন এক নীরব প্রতিজ্ঞা, সত্য উদ্ঘাটন না হওয়া পর্যন্ত সে বিশ্রাম নেবে না।
"
অনুমৃত,"অনুমৃত একটি ধারণা, যা আমাদের চারপাশে প্রায়ই দেখা যায়, কিন্তু আমরা সবসময় তার গভীরতা উপলব্ধি করতে পারি না। পুরোনো দিনের কথা ভাবলে বিষয়টির গুরুত্ব আরও স্পষ্ট হয়। আগেকার দিনে, যখন মানুষের জীবনযাত্রা ছিল প্রকৃতির ওপর নির্ভরশীল, তখন কোনো নতুন ফসল ফলাতে বা নতুন কোনো পদ্ধতি ব্যবহার করতে farmers-দের মধ্যে একটা দ্বিধা কাজ করত। তারা মনে করতো, যা চলছে চলুক, নতুন কিছু করার দরকার নেই। এই যে নতুনকে গ্রহণ করতে না চাওয়ার মানসিকতা, সেটাই হলো অনুমিত।

  
কিন্তু সময়ের সাথে সাথে মানুষ বুঝতে শিখেছে যে পরিবর্তন প্রকৃতির নিয়ম। যারা এই অনুমিত ধারণাকে আঁকড়ে ধরেছিল, তারা পিছিয়ে পড়েছে। বিজ্ঞান ও প্রযুক্তির কল্যাণে আজ জীবনযাত্রার মান অনেক উন্নত হয়েছে, যার মূলে রয়েছে নতুন নতুন আবিষ্কারকে স্বাগত জানানোর মানসিকতা। এখনও কিছু মানুষ আছেন যারা সবকিছু সহজে মেনে নিতে চান না, তাঁরা যেন এক প্রকার ঘোরের মধ্যে থাকেন। আমাদের উচিত তাঁদের বুঝিয়ে বলা, নতুনত্বের পথে হাঁটতে উৎসাহিত করা। কারণ অনুমিত ধারণার বেড়াজাল থেকে বেরিয়ে আসতে পারলেই জীবনের আসল সৌন্দর্য উপভোগ করা যায়। অন্যথায় জীবনটা এক জায়গায় থমকে দাঁড়ায়, যেখানে অগ্রগতির কোনো সুযোগ থাকে না। তাই, পুরোনো ধ্যানধারণা ত্যাগ করে নতুন কিছু চেষ্টা করতে ভয় পাওয়া উচিত নয়।
"
অনুষদ,"শব্দ: অনুষদ

বর্ষার বিকেলে মেঘলা আকাশ আর হালকা বৃষ্টির ছোঁয়ায় মনটা কেমন যেন আনচান করে ওঠে। আজ বিশ্ববিদ্যালয়ের অনুষদ ভবনের করিডোরে দাঁড়িয়ে পুরোনো দিনের কথা খুব মনে পড়ছে। এই অনুষদ কতো স্মৃতি আর অভিজ্ঞতার সাক্ষী! কত অধ্যাপক তাঁদের মূল্যবান লেকচার দিয়ে আমাদের জ্ঞানের দিগন্ত প্রসারিত করেছেন, কত বন্ধু একসাথে ক্যান্টিনে ঘণ্টার পর ঘণ্টা আড্ডা দিয়ে জীবনের মানে খুঁজেছে। এই অনুষদের প্রতিটি ইট যেন আমাদের তারুণ্যের জয়গান গেয়ে চলেছে। পরীক্ষার আগে লাইব্রেরিতে রাত জেগে পড়া, তারপর বন্ধুদের সাথে দলবেঁধে হলে ফেরা - সেই দিনগুলো ছিল অন্যরকম। অনুষদের সবুজ চত্বরে বসে কত কবিতা লেখা হয়েছে, কত গানের সুর বাঁধা হয়েছে, তার হিসেব নেই। শুধু একাডেমিক পড়াশোনা নয়, এই অনুষদ আমাদের শিখিয়েছে কিভাবে মানুষের সাথে মিশে জীবনকে উপভোগ করতে হয়। শিক্ষকদের স্নেহ আর বন্ধুদের ভালোবাসায় এখানকার প্রতিটি মুহূর্ত ছিল অমূল্য। আজ যখন কর্মজীবনে প্রবেশ করেছি, তখনো অনুষদের সেই দিনগুলোর কথা মনে পড়লে মনটা আনন্দে ভরে ওঠে। এই অনুষদ শুধু একটি শিক্ষা প্রতিষ্ঠান নয়, এটি আমাদের জীবনের একটি অংশ, আমাদের ভালোবাসার ঠিকানা। আমি বিশ্বাস করি, জীবনের বাঁকে যখনই পথ হারাবো, এই অনুষদের স্মৃতি আমাকে সঠিক পথ দেখাবে।
"
